# _root_ Boff va ser condemnat pel Vaticà , l' any_1985 , a un any de silenci i va tornar a ser amonestat posteriorment pel contingut dels seus escrits .
#goldHeads=4,4,4,0,4,5,9,9,4,9,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
#predictedHeads=4,4,4,0,4,5,9,9,4,11,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
(0,2),-1.38321 # DEPENDENCYPART_ARC
(0,3),-3.3335 # DEPENDENCYPART_ARC
(0,4),-2.65036 # DEPENDENCYPART_ARC
(0,18),-4.16687 # DEPENDENCYPART_ARC
(0,20),-4.89058 # DEPENDENCYPART_ARC
(0,21),-2.83021 # DEPENDENCYPART_ARC
(1,2),-1.43956 # DEPENDENCYPART_ARC
(1,3),-2.3109 # DEPENDENCYPART_ARC
(1,7),-1.60951 # DEPENDENCYPART_ARC
(1,9),-2.04291 # DEPENDENCYPART_ARC
(2,1),-2.0986 # DEPENDENCYPART_ARC
(2,3),-0.892924 # DEPENDENCYPART_ARC
(2,4),-1.98884 # DEPENDENCYPART_ARC
(2,5),-1.81678 # DEPENDENCYPART_ARC
(2,9),-2.72029 # DEPENDENCYPART_ARC
(2,28),-3.64117 # DEPENDENCYPART_ARC
(3,1),-0.708359 # DEPENDENCYPART_ARC
(3,2),1.24921 # DEPENDENCYPART_ARC
(3,4),0.439987 # DEPENDENCYPART_ARC
(3,5),-0.492154 # DEPENDENCYPART_ARC
(3,6),-1.7992 # DEPENDENCYPART_ARC
(3,7),-1.23954 # DEPENDENCYPART_ARC
(3,9),-1.66285 # DEPENDENCYPART_ARC
(3,10),-1.67068 # DEPENDENCYPART_ARC
(3,11),-1.59211 # DEPENDENCYPART_ARC
(3,13),-2.50878 # DEPENDENCYPART_ARC
(3,16),-0.96079 # DEPENDENCYPART_ARC
(3,17),-2.9833 # DEPENDENCYPART_ARC
(3,18),-1.8909 # DEPENDENCYPART_ARC
(3,19),-2.35831 # DEPENDENCYPART_ARC
(3,20),-2.11728 # DEPENDENCYPART_ARC
(3,21),-2.60122 # DEPENDENCYPART_ARC
