# _root_ Tot_i_que ahir hi va haver una reunió de darrera hora , no es va aconseguir acostar posicions , de_manera_que els treballadors han decidit anar a la vaga .
#goldHeads=5,5,5,5,15,7,5,7,10,8,5,15,15,15,0,15,16,23,23,21,23,23,15,23,24,27,25,15,
#predictedHeads=5,5,5,5,0,7,5,7,10,8,5,15,15,15,5,15,16,23,23,21,23,23,16,23,24,27,25,5,
(0,4),-3.37511 # DEPENDENCYPART_ARC
(0,5),-4.64228 # DEPENDENCYPART_ARC
(0,14),-3.23129 # DEPENDENCYPART_ARC
(0,15),-4.54224 # DEPENDENCYPART_ARC
(0,16),-4.22821 # DEPENDENCYPART_ARC
(0,22),-2.87122 # DEPENDENCYPART_ARC
(0,23),-3.78197 # DEPENDENCYPART_ARC
(0,24),-4.62836 # DEPENDENCYPART_ARC
(1,2),-0.764595 # DEPENDENCYPART_ARC
(1,4),-1.39962 # DEPENDENCYPART_ARC
(1,8),-2.02924 # DEPENDENCYPART_ARC
(1,11),-1.45424 # DEPENDENCYPART_ARC
(1,19),-1.31401 # DEPENDENCYPART_ARC
(2,1),-1.36114 # DEPENDENCYPART_ARC
(2,3),-1.03102 # DEPENDENCYPART_ARC
(2,4),-1.51764 # DEPENDENCYPART_ARC
(2,5),-2.08105 # DEPENDENCYPART_ARC
(2,7),-2.63354 # DEPENDENCYPART_ARC
(3,1),-2.01832 # DEPENDENCYPART_ARC
(3,2),-1.19308 # DEPENDENCYPART_ARC
(3,7),-2.46017 # DEPENDENCYPART_ARC
(3,8),-2.23734 # DEPENDENCYPART_ARC
(4,1),-1.02858 # DEPENDENCYPART_ARC
(4,2),-0.693355 # DEPENDENCYPART_ARC
(4,3),-0.137189 # DEPENDENCYPART_ARC
(4,5),0.113065 # DEPENDENCYPART_ARC
(4,7),-1.59553 # DEPENDENCYPART_ARC
(4,8),-1.84885 # DEPENDENCYPART_ARC
(4,11),-1.80295 # DEPENDENCYPART_ARC
(4,28),-4.17222 # DEPENDENCYPART_ARC
(5,1),-0.57773 # DEPENDENCYPART_ARC
(5,2),-0.504585 # DEPENDENCYPART_ARC
(5,3),0.280724 # DEPENDENCYPART_ARC
(5,4),1.38429 # DEPENDENCYPART_ARC
(5,6),-0.661012 # DEPENDENCYPART_ARC
(5,7),0.453203 # DEPENDENCYPART_ARC
(5,8),-1.01849 # DEPENDENCYPART_ARC
(5,10),-1.02837 # DEPENDENCYPART_ARC
(5,11),-1.74976 # DEPENDENCYPART_ARC
(5,14),-2.68189 # DEPENDENCYPART_ARC
(5,15),-1.66324 # DEPENDENCYPART_ARC
(5,16),-1.65197 # DEPENDENCYPART_ARC
(5,18),-1.79479 # DEPENDENCYPART_ARC
(5,19),-2.37156 # DEPENDENCYPART_ARC
(5,22),-2.92362 # DEPENDENCYPART_ARC
(5,23),-2.79162 # DEPENDENCYPART_ARC
(5,24),-2.38828 # DEPENDENCYPART_ARC
(5,25),-2.53731 # DEPENDENCYPART_ARC
(5,28),-2.99306 # DEPENDENCYPART_ARC
(6,7),0.212002 # DEPENDENCYPART_ARC
(6,8),-0.373386 # DEPENDENCYPART_ARC
(7,1),-2.33965 # DEPENDENCYPART_ARC
(7,2),-1.73083 # DEPENDENCYPART_ARC
(7,3),-0.690974 # DEPENDENCYPART_ARC
(7,4),-2.69513 # DEPENDENCYPART_ARC
(7,5),-1.19338 # DEPENDENCYPART_ARC
(7,6),1.63395 # DEPENDENCYPART_ARC
(7,8),1.19415 # DEPENDENCYPART_ARC
(7,9),0.434393 # DEPENDENCYPART_ARC
(7,10),0.142835 # DEPENDENCYPART_ARC
(7,11),-0.828294 # DEPENDENCYPART_ARC
(7,14),-0.855068 # DEPENDENCYPART_ARC
(7,15),-1.51432 # DEPENDENCYPART_ARC
(7,16),-1.64503 # DEPENDENCYPART_ARC
(7,17),-1.46769 # DEPENDENCYPART_ARC
(7,18),-0.800521 # DEPENDENCYPART_ARC
(7,19),-1.02902 # DEPENDENCYPART_ARC
(7,21),-2.5772 # DEPENDENCYPART_ARC
(7,23),-2.44349 # DEPENDENCYPART_ARC
(7,24),-2.94514 # DEPENDENCYPART_ARC
(7,28),-2.29077 # DEPENDENCYPART_ARC
(8,6),-1.69776 # DEPENDENCYPART_ARC
(8,9),0.496386 # DEPENDENCYPART_ARC
(8,10),1.67104 # DEPENDENCYPART_ARC
(8,11),-1.19188 # DEPENDENCYPART_ARC
(8,12),-1.96316 # DEPENDENCYPART_ARC
(8,14),-2.47811 # DEPENDENCYPART_ARC
(8,15),-1.7488 # DEPENDENCYPART_ARC
(8,16),-2.39261 # DEPENDENCYPART_ARC
(10,1),-2.11013 # DEPENDENCYPART_ARC
(10,2),-1.53144 # DEPENDENCYPART_ARC
(10,3),-0.464399 # DEPENDENCYPART_ARC
(10,4),-2.80029 # DEPENDENCYPART_ARC
(10,5),-2.17545 # DEPENDENCYPART_ARC
(10,6),-0.821798 # DEPENDENCYPART_ARC
(10,8),-1.18471 # DEPENDENCYPART_ARC
(10,9),2.33065 # DEPENDENCYPART_ARC
(10,11),-0.788414 # DEPENDENCYPART_ARC
(10,12),-1.49174 # DEPENDENCYPART_ARC
(10,14),-0.86013 # DEPENDENCYPART_ARC
(10,15),-1.47353 # DEPENDENCYPART_ARC
(10,16),-1.73947 # DEPENDENCYPART_ARC
(10,17),-1.54847 # DEPENDENCYPART_ARC
(10,21),-2.86122 # DEPENDENCYPART_ARC
(10,28),-2.68848 # DEPENDENCYPART_ARC
(12,11),-1.22818 # DEPENDENCYPART_ARC
(14,7),-3.3329 # DEPENDENCYPART_ARC
