# _root_ Per intentar el rècord , l' embarcació catalana participarà en el rànquing ' World_Sailing_Record ' , l' entitat que estableix la legalitat de les marques .
#goldHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
#predictedHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
(0,1),-4.25612 # DEPENDENCYPART_ARC
(0,2),-3.83183 # DEPENDENCYPART_ARC
(0,7),-5.47689 # DEPENDENCYPART_ARC
(0,9),-1.47372 # DEPENDENCYPART_ARC
(0,20),-2.15863 # DEPENDENCYPART_ARC
(1,2),3.0503 # DEPENDENCYPART_ARC
(1,4),-0.532704 # DEPENDENCYPART_ARC
(1,5),0.63804 # DEPENDENCYPART_ARC
(1,7),-1.85575 # DEPENDENCYPART_ARC
(1,9),-2.75998 # DEPENDENCYPART_ARC
(1,10),-2.2206 # DEPENDENCYPART_ARC
(1,13),-0.409616 # DEPENDENCYPART_ARC
(1,15),-1.03036 # DEPENDENCYPART_ARC
(1,16),-1.50767 # DEPENDENCYPART_ARC
(1,26),-2.42641 # DEPENDENCYPART_ARC
(2,1),-0.579399 # DEPENDENCYPART_ARC
(2,4),1.00181 # DEPENDENCYPART_ARC
(2,5),-0.620169 # DEPENDENCYPART_ARC
(2,7),-0.166567 # DEPENDENCYPART_ARC
(2,8),-1.18029 # DEPENDENCYPART_ARC
(2,9),-0.836796 # DEPENDENCYPART_ARC
(2,10),-0.775067 # DEPENDENCYPART_ARC
(2,12),-1.36486 # DEPENDENCYPART_ARC
(2,13),-1.56088 # DEPENDENCYPART_ARC
(2,14),-2.14283 # DEPENDENCYPART_ARC
(2,15),-1.61413 # DEPENDENCYPART_ARC
(2,16),-1.64386 # DEPENDENCYPART_ARC
(2,18),-1.84028 # DEPENDENCYPART_ARC
(2,20),-2.17802 # DEPENDENCYPART_ARC
(2,22),-1.83834 # DEPENDENCYPART_ARC
(2,26),-1.64914 # DEPENDENCYPART_ARC
(3,4),-1.31317 # DEPENDENCYPART_ARC
(3,6),-2.02638 # DEPENDENCYPART_ARC
(4,1),-1.07637 # DEPENDENCYPART_ARC
(4,2),-1.11293 # DEPENDENCYPART_ARC
(4,3),1.58418 # DEPENDENCYPART_ARC
(4,5),-0.360442 # DEPENDENCYPART_ARC
(4,7),-0.340893 # DEPENDENCYPART_ARC
(4,8),-1.03815 # DEPENDENCYPART_ARC
