# _root_ Quan ens movem al_voltant_del 3% , ¿ qui es recorda de l' època dels Pactes_de_la_Moncloa , amb un IPC que gairebé arribava al 30% ?
#goldHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,13,19,17,22,22,19,22,23,10,
#predictedHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,10,19,17,22,22,19,22,23,10,
(0,1),-3.9155 # DEPENDENCYPART_ARC
(0,3),-3.73419 # DEPENDENCYPART_ARC
(0,10),-3.00182 # DEPENDENCYPART_ARC
(0,22),-3.82734 # DEPENDENCYPART_ARC
(1,3),-1.41904 # DEPENDENCYPART_ARC
(1,4),-1.85427 # DEPENDENCYPART_ARC
(1,6),-1.806 # DEPENDENCYPART_ARC
(3,1),1.41699 # DEPENDENCYPART_ARC
(3,2),2.29503 # DEPENDENCYPART_ARC
(3,4),0.852937 # DEPENDENCYPART_ARC
(3,5),-0.737452 # DEPENDENCYPART_ARC
(3,6),-0.222796 # DEPENDENCYPART_ARC
(3,7),-0.764325 # DEPENDENCYPART_ARC
(3,8),-1.72186 # DEPENDENCYPART_ARC
(3,10),-0.45774 # DEPENDENCYPART_ARC
(3,11),-1.85362 # DEPENDENCYPART_ARC
(3,13),-1.87993 # DEPENDENCYPART_ARC
(3,14),-2.05607 # DEPENDENCYPART_ARC
(3,16),-1.44176 # DEPENDENCYPART_ARC
(3,17),-1.86529 # DEPENDENCYPART_ARC
(3,19),-2.17884 # DEPENDENCYPART_ARC
(3,21),-2.57086 # DEPENDENCYPART_ARC
(3,22),-1.8056 # DEPENDENCYPART_ARC
(3,23),-2.16752 # DEPENDENCYPART_ARC
(3,24),-2.49087 # DEPENDENCYPART_ARC
(3,25),-1.46003 # DEPENDENCYPART_ARC
(4,1),-2.31257 # DEPENDENCYPART_ARC
(4,3),-2.40778 # DEPENDENCYPART_ARC
(4,5),0.496707 # DEPENDENCYPART_ARC
(4,6),-0.622304 # DEPENDENCYPART_ARC
(4,7),-1.32145 # DEPENDENCYPART_ARC
(4,10),-2.27465 # DEPENDENCYPART_ARC
(4,11),-2.39239 # DEPENDENCYPART_ARC
(4,17),-2.7098 # DEPENDENCYPART_ARC
(5,4),-0.478226 # DEPENDENCYPART_ARC
(5,6),-0.669737 # DEPENDENCYPART_ARC
(5,10),-1.25276 # DEPENDENCYPART_ARC
(5,11),-1.89575 # DEPENDENCYPART_ARC
(5,14),-1.98711 # DEPENDENCYPART_ARC
(5,16),-1.80087 # DEPENDENCYPART_ARC
(5,22),-1.54688 # DEPENDENCYPART_ARC
(5,24),-2.65351 # DEPENDENCYPART_ARC
(10,1),-0.471035 # DEPENDENCYPART_ARC
(10,3),-1.63458 # DEPENDENCYPART_ARC
(10,4),-1.56176 # DEPENDENCYPART_ARC
(10,5),-1.33397 # DEPENDENCYPART_ARC
(10,6),-0.593712 # DEPENDENCYPART_ARC
(10,7),0.381406 # DEPENDENCYPART_ARC
(10,8),0.871249 # DEPENDENCYPART_ARC
(10,9),1.96466 # DEPENDENCYPART_ARC
(10,11),0.614254 # DEPENDENCYPART_ARC
(10,13),-0.0962181 # DEPENDENCYPART_ARC
(10,14),-0.532895 # DEPENDENCYPART_ARC
(10,15),-1.20354 # DEPENDENCYPART_ARC
(10,16),-0.766263 # DEPENDENCYPART_ARC
(10,17),-0.846313 # DEPENDENCYPART_ARC
(10,19),-1.28399 # DEPENDENCYPART_ARC
(10,21),-1.64672 # DEPENDENCYPART_ARC
(10,22),-0.812343 # DEPENDENCYPART_ARC
(10,23),-1.27578 # DEPENDENCYPART_ARC
(10,24),-2.04176 # DEPENDENCYPART_ARC
(10,25),-0.928339 # DEPENDENCYPART_ARC
(11,3),-2.9157 # DEPENDENCYPART_ARC
(11,7),-3.02826 # DEPENDENCYPART_ARC
(11,10),-0.801266 # DEPENDENCYPART_ARC
(11,12),-1.03861 # DEPENDENCYPART_ARC
(11,13),1.82059 # DEPENDENCYPART_ARC
(11,14),-1.32361 # DEPENDENCYPART_ARC
(11,15),-0.897385 # DEPENDENCYPART_ARC
(11,16),-1.17511 # DEPENDENCYPART_ARC
(11,17),-1.68886 # DEPENDENCYPART_ARC
(12,11),-0.779438 # DEPENDENCYPART_ARC
(12,14),-0.523558 # DEPENDENCYPART_ARC
(13,3),-4.67009 # DEPENDENCYPART_ARC
(13,4),-2.32914 # DEPENDENCYPART_ARC
(13,6),-2.56073 # DEPENDENCYPART_ARC
(13,10),-2.76751 # DEPENDENCYPART_ARC
(13,11),-1.71954 # DEPENDENCYPART_ARC
(13,12),0.779389 # DEPENDENCYPART_ARC
(13,14),0.81784 # DEPENDENCYPART_ARC
(13,15),-0.794715 # DEPENDENCYPART_ARC
(13,16),-0.883115 # DEPENDENCYPART_ARC
(13,17),-0.878867 # DEPENDENCYPART_ARC
(13,19),-1.55811 # DEPENDENCYPART_ARC
(13,21),-1.77079 # DEPENDENCYPART_ARC
(13,22),-0.81864 # DEPENDENCYPART_ARC
(13,23),-1.92591 # DEPENDENCYPART_ARC
(13,24),-2.14844 # DEPENDENCYPART_ARC
(14,3),-2.82845 # DEPENDENCYPART_ARC
(14,7),-2.76144 # DEPENDENCYPART_ARC
(14,12),-2.33823 # DEPENDENCYPART_ARC
(14,15),1.55932 # DEPENDENCYPART_ARC
(14,16),-1.00422 # DEPENDENCYPART_ARC
(14,17),-1.58838 # DEPENDENCYPART_ARC
(14,19),-2.26658 # DEPENDENCYPART_ARC
(14,22),-3.11181 # DEPENDENCYPART_ARC
(15,12),-2.70599 # DEPENDENCYPART_ARC
(15,16),-1.28059 # DEPENDENCYPART_ARC
(15,17),-1.55818 # DEPENDENCYPART_ARC
(15,19),-1.78924 # DEPENDENCYPART_ARC
(15,21),-2.16505 # DEPENDENCYPART_ARC
(15,22),-1.74221 # DEPENDENCYPART_ARC
(17,3),-2.103 # DEPENDENCYPART_ARC
(17,7),-2.54093 # DEPENDENCYPART_ARC
(17,10),-1.91246 # DEPENDENCYPART_ARC
(17,11),-1.93593 # DEPENDENCYPART_ARC
(17,14),-1.63923 # DEPENDENCYPART_ARC
(17,16),0.138888 # DEPENDENCYPART_ARC
(17,18),-1.73817 # DEPENDENCYPART_ARC
(17,19),1.18211 # DEPENDENCYPART_ARC
(17,21),-1.90687 # DEPENDENCYPART_ARC
(17,22),-2.53743 # DEPENDENCYPART_ARC
(17,23),-2.25562 # DEPENDENCYPART_ARC
(18,21),-1.56393 # DEPENDENCYPART_ARC
(18,23),-1.9552 # DEPENDENCYPART_ARC
(19,3),-2.45271 # DEPENDENCYPART_ARC
(19,10),-2.35228 # DEPENDENCYPART_ARC
(19,11),-1.43797 # DEPENDENCYPART_ARC
(19,14),-1.56153 # DEPENDENCYPART_ARC
(19,16),-1.34567 # DEPENDENCYPART_ARC
(19,17),-0.510642 # DEPENDENCYPART_ARC
(19,18),1.00569 # DEPENDENCYPART_ARC
(19,21),-1.02346 # DEPENDENCYPART_ARC
(19,22),-0.851615 # DEPENDENCYPART_ARC
(19,23),-2.04908 # DEPENDENCYPART_ARC
(19,24),-1.50536 # DEPENDENCYPART_ARC
(20,23),-1.94882 # DEPENDENCYPART_ARC
(21,22),-0.859143 # DEPENDENCYPART_ARC
(21,23),-1.88472 # DEPENDENCYPART_ARC
(21,24),-2.15055 # DEPENDENCYPART_ARC
(22,1),-0.771679 # DEPENDENCYPART_ARC
(22,3),-1.89022 # DEPENDENCYPART_ARC
(22,4),-1.70713 # DEPENDENCYPART_ARC
(22,6),-1.10804 # DEPENDENCYPART_ARC
(22,10),-1.21984 # DEPENDENCYPART_ARC
(22,11),-1.81548 # DEPENDENCYPART_ARC
(22,13),-1.0321 # DEPENDENCYPART_ARC
(22,14),-1.78216 # DEPENDENCYPART_ARC
(22,15),-1.51278 # DEPENDENCYPART_ARC
(22,16),-0.346681 # DEPENDENCYPART_ARC
(22,17),0.000323577 # DEPENDENCYPART_ARC
(22,19),-0.161468 # DEPENDENCYPART_ARC
(22,20),2.81363 # DEPENDENCYPART_ARC
(22,21),1.53412 # DEPENDENCYPART_ARC
(22,23),1.75929 # DEPENDENCYPART_ARC
(22,24),-0.634321 # DEPENDENCYPART_ARC
(22,25),-0.569431 # DEPENDENCYPART_ARC
(23,10),-3.26403 # DEPENDENCYPART_ARC
(23,21),-1.81137 # DEPENDENCYPART_ARC
(23,24),0.564398 # DEPENDENCYPART_ARC
(23,25),-0.993086 # DEPENDENCYPART_ARC
(24,14),-1.94949 # DEPENDENCYPART_ARC
(24,17),-2.12597 # DEPENDENCYPART_ARC
(24,23),-0.841524 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.373954 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.372584 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.373954 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.932159 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.936222 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.943571 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.104016 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.121559 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.126947 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.223783 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0458687 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0239773 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.214297 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0331937 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.012382 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0700936 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.000403551 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0709119 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0385284 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.214297 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0202387 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0588972 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0310524 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0236272 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0155077 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0156753 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.018293 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0145364 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0161701 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.101925 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00228973 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00436597 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.000210481 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00234324 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0630138 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0407236 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.101925 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0558938 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0607756 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0364416 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0436212 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0586783 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0115019 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.121865 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.073583 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00520335 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0303616 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0222649 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00435156 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.15738 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00188423 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.180877 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00520335 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.00912998 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.00461215 # DEPENDENCYPART_SIBL
