# _root_ Escolti , jo no vull anar a rentar -me les mans , vull anar a orinar .
#goldHeads=0,5,5,5,1,5,6,7,8,11,8,5,5,13,14,15,1,
#predictedHeads=5,1,5,5,0,5,6,7,8,11,8,5,5,13,14,15,5,
(0,1),-2.39592 # DEPENDENCYPART_ARC
(0,3),-5.44743 # DEPENDENCYPART_ARC
(0,5),-2.49463 # DEPENDENCYPART_ARC
(0,6),-3.69723 # DEPENDENCYPART_ARC
(0,8),-4.06066 # DEPENDENCYPART_ARC
(0,13),-1.75645 # DEPENDENCYPART_ARC
(0,14),-3.40392 # DEPENDENCYPART_ARC
(0,16),-3.66638 # DEPENDENCYPART_ARC
(1,2),0.173071 # DEPENDENCYPART_ARC
(1,3),-0.534429 # DEPENDENCYPART_ARC
(1,4),-0.958542 # DEPENDENCYPART_ARC
(1,5),-1.00833 # DEPENDENCYPART_ARC
(1,6),-1.39975 # DEPENDENCYPART_ARC
(1,7),-0.869939 # DEPENDENCYPART_ARC
(1,8),-1.74776 # DEPENDENCYPART_ARC
(1,9),-2.14493 # DEPENDENCYPART_ARC
(1,11),-1.3691 # DEPENDENCYPART_ARC
(1,12),-0.595387 # DEPENDENCYPART_ARC
(1,13),-2.17497 # DEPENDENCYPART_ARC
(1,14),-2.24635 # DEPENDENCYPART_ARC
(1,15),-1.74061 # DEPENDENCYPART_ARC
(1,16),-2.48378 # DEPENDENCYPART_ARC
(1,17),-2.20111 # DEPENDENCYPART_ARC
(3,2),-0.594236 # DEPENDENCYPART_ARC
(3,4),-0.354458 # DEPENDENCYPART_ARC
(3,5),-0.958485 # DEPENDENCYPART_ARC
(3,6),-1.47754 # DEPENDENCYPART_ARC
(3,7),-1.31591 # DEPENDENCYPART_ARC
(3,8),-1.88915 # DEPENDENCYPART_ARC
(3,12),-1.39876 # DEPENDENCYPART_ARC
(4,2),-1.5764 # DEPENDENCYPART_ARC
(5,1),-0.915036 # DEPENDENCYPART_ARC
(5,2),-0.456946 # DEPENDENCYPART_ARC
(5,3),0.819904 # DEPENDENCYPART_ARC
(5,4),0.92115 # DEPENDENCYPART_ARC
(5,6),0.899475 # DEPENDENCYPART_ARC
(5,7),-0.479465 # DEPENDENCYPART_ARC
(5,8),-0.986098 # DEPENDENCYPART_ARC
(5,9),-2.38349 # DEPENDENCYPART_ARC
(5,11),-1.84501 # DEPENDENCYPART_ARC
(5,12),-0.597966 # DEPENDENCYPART_ARC
(5,13),-0.855986 # DEPENDENCYPART_ARC
(5,14),-1.73837 # DEPENDENCYPART_ARC
(5,15),-1.90555 # DEPENDENCYPART_ARC
(5,16),-1.97126 # DEPENDENCYPART_ARC
(5,17),-2.10727 # DEPENDENCYPART_ARC
(6,1),-2.43953 # DEPENDENCYPART_ARC
(6,2),-2.06077 # DEPENDENCYPART_ARC
(6,3),-1.07202 # DEPENDENCYPART_ARC
(6,4),-0.751789 # DEPENDENCYPART_ARC
(6,5),0.609083 # DEPENDENCYPART_ARC
(6,7),1.05004 # DEPENDENCYPART_ARC
(6,8),-0.248713 # DEPENDENCYPART_ARC
(6,9),-1.27158 # DEPENDENCYPART_ARC
(6,11),-0.622563 # DEPENDENCYPART_ARC
(6,12),-0.550824 # DEPENDENCYPART_ARC
(6,13),-2.08737 # DEPENDENCYPART_ARC
(6,14),-1.25139 # DEPENDENCYPART_ARC
(6,15),-1.28292 # DEPENDENCYPART_ARC
(6,16),-1.97127 # DEPENDENCYPART_ARC
(6,17),-1.60292 # DEPENDENCYPART_ARC
(7,1),-2.09646 # DEPENDENCYPART_ARC
(7,5),-1.14196 # DEPENDENCYPART_ARC
(7,6),-0.530547 # DEPENDENCYPART_ARC
