# _root_ Aquesta primera edició de la Fira tindrà com_a escenari el municipi de l' Estany , però com en el cas de la Festa serà itinerant pels 10 municipis del Moianès , i se celebrarà sempre el primer cap de setmana de juny .
#goldHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,11,7,24,17,20,18,20,23,21,7,24,24,28,26,28,29,26,24,34,24,34,38,38,34,38,39,38,41,7,
#predictedHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,7,7,24,24,20,18,20,23,21,7,24,25,28,26,28,29,24,24,34,24,34,38,38,34,38,39,38,41,7,
(0,3),-5.35571 # DEPENDENCYPART_ARC
(0,7),-1.61396 # DEPENDENCYPART_ARC
(0,24),-3.58209 # DEPENDENCYPART_ARC
(1,2),-1.16868 # DEPENDENCYPART_ARC
(2,1),-0.603764 # DEPENDENCYPART_ARC
(2,4),-1.80366 # DEPENDENCYPART_ARC
(3,1),1.36778 # DEPENDENCYPART_ARC
(3,2),2.67713 # DEPENDENCYPART_ARC
(3,4),0.809874 # DEPENDENCYPART_ARC
(3,6),-0.877534 # DEPENDENCYPART_ARC
(3,7),-0.764342 # DEPENDENCYPART_ARC
(3,8),-1.0136 # DEPENDENCYPART_ARC
(3,11),-1.58863 # DEPENDENCYPART_ARC
(3,12),-1.98744 # DEPENDENCYPART_ARC
(3,14),-2.16869 # DEPENDENCYPART_ARC
(3,15),-1.03733 # DEPENDENCYPART_ARC
(3,16),-1.39107 # DEPENDENCYPART_ARC
(3,28),-3.24721 # DEPENDENCYPART_ARC
(3,38),-4.18315 # DEPENDENCYPART_ARC
(3,43),-3.01748 # DEPENDENCYPART_ARC
(4,3),-1.4782 # DEPENDENCYPART_ARC
(4,5),-1.59075 # DEPENDENCYPART_ARC
(4,6),1.30316 # DEPENDENCYPART_ARC
(4,7),-2.52429 # DEPENDENCYPART_ARC
(4,8),-1.81716 # DEPENDENCYPART_ARC
(4,11),-2.73428 # DEPENDENCYPART_ARC
(4,17),-1.10045 # DEPENDENCYPART_ARC
(4,18),-2.69512 # DEPENDENCYPART_ARC
(5,3),-1.76189 # DEPENDENCYPART_ARC
(5,4),-1.43794 # DEPENDENCYPART_ARC
(5,6),-1.04641 # DEPENDENCYPART_ARC
(6,4),-1.1922 # DEPENDENCYPART_ARC
(6,5),0.560698 # DEPENDENCYPART_ARC
(6,7),-1.52437 # DEPENDENCYPART_ARC
(6,8),-2.16969 # DEPENDENCYPART_ARC
(6,11),-2.27733 # DEPENDENCYPART_ARC
(6,12),-2.33616 # DEPENDENCYPART_ARC
(7,2),-1.51219 # DEPENDENCYPART_ARC
(7,3),-0.451213 # DEPENDENCYPART_ARC
(7,4),-0.774289 # DEPENDENCYPART_ARC
(7,5),-1.09517 # DEPENDENCYPART_ARC
(7,6),0.586446 # DEPENDENCYPART_ARC
(7,8),1.34483 # DEPENDENCYPART_ARC
(7,9),0.145338 # DEPENDENCYPART_ARC
(7,11),-0.258373 # DEPENDENCYPART_ARC
(7,12),-0.728342 # DEPENDENCYPART_ARC
(7,14),-1.0605 # DEPENDENCYPART_ARC
(7,15),-0.335913 # DEPENDENCYPART_ARC
(7,16),-0.00211967 # DEPENDENCYPART_ARC
(7,17),-1.63826 # DEPENDENCYPART_ARC
(7,18),-2.25761 # DEPENDENCYPART_ARC
(7,24),0.790074 # DEPENDENCYPART_ARC
(7,25),-2.07302 # DEPENDENCYPART_ARC
(7,26),-2.46385 # DEPENDENCYPART_ARC
(7,27),-1.92289 # DEPENDENCYPART_ARC
(7,28),-2.21751 # DEPENDENCYPART_ARC
(7,31),-0.51496 # DEPENDENCYPART_ARC
(7,32),-0.354605 # DEPENDENCYPART_ARC
(7,34),-1.3016 # DEPENDENCYPART_ARC
(7,42),-3.68197 # DEPENDENCYPART_ARC
(7,43),0.0530776 # DEPENDENCYPART_ARC
(8,5),-2.83209 # DEPENDENCYPART_ARC
(8,9),2.43711 # DEPENDENCYPART_ARC
(8,11),-1.34852 # DEPENDENCYPART_ARC
(8,12),-2.24823 # DEPENDENCYPART_ARC
(8,15),-1.57763 # DEPENDENCYPART_ARC
(8,16),-1.66541 # DEPENDENCYPART_ARC
(8,17),-1.23431 # DEPENDENCYPART_ARC
(8,18),-2.10559 # DEPENDENCYPART_ARC
(9,3),-3.46933 # DEPENDENCYPART_ARC
(9,4),-2.31746 # DEPENDENCYPART_ARC
(9,5),-3.15115 # DEPENDENCYPART_ARC
(9,8),-1.19695 # DEPENDENCYPART_ARC
(9,11),-0.84632 # DEPENDENCYPART_ARC
(9,12),-0.840486 # DEPENDENCYPART_ARC
(10,8),-1.86093 # DEPENDENCYPART_ARC
(10,12),-1.22319 # DEPENDENCYPART_ARC
(10,13),-1.57977 # DEPENDENCYPART_ARC
(11,3),-2.66554 # DEPENDENCYPART_ARC
(11,4),-1.34786 # DEPENDENCYPART_ARC
(11,5),-3.57135 # DEPENDENCYPART_ARC
(11,7),-2.50631 # DEPENDENCYPART_ARC
(11,8),-1.29424 # DEPENDENCYPART_ARC
(11,9),-1.42477 # DEPENDENCYPART_ARC
(11,10),1.46002 # DEPENDENCYPART_ARC
(11,12),0.655656 # DEPENDENCYPART_ARC
(11,14),-0.841657 # DEPENDENCYPART_ARC
(11,15),-0.680261 # DEPENDENCYPART_ARC
(11,16),-1.16178 # DEPENDENCYPART_ARC
(11,17),-1.74599 # DEPENDENCYPART_ARC
(11,18),-2.38031 # DEPENDENCYPART_ARC
(11,20),-1.63795 # DEPENDENCYPART_ARC
(11,21),-1.95121 # DEPENDENCYPART_ARC
(11,23),-2.52136 # DEPENDENCYPART_ARC
(11,24),-1.7368 # DEPENDENCYPART_ARC
(11,25),-2.07551 # DEPENDENCYPART_ARC
(11,27),-2.55148 # DEPENDENCYPART_ARC
(11,28),-3.07907 # DEPENDENCYPART_ARC
(11,29),-2.71949 # DEPENDENCYPART_ARC
(11,34),-1.73963 # DEPENDENCYPART_ARC
(11,38),-4.02662 # DEPENDENCYPART_ARC
(12,10),-2.12053 # DEPENDENCYPART_ARC
(12,11),-1.52683 # DEPENDENCYPART_ARC
(12,13),-0.989716 # DEPENDENCYPART_ARC
(12,14),1.6063 # DEPENDENCYPART_ARC
(12,15),-1.01296 # DEPENDENCYPART_ARC
(12,16),-1.28243 # DEPENDENCYPART_ARC
(12,17),-0.938763 # DEPENDENCYPART_ARC
(12,18),-1.3683 # DEPENDENCYPART_ARC
(12,21),-2.22889 # DEPENDENCYPART_ARC
(13,11),-1.66348 # DEPENDENCYPART_ARC
(14,3),-2.57079 # DEPENDENCYPART_ARC
(14,8),-1.71226 # DEPENDENCYPART_ARC
(14,10),-2.79641 # DEPENDENCYPART_ARC
(14,13),0.870744 # DEPENDENCYPART_ARC
(14,15),-0.772641 # DEPENDENCYPART_ARC
(14,16),-1.51115 # DEPENDENCYPART_ARC
(14,17),-1.84551 # DEPENDENCYPART_ARC
(16,15),-0.79866 # DEPENDENCYPART_ARC
(17,16),-0.85203 # DEPENDENCYPART_ARC
(17,18),-0.280057 # DEPENDENCYPART_ARC
(17,20),-1.07489 # DEPENDENCYPART_ARC
(17,21),-1.39859 # DEPENDENCYPART_ARC
(17,24),-1.29903 # DEPENDENCYPART_ARC
(17,26),-1.68168 # DEPENDENCYPART_ARC
(17,31),-1.56265 # DEPENDENCYPART_ARC
(17,32),-0.954239 # DEPENDENCYPART_ARC
(17,43),-1.09524 # DEPENDENCYPART_ARC
(18,7),-1.82111 # DEPENDENCYPART_ARC
(18,15),-2.34096 # DEPENDENCYPART_ARC
(18,16),-1.61696 # DEPENDENCYPART_ARC
(18,17),-0.832775 # DEPENDENCYPART_ARC
(18,19),-1.08442 # DEPENDENCYPART_ARC
(18,20),1.9035 # DEPENDENCYPART_ARC
(18,21),-0.852298 # DEPENDENCYPART_ARC
(18,23),-0.636023 # DEPENDENCYPART_ARC
(18,24),-2.16189 # DEPENDENCYPART_ARC
(18,25),-1.72879 # DEPENDENCYPART_ARC
(18,26),-1.69453 # DEPENDENCYPART_ARC
(18,31),-0.771478 # DEPENDENCYPART_ARC
(18,32),-1.53216 # DEPENDENCYPART_ARC
(19,20),-0.308382 # DEPENDENCYPART_ARC
(19,21),-0.955522 # DEPENDENCYPART_ARC
(19,22),-1.33308 # DEPENDENCYPART_ARC
(20,7),-2.51773 # DEPENDENCYPART_ARC
(20,12),-1.82044 # DEPENDENCYPART_ARC
(20,17),-1.9373 # DEPENDENCYPART_ARC
(20,19),0.878304 # DEPENDENCYPART_ARC
(20,21),0.703063 # DEPENDENCYPART_ARC
(20,23),-0.828171 # DEPENDENCYPART_ARC
(20,24),-0.946864 # DEPENDENCYPART_ARC
(20,25),-0.94118 # DEPENDENCYPART_ARC
(20,26),-0.979183 # DEPENDENCYPART_ARC
(20,27),-1.94979 # DEPENDENCYPART_ARC
(20,28),-1.96147 # DEPENDENCYPART_ARC
(20,29),-1.36202 # DEPENDENCYPART_ARC
(20,34),-1.50328 # DEPENDENCYPART_ARC
(20,35),-2.14122 # DEPENDENCYPART_ARC
(20,38),-2.39643 # DEPENDENCYPART_ARC
(21,19),-1.90076 # DEPENDENCYPART_ARC
(21,22),-1.51461 # DEPENDENCYPART_ARC
(21,23),1.37848 # DEPENDENCYPART_ARC
(21,24),-2.41629 # DEPENDENCYPART_ARC
(21,25),-1.64616 # DEPENDENCYPART_ARC
(21,27),-2.30203 # DEPENDENCYPART_ARC
(21,28),-2.17409 # DEPENDENCYPART_ARC
(22,21),-1.43535 # DEPENDENCYPART_ARC
(22,23),-1.02693 # DEPENDENCYPART_ARC
(23,19),-3.1243 # DEPENDENCYPART_ARC
(23,22),0.627761 # DEPENDENCYPART_ARC
(23,24),-1.59368 # DEPENDENCYPART_ARC
(23,25),-1.4335 # DEPENDENCYPART_ARC
(23,29),-2.42004 # DEPENDENCYPART_ARC
(24,3),-1.67906 # DEPENDENCYPART_ARC
(24,6),-1.62888 # DEPENDENCYPART_ARC
(24,7),-2.52092 # DEPENDENCYPART_ARC
(24,8),-1.60513 # DEPENDENCYPART_ARC
(24,11),-1.28172 # DEPENDENCYPART_ARC
(24,14),-1.80085 # DEPENDENCYPART_ARC
(24,15),-1.572 # DEPENDENCYPART_ARC
(24,16),-0.397552 # DEPENDENCYPART_ARC
(24,17),-0.0533837 # DEPENDENCYPART_ARC
(24,18),-0.267345 # DEPENDENCYPART_ARC
(24,19),-2.97615 # DEPENDENCYPART_ARC
(24,20),-0.24428 # DEPENDENCYPART_ARC
(24,21),-0.902412 # DEPENDENCYPART_ARC
(24,22),-1.20967 # DEPENDENCYPART_ARC
(24,23),0.5381 # DEPENDENCYPART_ARC
(24,25),1.84279 # DEPENDENCYPART_ARC
(24,26),-0.227277 # DEPENDENCYPART_ARC
(24,27),-1.23954 # DEPENDENCYPART_ARC
(24,28),-0.165573 # DEPENDENCYPART_ARC
(24,29),-0.839211 # DEPENDENCYPART_ARC
(24,30),-1.4117 # DEPENDENCYPART_ARC
(24,31),-0.271824 # DEPENDENCYPART_ARC
(24,32),0.125555 # DEPENDENCYPART_ARC
(24,34),0.318829 # DEPENDENCYPART_ARC
(24,35),-2.17383 # DEPENDENCYPART_ARC
(24,38),-1.90113 # DEPENDENCYPART_ARC
(24,42),-2.3573 # DEPENDENCYPART_ARC
(24,43),0.393426 # DEPENDENCYPART_ARC
(25,18),-1.53791 # DEPENDENCYPART_ARC
(25,21),-1.46415 # DEPENDENCYPART_ARC
(25,22),-2.04224 # DEPENDENCYPART_ARC
(25,24),-1.42369 # DEPENDENCYPART_ARC
(25,26),0.456963 # DEPENDENCYPART_ARC
(25,27),-1.38963 # DEPENDENCYPART_ARC
(25,28),-1.87511 # DEPENDENCYPART_ARC
(25,29),-1.63688 # DEPENDENCYPART_ARC
(25,30),-1.71477 # DEPENDENCYPART_ARC
(25,31),-1.21688 # DEPENDENCYPART_ARC
(25,32),-1.19407 # DEPENDENCYPART_ARC
(25,34),-1.84468 # DEPENDENCYPART_ARC
(25,35),-2.09726 # DEPENDENCYPART_ARC
(25,38),-2.63578 # DEPENDENCYPART_ARC
(26,22),-2.36522 # DEPENDENCYPART_ARC
(26,25),-1.69172 # DEPENDENCYPART_ARC
(26,27),0.0528116 # DEPENDENCYPART_ARC
(26,28),1.49265 # DEPENDENCYPART_ARC
(26,29),-1.11115 # DEPENDENCYPART_ARC
(26,30),-1.45749 # DEPENDENCYPART_ARC
(26,31),-0.754559 # DEPENDENCYPART_ARC
(26,32),-1.14557 # DEPENDENCYPART_ARC
(26,34),-3.10683 # DEPENDENCYPART_ARC
(26,41),-3.13523 # DEPENDENCYPART_ARC
(27,26),-1.13675 # DEPENDENCYPART_ARC
(27,28),-0.722045 # DEPENDENCYPART_ARC
(27,29),-1.11113 # DEPENDENCYPART_ARC
(27,32),-1.24016 # DEPENDENCYPART_ARC
(27,34),-1.72191 # DEPENDENCYPART_ARC
