# _root_ Més de 200 grups de cristians de base promouen la celebració d' un sínode alternatiu , l' Assemblea_del_Poble_de_Déu , que se celebrarà del 4 al 7_d'_octubre a la Universitat_Protestant_de_Teologia_de_Roma .
#goldHeads=2,4,2,9,4,5,4,7,0,11,9,11,14,12,14,18,18,14,18,22,22,11,24,22,24,24,22,29,27,9,
#predictedHeads=2,4,2,9,4,5,4,7,0,11,9,11,14,12,14,18,18,14,22,22,22,18,24,22,24,24,22,29,27,9,
(0,1),-3.89268 # DEPENDENCYPART_ARC
(0,2),-4.52429 # DEPENDENCYPART_ARC
(0,3),-4.56396 # DEPENDENCYPART_ARC
(0,4),-4.92428 # DEPENDENCYPART_ARC
(0,9),-1.22814 # DEPENDENCYPART_ARC
(0,22),-2.10259 # DEPENDENCYPART_ARC
(1,2),-0.0414658 # DEPENDENCYPART_ARC
(1,3),-0.734577 # DEPENDENCYPART_ARC
(1,4),-1.62829 # DEPENDENCYPART_ARC
(1,5),-1.82695 # DEPENDENCYPART_ARC
(1,7),-2.1696 # DEPENDENCYPART_ARC
(1,9),-1.83264 # DEPENDENCYPART_ARC
(1,16),-1.25297 # DEPENDENCYPART_ARC
(1,19),-1.73967 # DEPENDENCYPART_ARC
(2,1),0.534834 # DEPENDENCYPART_ARC
(2,3),0.700961 # DEPENDENCYPART_ARC
(2,4),0.388955 # DEPENDENCYPART_ARC
(2,5),-1.30032 # DEPENDENCYPART_ARC
(2,6),-1.39188 # DEPENDENCYPART_ARC
(2,7),-1.73274 # DEPENDENCYPART_ARC
(2,16),-1.797 # DEPENDENCYPART_ARC
(2,19),-2.00976 # DEPENDENCYPART_ARC
(3,1),-0.70584 # DEPENDENCYPART_ARC
(3,2),-0.25505 # DEPENDENCYPART_ARC
(3,4),-0.899506 # DEPENDENCYPART_ARC
(3,5),-1.20562 # DEPENDENCYPART_ARC
(3,7),-1.57865 # DEPENDENCYPART_ARC
(3,9),-1.75599 # DEPENDENCYPART_ARC
(3,18),-2.65784 # DEPENDENCYPART_ARC
(4,1),-1.11924 # DEPENDENCYPART_ARC
(4,2),-0.496463 # DEPENDENCYPART_ARC
(4,3),1.02594 # DEPENDENCYPART_ARC
(4,5),1.23542 # DEPENDENCYPART_ARC
(4,6),0.302042 # DEPENDENCYPART_ARC
(4,7),0.00187103 # DEPENDENCYPART_ARC
(4,8),-1.32217 # DEPENDENCYPART_ARC
(4,9),-0.805095 # DEPENDENCYPART_ARC
(4,11),-1.91617 # DEPENDENCYPART_ARC
(4,12),-1.70268 # DEPENDENCYPART_ARC
(4,15),-2.18796 # DEPENDENCYPART_ARC
(4,16),-1.06276 # DEPENDENCYPART_ARC
(4,18),-2.78343 # DEPENDENCYPART_ARC
(4,19),-1.22977 # DEPENDENCYPART_ARC
(4,22),-1.16907 # DEPENDENCYPART_ARC
(4,30),-2.50044 # DEPENDENCYPART_ARC
(5,1),-1.8019 # DEPENDENCYPART_ARC
(5,3),-2.02935 # DEPENDENCYPART_ARC
(5,6),2.42473 # DEPENDENCYPART_ARC
(5,7),-1.04223 # DEPENDENCYPART_ARC
(5,8),-0.349642 # DEPENDENCYPART_ARC
(5,9),-2.43461 # DEPENDENCYPART_ARC
(6,1),-1.90976 # DEPENDENCYPART_ARC
(6,2),-1.61361 # DEPENDENCYPART_ARC
(6,3),-1.11806 # DEPENDENCYPART_ARC
(6,4),-1.65793 # DEPENDENCYPART_ARC
(6,5),-0.467208 # DEPENDENCYPART_ARC
(6,7),0.870298 # DEPENDENCYPART_ARC
(6,8),-0.875799 # DEPENDENCYPART_ARC
(6,9),-0.707665 # DEPENDENCYPART_ARC
(6,11),-1.7818 # DEPENDENCYPART_ARC
(6,12),-1.3344 # DEPENDENCYPART_ARC
(6,15),-2.18464 # DEPENDENCYPART_ARC
(6,18),-2.63671 # DEPENDENCYPART_ARC
(6,22),-1.39186 # DEPENDENCYPART_ARC
(6,30),-2.83425 # DEPENDENCYPART_ARC
(7,5),-1.20581 # DEPENDENCYPART_ARC
(7,8),2.44057 # DEPENDENCYPART_ARC
(7,9),-1.46397 # DEPENDENCYPART_ARC
(8,2),-2.31094 # DEPENDENCYPART_ARC
(8,3),-1.65164 # DEPENDENCYPART_ARC
(8,5),-2.0698 # DEPENDENCYPART_ARC
(8,7),-0.806791 # DEPENDENCYPART_ARC
(8,9),-1.32158 # DEPENDENCYPART_ARC
(8,12),-1.31039 # DEPENDENCYPART_ARC
(8,18),-2.74352 # DEPENDENCYPART_ARC
(8,22),-1.39593 # DEPENDENCYPART_ARC
(9,1),-1.65137 # DEPENDENCYPART_ARC
(9,2),-1.54379 # DEPENDENCYPART_ARC
(9,3),-1.50137 # DEPENDENCYPART_ARC
(9,4),-0.388009 # DEPENDENCYPART_ARC
(9,5),-1.13567 # DEPENDENCYPART_ARC
(9,6),-0.230535 # DEPENDENCYPART_ARC
(9,7),-0.559739 # DEPENDENCYPART_ARC
(9,8),-0.224089 # DEPENDENCYPART_ARC
(9,11),1.00868 # DEPENDENCYPART_ARC
(9,12),-0.0800934 # DEPENDENCYPART_ARC
(9,14),-0.651459 # DEPENDENCYPART_ARC
(9,15),-2.05193 # DEPENDENCYPART_ARC
(9,16),-0.740226 # DEPENDENCYPART_ARC
(9,18),-1.20232 # DEPENDENCYPART_ARC
(9,19),-0.95868 # DEPENDENCYPART_ARC
(9,22),-1.23378 # DEPENDENCYPART_ARC
(9,24),-1.93114 # DEPENDENCYPART_ARC
(9,25),-1.74476 # DEPENDENCYPART_ARC
(9,26),-1.98362 # DEPENDENCYPART_ARC
(9,27),-1.70691 # DEPENDENCYPART_ARC
(9,29),-1.85213 # DEPENDENCYPART_ARC
(9,30),-0.123728 # DEPENDENCYPART_ARC
