# _root_ ' Carpe_Diem ' és un homenatge a la vida : ' aprofita el temps al màxim , que la vida sigui extraordinària , que cada moment sigui únic ' .
#goldHeads=2,4,2,0,6,4,6,9,7,12,12,6,14,12,12,15,12,21,20,21,12,21,12,27,26,27,12,27,12,4,
#predictedHeads=2,4,2,0,6,4,6,9,7,12,12,4,14,12,12,15,21,21,20,21,12,21,27,27,26,27,21,27,12,4,
(0,2),-4.24207 # DEPENDENCYPART_ARC
(0,4),-1.13367 # DEPENDENCYPART_ARC
(0,12),-0.750992 # DEPENDENCYPART_ARC
(0,21),-3.67294 # DEPENDENCYPART_ARC
(0,27),-4.15368 # DEPENDENCYPART_ARC
(2,1),1.18754 # DEPENDENCYPART_ARC
(2,3),1.03256 # DEPENDENCYPART_ARC
(2,4),-1.2789 # DEPENDENCYPART_ARC
(2,6),-1.6963 # DEPENDENCYPART_ARC
(2,7),-1.77454 # DEPENDENCYPART_ARC
(2,12),-2.17666 # DEPENDENCYPART_ARC
(2,14),-2.66491 # DEPENDENCYPART_ARC
(2,17),-1.0146 # DEPENDENCYPART_ARC
(2,23),-1.20085 # DEPENDENCYPART_ARC
(2,30),-3.09702 # DEPENDENCYPART_ARC
(4,1),0.415085 # DEPENDENCYPART_ARC
(4,2),-0.0117697 # DEPENDENCYPART_ARC
(4,3),0.947259 # DEPENDENCYPART_ARC
(4,6),1.0307 # DEPENDENCYPART_ARC
(4,7),0.404463 # DEPENDENCYPART_ARC
(4,9),-0.228403 # DEPENDENCYPART_ARC
(4,10),-0.243049 # DEPENDENCYPART_ARC
(4,11),-0.188013 # DEPENDENCYPART_ARC
(4,12),-0.558194 # DEPENDENCYPART_ARC
(4,14),-2.02633 # DEPENDENCYPART_ARC
(4,15),-0.839627 # DEPENDENCYPART_ARC
(4,17),-0.775697 # DEPENDENCYPART_ARC
(4,18),-2.07437 # DEPENDENCYPART_ARC
(4,20),-2.09728 # DEPENDENCYPART_ARC
(4,21),-1.41734 # DEPENDENCYPART_ARC
(4,22),-1.71189 # DEPENDENCYPART_ARC
(4,23),-1.06176 # DEPENDENCYPART_ARC
(4,26),-2.59635 # DEPENDENCYPART_ARC
(4,27),-1.94007 # DEPENDENCYPART_ARC
(4,28),-2.24943 # DEPENDENCYPART_ARC
(4,29),-1.7441 # DEPENDENCYPART_ARC
(4,30),-0.747505 # DEPENDENCYPART_ARC
(5,6),0.171663 # DEPENDENCYPART_ARC
(5,7),-0.730006 # DEPENDENCYPART_ARC
(6,3),-1.01644 # DEPENDENCYPART_ARC
(6,4),-0.807923 # DEPENDENCYPART_ARC
(6,5),1.51466 # DEPENDENCYPART_ARC
(6,7),0.3426 # DEPENDENCYPART_ARC
(6,9),-0.505631 # DEPENDENCYPART_ARC
(6,10),-0.958286 # DEPENDENCYPART_ARC
(6,11),-1.29455 # DEPENDENCYPART_ARC
(6,12),-1.22645 # DEPENDENCYPART_ARC
(6,14),-1.67303 # DEPENDENCYPART_ARC
(6,15),-1.12494 # DEPENDENCYPART_ARC
(6,17),-1.12782 # DEPENDENCYPART_ARC
(6,18),-1.55996 # DEPENDENCYPART_ARC
(6,20),-2.51997 # DEPENDENCYPART_ARC
(6,21),-2.08024 # DEPENDENCYPART_ARC
(6,22),-3.24169 # DEPENDENCYPART_ARC
(6,24),-1.91121 # DEPENDENCYPART_ARC
(6,26),-3.15733 # DEPENDENCYPART_ARC
(6,30),-3.09523 # DEPENDENCYPART_ARC
(7,4),-1.46901 # DEPENDENCYPART_ARC
(7,5),-2.35726 # DEPENDENCYPART_ARC
(7,6),-1.70043 # DEPENDENCYPART_ARC
(7,9),2.24839 # DEPENDENCYPART_ARC
(7,11),-1.60505 # DEPENDENCYPART_ARC
(7,12),-2.26165 # DEPENDENCYPART_ARC
(8,6),-2.03163 # DEPENDENCYPART_ARC
(8,7),-1.612 # DEPENDENCYPART_ARC
(9,4),-2.74491 # DEPENDENCYPART_ARC
(9,5),-2.75279 # DEPENDENCYPART_ARC
(9,6),-2.4864 # DEPENDENCYPART_ARC
(9,7),-1.54522 # DEPENDENCYPART_ARC
(9,8),1.73964 # DEPENDENCYPART_ARC
(9,10),-1.57047 # DEPENDENCYPART_ARC
(9,11),-2.09004 # DEPENDENCYPART_ARC
(9,12),-1.70896 # DEPENDENCYPART_ARC
(9,14),-2.6095 # DEPENDENCYPART_ARC
(9,18),-2.2796 # DEPENDENCYPART_ARC
(10,15),-2.02725 # DEPENDENCYPART_ARC
(12,1),-1.48791 # DEPENDENCYPART_ARC
(12,2),-1.55737 # DEPENDENCYPART_ARC
(12,3),-1.90235 # DEPENDENCYPART_ARC
(12,4),-1.17034 # DEPENDENCYPART_ARC
(12,6),-1.07628 # DEPENDENCYPART_ARC
(12,7),-1.29223 # DEPENDENCYPART_ARC
