# _root_ On hi ha varietat de flora , però , el Seneci_del_Cap és rebutjat tant pels animals de pastura com per les abelles .
#goldHeads=3,3,13,3,4,5,8,13,8,11,13,13,0,15,13,15,16,17,15,15,22,20,13,
#predictedHeads=3,3,0,3,4,5,8,3,8,11,13,13,0,15,13,15,16,17,15,15,22,20,13,
(0,3),-1.70505 # DEPENDENCYPART_ARC
(0,4),-5.20302 # DEPENDENCYPART_ARC
(0,12),-1.04081 # DEPENDENCYPART_ARC
(0,13),-2.47869 # DEPENDENCYPART_ARC
(1,4),-1.52328 # DEPENDENCYPART_ARC
(1,5),-1.22892 # DEPENDENCYPART_ARC
(2,4),-2.15897 # DEPENDENCYPART_ARC
(2,5),-2.08182 # DEPENDENCYPART_ARC
(2,9),-2.04153 # DEPENDENCYPART_ARC
(3,1),-0.162106 # DEPENDENCYPART_ARC
(3,2),1.02703 # DEPENDENCYPART_ARC
(3,4),1.17562 # DEPENDENCYPART_ARC
(3,5),-1.34963 # DEPENDENCYPART_ARC
(3,6),-1.62209 # DEPENDENCYPART_ARC
(3,7),-1.46972 # DEPENDENCYPART_ARC
(3,8),-1.67792 # DEPENDENCYPART_ARC
(3,9),-1.79059 # DEPENDENCYPART_ARC
(3,12),-1.45324 # DEPENDENCYPART_ARC
(3,13),-2.78195 # DEPENDENCYPART_ARC
(3,15),-3.02433 # DEPENDENCYPART_ARC
(3,20),-3.95189 # DEPENDENCYPART_ARC
(3,23),-2.50044 # DEPENDENCYPART_ARC
(4,1),-2.40442 # DEPENDENCYPART_ARC
(4,2),-0.078076 # DEPENDENCYPART_ARC
(4,3),-1.65796 # DEPENDENCYPART_ARC
(4,5),1.34533 # DEPENDENCYPART_ARC
(4,6),0.069183 # DEPENDENCYPART_ARC
(4,7),-0.691753 # DEPENDENCYPART_ARC
(4,8),-1.26759 # DEPENDENCYPART_ARC
(4,9),-0.839239 # DEPENDENCYPART_ARC
(4,11),-1.3911 # DEPENDENCYPART_ARC
(4,12),-1.11175 # DEPENDENCYPART_ARC
(4,13),-1.45033 # DEPENDENCYPART_ARC
(4,14),-1.76681 # DEPENDENCYPART_ARC
(4,15),-1.78532 # DEPENDENCYPART_ARC
(4,17),-2.20602 # DEPENDENCYPART_ARC
(4,20),-2.37513 # DEPENDENCYPART_ARC
(4,23),-2.18263 # DEPENDENCYPART_ARC
(5,6),2.63703 # DEPENDENCYPART_ARC
(5,7),-1.26055 # DEPENDENCYPART_ARC
(5,8),-1.65199 # DEPENDENCYPART_ARC
(5,9),-1.51496 # DEPENDENCYPART_ARC
(5,11),-1.99375 # DEPENDENCYPART_ARC
(5,12),-3.32524 # DEPENDENCYPART_ARC
(5,13),-2.33622 # DEPENDENCYPART_ARC
(5,15),-2.14105 # DEPENDENCYPART_ARC
(5,19),-1.2183 # DEPENDENCYPART_ARC
(6,2),-0.458378 # DEPENDENCYPART_ARC
(6,3),-2.68917 # DEPENDENCYPART_ARC
(6,5),-0.737889 # DEPENDENCYPART_ARC
(6,7),-1.04829 # DEPENDENCYPART_ARC
(6,8),-1.60112 # DEPENDENCYPART_ARC
(6,9),-1.08394 # DEPENDENCYPART_ARC
(6,11),-1.65009 # DEPENDENCYPART_ARC
(6,12),-1.29765 # DEPENDENCYPART_ARC
(6,13),-1.71407 # DEPENDENCYPART_ARC
(8,5),-1.77025 # DEPENDENCYPART_ARC
(8,6),-1.7038 # DEPENDENCYPART_ARC
(8,7),0.192263 # DEPENDENCYPART_ARC
(8,9),0.951436 # DEPENDENCYPART_ARC
(8,11),-2.01109 # DEPENDENCYPART_ARC
(8,12),-1.79574 # DEPENDENCYPART_ARC
(8,13),-2.12953 # DEPENDENCYPART_ARC
(8,14),-2.29694 # DEPENDENCYPART_ARC
(8,15),-2.58196 # DEPENDENCYPART_ARC
(8,23),-1.7 # DEPENDENCYPART_ARC
(9,7),-1.57122 # DEPENDENCYPART_ARC
(10,8),-2.06778 # DEPENDENCYPART_ARC
(10,11),-1.62974 # DEPENDENCYPART_ARC
(11,4),-2.55282 # DEPENDENCYPART_ARC
(11,5),-1.98538 # DEPENDENCYPART_ARC
(11,7),-2.45735 # DEPENDENCYPART_ARC
(11,8),-1.63575 # DEPENDENCYPART_ARC
(11,9),-1.28 # DEPENDENCYPART_ARC
(11,10),1.00702 # DEPENDENCYPART_ARC
(11,12),-1.79225 # DEPENDENCYPART_ARC
(11,13),-2.54274 # DEPENDENCYPART_ARC
(11,14),-2.13994 # DEPENDENCYPART_ARC
(11,15),-2.59611 # DEPENDENCYPART_ARC
(12,1),-2.0572 # DEPENDENCYPART_ARC
(12,2),-2.91155 # DEPENDENCYPART_ARC
(12,3),-2.36889 # DEPENDENCYPART_ARC
(12,4),-1.94214 # DEPENDENCYPART_ARC
(12,7),-2.02919 # DEPENDENCYPART_ARC
(12,8),-1.21381 # DEPENDENCYPART_ARC
(12,9),-1.39807 # DEPENDENCYPART_ARC
(12,10),-2.02239 # DEPENDENCYPART_ARC
(12,11),-0.385608 # DEPENDENCYPART_ARC
(12,13),0.483936 # DEPENDENCYPART_ARC
(12,14),-0.985328 # DEPENDENCYPART_ARC
(12,15),-1.0901 # DEPENDENCYPART_ARC
(12,16),-1.59633 # DEPENDENCYPART_ARC
(12,17),-1.55153 # DEPENDENCYPART_ARC
(12,19),-1.66018 # DEPENDENCYPART_ARC
(12,20),-2.06469 # DEPENDENCYPART_ARC
(12,23),-0.027375 # DEPENDENCYPART_ARC
(13,1),-1.7996 # DEPENDENCYPART_ARC
(13,2),-2.03777 # DEPENDENCYPART_ARC
(13,3),-1.48265 # DEPENDENCYPART_ARC
