# _root_ ' Si fa falta un estudi , que no vingui a_canvi_de vendre l' aigua ' perquè ' aquest estudi arribarà tard ' , ha dit Castellà .
#goldHeads=10,3,10,3,6,3,3,10,10,25,10,11,14,12,10,20,20,19,20,10,20,20,10,25,0,25,25,
#predictedHeads=3,3,25,3,6,4,10,10,10,3,10,11,14,12,20,20,20,19,20,25,20,20,20,25,0,25,25,
(0,2),-4.29732 # DEPENDENCYPART_ARC
(0,3),-2.28833 # DEPENDENCYPART_ARC
(0,4),-5.14623 # DEPENDENCYPART_ARC
(0,10),-4.4101 # DEPENDENCYPART_ARC
(0,12),-5.11333 # DEPENDENCYPART_ARC
(0,20),-2.99944 # DEPENDENCYPART_ARC
(0,24),-3.62198 # DEPENDENCYPART_ARC
(0,25),-1.86769 # DEPENDENCYPART_ARC
(2,3),-0.454666 # DEPENDENCYPART_ARC
(2,4),-1.44449 # DEPENDENCYPART_ARC
(2,6),-2.37144 # DEPENDENCYPART_ARC
(2,7),-1.47425 # DEPENDENCYPART_ARC
(2,8),-1.27104 # DEPENDENCYPART_ARC
(2,11),-2.09387 # DEPENDENCYPART_ARC
(2,16),-1.46876 # DEPENDENCYPART_ARC
(2,23),-1.81675 # DEPENDENCYPART_ARC
(2,27),-1.70129 # DEPENDENCYPART_ARC
(3,1),-0.66622 # DEPENDENCYPART_ARC
(3,2),0.633442 # DEPENDENCYPART_ARC
(3,4),0.660738 # DEPENDENCYPART_ARC
(3,6),-1.63143 # DEPENDENCYPART_ARC
(3,7),-1.04651 # DEPENDENCYPART_ARC
(3,8),-1.98586 # DEPENDENCYPART_ARC
(3,9),-2.52682 # DEPENDENCYPART_ARC
(3,10),-0.775801 # DEPENDENCYPART_ARC
(3,11),-1.90001 # DEPENDENCYPART_ARC
(3,12),-2.10389 # DEPENDENCYPART_ARC
(3,15),-1.82468 # DEPENDENCYPART_ARC
(3,16),-2.47794 # DEPENDENCYPART_ARC
(3,20),-1.85166 # DEPENDENCYPART_ARC
(3,22),-2.49357 # DEPENDENCYPART_ARC
(3,23),-1.51393 # DEPENDENCYPART_ARC
(3,25),-3.26333 # DEPENDENCYPART_ARC
(3,27),-3.7236 # DEPENDENCYPART_ARC
(4,1),-1.66524 # DEPENDENCYPART_ARC
(4,2),-1.33987 # DEPENDENCYPART_ARC
(4,3),-0.684438 # DEPENDENCYPART_ARC
(4,5),-1.1841 # DEPENDENCYPART_ARC
(4,6),-0.498737 # DEPENDENCYPART_ARC
(4,7),-0.889035 # DEPENDENCYPART_ARC
(4,8),-1.45931 # DEPENDENCYPART_ARC
(4,10),-1.20837 # DEPENDENCYPART_ARC
(4,15),-1.8737 # DEPENDENCYPART_ARC
(5,6),-0.82426 # DEPENDENCYPART_ARC
(6,2),-2.04057 # DEPENDENCYPART_ARC
(6,3),-1.44209 # DEPENDENCYPART_ARC
(6,4),-1.56008 # DEPENDENCYPART_ARC
(6,5),1.64676 # DEPENDENCYPART_ARC
(6,7),-0.506244 # DEPENDENCYPART_ARC
(6,8),-1.6749 # DEPENDENCYPART_ARC
(6,10),-1.43931 # DEPENDENCYPART_ARC
(6,12),-1.99679 # DEPENDENCYPART_ARC
(6,14),-2.17997 # DEPENDENCYPART_ARC
(6,15),-1.85483 # DEPENDENCYPART_ARC
(6,17),-2.26255 # DEPENDENCYPART_ARC
(6,19),-2.83392 # DEPENDENCYPART_ARC
(6,21),-2.45 # DEPENDENCYPART_ARC
(6,27),-3.08204 # DEPENDENCYPART_ARC
(7,6),-1.67813 # DEPENDENCYPART_ARC
(8,7),-1.28911 # DEPENDENCYPART_ARC
(8,10),-1.97805 # DEPENDENCYPART_ARC
(9,7),-2.07201 # DEPENDENCYPART_ARC
(9,8),-1.23502 # DEPENDENCYPART_ARC
(10,1),-1.21079 # DEPENDENCYPART_ARC
(10,2),-1.51223 # DEPENDENCYPART_ARC
(10,3),-2.40735 # DEPENDENCYPART_ARC
(10,4),-1.4923 # DEPENDENCYPART_ARC
(10,6),-1.26157 # DEPENDENCYPART_ARC
(10,7),-0.560201 # DEPENDENCYPART_ARC
(10,8),1.40277 # DEPENDENCYPART_ARC
(10,9),1.3594 # DEPENDENCYPART_ARC
(10,11),0.515053 # DEPENDENCYPART_ARC
(10,12),-0.97048 # DEPENDENCYPART_ARC
(10,14),-0.99892 # DEPENDENCYPART_ARC
(10,15),-1.24134 # DEPENDENCYPART_ARC
(10,16),-1.56166 # DEPENDENCYPART_ARC
(10,17),-2.25482 # DEPENDENCYPART_ARC
(10,19),-2.38708 # DEPENDENCYPART_ARC
(10,20),-2.27363 # DEPENDENCYPART_ARC
(10,21),-2.72174 # DEPENDENCYPART_ARC
(10,22),-1.96445 # DEPENDENCYPART_ARC
(10,23),-1.39314 # DEPENDENCYPART_ARC
(10,25),-3.17042 # DEPENDENCYPART_ARC
(10,27),-2.7924 # DEPENDENCYPART_ARC
(11,1),-3.22698 # DEPENDENCYPART_ARC
(11,2),-3.05686 # DEPENDENCYPART_ARC
(11,9),-1.76862 # DEPENDENCYPART_ARC
(11,10),-0.913154 # DEPENDENCYPART_ARC
(11,12),1.70944 # DEPENDENCYPART_ARC
(11,14),-0.806098 # DEPENDENCYPART_ARC
(11,15),-0.944809 # DEPENDENCYPART_ARC
(11,16),-1.42509 # DEPENDENCYPART_ARC
(11,17),-1.65164 # DEPENDENCYPART_ARC
(11,21),-1.79278 # DEPENDENCYPART_ARC
(11,23),-2.11964 # DEPENDENCYPART_ARC
(11,25),-2.32808 # DEPENDENCYPART_ARC
(12,1),-1.82131 # DEPENDENCYPART_ARC
(12,2),-2.27291 # DEPENDENCYPART_ARC
(12,3),-2.21112 # DEPENDENCYPART_ARC
(12,4),-2.15813 # DEPENDENCYPART_ARC
(12,6),-1.94919 # DEPENDENCYPART_ARC
(12,7),-1.64398 # DEPENDENCYPART_ARC
(12,8),0.141739 # DEPENDENCYPART_ARC
(12,9),-0.187337 # DEPENDENCYPART_ARC
(12,10),1.65236 # DEPENDENCYPART_ARC
(12,11),0.657526 # DEPENDENCYPART_ARC
(12,14),1.28493 # DEPENDENCYPART_ARC
(12,15),-0.529963 # DEPENDENCYPART_ARC
(12,16),-0.879487 # DEPENDENCYPART_ARC
(12,17),-1.81606 # DEPENDENCYPART_ARC
(12,19),-1.28354 # DEPENDENCYPART_ARC
(12,20),-0.863992 # DEPENDENCYPART_ARC
(12,21),-1.70958 # DEPENDENCYPART_ARC
(12,22),-1.62172 # DEPENDENCYPART_ARC
(12,23),-0.991671 # DEPENDENCYPART_ARC
(12,24),-2.61872 # DEPENDENCYPART_ARC
(12,25),-2.07363 # DEPENDENCYPART_ARC
(12,26),-2.39131 # DEPENDENCYPART_ARC
(12,27),-2.38186 # DEPENDENCYPART_ARC
(14,3),-2.61905 # DEPENDENCYPART_ARC
(14,4),-2.41565 # DEPENDENCYPART_ARC
(14,6),-2.9133 # DEPENDENCYPART_ARC
(14,10),-2.80536 # DEPENDENCYPART_ARC
