# _root_ ' El moviment denuncia l' especulació , els desallotjaments , les polítiques de criminalització i la violència policial exercida contra el moviment okupa .
#goldHeads=4,3,4,0,6,4,6,9,6,6,12,6,12,13,6,17,6,17,17,19,22,20,22,4,
#predictedHeads=4,3,4,0,6,4,6,9,6,6,12,6,12,13,6,17,6,17,17,19,22,20,22,4,
(0,3),-4.82143 # DEPENDENCYPART_ARC
(0,4),-1.33113 # DEPENDENCYPART_ARC
(2,3),-1.23612 # DEPENDENCYPART_ARC
(2,5),-2.16516 # DEPENDENCYPART_ARC
(3,1),-0.752434 # DEPENDENCYPART_ARC
(3,2),1.64906 # DEPENDENCYPART_ARC
(3,4),-0.811581 # DEPENDENCYPART_ARC
(3,6),-1.32962 # DEPENDENCYPART_ARC
(3,7),-1.56814 # DEPENDENCYPART_ARC
(3,9),-2.09013 # DEPENDENCYPART_ARC
(3,10),-1.69928 # DEPENDENCYPART_ARC
(3,12),-2.67374 # DEPENDENCYPART_ARC
(3,13),-2.30852 # DEPENDENCYPART_ARC
(3,15),-0.835601 # DEPENDENCYPART_ARC
(3,17),-2.89038 # DEPENDENCYPART_ARC
(3,23),-2.82489 # DEPENDENCYPART_ARC
(4,1),0.678285 # DEPENDENCYPART_ARC
(4,2),-1.33402 # DEPENDENCYPART_ARC
(4,3),0.591 # DEPENDENCYPART_ARC
(4,6),0.823316 # DEPENDENCYPART_ARC
(4,7),-0.519089 # DEPENDENCYPART_ARC
(4,9),-0.609579 # DEPENDENCYPART_ARC
(4,10),-0.843611 # DEPENDENCYPART_ARC
(4,12),-1.0621 # DEPENDENCYPART_ARC
(4,13),-1.4536 # DEPENDENCYPART_ARC
(4,14),-1.81794 # DEPENDENCYPART_ARC
(4,15),-0.938813 # DEPENDENCYPART_ARC
(4,17),-1.6604 # DEPENDENCYPART_ARC
(4,18),-1.59618 # DEPENDENCYPART_ARC
(4,19),-1.65305 # DEPENDENCYPART_ARC
(4,20),-1.39251 # DEPENDENCYPART_ARC
(4,22),-2.01664 # DEPENDENCYPART_ARC
(4,23),-2.07353 # DEPENDENCYPART_ARC
(4,24),0.108001 # DEPENDENCYPART_ARC
(5,3),-2.25264 # DEPENDENCYPART_ARC
(5,8),-1.50742 # DEPENDENCYPART_ARC
(6,2),-2.90181 # DEPENDENCYPART_ARC
(6,3),-2.40263 # DEPENDENCYPART_ARC
(6,5),1.5707 # DEPENDENCYPART_ARC
(6,7),-0.399299 # DEPENDENCYPART_ARC
(6,9),-0.387993 # DEPENDENCYPART_ARC
(6,10),-0.774146 # DEPENDENCYPART_ARC
(6,12),-0.946633 # DEPENDENCYPART_ARC
(6,13),-0.872415 # DEPENDENCYPART_ARC
(6,14),-0.982378 # DEPENDENCYPART_ARC
(6,15),0.333946 # DEPENDENCYPART_ARC
(6,17),-1.35405 # DEPENDENCYPART_ARC
(6,18),-1.15573 # DEPENDENCYPART_ARC
(6,19),-0.914726 # DEPENDENCYPART_ARC
(6,20),-1.43238 # DEPENDENCYPART_ARC
(6,22),-1.92776 # DEPENDENCYPART_ARC
(6,23),-1.64027 # DEPENDENCYPART_ARC
(6,24),-2.07386 # DEPENDENCYPART_ARC
(7,6),-1.87687 # DEPENDENCYPART_ARC
(8,6),-2.34843 # DEPENDENCYPART_ARC
(8,9),-1.61255 # DEPENDENCYPART_ARC
(8,11),-0.723421 # DEPENDENCYPART_ARC
(9,3),-2.98139 # DEPENDENCYPART_ARC
(9,5),-2.4129 # DEPENDENCYPART_ARC
(9,6),-2.78029 # DEPENDENCYPART_ARC
(9,7),-0.666884 # DEPENDENCYPART_ARC
(9,8),2.46601 # DEPENDENCYPART_ARC
(9,10),-0.426523 # DEPENDENCYPART_ARC
(9,12),0.064795 # DEPENDENCYPART_ARC
(9,13),-0.334464 # DEPENDENCYPART_ARC
(9,14),-1.13711 # DEPENDENCYPART_ARC
(9,15),0.255147 # DEPENDENCYPART_ARC
(9,17),-1.57756 # DEPENDENCYPART_ARC
(9,18),-1.81561 # DEPENDENCYPART_ARC
(9,19),-2.97505 # DEPENDENCYPART_ARC
(9,20),-1.31576 # DEPENDENCYPART_ARC
(9,22),-1.93207 # DEPENDENCYPART_ARC
(9,23),-1.79687 # DEPENDENCYPART_ARC
(9,24),-1.83028 # DEPENDENCYPART_ARC
(10,7),-2.04858 # DEPENDENCYPART_ARC
(10,9),-1.80908 # DEPENDENCYPART_ARC
(11,9),-2.15409 # DEPENDENCYPART_ARC
(11,12),-0.875048 # DEPENDENCYPART_ARC
(11,13),-1.10933 # DEPENDENCYPART_ARC
(12,7),-2.60689 # DEPENDENCYPART_ARC
(12,8),-1.70702 # DEPENDENCYPART_ARC
(12,9),-2.29577 # DEPENDENCYPART_ARC
(12,10),-1.05326 # DEPENDENCYPART_ARC
(12,11),2.28717 # DEPENDENCYPART_ARC
(12,13),1.22938 # DEPENDENCYPART_ARC
(12,14),-0.545417 # DEPENDENCYPART_ARC
(12,15),0.0145641 # DEPENDENCYPART_ARC
(12,17),-1.09332 # DEPENDENCYPART_ARC
(12,18),-1.58019 # DEPENDENCYPART_ARC
(12,19),-1.38842 # DEPENDENCYPART_ARC
(12,20),-0.922152 # DEPENDENCYPART_ARC
(12,22),-1.93161 # DEPENDENCYPART_ARC
(12,23),-1.40019 # DEPENDENCYPART_ARC
(12,24),-1.6802 # DEPENDENCYPART_ARC
(13,10),-1.54205 # DEPENDENCYPART_ARC
(13,11),-1.70234 # DEPENDENCYPART_ARC
(13,12),-1.1691 # DEPENDENCYPART_ARC
(13,14),2.53015 # DEPENDENCYPART_ARC
(13,15),-1.10984 # DEPENDENCYPART_ARC
(13,17),-1.23042 # DEPENDENCYPART_ARC
(13,20),-2.55072 # DEPENDENCYPART_ARC
(14,7),-2.46955 # DEPENDENCYPART_ARC
(14,8),-4.17415 # DEPENDENCYPART_ARC
(14,9),-3.00401 # DEPENDENCYPART_ARC
(14,10),-2.05009 # DEPENDENCYPART_ARC
(14,11),-1.65249 # DEPENDENCYPART_ARC
(14,12),-1.49497 # DEPENDENCYPART_ARC
(14,13),-0.576509 # DEPENDENCYPART_ARC
(14,15),-0.184881 # DEPENDENCYPART_ARC
(14,17),-0.449404 # DEPENDENCYPART_ARC
(14,18),-0.264942 # DEPENDENCYPART_ARC
(14,19),-0.27962 # DEPENDENCYPART_ARC
(14,20),-0.894547 # DEPENDENCYPART_ARC
(14,22),-1.49508 # DEPENDENCYPART_ARC
(14,23),-1.29174 # DEPENDENCYPART_ARC
(14,24),-1.91378 # DEPENDENCYPART_ARC
(16,15),-1.06078 # DEPENDENCYPART_ARC
(16,17),-1.30511 # DEPENDENCYPART_ARC
(17,7),-2.62341 # DEPENDENCYPART_ARC
(17,9),-3.08803 # DEPENDENCYPART_ARC
(17,10),-2.27285 # DEPENDENCYPART_ARC
(17,11),-2.84198 # DEPENDENCYPART_ARC
(17,12),-2.62471 # DEPENDENCYPART_ARC
(17,13),-2.29572 # DEPENDENCYPART_ARC
(17,15),-1.17813 # DEPENDENCYPART_ARC
(17,16),2.0066 # DEPENDENCYPART_ARC
(17,18),1.79978 # DEPENDENCYPART_ARC
(17,19),1.27604 # DEPENDENCYPART_ARC
(17,20),-0.00558738 # DEPENDENCYPART_ARC
(17,22),-0.713891 # DEPENDENCYPART_ARC
(17,23),-0.333158 # DEPENDENCYPART_ARC
(17,24),-1.14993 # DEPENDENCYPART_ARC
(18,10),-2.66465 # DEPENDENCYPART_ARC
(18,13),-1.64514 # DEPENDENCYPART_ARC
(18,16),-1.36381 # DEPENDENCYPART_ARC
(18,17),-1.34235 # DEPENDENCYPART_ARC
(18,19),-0.120881 # DEPENDENCYPART_ARC
(18,20),-1.40782 # DEPENDENCYPART_ARC
(19,10),-2.5914 # DEPENDENCYPART_ARC
(19,13),-1.85028 # DEPENDENCYPART_ARC
(19,15),-1.75075 # DEPENDENCYPART_ARC
(19,16),-2.11236 # DEPENDENCYPART_ARC
(19,17),-1.81635 # DEPENDENCYPART_ARC
(19,18),-2.14972 # DEPENDENCYPART_ARC
(19,20),1.04355 # DEPENDENCYPART_ARC
(19,22),-1.26361 # DEPENDENCYPART_ARC
(19,23),-1.57982 # DEPENDENCYPART_ARC
(19,24),-1.2384 # DEPENDENCYPART_ARC
(20,18),-2.16165 # DEPENDENCYPART_ARC
(20,19),-1.22729 # DEPENDENCYPART_ARC
(20,21),-1.67282 # DEPENDENCYPART_ARC
(20,22),1.59176 # DEPENDENCYPART_ARC
(20,23),-0.582962 # DEPENDENCYPART_ARC
(21,22),-1.12706 # DEPENDENCYPART_ARC
(22,7),-2.46548 # DEPENDENCYPART_ARC
(22,12),-3.30456 # DEPENDENCYPART_ARC
(22,16),-1.91162 # DEPENDENCYPART_ARC
(22,18),-1.39514 # DEPENDENCYPART_ARC
(22,19),-1.74447 # DEPENDENCYPART_ARC
(22,21),1.46464 # DEPENDENCYPART_ARC
(22,23),1.39912 # DEPENDENCYPART_ARC
(22,24),-0.949533 # DEPENDENCYPART_ARC
(23,7),-2.38365 # DEPENDENCYPART_ARC
(23,12),-2.73272 # DEPENDENCYPART_ARC
(23,19),-1.39349 # DEPENDENCYPART_ARC
(23,20),-0.961291 # DEPENDENCYPART_ARC
(23,21),-0.515067 # DEPENDENCYPART_ARC
(23,22),-0.796412 # DEPENDENCYPART_ARC
(23,24),-1.28014 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.426988 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.326399 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.195035 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0185886 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0994196 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0344474 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.109267 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0344474 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0892248 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0255061 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.148176 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.10208 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.101215 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0424197 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.40012 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0136533 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.399142 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0136533 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.355726 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.451449 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.110427 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.398708 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.407755 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0388746 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0550987 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0363721 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0550987 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0282204 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0346193 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0718817 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0370936 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0351094 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0229034 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0242075 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0229034 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.017949 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0343042 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0558622 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0242978 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0229287 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.357268 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0111372 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.357825 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0666388 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.256294 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.35773 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.356006 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0244122 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0192682 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0606749 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0603616 # DEPENDENCYPART_SIBL
