# _root_ El Congrés s' havia plantejat de consens a l' entorn_de Preses , que ha iniciat el tercer mandat al_capdavant_de Comissions , si_bé una hora abans d' acabar -se el termini Àngel_González ha presentat la_seva candidatura .
#goldHeads=2,5,5,5,0,5,6,7,10,8,10,15,15,15,11,18,18,15,15,19,15,33,24,25,33,25,26,27,30,27,33,33,5,35,33,5,
#predictedHeads=2,5,5,5,0,5,6,5,10,8,10,15,15,15,11,18,18,15,15,19,33,33,24,25,15,25,26,27,30,33,30,33,15,35,33,5,
(0,2),-4.48483 # DEPENDENCYPART_ARC
(0,4),-3.08298 # DEPENDENCYPART_ARC
(0,5),-2.86709 # DEPENDENCYPART_ARC
(0,14),-2.76683 # DEPENDENCYPART_ARC
(0,15),-2.79266 # DEPENDENCYPART_ARC
(0,32),-3.22929 # DEPENDENCYPART_ARC
(0,33),-2.43245 # DEPENDENCYPART_ARC
(1,2),-1.4314 # DEPENDENCYPART_ARC
(2,1),0.739405 # DEPENDENCYPART_ARC
(2,4),-1.24784 # DEPENDENCYPART_ARC
(2,5),-1.62699 # DEPENDENCYPART_ARC
(2,6),-1.99999 # DEPENDENCYPART_ARC
(2,15),-2.19394 # DEPENDENCYPART_ARC
(2,36),-3.45497 # DEPENDENCYPART_ARC
(4,2),-2.54007 # DEPENDENCYPART_ARC
(4,3),-0.433611 # DEPENDENCYPART_ARC
(4,5),0.227287 # DEPENDENCYPART_ARC
(4,6),-1.96209 # DEPENDENCYPART_ARC
(4,8),-1.52424 # DEPENDENCYPART_ARC
(4,10),-2.07397 # DEPENDENCYPART_ARC
(4,12),-2.19032 # DEPENDENCYPART_ARC
(4,36),-3.8697 # DEPENDENCYPART_ARC
(5,1),-1.78056 # DEPENDENCYPART_ARC
(5,2),-0.105427 # DEPENDENCYPART_ARC
(5,3),1.29342 # DEPENDENCYPART_ARC
(5,4),3.23799 # DEPENDENCYPART_ARC
(5,6),0.787334 # DEPENDENCYPART_ARC
(5,7),0.124116 # DEPENDENCYPART_ARC
(5,8),0.352858 # DEPENDENCYPART_ARC
(5,10),-0.351977 # DEPENDENCYPART_ARC
(5,11),-1.7949 # DEPENDENCYPART_ARC
(5,12),-0.593263 # DEPENDENCYPART_ARC
(5,14),-1.6103 # DEPENDENCYPART_ARC
(5,15),-0.78096 # DEPENDENCYPART_ARC
(5,18),-1.82819 # DEPENDENCYPART_ARC
(5,19),-0.963051 # DEPENDENCYPART_ARC
(5,21),-0.413191 # DEPENDENCYPART_ARC
(5,22),-1.86767 # DEPENDENCYPART_ARC
(5,24),-2.7844 # DEPENDENCYPART_ARC
(5,25),-1.89096 # DEPENDENCYPART_ARC
(5,27),-2.33693 # DEPENDENCYPART_ARC
(5,30),-2.70739 # DEPENDENCYPART_ARC
(5,31),-2.63914 # DEPENDENCYPART_ARC
(5,32),-2.74465 # DEPENDENCYPART_ARC
(5,33),-1.17493 # DEPENDENCYPART_ARC
(5,35),-2.6693 # DEPENDENCYPART_ARC
(5,36),-0.0553836 # DEPENDENCYPART_ARC
(6,7),2.30166 # DEPENDENCYPART_ARC
(6,8),-1.4594 # DEPENDENCYPART_ARC
(6,10),-1.42995 # DEPENDENCYPART_ARC
(6,11),-1.15883 # DEPENDENCYPART_ARC
(6,12),-1.69515 # DEPENDENCYPART_ARC
(7,1),-3.45699 # DEPENDENCYPART_ARC
(7,5),-1.85806 # DEPENDENCYPART_ARC
(7,6),-0.573978 # DEPENDENCYPART_ARC
(7,8),-0.199706 # DEPENDENCYPART_ARC
(7,10),-0.722082 # DEPENDENCYPART_ARC
(7,11),-1.34718 # DEPENDENCYPART_ARC
(7,14),-0.910789 # DEPENDENCYPART_ARC
(7,15),-0.928018 # DEPENDENCYPART_ARC
(7,19),-1.30686 # DEPENDENCYPART_ARC
(8,6),-1.44319 # DEPENDENCYPART_ARC
(8,9),-1.03647 # DEPENDENCYPART_ARC
(8,10),-0.347422 # DEPENDENCYPART_ARC
(8,11),-0.194539 # DEPENDENCYPART_ARC
(8,12),-1.22953 # DEPENDENCYPART_ARC
(8,14),-2.25324 # DEPENDENCYPART_ARC
(8,15),-1.52339 # DEPENDENCYPART_ARC
(8,18),-2.76343 # DEPENDENCYPART_ARC
(9,6),-1.73636 # DEPENDENCYPART_ARC
(9,8),-1.03594 # DEPENDENCYPART_ARC
(10,1),-3.05533 # DEPENDENCYPART_ARC
(10,5),-1.56329 # DEPENDENCYPART_ARC
(10,6),-1.17477 # DEPENDENCYPART_ARC
(10,8),-0.861879 # DEPENDENCYPART_ARC
(10,9),0.405914 # DEPENDENCYPART_ARC
(10,11),2.6363 # DEPENDENCYPART_ARC
(10,12),-0.570982 # DEPENDENCYPART_ARC
(10,14),-2.13039 # DEPENDENCYPART_ARC
(10,15),-1.31148 # DEPENDENCYPART_ARC
(11,9),-1.57457 # DEPENDENCYPART_ARC
(11,10),-1.08957 # DEPENDENCYPART_ARC
(11,12),-1.14111 # DEPENDENCYPART_ARC
(11,14),-1.29142 # DEPENDENCYPART_ARC
(11,15),-1.68199 # DEPENDENCYPART_ARC
(11,18),-2.05304 # DEPENDENCYPART_ARC
(11,22),-1.65257 # DEPENDENCYPART_ARC
(11,36),-2.94791 # DEPENDENCYPART_ARC
(14,2),-4.73849 # DEPENDENCYPART_ARC
(14,8),-3.45135 # DEPENDENCYPART_ARC
(14,10),-2.83963 # DEPENDENCYPART_ARC
(14,12),-2.13048 # DEPENDENCYPART_ARC
(14,13),-0.417632 # DEPENDENCYPART_ARC
(14,18),-2.03057 # DEPENDENCYPART_ARC
(14,19),-1.66291 # DEPENDENCYPART_ARC
(14,33),-2.91216 # DEPENDENCYPART_ARC
(14,36),-2.66119 # DEPENDENCYPART_ARC
(15,2),-1.75673 # DEPENDENCYPART_ARC
(15,4),-0.806136 # DEPENDENCYPART_ARC
(15,5),-0.573238 # DEPENDENCYPART_ARC
(15,6),-2.02815 # DEPENDENCYPART_ARC
(15,7),-2.02023 # DEPENDENCYPART_ARC
(15,8),-1.33582 # DEPENDENCYPART_ARC
(15,9),-2.23996 # DEPENDENCYPART_ARC
(15,10),-0.81666 # DEPENDENCYPART_ARC
(15,11),-1.59033 # DEPENDENCYPART_ARC
(15,12),-0.0202767 # DEPENDENCYPART_ARC
(15,13),2.40631 # DEPENDENCYPART_ARC
(15,14),3.19065 # DEPENDENCYPART_ARC
(15,17),-0.307442 # DEPENDENCYPART_ARC
(15,18),-0.0862464 # DEPENDENCYPART_ARC
(15,19),0.316703 # DEPENDENCYPART_ARC
(15,20),-1.16976 # DEPENDENCYPART_ARC
(15,21),-0.414775 # DEPENDENCYPART_ARC
(15,22),-0.965605 # DEPENDENCYPART_ARC
(15,24),-1.91328 # DEPENDENCYPART_ARC
(15,25),-0.95872 # DEPENDENCYPART_ARC
(15,26),-1.79148 # DEPENDENCYPART_ARC
(15,27),-1.31071 # DEPENDENCYPART_ARC
(15,30),-2.26633 # DEPENDENCYPART_ARC
(15,31),-2.37623 # DEPENDENCYPART_ARC
(15,32),-1.8929 # DEPENDENCYPART_ARC
(15,33),-0.892729 # DEPENDENCYPART_ARC
