# _root_ No els en deixa passar ni una i , si hi ha dubtes sobre la sonoritat d' una nota , fa que la repeteixin tots .
#goldHeads=5,5,5,5,0,7,5,5,12,12,12,21,12,13,16,14,16,19,17,12,5,24,24,21,24,5,
#predictedHeads=5,5,5,5,0,5,5,7,12,12,12,5,12,13,16,14,16,19,17,12,12,24,24,21,24,5,
(0,2),-4.35619 # DEPENDENCYPART_ARC
(0,3),-4.7539 # DEPENDENCYPART_ARC
(0,4),-2.4247 # DEPENDENCYPART_ARC
(0,5),-3.86566 # DEPENDENCYPART_ARC
(0,7),-5.48947 # DEPENDENCYPART_ARC
(0,12),-3.30588 # DEPENDENCYPART_ARC
(0,21),-3.44172 # DEPENDENCYPART_ARC
(2,1),-0.421047 # DEPENDENCYPART_ARC
(2,4),-1.48522 # DEPENDENCYPART_ARC
(2,5),-1.40773 # DEPENDENCYPART_ARC
(2,9),-1.34667 # DEPENDENCYPART_ARC
(3,1),-1.48729 # DEPENDENCYPART_ARC
(3,4),-1.28169 # DEPENDENCYPART_ARC
(3,6),-1.64715 # DEPENDENCYPART_ARC
(4,1),-1.07275 # DEPENDENCYPART_ARC
(4,2),-1.42084 # DEPENDENCYPART_ARC
(4,3),0.345793 # DEPENDENCYPART_ARC
(4,5),0.492219 # DEPENDENCYPART_ARC
(4,6),-1.33912 # DEPENDENCYPART_ARC
(4,7),-1.69879 # DEPENDENCYPART_ARC
(4,8),-1.37568 # DEPENDENCYPART_ARC
(4,9),-1.44229 # DEPENDENCYPART_ARC
(4,10),-1.6193 # DEPENDENCYPART_ARC
(4,11),-4.11008 # DEPENDENCYPART_ARC
(4,12),-1.40193 # DEPENDENCYPART_ARC
(4,13),-2.91782 # DEPENDENCYPART_ARC
(4,14),-2.21494 # DEPENDENCYPART_ARC
(4,20),-1.11889 # DEPENDENCYPART_ARC
(4,21),-1.93273 # DEPENDENCYPART_ARC
(4,24),-2.03816 # DEPENDENCYPART_ARC
(4,25),-3.18584 # DEPENDENCYPART_ARC
(4,26),-0.792623 # DEPENDENCYPART_ARC
(5,1),-0.340039 # DEPENDENCYPART_ARC
(5,2),-0.319887 # DEPENDENCYPART_ARC
(5,3),0.791721 # DEPENDENCYPART_ARC
(5,4),1.623 # DEPENDENCYPART_ARC
(5,6),0.250577 # DEPENDENCYPART_ARC
(5,7),-0.369685 # DEPENDENCYPART_ARC
(5,8),-0.767452 # DEPENDENCYPART_ARC
(5,9),-1.01832 # DEPENDENCYPART_ARC
(5,10),-1.17402 # DEPENDENCYPART_ARC
(5,11),-1.86783 # DEPENDENCYPART_ARC
(5,12),-1.2993 # DEPENDENCYPART_ARC
(5,13),-1.53344 # DEPENDENCYPART_ARC
(5,14),-1.4526 # DEPENDENCYPART_ARC
(5,20),-0.995641 # DEPENDENCYPART_ARC
(5,21),-2.02151 # DEPENDENCYPART_ARC
(5,24),-1.7571 # DEPENDENCYPART_ARC
(5,25),-2.54574 # DEPENDENCYPART_ARC
(5,26),0.369763 # DEPENDENCYPART_ARC
(6,5),-0.855743 # DEPENDENCYPART_ARC
(6,8),-1.5375 # DEPENDENCYPART_ARC
(6,9),-1.25071 # DEPENDENCYPART_ARC
(6,10),-1.8349 # DEPENDENCYPART_ARC
(6,11),-2.36244 # DEPENDENCYPART_ARC
(7,6),-0.0391104 # DEPENDENCYPART_ARC
(7,8),0.225879 # DEPENDENCYPART_ARC
(7,9),-0.684866 # DEPENDENCYPART_ARC
(7,13),-1.62132 # DEPENDENCYPART_ARC
(7,14),-1.01469 # DEPENDENCYPART_ARC
(7,16),-1.63162 # DEPENDENCYPART_ARC
(7,17),-1.19691 # DEPENDENCYPART_ARC
(8,9),-0.943213 # DEPENDENCYPART_ARC
(10,8),-2.1889 # DEPENDENCYPART_ARC
(10,9),-1.33323 # DEPENDENCYPART_ARC
(10,11),-1.02053 # DEPENDENCYPART_ARC
(10,12),-1.75458 # DEPENDENCYPART_ARC
(10,13),-2.6718 # DEPENDENCYPART_ARC
(11,10),-1.35468 # DEPENDENCYPART_ARC
(11,13),-2.01306 # DEPENDENCYPART_ARC
(11,14),-2.12391 # DEPENDENCYPART_ARC
(12,4),-3.60279 # DEPENDENCYPART_ARC
(12,5),-3.06717 # DEPENDENCYPART_ARC
(12,6),-2.98728 # DEPENDENCYPART_ARC
(12,8),-2.29755 # DEPENDENCYPART_ARC
(12,9),-0.897192 # DEPENDENCYPART_ARC
(12,10),0.174476 # DEPENDENCYPART_ARC
(12,11),0.983867 # DEPENDENCYPART_ARC
(12,13),1.19786 # DEPENDENCYPART_ARC
(12,14),-0.5202 # DEPENDENCYPART_ARC
(12,16),-1.27514 # DEPENDENCYPART_ARC
(12,17),-1.67821 # DEPENDENCYPART_ARC
(12,19),-1.98649 # DEPENDENCYPART_ARC
(12,20),-0.973356 # DEPENDENCYPART_ARC
(12,21),-1.27198 # DEPENDENCYPART_ARC
(12,24),-1.88027 # DEPENDENCYPART_ARC
(12,26),-1.54483 # DEPENDENCYPART_ARC
(13,2),-2.9918 # DEPENDENCYPART_ARC
(13,3),-2.64593 # DEPENDENCYPART_ARC
(13,4),-2.16732 # DEPENDENCYPART_ARC
(13,5),-3.3898 # DEPENDENCYPART_ARC
(13,6),-2.30464 # DEPENDENCYPART_ARC
(13,8),-2.7379 # DEPENDENCYPART_ARC
(13,10),-2.37033 # DEPENDENCYPART_ARC
(13,11),-1.15925 # DEPENDENCYPART_ARC
(13,12),0.163411 # DEPENDENCYPART_ARC
(13,14),0.327638 # DEPENDENCYPART_ARC
(13,16),-0.702844 # DEPENDENCYPART_ARC
(13,17),-0.660362 # DEPENDENCYPART_ARC
(13,19),-1.40018 # DEPENDENCYPART_ARC
(13,20),-0.80591 # DEPENDENCYPART_ARC
(13,21),-1.55883 # DEPENDENCYPART_ARC
(13,24),-0.800906 # DEPENDENCYPART_ARC
(13,25),-1.54843 # DEPENDENCYPART_ARC
(14,13),-1.64868 # DEPENDENCYPART_ARC
(14,15),-1.35348 # DEPENDENCYPART_ARC
(14,16),1.79575 # DEPENDENCYPART_ARC
(14,17),-1.51786 # DEPENDENCYPART_ARC
(14,19),-0.230014 # DEPENDENCYPART_ARC
(14,20),-1.58033 # DEPENDENCYPART_ARC
(14,21),-2.54969 # DEPENDENCYPART_ARC
(14,22),-2.18877 # DEPENDENCYPART_ARC
(14,24),-1.89902 # DEPENDENCYPART_ARC
(15,13),-2.73421 # DEPENDENCYPART_ARC
(15,16),-0.156819 # DEPENDENCYPART_ARC
(15,17),-0.972379 # DEPENDENCYPART_ARC
(15,18),-0.769018 # DEPENDENCYPART_ARC
(16,2),-2.16841 # DEPENDENCYPART_ARC
(16,4),-3.33901 # DEPENDENCYPART_ARC
(16,5),-2.83031 # DEPENDENCYPART_ARC
(16,6),-2.1546 # DEPENDENCYPART_ARC
(16,10),-2.44711 # DEPENDENCYPART_ARC
(16,11),-1.00638 # DEPENDENCYPART_ARC
(16,12),-3.02474 # DEPENDENCYPART_ARC
(16,15),1.20745 # DEPENDENCYPART_ARC
(16,17),0.760206 # DEPENDENCYPART_ARC
(16,18),-1.29855 # DEPENDENCYPART_ARC
(16,19),-0.297926 # DEPENDENCYPART_ARC
(16,20),-0.69888 # DEPENDENCYPART_ARC
(16,21),-1.13526 # DEPENDENCYPART_ARC
(16,23),-2.98369 # DEPENDENCYPART_ARC
(16,24),-1.13226 # DEPENDENCYPART_ARC
(16,25),-2.75281 # DEPENDENCYPART_ARC
(17,15),-1.6904 # DEPENDENCYPART_ARC
(17,19),2.20671 # DEPENDENCYPART_ARC
(17,20),-1.16208 # DEPENDENCYPART_ARC
(17,21),-2.35677 # DEPENDENCYPART_ARC
(17,22),-2.14955 # DEPENDENCYPART_ARC
(17,24),-2.03004 # DEPENDENCYPART_ARC
(18,17),-0.960342 # DEPENDENCYPART_ARC
(19,2),-2.01021 # DEPENDENCYPART_ARC
(19,3),-0.995237 # DEPENDENCYPART_ARC
(19,4),-3.0239 # DEPENDENCYPART_ARC
(19,5),-2.64606 # DEPENDENCYPART_ARC
(19,6),-1.95508 # DEPENDENCYPART_ARC
(19,8),-2.15045 # DEPENDENCYPART_ARC
(19,10),-2.43226 # DEPENDENCYPART_ARC
(19,11),-0.931498 # DEPENDENCYPART_ARC
(19,12),-3.02696 # DEPENDENCYPART_ARC
(19,14),-2.21391 # DEPENDENCYPART_ARC
(19,15),-1.78475 # DEPENDENCYPART_ARC
(19,18),1.81124 # DEPENDENCYPART_ARC
(19,20),-0.770406 # DEPENDENCYPART_ARC
(19,21),-1.1322 # DEPENDENCYPART_ARC
(19,22),-1.71895 # DEPENDENCYPART_ARC
(19,23),-2.83357 # DEPENDENCYPART_ARC
(19,24),-1.32259 # DEPENDENCYPART_ARC
(19,25),-2.79003 # DEPENDENCYPART_ARC
(21,2),-6.95014 # DEPENDENCYPART_ARC
(21,3),-5.99367 # DEPENDENCYPART_ARC
(21,4),-3.88455 # DEPENDENCYPART_ARC
(21,5),-3.69773 # DEPENDENCYPART_ARC
(21,6),-3.46797 # DEPENDENCYPART_ARC
(21,7),-4.55885 # DEPENDENCYPART_ARC
(21,8),-2.3947 # DEPENDENCYPART_ARC
(21,9),-2.16464 # DEPENDENCYPART_ARC
(21,10),-1.56387 # DEPENDENCYPART_ARC
(21,11),-3.24657 # DEPENDENCYPART_ARC
(21,12),-3.09164 # DEPENDENCYPART_ARC
(21,13),-2.61831 # DEPENDENCYPART_ARC
(21,14),-2.164 # DEPENDENCYPART_ARC
(21,16),-1.69899 # DEPENDENCYPART_ARC
(21,17),-2.13138 # DEPENDENCYPART_ARC
(21,19),-1.01882 # DEPENDENCYPART_ARC
(21,20),-1.16696 # DEPENDENCYPART_ARC
(21,22),-1.61442 # DEPENDENCYPART_ARC
