# _root_ El senador per CiU i alcalde d' Amposta , Joan_Maria_Roig , s' havia interessat per aquesta qüestió en una pregunta oral a la cambra alta .
#goldHeads=2,14,2,3,2,2,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
#predictedHeads=2,14,2,3,4,4,6,7,10,8,10,14,14,0,14,17,15,14,20,18,20,21,24,22,24,14,
(0,2),-4.67162 # DEPENDENCYPART_ARC
(0,6),-5.77836 # DEPENDENCYPART_ARC
(0,10),-5.93931 # DEPENDENCYPART_ARC
(0,13),-3.65721 # DEPENDENCYPART_ARC
(0,14),-3.20411 # DEPENDENCYPART_ARC
(1,2),-0.673487 # DEPENDENCYPART_ARC
(1,3),-1.32151 # DEPENDENCYPART_ARC
(2,1),1.40688 # DEPENDENCYPART_ARC
(2,3),0.679105 # DEPENDENCYPART_ARC
(2,4),-0.796278 # DEPENDENCYPART_ARC
(2,5),-0.344845 # DEPENDENCYPART_ARC
(2,6),-0.650485 # DEPENDENCYPART_ARC
(2,7),-0.727264 # DEPENDENCYPART_ARC
(2,8),-1.74316 # DEPENDENCYPART_ARC
(2,9),-1.23456 # DEPENDENCYPART_ARC
(2,10),-0.994912 # DEPENDENCYPART_ARC
(2,11),-1.29217 # DEPENDENCYPART_ARC
(2,13),-1.57674 # DEPENDENCYPART_ARC
(2,14),-2.01619 # DEPENDENCYPART_ARC
(2,15),-2.1777 # DEPENDENCYPART_ARC
(2,17),-2.22251 # DEPENDENCYPART_ARC
(2,18),-1.80513 # DEPENDENCYPART_ARC
(2,20),-2.55163 # DEPENDENCYPART_ARC
(2,21),-1.67442 # DEPENDENCYPART_ARC
(2,22),-1.92449 # DEPENDENCYPART_ARC
(2,25),-2.87281 # DEPENDENCYPART_ARC
(2,26),-2.65866 # DEPENDENCYPART_ARC
(3,1),-2.03466 # DEPENDENCYPART_ARC
(3,2),-1.27802 # DEPENDENCYPART_ARC
(3,4),1.82184 # DEPENDENCYPART_ARC
(3,5),-0.992633 # DEPENDENCYPART_ARC
(3,6),-1.43312 # DEPENDENCYPART_ARC
(3,7),-1.86067 # DEPENDENCYPART_ARC
(3,9),-1.32533 # DEPENDENCYPART_ARC
(3,11),-2.21762 # DEPENDENCYPART_ARC
(3,15),-2.12366 # DEPENDENCYPART_ARC
(4,5),0.818355 # DEPENDENCYPART_ARC
(4,6),-0.231582 # DEPENDENCYPART_ARC
(4,7),-0.946688 # DEPENDENCYPART_ARC
(4,8),-1.33496 # DEPENDENCYPART_ARC
(4,9),-1.36405 # DEPENDENCYPART_ARC
(4,10),-1.29367 # DEPENDENCYPART_ARC
(4,11),-1.66487 # DEPENDENCYPART_ARC
(4,13),-2.20167 # DEPENDENCYPART_ARC
(4,14),-2.54999 # DEPENDENCYPART_ARC
(4,18),-2.63283 # DEPENDENCYPART_ARC
(4,26),-2.91263 # DEPENDENCYPART_ARC
(6,1),-3.49887 # DEPENDENCYPART_ARC
(6,2),-2.72418 # DEPENDENCYPART_ARC
(6,3),-1.74885 # DEPENDENCYPART_ARC
(6,5),-0.456263 # DEPENDENCYPART_ARC
(6,7),0.433055 # DEPENDENCYPART_ARC
(6,8),-0.75654 # DEPENDENCYPART_ARC
(6,9),-0.983821 # DEPENDENCYPART_ARC
(6,10),-0.636798 # DEPENDENCYPART_ARC
(6,11),-1.61878 # DEPENDENCYPART_ARC
(6,13),-1.20355 # DEPENDENCYPART_ARC
(6,14),-1.73002 # DEPENDENCYPART_ARC
(6,26),-2.93917 # DEPENDENCYPART_ARC
(7,5),-1.65554 # DEPENDENCYPART_ARC
(7,6),-1.35572 # DEPENDENCYPART_ARC
(7,8),1.73398 # DEPENDENCYPART_ARC
(7,9),-1.14614 # DEPENDENCYPART_ARC
(7,10),-1.80408 # DEPENDENCYPART_ARC
(7,11),-2.15583 # DEPENDENCYPART_ARC
(8,6),-1.83842 # DEPENDENCYPART_ARC
(8,7),-0.482159 # DEPENDENCYPART_ARC
(8,9),-0.515999 # DEPENDENCYPART_ARC
(8,10),-0.231555 # DEPENDENCYPART_ARC
(8,11),-1.21717 # DEPENDENCYPART_ARC
(8,13),-1.51119 # DEPENDENCYPART_ARC
(8,14),-1.89541 # DEPENDENCYPART_ARC
(10,2),-2.70988 # DEPENDENCYPART_ARC
(10,3),-2.02363 # DEPENDENCYPART_ARC
(10,6),-2.41597 # DEPENDENCYPART_ARC
(10,7),-1.47508 # DEPENDENCYPART_ARC
(10,8),-1.35852 # DEPENDENCYPART_ARC
(10,9),0.712281 # DEPENDENCYPART_ARC
(10,11),0.204719 # DEPENDENCYPART_ARC
(10,13),-1.30742 # DEPENDENCYPART_ARC
(10,14),-1.95621 # DEPENDENCYPART_ARC
(10,18),-2.60971 # DEPENDENCYPART_ARC
(10,22),-2.67652 # DEPENDENCYPART_ARC
(10,26),-2.4407 # DEPENDENCYPART_ARC
(11,9),-2.02316 # DEPENDENCYPART_ARC
(13,2),-3.5489 # DEPENDENCYPART_ARC
(13,3),-3.44074 # DEPENDENCYPART_ARC
(13,6),-3.27218 # DEPENDENCYPART_ARC
(13,7),-3.50904 # DEPENDENCYPART_ARC
(13,9),-3.00631 # DEPENDENCYPART_ARC
(13,10),-3.17117 # DEPENDENCYPART_ARC
(13,11),-1.40158 # DEPENDENCYPART_ARC
(13,12),-0.775069 # DEPENDENCYPART_ARC
(13,14),0.471067 # DEPENDENCYPART_ARC
(13,15),-1.01858 # DEPENDENCYPART_ARC
(13,17),-1.79692 # DEPENDENCYPART_ARC
(13,18),-1.30351 # DEPENDENCYPART_ARC
(13,22),-2.14331 # DEPENDENCYPART_ARC
(13,26),-2.41322 # DEPENDENCYPART_ARC
(14,1),-3.03057 # DEPENDENCYPART_ARC
(14,2),-1.02805 # DEPENDENCYPART_ARC
(14,3),-1.68306 # DEPENDENCYPART_ARC
(14,4),-1.14912 # DEPENDENCYPART_ARC
(14,5),-1.26198 # DEPENDENCYPART_ARC
(14,6),-0.931311 # DEPENDENCYPART_ARC
(14,7),-1.71182 # DEPENDENCYPART_ARC
(14,8),-1.31797 # DEPENDENCYPART_ARC
(14,9),-1.2491 # DEPENDENCYPART_ARC
(14,10),-0.625217 # DEPENDENCYPART_ARC
(14,11),0.329502 # DEPENDENCYPART_ARC
(14,12),1.74514 # DEPENDENCYPART_ARC
(14,13),3.52457 # DEPENDENCYPART_ARC
(14,15),1.53042 # DEPENDENCYPART_ARC
(14,17),-0.244508 # DEPENDENCYPART_ARC
(14,18),0.240156 # DEPENDENCYPART_ARC
(14,20),-0.953489 # DEPENDENCYPART_ARC
(14,21),-1.45056 # DEPENDENCYPART_ARC
(14,22),-0.678906 # DEPENDENCYPART_ARC
(14,24),-1.16998 # DEPENDENCYPART_ARC
(14,25),-1.67103 # DEPENDENCYPART_ARC
(14,26),-0.428838 # DEPENDENCYPART_ARC
(15,11),-2.99496 # DEPENDENCYPART_ARC
(15,17),1.75071 # DEPENDENCYPART_ARC
(15,18),-1.27918 # DEPENDENCYPART_ARC
(15,20),-0.655308 # DEPENDENCYPART_ARC
(15,22),-1.76038 # DEPENDENCYPART_ARC
(15,26),-1.54913 # DEPENDENCYPART_ARC
(17,2),-3.0685 # DEPENDENCYPART_ARC
(17,7),-2.5243 # DEPENDENCYPART_ARC
(17,15),-1.65585 # DEPENDENCYPART_ARC
(17,16),1.05578 # DEPENDENCYPART_ARC
