# _root_ El president , que ha fet el_seu discurs en castellà i català , ha recordat un discurs que va fer a Cadaqués l' any_1980 i on exaltava la figura de Salvador_Dalí .
#goldHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
#predictedHeads=2,15,6,6,6,2,8,6,8,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
(0,2),-4.2615 # DEPENDENCYPART_ARC
(0,5),-2.89719 # DEPENDENCYPART_ARC
(0,6),-2.70884 # DEPENDENCYPART_ARC
(0,14),-2.38486 # DEPENDENCYPART_ARC
(0,15),-2.80777 # DEPENDENCYPART_ARC
(0,20),-5.09792 # DEPENDENCYPART_ARC
(2,1),1.68264 # DEPENDENCYPART_ARC
(2,3),-0.471283 # DEPENDENCYPART_ARC
(2,5),-0.369185 # DEPENDENCYPART_ARC
(2,6),-0.576805 # DEPENDENCYPART_ARC
(2,8),-1.16668 # DEPENDENCYPART_ARC
(2,9),-1.24738 # DEPENDENCYPART_ARC
(2,10),-1.419 # DEPENDENCYPART_ARC
(2,11),-0.378675 # DEPENDENCYPART_ARC
(2,12),-1.27775 # DEPENDENCYPART_ARC
(2,13),-1.64845 # DEPENDENCYPART_ARC
(2,15),-2.13174 # DEPENDENCYPART_ARC
(2,17),-2.4263 # DEPENDENCYPART_ARC
(2,20),-2.68233 # DEPENDENCYPART_ARC
(2,29),-4.08692 # DEPENDENCYPART_ARC
(2,32),-3.27996 # DEPENDENCYPART_ARC
(3,2),-1.59323 # DEPENDENCYPART_ARC
(4,8),-3.1828 # DEPENDENCYPART_ARC
(5,2),-3.79871 # DEPENDENCYPART_ARC
(5,3),-2.15649 # DEPENDENCYPART_ARC
(5,4),-0.443648 # DEPENDENCYPART_ARC
(5,6),-0.104777 # DEPENDENCYPART_ARC
(5,8),-1.75026 # DEPENDENCYPART_ARC
(5,9),-1.25663 # DEPENDENCYPART_ARC
(5,11),-1.70447 # DEPENDENCYPART_ARC
(5,13),-1.46769 # DEPENDENCYPART_ARC
(5,15),-2.45949 # DEPENDENCYPART_ARC
(5,25),-1.1944 # DEPENDENCYPART_ARC
(5,32),-2.55329 # DEPENDENCYPART_ARC
(6,1),-2.13739 # DEPENDENCYPART_ARC
(6,2),-1.29321 # DEPENDENCYPART_ARC
(6,3),-0.0655281 # DEPENDENCYPART_ARC
(6,4),2.55332 # DEPENDENCYPART_ARC
(6,5),3.21296 # DEPENDENCYPART_ARC
(6,8),0.574252 # DEPENDENCYPART_ARC
(6,9),0.255173 # DEPENDENCYPART_ARC
(6,10),-1.3192 # DEPENDENCYPART_ARC
(6,11),-1.01153 # DEPENDENCYPART_ARC
(6,12),-1.95569 # DEPENDENCYPART_ARC
(6,13),-0.481997 # DEPENDENCYPART_ARC
(6,14),-1.66852 # DEPENDENCYPART_ARC
(6,15),-0.72951 # DEPENDENCYPART_ARC
(6,17),-2.20863 # DEPENDENCYPART_ARC
(6,19),-2.4756 # DEPENDENCYPART_ARC
(6,20),-2.11153 # DEPENDENCYPART_ARC
(6,21),-2.30706 # DEPENDENCYPART_ARC
(6,24),-2.43848 # DEPENDENCYPART_ARC
(6,25),-0.481174 # DEPENDENCYPART_ARC
(6,27),-1.91188 # DEPENDENCYPART_ARC
(6,29),-2.90974 # DEPENDENCYPART_ARC
(6,32),-1.01903 # DEPENDENCYPART_ARC
(8,2),-2.71825 # DEPENDENCYPART_ARC
(8,3),-2.4811 # DEPENDENCYPART_ARC
(8,6),-1.71875 # DEPENDENCYPART_ARC
(8,7),1.33617 # DEPENDENCYPART_ARC
(8,9),0.37206 # DEPENDENCYPART_ARC
(8,10),-0.546542 # DEPENDENCYPART_ARC
(8,11),-0.556401 # DEPENDENCYPART_ARC
(8,12),-0.866026 # DEPENDENCYPART_ARC
(8,13),-1.24505 # DEPENDENCYPART_ARC
(8,15),-2.00947 # DEPENDENCYPART_ARC
(8,17),-2.13106 # DEPENDENCYPART_ARC
(8,20),-2.91315 # DEPENDENCYPART_ARC
(8,24),-2.08156 # DEPENDENCYPART_ARC
(8,29),-3.80907 # DEPENDENCYPART_ARC
(9,8),-1.36613 # DEPENDENCYPART_ARC
(9,10),2.42986 # DEPENDENCYPART_ARC
(9,11),-0.982867 # DEPENDENCYPART_ARC
(9,12),-1.17736 # DEPENDENCYPART_ARC
(9,13),-1.35045 # DEPENDENCYPART_ARC
(10,7),-2.55833 # DEPENDENCYPART_ARC
(10,8),-2.70393 # DEPENDENCYPART_ARC
(10,11),1 # DEPENDENCYPART_ARC
(10,12),0.690093 # DEPENDENCYPART_ARC
(10,13),-1.20539 # DEPENDENCYPART_ARC
(10,14),-1.73905 # DEPENDENCYPART_ARC
(10,15),-1.60106 # DEPENDENCYPART_ARC
(10,17),-1.66008 # DEPENDENCYPART_ARC
(10,20),-2.30982 # DEPENDENCYPART_ARC
(10,24),-2.00795 # DEPENDENCYPART_ARC
(12,9),-1.4436 # DEPENDENCYPART_ARC
(12,11),-0.554107 # DEPENDENCYPART_ARC
(12,13),-1.35976 # DEPENDENCYPART_ARC
(12,15),-1.69052 # DEPENDENCYPART_ARC
(12,17),-2.10262 # DEPENDENCYPART_ARC
(13,12),-1.88176 # DEPENDENCYPART_ARC
(14,2),-4.39531 # DEPENDENCYPART_ARC
(14,6),-4.23628 # DEPENDENCYPART_ARC
(14,8),-3.61 # DEPENDENCYPART_ARC
(14,9),-3.46363 # DEPENDENCYPART_ARC
(14,11),-3.15112 # DEPENDENCYPART_ARC
(14,12),-2.84722 # DEPENDENCYPART_ARC
(14,13),-2.58229 # DEPENDENCYPART_ARC
(14,15),-0.750241 # DEPENDENCYPART_ARC
(14,17),-2.01949 # DEPENDENCYPART_ARC
(14,20),-2.53059 # DEPENDENCYPART_ARC
(14,21),-2.31191 # DEPENDENCYPART_ARC
(14,25),-1.55111 # DEPENDENCYPART_ARC
(14,27),-2.70066 # DEPENDENCYPART_ARC
(14,32),-1.63971 # DEPENDENCYPART_ARC
(15,1),-4.04409 # DEPENDENCYPART_ARC
(15,2),-2.41922 # DEPENDENCYPART_ARC
(15,3),-3.42747 # DEPENDENCYPART_ARC
(15,4),-2.0985 # DEPENDENCYPART_ARC
(15,5),-2.15389 # DEPENDENCYPART_ARC
(15,6),-1.63218 # DEPENDENCYPART_ARC
(15,8),-1.36334 # DEPENDENCYPART_ARC
(15,9),-1.52609 # DEPENDENCYPART_ARC
(15,10),-1.62778 # DEPENDENCYPART_ARC
(15,11),-1.25192 # DEPENDENCYPART_ARC
(15,12),-1.08615 # DEPENDENCYPART_ARC
(15,13),-1.03028 # DEPENDENCYPART_ARC
(15,14),3.32542 # DEPENDENCYPART_ARC
(15,17),0.860982 # DEPENDENCYPART_ARC
(15,19),-0.993245 # DEPENDENCYPART_ARC
(15,20),-1.14337 # DEPENDENCYPART_ARC
(15,21),-0.55552 # DEPENDENCYPART_ARC
(15,24),-1.43471 # DEPENDENCYPART_ARC
(15,25),-0.14305 # DEPENDENCYPART_ARC
(15,27),-0.900595 # DEPENDENCYPART_ARC
(15,29),-1.65324 # DEPENDENCYPART_ARC
(15,32),0.577364 # DEPENDENCYPART_ARC
(16,21),-1.89849 # DEPENDENCYPART_ARC
(17,2),-2.25628 # DEPENDENCYPART_ARC
(17,6),-2.35269 # DEPENDENCYPART_ARC
(17,9),-1.28428 # DEPENDENCYPART_ARC
(17,12),-2.26223 # DEPENDENCYPART_ARC
(17,13),-1.66073 # DEPENDENCYPART_ARC
(17,14),-1.78387 # DEPENDENCYPART_ARC
(17,15),-1.17903 # DEPENDENCYPART_ARC
(17,16),1.9504 # DEPENDENCYPART_ARC
(17,18),-1.16424 # DEPENDENCYPART_ARC
(17,19),-0.114185 # DEPENDENCYPART_ARC
(17,20),-0.379121 # DEPENDENCYPART_ARC
(17,21),-0.933893 # DEPENDENCYPART_ARC
(17,24),-1.25372 # DEPENDENCYPART_ARC
(17,25),-1.20012 # DEPENDENCYPART_ARC
(17,27),-0.470634 # DEPENDENCYPART_ARC
(17,29),-1.88302 # DEPENDENCYPART_ARC
(17,30),-1.62259 # DEPENDENCYPART_ARC
(17,32),-1.60541 # DEPENDENCYPART_ARC
(19,18),-0.320676 # DEPENDENCYPART_ARC
(19,20),-0.284369 # DEPENDENCYPART_ARC
(19,21),-1.19909 # DEPENDENCYPART_ARC
(19,24),-2.54965 # DEPENDENCYPART_ARC
(19,27),-2.4335 # DEPENDENCYPART_ARC
(19,32),-2.52075 # DEPENDENCYPART_ARC
(20,2),-2.77554 # DEPENDENCYPART_ARC
(20,3),-3.40407 # DEPENDENCYPART_ARC
(20,4),-3.15172 # DEPENDENCYPART_ARC
(20,5),-3.98587 # DEPENDENCYPART_ARC
(20,6),-3.3459 # DEPENDENCYPART_ARC
(20,8),-2.06562 # DEPENDENCYPART_ARC
(20,9),-2.21077 # DEPENDENCYPART_ARC
