# _root_ L' empresa Formigons_Montcau desmantellarà la_seva fàbrica de Sabadell , situada al barri d' Hostafrancs i envoltada de vivendes , en un termini de tres anys .
#goldHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,4,22,20,22,25,23,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,10,22,20,22,25,23,4,
(0,2),-4.44693 # DEPENDENCYPART_ARC
(0,4),-1.2299 # DEPENDENCYPART_ARC
(1,2),-1.10276 # DEPENDENCYPART_ARC
(2,1),1.53879 # DEPENDENCYPART_ARC
(2,3),1.03782 # DEPENDENCYPART_ARC
(2,4),-0.854382 # DEPENDENCYPART_ARC
(2,6),-0.941401 # DEPENDENCYPART_ARC
(2,7),-0.941094 # DEPENDENCYPART_ARC
(2,8),-2.12179 # DEPENDENCYPART_ARC
(2,9),-1.28942 # DEPENDENCYPART_ARC
(2,10),-0.791611 # DEPENDENCYPART_ARC
(2,11),-1.48117 # DEPENDENCYPART_ARC
(2,13),-2.0272 # DEPENDENCYPART_ARC
(2,16),-1.52449 # DEPENDENCYPART_ARC
(2,22),-2.86398 # DEPENDENCYPART_ARC
(2,26),-3.02646 # DEPENDENCYPART_ARC
(3,1),-1.1656 # DEPENDENCYPART_ARC
(3,2),-1.05481 # DEPENDENCYPART_ARC
(3,4),-1.34968 # DEPENDENCYPART_ARC
(3,7),-2.12707 # DEPENDENCYPART_ARC
(3,10),-2.36356 # DEPENDENCYPART_ARC
(4,1),-2.3451 # DEPENDENCYPART_ARC
(4,2),0.186754 # DEPENDENCYPART_ARC
(4,3),-0.0373294 # DEPENDENCYPART_ARC
(4,6),1.27271 # DEPENDENCYPART_ARC
(4,7),-0.0825804 # DEPENDENCYPART_ARC
(4,8),-0.564724 # DEPENDENCYPART_ARC
(4,9),-0.60231 # DEPENDENCYPART_ARC
(4,10),-0.773752 # DEPENDENCYPART_ARC
(4,11),-0.545306 # DEPENDENCYPART_ARC
(4,12),-1.22998 # DEPENDENCYPART_ARC
(4,13),-0.760287 # DEPENDENCYPART_ARC
(4,14),-1.70256 # DEPENDENCYPART_ARC
(4,15),-0.636 # DEPENDENCYPART_ARC
(4,16),-1.35913 # DEPENDENCYPART_ARC
(4,19),-1.1508 # DEPENDENCYPART_ARC
(4,20),-1.51542 # DEPENDENCYPART_ARC
(4,22),-1.68308 # DEPENDENCYPART_ARC
(4,26),0.104908 # DEPENDENCYPART_ARC
(6,1),-3.31921 # DEPENDENCYPART_ARC
(6,2),-2.43081 # DEPENDENCYPART_ARC
(6,5),1.18766 # DEPENDENCYPART_ARC
(6,7),1.22364 # DEPENDENCYPART_ARC
(6,8),-0.723582 # DEPENDENCYPART_ARC
(6,9),-0.653261 # DEPENDENCYPART_ARC
(6,10),0.289366 # DEPENDENCYPART_ARC
(6,11),-0.710658 # DEPENDENCYPART_ARC
(6,12),-1.49776 # DEPENDENCYPART_ARC
(6,13),-0.853349 # DEPENDENCYPART_ARC
(6,14),-1.91462 # DEPENDENCYPART_ARC
(6,15),-0.956942 # DEPENDENCYPART_ARC
(6,16),-0.900207 # DEPENDENCYPART_ARC
(6,17),-1.87548 # DEPENDENCYPART_ARC
(6,18),-2.12659 # DEPENDENCYPART_ARC
(6,20),-1.43772 # DEPENDENCYPART_ARC
(6,22),-2.18258 # DEPENDENCYPART_ARC
(6,23),-2.77771 # DEPENDENCYPART_ARC
(6,26),-2.27583 # DEPENDENCYPART_ARC
(7,8),1.90664 # DEPENDENCYPART_ARC
(7,9),-1.39348 # DEPENDENCYPART_ARC
(7,10),-1.60207 # DEPENDENCYPART_ARC
(7,11),-2.20791 # DEPENDENCYPART_ARC
(7,12),-1.21348 # DEPENDENCYPART_ARC
(7,13),-2.5123 # DEPENDENCYPART_ARC
(7,17),-2.52672 # DEPENDENCYPART_ARC
(7,19),-1.83854 # DEPENDENCYPART_ARC
(8,9),-0.743384 # DEPENDENCYPART_ARC
(8,10),-0.790206 # DEPENDENCYPART_ARC
(8,11),-1.50428 # DEPENDENCYPART_ARC
(8,12),-1.47026 # DEPENDENCYPART_ARC
(8,13),-1.65217 # DEPENDENCYPART_ARC
(8,14),-1.4034 # DEPENDENCYPART_ARC
(8,15),-0.913488 # DEPENDENCYPART_ARC
(8,16),-2.2974 # DEPENDENCYPART_ARC
(8,17),-2.50003 # DEPENDENCYPART_ARC
(8,18),-2.21793 # DEPENDENCYPART_ARC
(8,26),-2.69568 # DEPENDENCYPART_ARC
(10,7),-1.44422 # DEPENDENCYPART_ARC
(10,9),0.783714 # DEPENDENCYPART_ARC
(10,11),1.49157 # DEPENDENCYPART_ARC
(10,12),-0.687805 # DEPENDENCYPART_ARC
(10,13),-0.363244 # DEPENDENCYPART_ARC
(10,14),-1.20494 # DEPENDENCYPART_ARC
(10,15),-0.256057 # DEPENDENCYPART_ARC
(10,16),-0.872384 # DEPENDENCYPART_ARC
(10,17),-1.22221 # DEPENDENCYPART_ARC
(10,18),-1.96026 # DEPENDENCYPART_ARC
(10,19),-0.612728 # DEPENDENCYPART_ARC
(10,20),-1.30711 # DEPENDENCYPART_ARC
(10,22),-1.73385 # DEPENDENCYPART_ARC
(10,23),-2.31404 # DEPENDENCYPART_ARC
(10,26),-1.26294 # DEPENDENCYPART_ARC
(11,7),-1.66514 # DEPENDENCYPART_ARC
(11,9),-1.36506 # DEPENDENCYPART_ARC
(11,10),-1.39849 # DEPENDENCYPART_ARC
(11,12),2.08761 # DEPENDENCYPART_ARC
(11,13),-1.51167 # DEPENDENCYPART_ARC
(11,14),-1.03703 # DEPENDENCYPART_ARC
(11,15),-1.31212 # DEPENDENCYPART_ARC
(11,17),-2.47124 # DEPENDENCYPART_ARC
(11,19),-1.2599 # DEPENDENCYPART_ARC
(11,20),-2.74698 # DEPENDENCYPART_ARC
(12,9),-2.22176 # DEPENDENCYPART_ARC
(12,10),-1.87969 # DEPENDENCYPART_ARC
(12,13),0.884974 # DEPENDENCYPART_ARC
(12,14),-0.577752 # DEPENDENCYPART_ARC
(12,15),-0.549996 # DEPENDENCYPART_ARC
(12,16),-1.63381 # DEPENDENCYPART_ARC
(12,17),-0.78507 # DEPENDENCYPART_ARC
(12,18),-1.73301 # DEPENDENCYPART_ARC
(12,20),-1.79403 # DEPENDENCYPART_ARC
(12,22),-1.55854 # DEPENDENCYPART_ARC
(12,23),-2.10706 # DEPENDENCYPART_ARC
(12,25),-2.45918 # DEPENDENCYPART_ARC
(12,26),-2.06784 # DEPENDENCYPART_ARC
(13,9),-2.16145 # DEPENDENCYPART_ARC
(13,14),1.8365 # DEPENDENCYPART_ARC
(13,15),-1.13459 # DEPENDENCYPART_ARC
(13,16),-1.67366 # DEPENDENCYPART_ARC
(13,17),-1.61676 # DEPENDENCYPART_ARC
(13,18),-0.45784 # DEPENDENCYPART_ARC
(13,19),-1.17519 # DEPENDENCYPART_ARC
(13,20),-1.9868 # DEPENDENCYPART_ARC
(14,10),-2.31016 # DEPENDENCYPART_ARC
(14,15),-0.519492 # DEPENDENCYPART_ARC
(14,16),-1.13198 # DEPENDENCYPART_ARC
(14,17),-1.0718 # DEPENDENCYPART_ARC
(14,18),-1.455 # DEPENDENCYPART_ARC
(14,20),-2.33499 # DEPENDENCYPART_ARC
(14,22),-2.10609 # DEPENDENCYPART_ARC
(14,23),-2.5938 # DEPENDENCYPART_ARC
(16,7),-1.87415 # DEPENDENCYPART_ARC
(16,9),-1.97443 # DEPENDENCYPART_ARC
(16,11),-2.51986 # DEPENDENCYPART_ARC
(16,13),-1.37952 # DEPENDENCYPART_ARC
(16,15),-0.167785 # DEPENDENCYPART_ARC
(16,17),0.78233 # DEPENDENCYPART_ARC
(16,18),-1.12107 # DEPENDENCYPART_ARC
(16,19),-0.72305 # DEPENDENCYPART_ARC
(16,20),-0.668111 # DEPENDENCYPART_ARC
(16,22),-1.64243 # DEPENDENCYPART_ARC
(16,23),-1.45083 # DEPENDENCYPART_ARC
(16,26),-1.38503 # DEPENDENCYPART_ARC
(17,15),-1.48753 # DEPENDENCYPART_ARC
(17,16),-1.01476 # DEPENDENCYPART_ARC
(17,18),2.97756 # DEPENDENCYPART_ARC
(17,19),-1.15923 # DEPENDENCYPART_ARC
(17,20),-1.82635 # DEPENDENCYPART_ARC
(18,13),-2.61277 # DEPENDENCYPART_ARC
(18,16),-1.43685 # DEPENDENCYPART_ARC
(18,19),-1.16018 # DEPENDENCYPART_ARC
(18,20),-0.956638 # DEPENDENCYPART_ARC
(18,21),-2.83984 # DEPENDENCYPART_ARC
(18,22),-1.61378 # DEPENDENCYPART_ARC
(18,23),-1.11884 # DEPENDENCYPART_ARC
(18,25),-1.0349 # DEPENDENCYPART_ARC
(18,26),-2.07343 # DEPENDENCYPART_ARC
(20,19),-0.108524 # DEPENDENCYPART_ARC
(20,21),-1.58801 # DEPENDENCYPART_ARC
(20,22),1.46769 # DEPENDENCYPART_ARC
(20,23),-1.68591 # DEPENDENCYPART_ARC
(20,25),-0.291885 # DEPENDENCYPART_ARC
(20,26),-1.12544 # DEPENDENCYPART_ARC
(21,22),0.114548 # DEPENDENCYPART_ARC
(21,23),-0.399807 # DEPENDENCYPART_ARC
(21,24),-0.798273 # DEPENDENCYPART_ARC
(22,10),-2.38986 # DEPENDENCYPART_ARC
(22,17),-1.96043 # DEPENDENCYPART_ARC
(22,19),-1.43487 # DEPENDENCYPART_ARC
(22,21),0.94145 # DEPENDENCYPART_ARC
(22,23),0.6757 # DEPENDENCYPART_ARC
(22,25),-0.831476 # DEPENDENCYPART_ARC
(22,26),-1.0399 # DEPENDENCYPART_ARC
(23,21),-2.08893 # DEPENDENCYPART_ARC
(23,25),2.26334 # DEPENDENCYPART_ARC
(24,23),-0.176277 # DEPENDENCYPART_ARC
(25,21),-1.62245 # DEPENDENCYPART_ARC
(25,24),1.28335 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.434492 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.336046 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.113247 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.332411 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.259095 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.326331 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0251209 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.137204 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00826677 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.202453 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0824062 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.317326 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.075971 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00839409 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0137104 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0611015 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00482634 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.093597 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0622943 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.019631 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0356177 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0384564 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.00737169 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.0210634 # DEPENDENCYPART_SIBL
