# _root_ La manca d' aigua potable i d' electricitat que han provocat aquestes inundacions , accentuen la possibilitat d' aparició d' epidèmies , sobretot de còlera i de malària .
#goldHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,2,0,17,15,17,18,19,20,24,24,21,24,24,24,27,15,
#predictedHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,11,0,17,15,17,18,19,20,24,24,19,24,24,24,27,15,
(0,2),-4.71102 # DEPENDENCYPART_ARC
(0,10),-3.43201 # DEPENDENCYPART_ARC
(0,11),-2.93451 # DEPENDENCYPART_ARC
(0,15),-1.77873 # DEPENDENCYPART_ARC
(1,2),-0.41725 # DEPENDENCYPART_ARC
(1,3),-1.03223 # DEPENDENCYPART_ARC
(2,1),1.43153 # DEPENDENCYPART_ARC
(2,3),1.23346 # DEPENDENCYPART_ARC
(2,4),-0.204275 # DEPENDENCYPART_ARC
(2,5),0.148479 # DEPENDENCYPART_ARC
(2,6),-1.1225 # DEPENDENCYPART_ARC
(2,7),-1.56206 # DEPENDENCYPART_ARC
(2,8),-1.38023 # DEPENDENCYPART_ARC
(2,10),-1.56991 # DEPENDENCYPART_ARC
(2,11),-1.25844 # DEPENDENCYPART_ARC
(2,13),-1.98678 # DEPENDENCYPART_ARC
(2,14),-1.17346 # DEPENDENCYPART_ARC
(2,15),-2.60919 # DEPENDENCYPART_ARC
(2,17),-1.90595 # DEPENDENCYPART_ARC
(2,18),-2.26994 # DEPENDENCYPART_ARC
(2,20),-2.63496 # DEPENDENCYPART_ARC
(2,29),-2.69263 # DEPENDENCYPART_ARC
(3,1),-1.57164 # DEPENDENCYPART_ARC
(3,4),2.48135 # DEPENDENCYPART_ARC
(3,5),-0.807596 # DEPENDENCYPART_ARC
(3,6),-0.472806 # DEPENDENCYPART_ARC
(3,7),-0.489489 # DEPENDENCYPART_ARC
(3,8),-0.692133 # DEPENDENCYPART_ARC
(3,24),-3.099 # DEPENDENCYPART_ARC
(3,27),-2.83365 # DEPENDENCYPART_ARC
(4,1),-1.44946 # DEPENDENCYPART_ARC
(4,5),0.873058 # DEPENDENCYPART_ARC
(4,6),-1.34963 # DEPENDENCYPART_ARC
(4,7),-1.28788 # DEPENDENCYPART_ARC
(4,8),-1.2614 # DEPENDENCYPART_ARC
(4,10),-2.0232 # DEPENDENCYPART_ARC
(4,11),-1.81753 # DEPENDENCYPART_ARC
(4,13),-2.08054 # DEPENDENCYPART_ARC
(4,15),-3.18251 # DEPENDENCYPART_ARC
(5,1),-2.48801 # DEPENDENCYPART_ARC
(5,3),-1.23382 # DEPENDENCYPART_ARC
(5,6),-0.229787 # DEPENDENCYPART_ARC
(5,7),-0.970235 # DEPENDENCYPART_ARC
(5,8),-1.86355 # DEPENDENCYPART_ARC
(5,10),-2.17776 # DEPENDENCYPART_ARC
