# _root_ En l' obra s' hi pot veure un cert paral·lelisme amb la vida de l' autor , s' hi veu reflectida la_seva sensibilitat , les_seves inquietuds i els_seus dubtes .
#goldHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,7,20,20,7,20,23,20,23,26,23,23,29,23,7,
#predictedHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,20,20,20,13,20,23,20,23,26,23,23,29,23,7,
(0,1),-4.43956 # DEPENDENCYPART_ARC
(0,6),-2.77392 # DEPENDENCYPART_ARC
(0,7),-3.53612 # DEPENDENCYPART_ARC
(0,20),-2.97003 # DEPENDENCYPART_ARC
(1,2),-0.640068 # DEPENDENCYPART_ARC
(1,3),2.4061 # DEPENDENCYPART_ARC
(1,6),-1.7605 # DEPENDENCYPART_ARC
(1,7),-1.34993 # DEPENDENCYPART_ARC
(1,17),-0.748534 # DEPENDENCYPART_ARC
(1,24),-0.735208 # DEPENDENCYPART_ARC
(3,1),-1.71612 # DEPENDENCYPART_ARC
(3,2),1.07342 # DEPENDENCYPART_ARC
(3,5),-3.14562 # DEPENDENCYPART_ARC
(3,6),-0.306629 # DEPENDENCYPART_ARC
(3,7),-0.895454 # DEPENDENCYPART_ARC
(3,8),-3.11668 # DEPENDENCYPART_ARC
(3,10),-2.01612 # DEPENDENCYPART_ARC
(3,11),-1.47304 # DEPENDENCYPART_ARC
(3,20),-0.00402193 # DEPENDENCYPART_ARC
(3,26),-3.12932 # DEPENDENCYPART_ARC
(3,29),-3.67963 # DEPENDENCYPART_ARC
(3,30),-2.94928 # DEPENDENCYPART_ARC
(5,6),-1.56768 # DEPENDENCYPART_ARC
(5,10),-2.93168 # DEPENDENCYPART_ARC
(5,11),-2.52339 # DEPENDENCYPART_ARC
(6,1),-1.47729 # DEPENDENCYPART_ARC
(6,2),-3.62209 # DEPENDENCYPART_ARC
(6,3),-2.04344 # DEPENDENCYPART_ARC
(6,4),-0.573017 # DEPENDENCYPART_ARC
(6,5),0.324166 # DEPENDENCYPART_ARC
(6,7),0.552601 # DEPENDENCYPART_ARC
(6,10),-1.67033 # DEPENDENCYPART_ARC
(6,11),-1.26444 # DEPENDENCYPART_ARC
(6,13),-2.13674 # DEPENDENCYPART_ARC
(6,14),-2.5212 # DEPENDENCYPART_ARC
(6,16),-2.40565 # DEPENDENCYPART_ARC
(6,17),-1.97505 # DEPENDENCYPART_ARC
(6,20),-1.91718 # DEPENDENCYPART_ARC
(6,21),-2.27897 # DEPENDENCYPART_ARC
(6,23),-2.60307 # DEPENDENCYPART_ARC
(6,26),-2.89886 # DEPENDENCYPART_ARC
(6,27),-2.08903 # DEPENDENCYPART_ARC
(6,29),-3.12024 # DEPENDENCYPART_ARC
(6,30),-3.06452 # DEPENDENCYPART_ARC
(7,1),-0.00151665 # DEPENDENCYPART_ARC
(7,2),-2.42364 # DEPENDENCYPART_ARC
(7,3),-1.00117 # DEPENDENCYPART_ARC
(7,4),0.10481 # DEPENDENCYPART_ARC
(7,5),1.19939 # DEPENDENCYPART_ARC
(7,6),2.23552 # DEPENDENCYPART_ARC
(7,10),0.119071 # DEPENDENCYPART_ARC
(7,11),0.441288 # DEPENDENCYPART_ARC
(7,13),-0.410908 # DEPENDENCYPART_ARC
(7,14),-0.844153 # DEPENDENCYPART_ARC
(7,16),-0.958273 # DEPENDENCYPART_ARC
(7,17),-0.980088 # DEPENDENCYPART_ARC
(7,20),-1.2319 # DEPENDENCYPART_ARC
(7,21),-1.43003 # DEPENDENCYPART_ARC
(7,23),-1.47691 # DEPENDENCYPART_ARC
(7,24),-1.33101 # DEPENDENCYPART_ARC
(7,26),-1.49487 # DEPENDENCYPART_ARC
(7,27),-1.5603 # DEPENDENCYPART_ARC
(7,29),-1.81016 # DEPENDENCYPART_ARC
(7,30),-0.246637 # DEPENDENCYPART_ARC
(8,9),1.85373 # DEPENDENCYPART_ARC
(8,10),-0.557644 # DEPENDENCYPART_ARC
(8,11),-0.938949 # DEPENDENCYPART_ARC
(9,10),-0.167932 # DEPENDENCYPART_ARC
(9,11),-0.840096 # DEPENDENCYPART_ARC
(9,14),-1.2793 # DEPENDENCYPART_ARC
(10,1),-1.17316 # DEPENDENCYPART_ARC
(10,5),-1.3521 # DEPENDENCYPART_ARC
(10,7),-2.018 # DEPENDENCYPART_ARC
(10,8),-0.0926943 # DEPENDENCYPART_ARC
(10,9),0.882823 # DEPENDENCYPART_ARC
(10,11),0.107014 # DEPENDENCYPART_ARC
(10,13),-0.643437 # DEPENDENCYPART_ARC
(10,14),-0.711443 # DEPENDENCYPART_ARC
(10,16),-1.19864 # DEPENDENCYPART_ARC
(10,17),-1.25632 # DEPENDENCYPART_ARC
(10,20),-0.0510172 # DEPENDENCYPART_ARC
(10,21),-2.76953 # DEPENDENCYPART_ARC
(10,23),-2.3493 # DEPENDENCYPART_ARC
(10,24),-1.2925 # DEPENDENCYPART_ARC
(10,26),-2.9012 # DEPENDENCYPART_ARC
(10,27),-0.498961 # DEPENDENCYPART_ARC
(10,29),-3.13948 # DEPENDENCYPART_ARC
(10,30),-2.64141 # DEPENDENCYPART_ARC
(11,8),-2.89319 # DEPENDENCYPART_ARC
(11,9),-2.08576 # DEPENDENCYPART_ARC
(11,10),-1.51535 # DEPENDENCYPART_ARC
(11,12),-1.48834 # DEPENDENCYPART_ARC
(11,13),1.89658 # DEPENDENCYPART_ARC
(11,14),-1.80602 # DEPENDENCYPART_ARC
(11,16),-0.42413 # DEPENDENCYPART_ARC
(11,17),-1.3851 # DEPENDENCYPART_ARC
(11,20),-2.80404 # DEPENDENCYPART_ARC
(12,10),-2.47455 # DEPENDENCYPART_ARC
(12,13),-0.0687954 # DEPENDENCYPART_ARC
(12,14),-0.687969 # DEPENDENCYPART_ARC
(12,15),-1.00772 # DEPENDENCYPART_ARC
(13,1),-2.04029 # DEPENDENCYPART_ARC
(13,8),-3.76606 # DEPENDENCYPART_ARC
(13,9),-3.38729 # DEPENDENCYPART_ARC
(13,10),-2.53366 # DEPENDENCYPART_ARC
(13,11),-1.72147 # DEPENDENCYPART_ARC
(13,12),1.14718 # DEPENDENCYPART_ARC
(13,14),0.621181 # DEPENDENCYPART_ARC
(13,16),-0.690093 # DEPENDENCYPART_ARC
(13,17),-1.15191 # DEPENDENCYPART_ARC
(13,19),-3.43343 # DEPENDENCYPART_ARC
(13,20),0.0698565 # DEPENDENCYPART_ARC
