# _root_ La resolució , en_atenció_a aquestes falsedats i mala fe , imposa les costes del procediment als defensors per ' temeritat ' .
#goldHeads=2,11,4,11,6,4,6,9,6,4,0,13,11,13,14,11,16,11,20,18,20,11,
#predictedHeads=2,11,4,2,6,4,2,9,2,4,0,13,11,13,14,15,16,11,20,18,20,11,
(0,2),-4.2802 # DEPENDENCYPART_ARC
(0,9),-5.66587 # DEPENDENCYPART_ARC
(0,11),-1.8769 # DEPENDENCYPART_ARC
(1,2),-1.09083 # DEPENDENCYPART_ARC
(2,1),1.93462 # DEPENDENCYPART_ARC
(2,3),-0.733306 # DEPENDENCYPART_ARC
(2,4),-0.471072 # DEPENDENCYPART_ARC
(2,6),-0.363186 # DEPENDENCYPART_ARC
(2,7),-0.791056 # DEPENDENCYPART_ARC
(2,8),-1.14754 # DEPENDENCYPART_ARC
(2,9),-0.88874 # DEPENDENCYPART_ARC
(2,10),-1.44402 # DEPENDENCYPART_ARC
(2,11),-1.73898 # DEPENDENCYPART_ARC
(2,13),-2.31211 # DEPENDENCYPART_ARC
(2,14),-2.21656 # DEPENDENCYPART_ARC
(2,16),-1.60297 # DEPENDENCYPART_ARC
(2,18),-1.80488 # DEPENDENCYPART_ARC
(2,19),-1.9801 # DEPENDENCYPART_ARC
(2,20),-2.31075 # DEPENDENCYPART_ARC
(2,21),-2.50276 # DEPENDENCYPART_ARC
(2,22),-2.76612 # DEPENDENCYPART_ARC
(3,2),-1.74045 # DEPENDENCYPART_ARC
(4,1),-2.7382 # DEPENDENCYPART_ARC
(4,2),-2.30246 # DEPENDENCYPART_ARC
(4,3),-0.176923 # DEPENDENCYPART_ARC
(4,6),1.56749 # DEPENDENCYPART_ARC
(4,7),-1.22096 # DEPENDENCYPART_ARC
(4,8),-1.90424 # DEPENDENCYPART_ARC
(4,9),-0.872315 # DEPENDENCYPART_ARC
(4,10),-0.375955 # DEPENDENCYPART_ARC
(4,11),-3.10708 # DEPENDENCYPART_ARC
(4,14),-3.06583 # DEPENDENCYPART_ARC
(4,16),-2.99896 # DEPENDENCYPART_ARC
(4,19),-1.68549 # DEPENDENCYPART_ARC
(4,21),-1.5205 # DEPENDENCYPART_ARC
(4,22),-2.43294 # DEPENDENCYPART_ARC
(6,1),-2.78291 # DEPENDENCYPART_ARC
(6,2),-3.04175 # DEPENDENCYPART_ARC
(6,3),-2.26794 # DEPENDENCYPART_ARC
(6,4),-1.63512 # DEPENDENCYPART_ARC
(6,5),1.82943 # DEPENDENCYPART_ARC
(6,7),-0.620073 # DEPENDENCYPART_ARC
(6,8),-1.42632 # DEPENDENCYPART_ARC
(6,9),-0.75495 # DEPENDENCYPART_ARC
(6,10),-1.60661 # DEPENDENCYPART_ARC
(6,11),-2.24902 # DEPENDENCYPART_ARC
