# _root_ He de reconèixer que és difícil , amb un nacionalisme espanyol tan excloent com el que està fent el PP , mantenir aquesta política de pactes perquè de_vegades fan trontollar .
#goldHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,8,5,24,22,24,25,29,29,5,29,3,
#predictedHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,18,18,24,22,24,25,30,30,30,22,3,
(0,1),-1.55061 # DEPENDENCYPART_ARC
(0,2),-5.12637 # DEPENDENCYPART_ARC
(0,3),-3.76595 # DEPENDENCYPART_ARC
(0,5),-2.7786 # DEPENDENCYPART_ARC
(0,22),-5.4383 # DEPENDENCYPART_ARC
(1,2),-0.644551 # DEPENDENCYPART_ARC
(1,3),-0.919088 # DEPENDENCYPART_ARC
(1,4),-1.49454 # DEPENDENCYPART_ARC
(1,5),-0.263867 # DEPENDENCYPART_ARC
(1,6),-1.95494 # DEPENDENCYPART_ARC
(1,7),-1.55856 # DEPENDENCYPART_ARC
(1,8),-2.3214 # DEPENDENCYPART_ARC
(1,18),-2.3805 # DEPENDENCYPART_ARC
(1,21),-1.23886 # DEPENDENCYPART_ARC
(1,31),-1.78282 # DEPENDENCYPART_ARC
(2,3),1.55821 # DEPENDENCYPART_ARC
(2,4),-1.4225 # DEPENDENCYPART_ARC
(2,5),-2.25117 # DEPENDENCYPART_ARC
(2,6),-1.4111 # DEPENDENCYPART_ARC
(2,7),-1.07729 # DEPENDENCYPART_ARC
(2,8),-2.02862 # DEPENDENCYPART_ARC
(3,1),2.42113 # DEPENDENCYPART_ARC
(3,2),1.25793 # DEPENDENCYPART_ARC
(3,4),0.232082 # DEPENDENCYPART_ARC
(3,5),0.579208 # DEPENDENCYPART_ARC
(3,6),-1.14249 # DEPENDENCYPART_ARC
(3,7),-0.868615 # DEPENDENCYPART_ARC
(3,8),-1.10633 # DEPENDENCYPART_ARC
(3,10),-1.96187 # DEPENDENCYPART_ARC
(3,11),-2.27003 # DEPENDENCYPART_ARC
(3,13),-2.29632 # DEPENDENCYPART_ARC
(3,14),-2.43868 # DEPENDENCYPART_ARC
(3,17),-1.6337 # DEPENDENCYPART_ARC
(3,18),-0.876316 # DEPENDENCYPART_ARC
(3,21),-0.719853 # DEPENDENCYPART_ARC
(3,22),-1.19249 # DEPENDENCYPART_ARC
(3,29),-1.9128 # DEPENDENCYPART_ARC
(3,30),-1.40787 # DEPENDENCYPART_ARC
(3,31),-0.532406 # DEPENDENCYPART_ARC
(5,1),-1.80988 # DEPENDENCYPART_ARC
(5,2),-1.10835 # DEPENDENCYPART_ARC
(5,3),-0.574359 # DEPENDENCYPART_ARC
(5,4),2.24896 # DEPENDENCYPART_ARC
(5,6),1.77888 # DEPENDENCYPART_ARC
(5,7),-0.484043 # DEPENDENCYPART_ARC
(5,8),-0.388372 # DEPENDENCYPART_ARC
(5,10),-1.03329 # DEPENDENCYPART_ARC
(5,11),-1.2657 # DEPENDENCYPART_ARC
(5,12),-1.56807 # DEPENDENCYPART_ARC
(5,13),-1.20122 # DEPENDENCYPART_ARC
(5,14),-2.06434 # DEPENDENCYPART_ARC
(5,16),-3.03645 # DEPENDENCYPART_ARC
(5,17),-0.567151 # DEPENDENCYPART_ARC
(5,18),-0.917396 # DEPENDENCYPART_ARC
(5,20),-2.58434 # DEPENDENCYPART_ARC
(5,21),-0.670881 # DEPENDENCYPART_ARC
(5,22),-1.55884 # DEPENDENCYPART_ARC
(5,24),-2.42059 # DEPENDENCYPART_ARC
(5,29),-1.93074 # DEPENDENCYPART_ARC
(5,30),-1.95006 # DEPENDENCYPART_ARC
(5,31),-0.876632 # DEPENDENCYPART_ARC
(6,2),-1.83916 # DEPENDENCYPART_ARC
(6,4),-1.60492 # DEPENDENCYPART_ARC
(6,5),-1.87253 # DEPENDENCYPART_ARC
(6,7),-0.765457 # DEPENDENCYPART_ARC
(6,8),-1.31549 # DEPENDENCYPART_ARC
(6,10),-2.01936 # DEPENDENCYPART_ARC
(6,11),-1.46411 # DEPENDENCYPART_ARC
(6,13),-1.17283 # DEPENDENCYPART_ARC
(7,6),-1.28221 # DEPENDENCYPART_ARC
(8,3),-2.45099 # DEPENDENCYPART_ARC
(8,6),-2.06847 # DEPENDENCYPART_ARC
(8,7),0.155313 # DEPENDENCYPART_ARC
(8,9),-1.70468 # DEPENDENCYPART_ARC
(8,10),1.457 # DEPENDENCYPART_ARC
(8,11),-1.9409 # DEPENDENCYPART_ARC
(8,12),-1.82177 # DEPENDENCYPART_ARC
(8,13),-1.70403 # DEPENDENCYPART_ARC
(8,14),-1.5959 # DEPENDENCYPART_ARC
(8,18),-2.53359 # DEPENDENCYPART_ARC
(8,21),-0.919738 # DEPENDENCYPART_ARC
(9,12),-1.54135 # DEPENDENCYPART_ARC
(10,2),-1.75432 # DEPENDENCYPART_ARC
(10,3),-2.88896 # DEPENDENCYPART_ARC
(10,6),-1.49924 # DEPENDENCYPART_ARC
(10,9),1.28019 # DEPENDENCYPART_ARC
(10,11),1.79295 # DEPENDENCYPART_ARC
(10,12),-0.879754 # DEPENDENCYPART_ARC
(10,13),-0.0943784 # DEPENDENCYPART_ARC
(10,14),0.036357 # DEPENDENCYPART_ARC
(10,17),-0.811105 # DEPENDENCYPART_ARC
(10,18),-1.67848 # DEPENDENCYPART_ARC
(10,20),-1.96665 # DEPENDENCYPART_ARC
(10,24),-2.27683 # DEPENDENCYPART_ARC
(10,25),-2.22883 # DEPENDENCYPART_ARC
(10,31),-2.10694 # DEPENDENCYPART_ARC
(11,2),-2.02558 # DEPENDENCYPART_ARC
(11,9),-1.48783 # DEPENDENCYPART_ARC
(11,12),-0.659354 # DEPENDENCYPART_ARC
(11,13),-0.365696 # DEPENDENCYPART_ARC
(11,14),-1.30714 # DEPENDENCYPART_ARC
(12,7),-2.34168 # DEPENDENCYPART_ARC
(12,10),-1.76481 # DEPENDENCYPART_ARC
(12,11),-1.12292 # DEPENDENCYPART_ARC
(12,13),-0.874017 # DEPENDENCYPART_ARC
(12,14),-1.54537 # DEPENDENCYPART_ARC
(12,17),-1.80415 # DEPENDENCYPART_ARC
(13,7),-1.48222 # DEPENDENCYPART_ARC
(13,8),-0.940681 # DEPENDENCYPART_ARC
(13,10),-1.88622 # DEPENDENCYPART_ARC
(13,11),-0.866851 # DEPENDENCYPART_ARC
(13,12),1.63312 # DEPENDENCYPART_ARC
(13,14),-0.893365 # DEPENDENCYPART_ARC
(13,17),-1.93796 # DEPENDENCYPART_ARC
(13,18),-1.71963 # DEPENDENCYPART_ARC
(13,20),-1.96825 # DEPENDENCYPART_ARC
(13,21),-1.29785 # DEPENDENCYPART_ARC
(13,22),-2.26483 # DEPENDENCYPART_ARC
(13,24),-2.35363 # DEPENDENCYPART_ARC
(13,25),-2.92694 # DEPENDENCYPART_ARC
(13,30),-2.32138 # DEPENDENCYPART_ARC
(14,17),-1.26708 # DEPENDENCYPART_ARC
(14,18),-1.76532 # DEPENDENCYPART_ARC
(14,21),-1.64454 # DEPENDENCYPART_ARC
(14,27),-1.23664 # DEPENDENCYPART_ARC
(14,31),-1.433 # DEPENDENCYPART_ARC
(15,16),-1.70423 # DEPENDENCYPART_ARC
(16,15),-3.00116 # DEPENDENCYPART_ARC
(16,17),-1.1597 # DEPENDENCYPART_ARC
(17,4),-2.39115 # DEPENDENCYPART_ARC
(17,5),-2.65002 # DEPENDENCYPART_ARC
(17,7),-1.87591 # DEPENDENCYPART_ARC
(17,8),-1.78951 # DEPENDENCYPART_ARC
(17,10),-3.12733 # DEPENDENCYPART_ARC
(17,12),-2.29663 # DEPENDENCYPART_ARC
(17,14),-1.426 # DEPENDENCYPART_ARC
(17,15),-1.95352 # DEPENDENCYPART_ARC
(17,16),1.07097 # DEPENDENCYPART_ARC
(17,18),0.943995 # DEPENDENCYPART_ARC
(17,20),-1.25988 # DEPENDENCYPART_ARC
(17,21),-0.968723 # DEPENDENCYPART_ARC
(17,22),-1.8655 # DEPENDENCYPART_ARC
(17,24),-1.99409 # DEPENDENCYPART_ARC
(17,28),-2.75122 # DEPENDENCYPART_ARC
(17,29),-2.20479 # DEPENDENCYPART_ARC
(17,30),-2.18825 # DEPENDENCYPART_ARC
(17,31),-2.66538 # DEPENDENCYPART_ARC
(18,1),-0.67011 # DEPENDENCYPART_ARC
(18,2),-2.33558 # DEPENDENCYPART_ARC
(18,3),-2.24427 # DEPENDENCYPART_ARC
(18,4),-0.660338 # DEPENDENCYPART_ARC
(18,5),-0.165339 # DEPENDENCYPART_ARC
(18,6),-1.48862 # DEPENDENCYPART_ARC
(18,7),-0.581946 # DEPENDENCYPART_ARC
(18,8),0.0256187 # DEPENDENCYPART_ARC
(18,10),-1.40738 # DEPENDENCYPART_ARC
(18,11),-1.49363 # DEPENDENCYPART_ARC
(18,12),-1.03113 # DEPENDENCYPART_ARC
(18,13),-1.16971 # DEPENDENCYPART_ARC
(18,14),0.396965 # DEPENDENCYPART_ARC
(18,15),-0.875745 # DEPENDENCYPART_ARC
(18,16),1.54627 # DEPENDENCYPART_ARC
(18,17),3.21964 # DEPENDENCYPART_ARC
(18,20),0.456616 # DEPENDENCYPART_ARC
(18,21),-0.216594 # DEPENDENCYPART_ARC
(18,22),-0.825897 # DEPENDENCYPART_ARC
(18,24),-1.1 # DEPENDENCYPART_ARC
(18,25),-1.4029 # DEPENDENCYPART_ARC
(18,26),-1.82313 # DEPENDENCYPART_ARC
(18,27),-1.71182 # DEPENDENCYPART_ARC
(18,28),-2.45001 # DEPENDENCYPART_ARC
(18,29),-1.58775 # DEPENDENCYPART_ARC
(18,30),-1.49524 # DEPENDENCYPART_ARC
(18,31),-1.53376 # DEPENDENCYPART_ARC
(20,18),-0.857907 # DEPENDENCYPART_ARC
(20,19),1.15166 # DEPENDENCYPART_ARC
(20,21),-0.8825 # DEPENDENCYPART_ARC
(20,22),-1.66452 # DEPENDENCYPART_ARC
(20,24),-1.76053 # DEPENDENCYPART_ARC
(20,25),-1.87709 # DEPENDENCYPART_ARC
(20,27),-1.75471 # DEPENDENCYPART_ARC
(20,28),-2.41032 # DEPENDENCYPART_ARC
(22,1),-2.50663 # DEPENDENCYPART_ARC
(22,3),-3.13941 # DEPENDENCYPART_ARC
(22,4),-2.84844 # DEPENDENCYPART_ARC
(22,5),-1.98285 # DEPENDENCYPART_ARC
(22,6),-3.11869 # DEPENDENCYPART_ARC
(22,8),-2.26043 # DEPENDENCYPART_ARC
(22,10),-3.00389 # DEPENDENCYPART_ARC
(22,11),-3.08626 # DEPENDENCYPART_ARC
(22,12),-2.73502 # DEPENDENCYPART_ARC
(22,13),-3.05762 # DEPENDENCYPART_ARC
(22,14),-2.15706 # DEPENDENCYPART_ARC
(22,15),-3.67668 # DEPENDENCYPART_ARC
(22,16),-2.21988 # DEPENDENCYPART_ARC
(22,17),-1.77854 # DEPENDENCYPART_ARC
(22,18),-1.20772 # DEPENDENCYPART_ARC
(22,19),-2.59823 # DEPENDENCYPART_ARC
(22,20),-1.17026 # DEPENDENCYPART_ARC
(22,21),-0.868416 # DEPENDENCYPART_ARC
(22,24),1.10987 # DEPENDENCYPART_ARC
(22,25),-0.205319 # DEPENDENCYPART_ARC
(22,26),-0.529417 # DEPENDENCYPART_ARC
(22,27),-1.37194 # DEPENDENCYPART_ARC
(22,28),-1.8648 # DEPENDENCYPART_ARC
(22,29),-1.25444 # DEPENDENCYPART_ARC
(22,30),-0.991768 # DEPENDENCYPART_ARC
(22,31),-1.09224 # DEPENDENCYPART_ARC
(24,2),-2.2661 # DEPENDENCYPART_ARC
