# _root_ Segons va explicar , les peces intervingudes tenen imatges d' inspiració mironiana , però " no reprodueixen dibuixos del pintor " .
#goldHeads=3,3,8,3,6,8,6,0,8,9,10,11,9,8,17,17,8,17,18,19,17,8,
#predictedHeads=3,3,8,3,6,8,6,0,8,9,10,11,8,8,17,17,8,17,18,19,17,8,
(0,1),-3.89853 # DEPENDENCYPART_ARC
(0,2),-2.7458 # DEPENDENCYPART_ARC
(0,3),-4.10272 # DEPENDENCYPART_ARC
(0,6),-5.92017 # DEPENDENCYPART_ARC
(0,8),-2.27823 # DEPENDENCYPART_ARC
(0,17),-2.59143 # DEPENDENCYPART_ARC
(1,2),-0.701676 # DEPENDENCYPART_ARC
(1,3),-1.7027 # DEPENDENCYPART_ARC
(1,4),-1.56998 # DEPENDENCYPART_ARC
(1,8),-2.23233 # DEPENDENCYPART_ARC
(2,1),-0.819718 # DEPENDENCYPART_ARC
(2,3),-0.00150041 # DEPENDENCYPART_ARC
(2,4),-1.62386 # DEPENDENCYPART_ARC
(2,6),-2.27492 # DEPENDENCYPART_ARC
(2,8),-1.83964 # DEPENDENCYPART_ARC
(2,14),-1.62514 # DEPENDENCYPART_ARC
(2,17),-2.41828 # DEPENDENCYPART_ARC
(2,22),-3.74564 # DEPENDENCYPART_ARC
(3,1),1.07909 # DEPENDENCYPART_ARC
(3,2),2.55019 # DEPENDENCYPART_ARC
(3,4),-0.327001 # DEPENDENCYPART_ARC
(3,6),0.0837203 # DEPENDENCYPART_ARC
(3,7),-0.532043 # DEPENDENCYPART_ARC
(3,8),-0.810742 # DEPENDENCYPART_ARC
(3,9),-0.505582 # DEPENDENCYPART_ARC
(3,10),-1.44006 # DEPENDENCYPART_ARC
(3,12),-2.01942 # DEPENDENCYPART_ARC
(3,13),-1.41973 # DEPENDENCYPART_ARC
(3,14),-1.02179 # DEPENDENCYPART_ARC
(3,15),-2.42886 # DEPENDENCYPART_ARC
(3,17),-1.67323 # DEPENDENCYPART_ARC
(3,18),-1.74592 # DEPENDENCYPART_ARC
(3,21),-1.858 # DEPENDENCYPART_ARC
(3,22),-1.83203 # DEPENDENCYPART_ARC
(5,6),-1.49033 # DEPENDENCYPART_ARC
(6,1),-2.77112 # DEPENDENCYPART_ARC
(6,3),-2.56477 # DEPENDENCYPART_ARC
(6,4),-0.747738 # DEPENDENCYPART_ARC
(6,5),2.37496 # DEPENDENCYPART_ARC
(6,7),2.06592 # DEPENDENCYPART_ARC
(6,8),-0.810339 # DEPENDENCYPART_ARC
(6,9),-0.369111 # DEPENDENCYPART_ARC
(6,10),-0.65154 # DEPENDENCYPART_ARC
(6,12),-2.04063 # DEPENDENCYPART_ARC
(6,13),-0.845149 # DEPENDENCYPART_ARC
(6,14),-1.40116 # DEPENDENCYPART_ARC
(6,15),-1.71779 # DEPENDENCYPART_ARC
(6,17),-2.58049 # DEPENDENCYPART_ARC
(6,18),-1.58905 # DEPENDENCYPART_ARC
(6,19),-2.40871 # DEPENDENCYPART_ARC
(6,21),-2.04302 # DEPENDENCYPART_ARC
(6,22),-2.47938 # DEPENDENCYPART_ARC
(7,4),-1.95808 # DEPENDENCYPART_ARC
(7,5),-1.5974 # DEPENDENCYPART_ARC
(7,6),-1.86421 # DEPENDENCYPART_ARC
(7,8),-0.861606 # DEPENDENCYPART_ARC
(7,9),-1.24704 # DEPENDENCYPART_ARC
(7,10),-0.748666 # DEPENDENCYPART_ARC
(7,12),-3.39221 # DEPENDENCYPART_ARC
(7,13),-1.91183 # DEPENDENCYPART_ARC
(7,14),-1.60874 # DEPENDENCYPART_ARC
(7,17),-2.42608 # DEPENDENCYPART_ARC
(8,1),-0.556618 # DEPENDENCYPART_ARC
(8,2),-2.13257 # DEPENDENCYPART_ARC
(8,3),-1.1985 # DEPENDENCYPART_ARC
(8,4),-0.922327 # DEPENDENCYPART_ARC
(8,5),-1.58384 # DEPENDENCYPART_ARC
(8,6),0.392846 # DEPENDENCYPART_ARC
(8,7),0.43972 # DEPENDENCYPART_ARC
(8,9),2.75799 # DEPENDENCYPART_ARC
(8,10),0.186451 # DEPENDENCYPART_ARC
(8,11),-0.430739 # DEPENDENCYPART_ARC
(8,12),-1.72354 # DEPENDENCYPART_ARC
(8,13),-0.352121 # DEPENDENCYPART_ARC
(8,14),-0.231879 # DEPENDENCYPART_ARC
(8,15),-1.24541 # DEPENDENCYPART_ARC
(8,16),-2.07224 # DEPENDENCYPART_ARC
(8,17),0.0909356 # DEPENDENCYPART_ARC
(8,18),-1.04231 # DEPENDENCYPART_ARC
(8,19),-2.39513 # DEPENDENCYPART_ARC
(8,21),-1.05052 # DEPENDENCYPART_ARC
(8,22),-0.765064 # DEPENDENCYPART_ARC
(9,3),-3.3654 # DEPENDENCYPART_ARC
(9,4),-2.81624 # DEPENDENCYPART_ARC
(9,5),-1.71632 # DEPENDENCYPART_ARC
(9,6),-2.35724 # DEPENDENCYPART_ARC
(9,7),-1.00396 # DEPENDENCYPART_ARC
(9,8),-0.547498 # DEPENDENCYPART_ARC
(9,10),1.38771 # DEPENDENCYPART_ARC
(9,11),-0.279973 # DEPENDENCYPART_ARC
(9,12),-0.592047 # DEPENDENCYPART_ARC
(9,13),-0.689974 # DEPENDENCYPART_ARC
(9,14),-0.799099 # DEPENDENCYPART_ARC
(9,15),-1.34066 # DEPENDENCYPART_ARC
(9,17),-1.35153 # DEPENDENCYPART_ARC
(9,18),-0.937196 # DEPENDENCYPART_ARC
(9,19),-1.7617 # DEPENDENCYPART_ARC
(9,21),-2.02362 # DEPENDENCYPART_ARC
(9,22),-2.35614 # DEPENDENCYPART_ARC
(10,3),-2.28001 # DEPENDENCYPART_ARC
(10,11),2.62628 # DEPENDENCYPART_ARC
(10,12),-0.563704 # DEPENDENCYPART_ARC
(10,13),-0.791765 # DEPENDENCYPART_ARC
(10,14),-1.08981 # DEPENDENCYPART_ARC
(10,15),-2.09509 # DEPENDENCYPART_ARC
(10,17),-2.88733 # DEPENDENCYPART_ARC
(10,19),-2.83388 # DEPENDENCYPART_ARC
(11,3),-2.81449 # DEPENDENCYPART_ARC
(11,4),-2.09582 # DEPENDENCYPART_ARC
(11,5),-2.98456 # DEPENDENCYPART_ARC
(11,6),-2.67751 # DEPENDENCYPART_ARC
(11,10),-0.740994 # DEPENDENCYPART_ARC
(11,12),1.23826 # DEPENDENCYPART_ARC
(11,13),-1.08466 # DEPENDENCYPART_ARC
(11,14),-1.02518 # DEPENDENCYPART_ARC
(11,15),-1.64592 # DEPENDENCYPART_ARC
(11,17),-2.44022 # DEPENDENCYPART_ARC
(11,18),-2.09764 # DEPENDENCYPART_ARC
(11,19),-1.94322 # DEPENDENCYPART_ARC
(11,21),-2.36823 # DEPENDENCYPART_ARC
