# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,17,17,14,9,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(0,2),-4.68393 # DEPENDENCYPART_ARC
(0,7),-5.42709 # DEPENDENCYPART_ARC
(0,9),-2.62607 # DEPENDENCYPART_ARC
(0,19),-2.04602 # DEPENDENCYPART_ARC
(0,28),-3.81641 # DEPENDENCYPART_ARC
(0,29),-5.79947 # DEPENDENCYPART_ARC
(1,2),-0.602829 # DEPENDENCYPART_ARC
(1,3),-1.00098 # DEPENDENCYPART_ARC
(2,1),1.16567 # DEPENDENCYPART_ARC
(2,3),1.17946 # DEPENDENCYPART_ARC
(2,4),-0.644513 # DEPENDENCYPART_ARC
(2,5),-0.500247 # DEPENDENCYPART_ARC
(2,6),-2.32818 # DEPENDENCYPART_ARC
(2,7),-1.01483 # DEPENDENCYPART_ARC
(2,9),-0.373607 # DEPENDENCYPART_ARC
(2,10),-1.83682 # DEPENDENCYPART_ARC
(2,12),-1.44083 # DEPENDENCYPART_ARC
(2,13),-0.713214 # DEPENDENCYPART_ARC
(2,14),-1.48304 # DEPENDENCYPART_ARC
(2,15),-1.56173 # DEPENDENCYPART_ARC
(2,17),-2.41646 # DEPENDENCYPART_ARC
(2,18),-1.15843 # DEPENDENCYPART_ARC
(2,19),-1.20282 # DEPENDENCYPART_ARC
(2,21),-2.54118 # DEPENDENCYPART_ARC
(2,22),-2.42482 # DEPENDENCYPART_ARC
(2,36),-2.86482 # DEPENDENCYPART_ARC
(3,1),-2.03425 # DEPENDENCYPART_ARC
(3,2),-1.28406 # DEPENDENCYPART_ARC
(3,4),1.78678 # DEPENDENCYPART_ARC
(3,5),-1.23597 # DEPENDENCYPART_ARC
(3,7),-1.45559 # DEPENDENCYPART_ARC
(4,1),-2.7341 # DEPENDENCYPART_ARC
(4,5),-1.10196 # DEPENDENCYPART_ARC
(4,7),-1.27349 # DEPENDENCYPART_ARC
(4,9),-1.2075 # DEPENDENCYPART_ARC
(4,13),-2.01232 # DEPENDENCYPART_ARC
(4,14),-2.34824 # DEPENDENCYPART_ARC
(4,36),-3.19946 # DEPENDENCYPART_ARC
(6,7),-0.846378 # DEPENDENCYPART_ARC
(6,10),-1.72843 # DEPENDENCYPART_ARC
(7,1),-2.54438 # DEPENDENCYPART_ARC
(7,2),-2.39191 # DEPENDENCYPART_ARC
(7,3),-1.28973 # DEPENDENCYPART_ARC
(7,5),-0.132549 # DEPENDENCYPART_ARC
(7,6),2.06405 # DEPENDENCYPART_ARC
(7,8),-1.13017 # DEPENDENCYPART_ARC
(7,9),0.187973 # DEPENDENCYPART_ARC
(7,10),-0.513436 # DEPENDENCYPART_ARC
(7,12),-0.956153 # DEPENDENCYPART_ARC
(7,13),-1.38805 # DEPENDENCYPART_ARC
(7,14),-0.83092 # DEPENDENCYPART_ARC
(7,15),-1.1938 # DEPENDENCYPART_ARC
(7,17),-1.71033 # DEPENDENCYPART_ARC
(7,18),-0.867352 # DEPENDENCYPART_ARC
(7,19),-0.936033 # DEPENDENCYPART_ARC
(7,21),-2.30337 # DEPENDENCYPART_ARC
(7,22),-1.99852 # DEPENDENCYPART_ARC
(7,24),-1.61184 # DEPENDENCYPART_ARC
(7,26),-2.98151 # DEPENDENCYPART_ARC
(7,27),-2.50639 # DEPENDENCYPART_ARC
(7,28),-1.85086 # DEPENDENCYPART_ARC
(7,29),-2.24405 # DEPENDENCYPART_ARC
(7,36),-2.19918 # DEPENDENCYPART_ARC
(8,9),-1.13192 # DEPENDENCYPART_ARC
(8,10),-1.59028 # DEPENDENCYPART_ARC
(9,1),-3.41217 # DEPENDENCYPART_ARC
(9,2),-1.18978 # DEPENDENCYPART_ARC
(9,3),-1.97288 # DEPENDENCYPART_ARC
(9,4),-2.02222 # DEPENDENCYPART_ARC
(9,5),-0.86314 # DEPENDENCYPART_ARC
(9,7),-0.418576 # DEPENDENCYPART_ARC
(9,8),3.11577 # DEPENDENCYPART_ARC
(9,10),0.627396 # DEPENDENCYPART_ARC
(9,12),-0.167877 # DEPENDENCYPART_ARC
(9,13),-0.489901 # DEPENDENCYPART_ARC
(9,14),-0.888716 # DEPENDENCYPART_ARC
(9,15),-1.74327 # DEPENDENCYPART_ARC
(9,17),-1.38089 # DEPENDENCYPART_ARC
(9,18),-0.303844 # DEPENDENCYPART_ARC
(9,19),-0.187397 # DEPENDENCYPART_ARC
(9,21),-1.87801 # DEPENDENCYPART_ARC
(9,28),-1.53497 # DEPENDENCYPART_ARC
(9,29),-1.33098 # DEPENDENCYPART_ARC
(9,32),-1.87313 # DEPENDENCYPART_ARC
(9,36),-0.706073 # DEPENDENCYPART_ARC
(10,9),-0.797437 # DEPENDENCYPART_ARC
(10,12),1.82815 # DEPENDENCYPART_ARC
(10,13),-1.15223 # DEPENDENCYPART_ARC
