# _root_ Si l' objectiu és que el_nostre programa de quatre anys es pugui aconseguir , que el finançament de l' Estat arribi millor del que està arribant , ho hem de saber explicar .
#goldHeads=4,3,4,31,13,7,13,7,10,8,13,13,4,13,21,17,21,17,20,18,13,21,22,26,26,23,26,31,31,31,0,31,31,
#predictedHeads=4,3,4,0,13,7,13,7,10,8,13,13,4,21,21,17,21,17,20,18,13,21,22,26,26,23,26,31,31,31,26,31,4,
(0,1),-3.89622 # DEPENDENCYPART_ARC
(0,4),-2.09866 # DEPENDENCYPART_ARC
(0,12),-5.32447 # DEPENDENCYPART_ARC
(0,13),-5.47551 # DEPENDENCYPART_ARC
(0,21),-5.48636 # DEPENDENCYPART_ARC
(0,32),-4.15682 # DEPENDENCYPART_ARC
(1,3),-1.42373 # DEPENDENCYPART_ARC
(1,4),-1.52989 # DEPENDENCYPART_ARC
(1,8),-2.13971 # DEPENDENCYPART_ARC
(2,3),-1.26593 # DEPENDENCYPART_ARC
(3,1),-1.42363 # DEPENDENCYPART_ARC
(3,2),1.8858 # DEPENDENCYPART_ARC
(3,7),-2.24794 # DEPENDENCYPART_ARC
(3,8),-1.91907 # DEPENDENCYPART_ARC
(4,1),1.56075 # DEPENDENCYPART_ARC
(4,2),-1.21973 # DEPENDENCYPART_ARC
(4,3),0.783481 # DEPENDENCYPART_ARC
(4,5),-0.599185 # DEPENDENCYPART_ARC
(4,7),-0.753031 # DEPENDENCYPART_ARC
(4,8),-1.02567 # DEPENDENCYPART_ARC
(4,10),-1.73026 # DEPENDENCYPART_ARC
(4,12),-0.433231 # DEPENDENCYPART_ARC
(4,13),-0.480283 # DEPENDENCYPART_ARC
(4,14),-0.468506 # DEPENDENCYPART_ARC
(4,21),-0.386941 # DEPENDENCYPART_ARC
(4,25),-1.58761 # DEPENDENCYPART_ARC
(4,26),-1.44094 # DEPENDENCYPART_ARC
(4,27),-0.867982 # DEPENDENCYPART_ARC
(4,29),-2.07516 # DEPENDENCYPART_ARC
(4,31),-2.75483 # DEPENDENCYPART_ARC
(4,32),-2.33203 # DEPENDENCYPART_ARC
(4,33),0.344719 # DEPENDENCYPART_ARC
(5,7),-1.81661 # DEPENDENCYPART_ARC
(5,8),-1.8626 # DEPENDENCYPART_ARC
(7,1),-2.4464 # DEPENDENCYPART_ARC
(7,2),-2.40625 # DEPENDENCYPART_ARC
(7,3),-2.53807 # DEPENDENCYPART_ARC
(7,4),-2.21503 # DEPENDENCYPART_ARC
(7,5),-1.32665 # DEPENDENCYPART_ARC
(7,6),1.38086 # DEPENDENCYPART_ARC
(7,8),0.65879 # DEPENDENCYPART_ARC
(7,10),-1.01306 # DEPENDENCYPART_ARC
(7,12),-0.41192 # DEPENDENCYPART_ARC
(7,13),-1.01036 # DEPENDENCYPART_ARC
(7,14),-1.0356 # DEPENDENCYPART_ARC
(7,15),-1.51561 # DEPENDENCYPART_ARC
(7,17),-1.90155 # DEPENDENCYPART_ARC
(7,18),-1.75499 # DEPENDENCYPART_ARC
(7,33),-2.60058 # DEPENDENCYPART_ARC
(8,9),-0.934725 # DEPENDENCYPART_ARC
(8,10),2.08186 # DEPENDENCYPART_ARC
(8,12),-1.48369 # DEPENDENCYPART_ARC
(8,13),-1.4945 # DEPENDENCYPART_ARC
(9,8),-0.302917 # DEPENDENCYPART_ARC
(10,4),-1.56771 # DEPENDENCYPART_ARC
(10,6),-2.07558 # DEPENDENCYPART_ARC
(10,8),-1.34624 # DEPENDENCYPART_ARC
(10,9),0.736902 # DEPENDENCYPART_ARC
(10,12),-1.52644 # DEPENDENCYPART_ARC
(10,13),-1.48589 # DEPENDENCYPART_ARC
(12,1),-2.95019 # DEPENDENCYPART_ARC
(12,3),-3.32809 # DEPENDENCYPART_ARC
(12,4),-4.01227 # DEPENDENCYPART_ARC
(12,5),-1.36579 # DEPENDENCYPART_ARC
(12,7),-2.67838 # DEPENDENCYPART_ARC
(12,8),-3.09115 # DEPENDENCYPART_ARC
(12,10),-2.45295 # DEPENDENCYPART_ARC
(12,11),-0.0513923 # DEPENDENCYPART_ARC
(12,13),0.104252 # DEPENDENCYPART_ARC
(12,14),-1.34689 # DEPENDENCYPART_ARC
(12,15),-2.11303 # DEPENDENCYPART_ARC
(12,17),-2.06264 # DEPENDENCYPART_ARC
(12,18),-2.42403 # DEPENDENCYPART_ARC
(12,21),-1.20602 # DEPENDENCYPART_ARC
(12,22),-2.88929 # DEPENDENCYPART_ARC
(12,26),-2.12246 # DEPENDENCYPART_ARC
(12,29),-3.66793 # DEPENDENCYPART_ARC
(12,31),-3.91738 # DEPENDENCYPART_ARC
(12,32),-3.1857 # DEPENDENCYPART_ARC
(12,33),-2.92507 # DEPENDENCYPART_ARC
(13,1),-0.939747 # DEPENDENCYPART_ARC
(13,3),-1.34809 # DEPENDENCYPART_ARC
(13,4),-2.00647 # DEPENDENCYPART_ARC
(13,5),0.726717 # DEPENDENCYPART_ARC
(13,7),-0.825654 # DEPENDENCYPART_ARC
(13,8),-1.52083 # DEPENDENCYPART_ARC
(13,10),0.120145 # DEPENDENCYPART_ARC
(13,11),1.58228 # DEPENDENCYPART_ARC
(13,12),2.8595 # DEPENDENCYPART_ARC
(13,14),-0.259396 # DEPENDENCYPART_ARC
(13,15),-1.38708 # DEPENDENCYPART_ARC
(13,17),-0.766348 # DEPENDENCYPART_ARC
(13,18),-0.925332 # DEPENDENCYPART_ARC
(13,20),-1.94817 # DEPENDENCYPART_ARC
(13,21),-0.781436 # DEPENDENCYPART_ARC
(13,22),-2.06847 # DEPENDENCYPART_ARC
(13,26),-1.45418 # DEPENDENCYPART_ARC
(13,29),-2.5543 # DEPENDENCYPART_ARC
(13,31),-2.34828 # DEPENDENCYPART_ARC
(13,32),-2.00755 # DEPENDENCYPART_ARC
(13,33),-1.72113 # DEPENDENCYPART_ARC
