# _root_ Per_tant , els que se sentin posseïts per aquesta tendència es mereixen tota la comprensió i el respecte , però l' han de dominar i no exercir -la en actes concrets .
#goldHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
#predictedHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
(0,1),-3.92276 # DEPENDENCYPART_ARC
(0,6),-3.99927 # DEPENDENCYPART_ARC
(0,12),-2.30719 # DEPENDENCYPART_ARC
(0,22),-5.02371 # DEPENDENCYPART_ARC
(0,24),-6.46413 # DEPENDENCYPART_ARC
(0,27),-7.5406 # DEPENDENCYPART_ARC
(1,2),0.949387 # DEPENDENCYPART_ARC
(1,6),-1.59701 # DEPENDENCYPART_ARC
(1,8),-2.39317 # DEPENDENCYPART_ARC
(1,12),-2.03677 # DEPENDENCYPART_ARC
(1,19),-1.9946 # DEPENDENCYPART_ARC
(3,1),-1.59864 # DEPENDENCYPART_ARC
(3,4),-1.27149 # DEPENDENCYPART_ARC
(4,3),-2.27876 # DEPENDENCYPART_ARC
(4,6),-0.814668 # DEPENDENCYPART_ARC
(4,7),-1.65801 # DEPENDENCYPART_ARC
(4,8),-1.59783 # DEPENDENCYPART_ARC
(6,1),-0.889898 # DEPENDENCYPART_ARC
(6,2),-0.259818 # DEPENDENCYPART_ARC
(6,3),-0.548194 # DEPENDENCYPART_ARC
(6,4),2.38817 # DEPENDENCYPART_ARC
(6,5),2.09066 # DEPENDENCYPART_ARC
(6,7),1.9968 # DEPENDENCYPART_ARC
(6,8),0.414891 # DEPENDENCYPART_ARC
(6,10),-0.281116 # DEPENDENCYPART_ARC
(6,12),-0.734333 # DEPENDENCYPART_ARC
(6,15),-1.25565 # DEPENDENCYPART_ARC
(6,16),-0.970328 # DEPENDENCYPART_ARC
(6,18),-1.6344 # DEPENDENCYPART_ARC
(6,19),-0.868507 # DEPENDENCYPART_ARC
(6,20),-0.488567 # DEPENDENCYPART_ARC
(6,22),-2.33196 # DEPENDENCYPART_ARC
(6,23),-2.24823 # DEPENDENCYPART_ARC
(6,24),-2.42438 # DEPENDENCYPART_ARC
(6,25),-1.27866 # DEPENDENCYPART_ARC
(6,27),-2.17526 # DEPENDENCYPART_ARC
(6,29),-2.65255 # DEPENDENCYPART_ARC
(6,32),-0.139507 # DEPENDENCYPART_ARC
(7,1),-2.03164 # DEPENDENCYPART_ARC
(7,2),-2.64882 # DEPENDENCYPART_ARC
(7,3),-2.53202 # DEPENDENCYPART_ARC
(7,8),1.49848 # DEPENDENCYPART_ARC
(7,10),-1.53608 # DEPENDENCYPART_ARC
(7,12),-1.50236 # DEPENDENCYPART_ARC
(7,15),-2.15022 # DEPENDENCYPART_ARC
(7,16),-1.34616 # DEPENDENCYPART_ARC
(7,18),-2.05714 # DEPENDENCYPART_ARC
(7,19),-1.42029 # DEPENDENCYPART_ARC
(7,20),-1.69883 # DEPENDENCYPART_ARC
(7,23),-2.25384 # DEPENDENCYPART_ARC
(7,24),-2.3431 # DEPENDENCYPART_ARC
(7,25),-2.1914 # DEPENDENCYPART_ARC
(7,27),-2.32303 # DEPENDENCYPART_ARC
(7,29),-1.79984 # DEPENDENCYPART_ARC
(8,3),-3.48981 # DEPENDENCYPART_ARC
(8,6),-1.38178 # DEPENDENCYPART_ARC
(8,7),-1.42715 # DEPENDENCYPART_ARC
(8,10),1.9483 # DEPENDENCYPART_ARC
(8,12),-1.75356 # DEPENDENCYPART_ARC
(8,15),-1.85438 # DEPENDENCYPART_ARC
(8,16),-1.34493 # DEPENDENCYPART_ARC
(8,20),-1.97868 # DEPENDENCYPART_ARC
(8,23),-3.73381 # DEPENDENCYPART_ARC
(8,25),-1.9352 # DEPENDENCYPART_ARC
(10,1),-2.64968 # DEPENDENCYPART_ARC
(10,6),-4.19718 # DEPENDENCYPART_ARC
(10,7),-2.58458 # DEPENDENCYPART_ARC
(10,8),-2.06831 # DEPENDENCYPART_ARC
(10,9),1.01517 # DEPENDENCYPART_ARC
(10,12),-1.03997 # DEPENDENCYPART_ARC
(10,15),-1.63401 # DEPENDENCYPART_ARC
(10,16),-1.11667 # DEPENDENCYPART_ARC
(10,18),-2.3659 # DEPENDENCYPART_ARC
(12,1),-1.47155 # DEPENDENCYPART_ARC
(12,2),-0.779401 # DEPENDENCYPART_ARC
(12,3),-2.19518 # DEPENDENCYPART_ARC
(12,4),-1.07263 # DEPENDENCYPART_ARC
(12,6),-0.584315 # DEPENDENCYPART_ARC
(12,7),-1.17616 # DEPENDENCYPART_ARC
(12,8),-0.344545 # DEPENDENCYPART_ARC
(12,9),-2.257 # DEPENDENCYPART_ARC
(12,10),-0.416642 # DEPENDENCYPART_ARC
(12,11),2.14832 # DEPENDENCYPART_ARC
(12,15),0.104946 # DEPENDENCYPART_ARC
(12,16),-0.26409 # DEPENDENCYPART_ARC
(12,18),-0.915506 # DEPENDENCYPART_ARC
(12,19),-0.191513 # DEPENDENCYPART_ARC
(12,20),0.124418 # DEPENDENCYPART_ARC
(12,21),-2.51269 # DEPENDENCYPART_ARC
(12,22),-0.553739 # DEPENDENCYPART_ARC
(12,23),-1.7808 # DEPENDENCYPART_ARC
(12,24),-1.59724 # DEPENDENCYPART_ARC
(12,25),-0.645638 # DEPENDENCYPART_ARC
(12,27),-1.35286 # DEPENDENCYPART_ARC
(12,29),-2.19228 # DEPENDENCYPART_ARC
(12,31),-1.80216 # DEPENDENCYPART_ARC
(12,32),0.256051 # DEPENDENCYPART_ARC
(13,15),-0.781466 # DEPENDENCYPART_ARC
(14,13),1.57022 # DEPENDENCYPART_ARC
(14,15),-1.0939 # DEPENDENCYPART_ARC
(14,16),-1.64125 # DEPENDENCYPART_ARC
(14,17),-2.0911 # DEPENDENCYPART_ARC
(15,6),-3.89559 # DEPENDENCYPART_ARC
(15,8),-1.91239 # DEPENDENCYPART_ARC
(15,12),-3.038 # DEPENDENCYPART_ARC
(15,13),0.028723 # DEPENDENCYPART_ARC
(15,14),1.22635 # DEPENDENCYPART_ARC
(15,16),0.50609 # DEPENDENCYPART_ARC
(15,18),-0.348239 # DEPENDENCYPART_ARC
(15,19),-0.985563 # DEPENDENCYPART_ARC
(15,20),-1.30247 # DEPENDENCYPART_ARC
(15,21),-2.72906 # DEPENDENCYPART_ARC
(15,22),-1.44251 # DEPENDENCYPART_ARC
(15,23),-2.151 # DEPENDENCYPART_ARC
(15,24),-1.58501 # DEPENDENCYPART_ARC
(15,27),-2.24161 # DEPENDENCYPART_ARC
(15,31),-3.8368 # DEPENDENCYPART_ARC
(15,32),-1.72496 # DEPENDENCYPART_ARC
(17,16),-1.05496 # DEPENDENCYPART_ARC
(17,18),-1.62871 # DEPENDENCYPART_ARC
(18,6),-3.65203 # DEPENDENCYPART_ARC
(18,8),-1.39055 # DEPENDENCYPART_ARC
(18,12),-3.23624 # DEPENDENCYPART_ARC
(18,13),-2.78367 # DEPENDENCYPART_ARC
(18,14),-2.34684 # DEPENDENCYPART_ARC
(18,16),-1.0949 # DEPENDENCYPART_ARC
(18,17),1.70199 # DEPENDENCYPART_ARC
(18,19),-0.448227 # DEPENDENCYPART_ARC
(18,20),-1.17565 # DEPENDENCYPART_ARC
(18,21),-1.99662 # DEPENDENCYPART_ARC
(18,22),-1.5233 # DEPENDENCYPART_ARC
(18,23),-1.75134 # DEPENDENCYPART_ARC
(18,24),-1.71192 # DEPENDENCYPART_ARC
(18,25),-2.00842 # DEPENDENCYPART_ARC
(18,31),-3.15327 # DEPENDENCYPART_ARC
(19,18),-1.7081 # DEPENDENCYPART_ARC
(20,19),-1.43773 # DEPENDENCYPART_ARC
(21,20),-1.54276 # DEPENDENCYPART_ARC
(21,23),-1.56369 # DEPENDENCYPART_ARC
(21,24),-2.30528 # DEPENDENCYPART_ARC
(21,27),-2.8126 # DEPENDENCYPART_ARC
(22,2),-4.0952 # DEPENDENCYPART_ARC
(22,4),-6.10976 # DEPENDENCYPART_ARC
(22,15),-4.04724 # DEPENDENCYPART_ARC
(22,18),-4.29156 # DEPENDENCYPART_ARC
(22,19),-3.32603 # DEPENDENCYPART_ARC
(22,20),-1.7389 # DEPENDENCYPART_ARC
(22,21),-0.581164 # DEPENDENCYPART_ARC
(22,23),-0.550615 # DEPENDENCYPART_ARC
(22,24),-1.64859 # DEPENDENCYPART_ARC
(22,25),-1.5237 # DEPENDENCYPART_ARC
(22,27),-2.12917 # DEPENDENCYPART_ARC
(22,29),-2.43361 # DEPENDENCYPART_ARC
(22,32),-2.32853 # DEPENDENCYPART_ARC
(23,14),-4.0179 # DEPENDENCYPART_ARC
(23,24),1.49284 # DEPENDENCYPART_ARC
(23,25),-0.791049 # DEPENDENCYPART_ARC
(23,26),-1.85752 # DEPENDENCYPART_ARC
(23,27),-1.36372 # DEPENDENCYPART_ARC
(23,29),-1.94303 # DEPENDENCYPART_ARC
(24,1),-2.45237 # DEPENDENCYPART_ARC
(24,2),-2.00544 # DEPENDENCYPART_ARC
(24,4),-4.16716 # DEPENDENCYPART_ARC
(24,6),-1.62057 # DEPENDENCYPART_ARC
(24,7),-1.40457 # DEPENDENCYPART_ARC
(24,8),-1.64001 # DEPENDENCYPART_ARC
(24,10),-2.07819 # DEPENDENCYPART_ARC
(24,12),-1.40221 # DEPENDENCYPART_ARC
(24,14),-2.52535 # DEPENDENCYPART_ARC
(24,15),-1.57668 # DEPENDENCYPART_ARC
(24,16),-1.99064 # DEPENDENCYPART_ARC
(24,17),-2.76542 # DEPENDENCYPART_ARC
(24,18),-1.33212 # DEPENDENCYPART_ARC
(24,19),-1.7711 # DEPENDENCYPART_ARC
(24,20),-0.341801 # DEPENDENCYPART_ARC
(24,21),0.471132 # DEPENDENCYPART_ARC
(24,22),2.53371 # DEPENDENCYPART_ARC
(24,23),1.02616 # DEPENDENCYPART_ARC
(24,25),0.435852 # DEPENDENCYPART_ARC
(24,26),-0.880692 # DEPENDENCYPART_ARC
(24,27),0.830248 # DEPENDENCYPART_ARC
(24,28),-0.490056 # DEPENDENCYPART_ARC
(24,29),-0.604761 # DEPENDENCYPART_ARC
(24,31),-1.7901 # DEPENDENCYPART_ARC
(24,32),-0.231961 # DEPENDENCYPART_ARC
(26,29),-2.47709 # DEPENDENCYPART_ARC
(27,1),-3.78164 # DEPENDENCYPART_ARC
(27,2),-3.15261 # DEPENDENCYPART_ARC
(27,6),-2.95281 # DEPENDENCYPART_ARC
(27,7),-2.56944 # DEPENDENCYPART_ARC
(27,8),-3.13296 # DEPENDENCYPART_ARC
(27,12),-3.10772 # DEPENDENCYPART_ARC
(27,14),-3.80967 # DEPENDENCYPART_ARC
(27,15),-3.25634 # DEPENDENCYPART_ARC
(27,18),-3.11397 # DEPENDENCYPART_ARC
(27,19),-2.74615 # DEPENDENCYPART_ARC
(27,20),-2.6707 # DEPENDENCYPART_ARC
(27,21),-2.88892 # DEPENDENCYPART_ARC
(27,22),-1.36866 # DEPENDENCYPART_ARC
(27,23),-2.0545 # DEPENDENCYPART_ARC
(27,24),-1.15967 # DEPENDENCYPART_ARC
(27,25),-0.998326 # DEPENDENCYPART_ARC
(27,26),0.688577 # DEPENDENCYPART_ARC
(27,28),1.60433 # DEPENDENCYPART_ARC
(27,29),0.742608 # DEPENDENCYPART_ARC
(27,30),-0.149099 # DEPENDENCYPART_ARC
(27,31),-0.830512 # DEPENDENCYPART_ARC
(27,32),-0.792669 # DEPENDENCYPART_ARC
(28,26),-1.38428 # DEPENDENCYPART_ARC
(28,27),-1.16599 # DEPENDENCYPART_ARC
(28,29),-0.580621 # DEPENDENCYPART_ARC
(28,30),-1.40159 # DEPENDENCYPART_ARC
(28,31),-2.05527 # DEPENDENCYPART_ARC
(28,32),-1.26015 # DEPENDENCYPART_ARC
(29,25),-2.278 # DEPENDENCYPART_ARC
(29,28),-1.92284 # DEPENDENCYPART_ARC
(29,30),2.85845 # DEPENDENCYPART_ARC
(29,31),-0.748969 # DEPENDENCYPART_ARC
(30,28),-3.14609 # DEPENDENCYPART_ARC
(30,31),1.30968 # DEPENDENCYPART_ARC
(31,29),-1.10523 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.385691 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.386201 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.388376 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.385684 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.38479 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.934404 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.937107 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.936417 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.940069 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.937509 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.936819 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.940471 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.941334 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.944986 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.939881 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0572621 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0929427 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0557139 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.225164 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.101502 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0392692 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.18534 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0156544 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.229547 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.190283 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00717015 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0114194 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00804136 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0470922 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0506645 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0930656 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.042176 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.209976 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0149181 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.24221 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.19184 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0319038 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0352392 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0131847 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.046816 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00562138 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0331129 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.00994511 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.00405649 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0987389 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.00742428 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.049395 # DEPENDENCYPART_SIBL
