# _root_ Aquesta iniciativa , que analitzarà el directori de l' FMI , neix de l' experiència i dels resultats de les liberalitzacions totals .
#goldHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
#predictedHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
(0,2),-4.27651 # DEPENDENCYPART_ARC
(0,5),-2.58796 # DEPENDENCYPART_ARC
(0,12),-0.973098 # DEPENDENCYPART_ARC
(2,1),1.62009 # DEPENDENCYPART_ARC
(2,3),-1.07366 # DEPENDENCYPART_ARC
(2,5),-0.375565 # DEPENDENCYPART_ARC
(2,7),-1.85541 # DEPENDENCYPART_ARC
(2,8),-1.55044 # DEPENDENCYPART_ARC
(2,10),-2.30828 # DEPENDENCYPART_ARC
(2,11),-1.87243 # DEPENDENCYPART_ARC
(2,12),-1.64238 # DEPENDENCYPART_ARC
(2,13),-2.74745 # DEPENDENCYPART_ARC
(2,16),-1.92659 # DEPENDENCYPART_ARC
(2,23),-3.00718 # DEPENDENCYPART_ARC
(3,2),-1.57153 # DEPENDENCYPART_ARC
(4,5),-1.23208 # DEPENDENCYPART_ARC
(4,7),-2.73952 # DEPENDENCYPART_ARC
(4,8),-1.72294 # DEPENDENCYPART_ARC
(5,1),-2.76481 # DEPENDENCYPART_ARC
(5,2),-1.26559 # DEPENDENCYPART_ARC
(5,3),0.171158 # DEPENDENCYPART_ARC
(5,4),2.88911 # DEPENDENCYPART_ARC
(5,7),1.1564 # DEPENDENCYPART_ARC
(5,8),-0.201868 # DEPENDENCYPART_ARC
(5,10),-0.322651 # DEPENDENCYPART_ARC
(5,11),-0.135621 # DEPENDENCYPART_ARC
(5,12),-0.810912 # DEPENDENCYPART_ARC
(5,13),-1.59316 # DEPENDENCYPART_ARC
(5,15),-1.35706 # DEPENDENCYPART_ARC
(5,16),-0.825181 # DEPENDENCYPART_ARC
(5,19),-1.72421 # DEPENDENCYPART_ARC
(5,23),-0.462677 # DEPENDENCYPART_ARC
(6,7),-0.591813 # DEPENDENCYPART_ARC
(6,8),-1.24277 # DEPENDENCYPART_ARC
(6,9),-1.6661 # DEPENDENCYPART_ARC
(7,2),-2.70604 # DEPENDENCYPART_ARC
(7,3),-1.98136 # DEPENDENCYPART_ARC
(7,4),-1.94905 # DEPENDENCYPART_ARC
(7,5),-1.23286 # DEPENDENCYPART_ARC
(7,6),1.41258 # DEPENDENCYPART_ARC
(7,8),0.756874 # DEPENDENCYPART_ARC
(7,10),-0.725814 # DEPENDENCYPART_ARC
(7,11),-0.622236 # DEPENDENCYPART_ARC
(7,12),-1.18794 # DEPENDENCYPART_ARC
(7,13),-1.69714 # DEPENDENCYPART_ARC
(7,15),-1.63081 # DEPENDENCYPART_ARC
(7,16),-1.54055 # DEPENDENCYPART_ARC
(7,17),-2.57903 # DEPENDENCYPART_ARC
(7,19),-2.48063 # DEPENDENCYPART_ARC
(7,21),-2.59654 # DEPENDENCYPART_ARC
(7,22),-3.04975 # DEPENDENCYPART_ARC
(7,23),-2.17047 # DEPENDENCYPART_ARC
(8,6),-2.17965 # DEPENDENCYPART_ARC
(8,10),1.56163 # DEPENDENCYPART_ARC
(8,11),-1.37348 # DEPENDENCYPART_ARC
(8,12),-2.40607 # DEPENDENCYPART_ARC
(8,13),-1.59531 # DEPENDENCYPART_ARC
