# _root_ Una altra de les marques de tabac negre , Gitanes , fixarà el_seu preu en 310 pessetes tant en la varietat amb filtre com sense filtre .
#goldHeads=2,12,2,5,3,5,6,7,10,2,10,0,14,12,12,17,15,19,12,21,19,21,22,19,19,25,12,
#predictedHeads=2,12,2,5,3,5,6,7,10,12,10,0,14,12,14,17,15,19,12,21,19,21,22,19,19,25,12,
(0,2),-4.63657 # DEPENDENCYPART_ARC
(0,10),-5.6831 # DEPENDENCYPART_ARC
(0,12),-1.30897 # DEPENDENCYPART_ARC
(1,2),-0.235621 # DEPENDENCYPART_ARC
(1,3),-0.603755 # DEPENDENCYPART_ARC
(1,6),-1.16114 # DEPENDENCYPART_ARC
(2,1),1.13173 # DEPENDENCYPART_ARC
(2,3),0.728086 # DEPENDENCYPART_ARC
(2,5),-0.850041 # DEPENDENCYPART_ARC
(2,6),-0.000508558 # DEPENDENCYPART_ARC
(2,7),-1.33579 # DEPENDENCYPART_ARC
(2,8),-1.43875 # DEPENDENCYPART_ARC
(2,9),-0.57473 # DEPENDENCYPART_ARC
(2,10),-1.16573 # DEPENDENCYPART_ARC
(2,11),-0.612298 # DEPENDENCYPART_ARC
(2,12),-1.48628 # DEPENDENCYPART_ARC
(2,14),-1.88092 # DEPENDENCYPART_ARC
(2,15),-1.53549 # DEPENDENCYPART_ARC
(2,21),-1.85126 # DEPENDENCYPART_ARC
(2,23),-2.03754 # DEPENDENCYPART_ARC
(2,27),-1.53608 # DEPENDENCYPART_ARC
(3,1),-1.6651 # DEPENDENCYPART_ARC
(3,2),-1.81124 # DEPENDENCYPART_ARC
(3,4),-1.11374 # DEPENDENCYPART_ARC
(3,5),2.15334 # DEPENDENCYPART_ARC
(3,6),-1.05558 # DEPENDENCYPART_ARC
(3,7),-0.617514 # DEPENDENCYPART_ARC
(3,8),-1.78567 # DEPENDENCYPART_ARC
(3,9),-0.953226 # DEPENDENCYPART_ARC
(3,10),-2.26191 # DEPENDENCYPART_ARC
(3,11),-1.49139 # DEPENDENCYPART_ARC
(3,12),-3.06725 # DEPENDENCYPART_ARC
(3,17),-2.65007 # DEPENDENCYPART_ARC
(4,3),-1.19866 # DEPENDENCYPART_ARC
(4,5),-0.176125 # DEPENDENCYPART_ARC
(4,6),-0.727533 # DEPENDENCYPART_ARC
(5,1),-2.45113 # DEPENDENCYPART_ARC
(5,3),-2.00461 # DEPENDENCYPART_ARC
(5,4),1.57677 # DEPENDENCYPART_ARC
(5,6),1.26941 # DEPENDENCYPART_ARC
(5,7),-0.906069 # DEPENDENCYPART_ARC
(5,8),-2.14231 # DEPENDENCYPART_ARC
(5,9),-0.967117 # DEPENDENCYPART_ARC
(5,10),-0.552677 # DEPENDENCYPART_ARC
(5,11),-0.869325 # DEPENDENCYPART_ARC
(5,12),-2.02242 # DEPENDENCYPART_ARC
(5,14),-2.05958 # DEPENDENCYPART_ARC
(5,15),-1.21703 # DEPENDENCYPART_ARC
(5,16),-2.13748 # DEPENDENCYPART_ARC
(5,17),-1.8151 # DEPENDENCYPART_ARC
(5,18),-1.96245 # DEPENDENCYPART_ARC
(5,22),-1.10356 # DEPENDENCYPART_ARC
(5,27),-2.50305 # DEPENDENCYPART_ARC
(6,4),-1.60622 # DEPENDENCYPART_ARC
(6,7),2.40199 # DEPENDENCYPART_ARC
(6,8),-1.03894 # DEPENDENCYPART_ARC
(6,9),-1.00434 # DEPENDENCYPART_ARC
(6,10),-1.74381 # DEPENDENCYPART_ARC
(6,11),-1.80548 # DEPENDENCYPART_ARC
