# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,28,33,28,33,34,2,
(0,2),-1.90908 # DEPENDENCYPART_ARC
(2,1),2.05732 # DEPENDENCYPART_ARC
(2,3),2.97657 # DEPENDENCYPART_ARC
(2,4),0.733674 # DEPENDENCYPART_ARC
(2,5),-0.753619 # DEPENDENCYPART_ARC
(2,6),-0.27563 # DEPENDENCYPART_ARC
(2,7),-1.05175 # DEPENDENCYPART_ARC
(2,8),-1.55347 # DEPENDENCYPART_ARC
(2,9),-1.44321 # DEPENDENCYPART_ARC
(2,10),-0.374942 # DEPENDENCYPART_ARC
(2,11),-1.59673 # DEPENDENCYPART_ARC
(2,12),-1.34978 # DEPENDENCYPART_ARC
(2,14),-0.91102 # DEPENDENCYPART_ARC
(2,15),-2.38896 # DEPENDENCYPART_ARC
(2,16),-0.856266 # DEPENDENCYPART_ARC
(2,19),-0.279453 # DEPENDENCYPART_ARC
(2,20),-0.34699 # DEPENDENCYPART_ARC
(2,21),-0.78526 # DEPENDENCYPART_ARC
(2,22),-2.68304 # DEPENDENCYPART_ARC
(2,31),-1.19685 # DEPENDENCYPART_ARC
(2,36),2.71442 # DEPENDENCYPART_ARC
(3,4),0.488379 # DEPENDENCYPART_ARC
(3,5),-0.731407 # DEPENDENCYPART_ARC
(3,6),-0.795283 # DEPENDENCYPART_ARC
(3,7),-1.561 # DEPENDENCYPART_ARC
(3,8),-1.54129 # DEPENDENCYPART_ARC
(3,9),-0.932258 # DEPENDENCYPART_ARC
(3,10),-1.16821 # DEPENDENCYPART_ARC
(3,11),-1.64284 # DEPENDENCYPART_ARC
(3,12),-1.78105 # DEPENDENCYPART_ARC
(3,13),-1.96334 # DEPENDENCYPART_ARC
(3,14),-0.867671 # DEPENDENCYPART_ARC
(3,15),-2.35017 # DEPENDENCYPART_ARC
(3,16),-1.8061 # DEPENDENCYPART_ARC
(3,18),-2.91302 # DEPENDENCYPART_ARC
(3,19),-1.34195 # DEPENDENCYPART_ARC
(3,20),-1.82384 # DEPENDENCYPART_ARC
