# _root_ En el cas del disc de Belén_Alonso , la fotografia de llibret és de Julia_Llona i el disseny de Juanjo_Melgar ; en el disc de Díaz , la fotografia i el disseny del llibret són de Carlos_Roche .
#goldHeads=13,3,1,3,4,3,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,35,24,22,24,25,22,29,35,29,32,29,29,33,13,35,36,13,
#predictedHeads=13,3,1,3,4,5,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,35,24,22,24,25,22,29,35,29,32,29,32,33,13,35,36,13,
(0,1),-4.43956 # DEPENDENCYPART_ARC
(0,10),-5.71369 # DEPENDENCYPART_ARC
(0,13),-1.43995 # DEPENDENCYPART_ARC
(0,35),-4.5736 # DEPENDENCYPART_ARC
(1,2),-1.21685 # DEPENDENCYPART_ARC
(1,3),1.90739 # DEPENDENCYPART_ARC
(1,4),-1.44215 # DEPENDENCYPART_ARC
(1,5),-0.46326 # DEPENDENCYPART_ARC
(1,6),-1.80583 # DEPENDENCYPART_ARC
(1,8),0.350467 # DEPENDENCYPART_ARC
(1,16),-1.64319 # DEPENDENCYPART_ARC
(1,21),-0.443909 # DEPENDENCYPART_ARC
(1,22),-2.23298 # DEPENDENCYPART_ARC
(1,27),-0.960013 # DEPENDENCYPART_ARC
(2,1),-1.72389 # DEPENDENCYPART_ARC
(2,3),-0.390273 # DEPENDENCYPART_ARC
(2,4),-0.983006 # DEPENDENCYPART_ARC
(3,1),-0.882311 # DEPENDENCYPART_ARC
(3,2),0.780561 # DEPENDENCYPART_ARC
(3,4),0.815133 # DEPENDENCYPART_ARC
(3,5),-0.549176 # DEPENDENCYPART_ARC
(3,6),-0.111799 # DEPENDENCYPART_ARC
(3,7),-1.55294 # DEPENDENCYPART_ARC
(3,8),-0.897601 # DEPENDENCYPART_ARC
(3,10),-1.32873 # DEPENDENCYPART_ARC
(3,11),-1.21852 # DEPENDENCYPART_ARC
(3,13),-1.45216 # DEPENDENCYPART_ARC
(3,16),-0.869584 # DEPENDENCYPART_ARC
(3,18),-2.68211 # DEPENDENCYPART_ARC
(4,2),-1.88665 # DEPENDENCYPART_ARC
(4,5),2.14766 # DEPENDENCYPART_ARC
(4,6),-1.3759 # DEPENDENCYPART_ARC
(4,7),-1.06045 # DEPENDENCYPART_ARC
(4,8),-1.37781 # DEPENDENCYPART_ARC
(4,11),-2.46503 # DEPENDENCYPART_ARC
(4,14),-2.36036 # DEPENDENCYPART_ARC
(4,21),-1.12272 # DEPENDENCYPART_ARC
(4,33),-4.09908 # DEPENDENCYPART_ARC
(4,36),-3.82284 # DEPENDENCYPART_ARC
(5,2),-2.49428 # DEPENDENCYPART_ARC
(5,4),-0.665969 # DEPENDENCYPART_ARC
(5,6),0.763097 # DEPENDENCYPART_ARC
(5,7),-0.675603 # DEPENDENCYPART_ARC
(5,8),-0.947375 # DEPENDENCYPART_ARC
(5,10),-1.09502 # DEPENDENCYPART_ARC
(5,11),-1.04388 # DEPENDENCYPART_ARC
(5,12),-1.47906 # DEPENDENCYPART_ARC
(5,13),-1.40099 # DEPENDENCYPART_ARC
(5,14),-2.37027 # DEPENDENCYPART_ARC
(5,16),-0.916211 # DEPENDENCYPART_ARC
(5,18),-2.3823 # DEPENDENCYPART_ARC
(6,4),-0.926948 # DEPENDENCYPART_ARC
(6,7),1.84171 # DEPENDENCYPART_ARC
(6,8),-1.37958 # DEPENDENCYPART_ARC
(6,10),-1.37666 # DEPENDENCYPART_ARC
(6,11),-2.16753 # DEPENDENCYPART_ARC
(6,14),-2.26772 # DEPENDENCYPART_ARC
(7,4),-1.39168 # DEPENDENCYPART_ARC
(7,6),-0.15828 # DEPENDENCYPART_ARC
(7,8),-1.10622 # DEPENDENCYPART_ARC
(7,10),-1.07193 # DEPENDENCYPART_ARC
(7,11),-1.2289 # DEPENDENCYPART_ARC
(7,12),-1.74306 # DEPENDENCYPART_ARC
(7,16),-0.559934 # DEPENDENCYPART_ARC
(7,18),-2.70915 # DEPENDENCYPART_ARC
(7,29),-2.92155 # DEPENDENCYPART_ARC
(9,6),-2.46254 # DEPENDENCYPART_ARC
(9,10),-0.766204 # DEPENDENCYPART_ARC
(9,11),-1.013 # DEPENDENCYPART_ARC
(10,1),-2.4226 # DEPENDENCYPART_ARC
(10,4),-2.50477 # DEPENDENCYPART_ARC
(10,6),-2.51348 # DEPENDENCYPART_ARC
(10,8),-0.739997 # DEPENDENCYPART_ARC
(10,9),1.85223 # DEPENDENCYPART_ARC
(10,11),1.171 # DEPENDENCYPART_ARC
(10,12),-0.4231 # DEPENDENCYPART_ARC
(10,13),-0.823899 # DEPENDENCYPART_ARC
(10,14),-1.05583 # DEPENDENCYPART_ARC
(10,16),-0.430794 # DEPENDENCYPART_ARC
(10,18),-1.69857 # DEPENDENCYPART_ARC
(10,19),-1.70943 # DEPENDENCYPART_ARC
(10,20),-2.43848 # DEPENDENCYPART_ARC
(10,21),-1.04719 # DEPENDENCYPART_ARC
(10,22),-1.75695 # DEPENDENCYPART_ARC
(10,24),-2.10986 # DEPENDENCYPART_ARC
(10,25),-2.80151 # DEPENDENCYPART_ARC
(10,27),-1.26482 # DEPENDENCYPART_ARC
(10,29),-2.24874 # DEPENDENCYPART_ARC
(10,30),-0.589677 # DEPENDENCYPART_ARC
(10,32),-3.62848 # DEPENDENCYPART_ARC
(10,38),-2.95317 # DEPENDENCYPART_ARC
(11,1),-1.97441 # DEPENDENCYPART_ARC
(11,8),-1.53008 # DEPENDENCYPART_ARC
(11,9),-1.6674 # DEPENDENCYPART_ARC
(11,12),2.232 # DEPENDENCYPART_ARC
(11,13),-1.71892 # DEPENDENCYPART_ARC
(11,14),-1.36365 # DEPENDENCYPART_ARC
(12,1),-1.71077 # DEPENDENCYPART_ARC
(12,6),-1.64165 # DEPENDENCYPART_ARC
(12,9),-1.57814 # DEPENDENCYPART_ARC
(12,10),-1.77387 # DEPENDENCYPART_ARC
(12,11),-0.0561653 # DEPENDENCYPART_ARC
(12,13),-1.33629 # DEPENDENCYPART_ARC
(12,14),-1.53369 # DEPENDENCYPART_ARC
(13,1),0.0383789 # DEPENDENCYPART_ARC
(13,3),-0.554797 # DEPENDENCYPART_ARC
(13,4),-1.47541 # DEPENDENCYPART_ARC
(13,5),-1.09271 # DEPENDENCYPART_ARC
(13,6),-1.82407 # DEPENDENCYPART_ARC
(13,7),-1.41761 # DEPENDENCYPART_ARC
(13,8),-1.17014 # DEPENDENCYPART_ARC
(13,9),-1.87497 # DEPENDENCYPART_ARC
(13,10),0.192534 # DEPENDENCYPART_ARC
(13,11),-0.604074 # DEPENDENCYPART_ARC
(13,12),0.177467 # DEPENDENCYPART_ARC
(13,14),0.753894 # DEPENDENCYPART_ARC
(13,15),0.133208 # DEPENDENCYPART_ARC
(13,16),-0.0191424 # DEPENDENCYPART_ARC
(13,18),-0.610346 # DEPENDENCYPART_ARC
(13,19),-0.924894 # DEPENDENCYPART_ARC
(13,20),-1.72471 # DEPENDENCYPART_ARC
(13,21),-0.644526 # DEPENDENCYPART_ARC
(13,22),-1.27107 # DEPENDENCYPART_ARC
(13,24),-1.40414 # DEPENDENCYPART_ARC
(13,27),-1.03577 # DEPENDENCYPART_ARC
(13,29),-1.72823 # DEPENDENCYPART_ARC
(13,30),-0.765772 # DEPENDENCYPART_ARC
(13,32),-2.20312 # DEPENDENCYPART_ARC
(13,35),-0.427008 # DEPENDENCYPART_ARC
(13,38),0.553128 # DEPENDENCYPART_ARC
