# _root_ El diari també informa que l' executiu i la top , que fa poc va despatxar el_seu festeig amb el playboy Tim_Jeffries , van passar la nit de Cap_d'_Any al Palast-Hotel de Saint_Moritz .
#goldHeads=2,4,4,0,25,7,25,7,10,7,16,16,14,16,16,10,18,16,16,21,19,21,16,25,4,27,25,27,28,25,30,31,32,4,
#predictedHeads=2,4,4,0,25,7,16,4,10,16,13,16,10,16,16,4,18,16,18,21,19,21,16,25,4,27,25,27,28,25,30,31,32,4,
(0,2),-4.43226 # DEPENDENCYPART_ARC
(0,4),-1.2146 # DEPENDENCYPART_ARC
(0,13),-3.99554 # DEPENDENCYPART_ARC
(0,16),-5.08986 # DEPENDENCYPART_ARC
(0,24),-2.67719 # DEPENDENCYPART_ARC
(0,25),-4.713 # DEPENDENCYPART_ARC
(1,2),-0.99282 # DEPENDENCYPART_ARC
(2,1),1.13965 # DEPENDENCYPART_ARC
(2,3),-0.443012 # DEPENDENCYPART_ARC
(2,4),-0.843763 # DEPENDENCYPART_ARC
(2,5),-1.04324 # DEPENDENCYPART_ARC
(2,7),-1.42008 # DEPENDENCYPART_ARC
(2,8),-0.782259 # DEPENDENCYPART_ARC
(2,10),-2.04438 # DEPENDENCYPART_ARC
(2,11),-1.49054 # DEPENDENCYPART_ARC
(2,14),-2.22255 # DEPENDENCYPART_ARC
(2,16),-2.74169 # DEPENDENCYPART_ARC
(2,18),-2.58973 # DEPENDENCYPART_ARC
(2,22),-2.79927 # DEPENDENCYPART_ARC
(2,34),-2.97782 # DEPENDENCYPART_ARC
(3,1),-2.47375 # DEPENDENCYPART_ARC
(3,2),-0.985539 # DEPENDENCYPART_ARC
(3,4),-0.956004 # DEPENDENCYPART_ARC
(3,5),-2.22592 # DEPENDENCYPART_ARC
(3,7),-2.6219 # DEPENDENCYPART_ARC
(3,8),-2.36987 # DEPENDENCYPART_ARC
(4,1),-1.85108 # DEPENDENCYPART_ARC
(4,2),0.307227 # DEPENDENCYPART_ARC
(4,3),1.2865 # DEPENDENCYPART_ARC
(4,5),-0.548309 # DEPENDENCYPART_ARC
(4,7),-0.737767 # DEPENDENCYPART_ARC
(4,8),-0.559403 # DEPENDENCYPART_ARC
(4,10),-1.69009 # DEPENDENCYPART_ARC
(4,11),-0.436308 # DEPENDENCYPART_ARC
(4,13),0.235919 # DEPENDENCYPART_ARC
(4,14),-2.37951 # DEPENDENCYPART_ARC
(4,15),-0.835009 # DEPENDENCYPART_ARC
