# _root_ Aquell dia es va presentar un llibre d' un rigor científic lluny_de tot folklorisme , realitzat per l' historiador i arqueòleg Marc_Sureda_i_Jubany , també gran especialista en temes religiosos .
#goldHeads=2,5,5,5,0,7,5,7,10,8,10,10,14,12,16,7,16,19,17,19,19,19,26,26,26,19,26,27,28,5,
#predictedHeads=2,5,5,5,0,7,5,7,10,8,10,5,14,12,16,7,16,19,17,19,19,19,16,25,26,19,16,27,28,5,
(0,2),-4.36224 # DEPENDENCYPART_ARC
(0,4),-2.75364 # DEPENDENCYPART_ARC
(0,5),-3.78184 # DEPENDENCYPART_ARC
(2,1),1.23335 # DEPENDENCYPART_ARC
(2,4),-1.14993 # DEPENDENCYPART_ARC
(2,5),-1.36666 # DEPENDENCYPART_ARC
(2,8),-1.71611 # DEPENDENCYPART_ARC
(2,16),-2.0159 # DEPENDENCYPART_ARC
(2,22),-3.40384 # DEPENDENCYPART_ARC
(2,30),-3.57566 # DEPENDENCYPART_ARC
(4,2),-2.50457 # DEPENDENCYPART_ARC
(4,3),-0.695828 # DEPENDENCYPART_ARC
(4,5),0.0331193 # DEPENDENCYPART_ARC
(4,7),-1.92929 # DEPENDENCYPART_ARC
(4,8),-1.91327 # DEPENDENCYPART_ARC
(4,12),-2.04962 # DEPENDENCYPART_ARC
(4,30),-3.11237 # DEPENDENCYPART_ARC
(5,1),-1.8562 # DEPENDENCYPART_ARC
(5,2),-0.171799 # DEPENDENCYPART_ARC
(5,3),1.14039 # DEPENDENCYPART_ARC
(5,4),2.64234 # DEPENDENCYPART_ARC
(5,7),1.1115 # DEPENDENCYPART_ARC
(5,8),0.0410291 # DEPENDENCYPART_ARC
(5,10),-0.174928 # DEPENDENCYPART_ARC
(5,11),-1.21722 # DEPENDENCYPART_ARC
(5,12),-0.257426 # DEPENDENCYPART_ARC
(5,14),-1.05485 # DEPENDENCYPART_ARC
(5,15),-1.19766 # DEPENDENCYPART_ARC
(5,16),-1.39238 # DEPENDENCYPART_ARC
(5,17),-0.76934 # DEPENDENCYPART_ARC
(5,19),-1.06041 # DEPENDENCYPART_ARC
(5,20),-1.13009 # DEPENDENCYPART_ARC
(5,21),-1.65975 # DEPENDENCYPART_ARC
(5,22),-1.44786 # DEPENDENCYPART_ARC
(5,23),-1.57388 # DEPENDENCYPART_ARC
(5,24),-2.9301 # DEPENDENCYPART_ARC
(5,26),-1.39762 # DEPENDENCYPART_ARC
(5,27),-1.8958 # DEPENDENCYPART_ARC
(5,30),-0.113692 # DEPENDENCYPART_ARC
(6,7),0.031461 # DEPENDENCYPART_ARC
(6,8),-0.746266 # DEPENDENCYPART_ARC
(6,9),-0.599193 # DEPENDENCYPART_ARC
(7,2),-2.54093 # DEPENDENCYPART_ARC
(7,4),-2.00764 # DEPENDENCYPART_ARC
(7,6),1.45612 # DEPENDENCYPART_ARC
(7,8),0.905869 # DEPENDENCYPART_ARC
(7,9),-1.43963 # DEPENDENCYPART_ARC
(7,10),-0.0081939 # DEPENDENCYPART_ARC
(7,11),0.446788 # DEPENDENCYPART_ARC
(7,12),-0.339758 # DEPENDENCYPART_ARC
(7,13),-1.96824 # DEPENDENCYPART_ARC
(7,14),-1.12848 # DEPENDENCYPART_ARC
(7,15),-0.543318 # DEPENDENCYPART_ARC
(7,16),-0.342637 # DEPENDENCYPART_ARC
(7,17),-0.76285 # DEPENDENCYPART_ARC
(7,19),-1.17941 # DEPENDENCYPART_ARC
(7,20),-0.473498 # DEPENDENCYPART_ARC
(7,21),-1.39561 # DEPENDENCYPART_ARC
(7,22),-1.35773 # DEPENDENCYPART_ARC
(7,23),-0.942884 # DEPENDENCYPART_ARC
(7,24),-2.19245 # DEPENDENCYPART_ARC
(7,25),-1.68128 # DEPENDENCYPART_ARC
(7,26),-1.63731 # DEPENDENCYPART_ARC
(7,27),-1.10534 # DEPENDENCYPART_ARC
(7,28),-2.64523 # DEPENDENCYPART_ARC
(7,29),-2.71526 # DEPENDENCYPART_ARC
(7,30),-1.88371 # DEPENDENCYPART_ARC
(8,6),-2.14255 # DEPENDENCYPART_ARC
(8,10),1.62456 # DEPENDENCYPART_ARC
(8,11),-1.77051 # DEPENDENCYPART_ARC
(8,12),-1.70039 # DEPENDENCYPART_ARC
(8,14),-0.909183 # DEPENDENCYPART_ARC
(8,15),-1.41096 # DEPENDENCYPART_ARC
(8,16),-2.45258 # DEPENDENCYPART_ARC
(9,8),-0.439027 # DEPENDENCYPART_ARC
(9,10),-0.566251 # DEPENDENCYPART_ARC
(9,12),-1.50133 # DEPENDENCYPART_ARC
(10,2),-2.75947 # DEPENDENCYPART_ARC
(10,6),-1.87462 # DEPENDENCYPART_ARC
(10,8),-0.638493 # DEPENDENCYPART_ARC
(10,9),1.30853 # DEPENDENCYPART_ARC
(10,11),1.66759 # DEPENDENCYPART_ARC
(10,12),-0.259214 # DEPENDENCYPART_ARC
(10,13),-1.74095 # DEPENDENCYPART_ARC
(10,14),-0.783054 # DEPENDENCYPART_ARC
(10,15),-0.854574 # DEPENDENCYPART_ARC
(10,16),-0.288109 # DEPENDENCYPART_ARC
(10,17),-0.911534 # DEPENDENCYPART_ARC
(10,19),-0.969796 # DEPENDENCYPART_ARC
(10,20),-0.561411 # DEPENDENCYPART_ARC
(10,21),-1.33798 # DEPENDENCYPART_ARC
(10,22),-1.47231 # DEPENDENCYPART_ARC
(10,23),-1.20736 # DEPENDENCYPART_ARC
(10,25),-1.54806 # DEPENDENCYPART_ARC
(10,26),-1.56963 # DEPENDENCYPART_ARC
(10,27),-1.5148 # DEPENDENCYPART_ARC
(10,28),-2.41507 # DEPENDENCYPART_ARC
(10,29),-2.68239 # DEPENDENCYPART_ARC
(10,30),-1.78533 # DEPENDENCYPART_ARC
(11,9),-1.36401 # DEPENDENCYPART_ARC
(11,12),-0.351042 # DEPENDENCYPART_ARC
(11,14),-1.5829 # DEPENDENCYPART_ARC
(11,15),-1.14071 # DEPENDENCYPART_ARC
(11,16),-0.902737 # DEPENDENCYPART_ARC
(11,17),-1.84991 # DEPENDENCYPART_ARC
(11,20),-1.08869 # DEPENDENCYPART_ARC
(11,25),-2.00092 # DEPENDENCYPART_ARC
(11,27),-2.60229 # DEPENDENCYPART_ARC
(12,11),-1.41795 # DEPENDENCYPART_ARC
(12,13),-1.44379 # DEPENDENCYPART_ARC
(12,14),1.53619 # DEPENDENCYPART_ARC
(12,15),-0.796053 # DEPENDENCYPART_ARC
(12,16),-1.61977 # DEPENDENCYPART_ARC
(12,17),-1.71734 # DEPENDENCYPART_ARC
(12,19),-1.1333 # DEPENDENCYPART_ARC
(12,20),-1.13706 # DEPENDENCYPART_ARC
(13,17),-1.70368 # DEPENDENCYPART_ARC
(14,8),-1.15799 # DEPENDENCYPART_ARC
(14,9),-2.4739 # DEPENDENCYPART_ARC
(14,11),-2.24162 # DEPENDENCYPART_ARC
(14,12),-0.654437 # DEPENDENCYPART_ARC
(14,13),0.935857 # DEPENDENCYPART_ARC
(14,15),-0.674819 # DEPENDENCYPART_ARC
(14,16),-0.676572 # DEPENDENCYPART_ARC
(14,17),-1.44899 # DEPENDENCYPART_ARC
(14,19),-0.987083 # DEPENDENCYPART_ARC
(14,20),-0.378601 # DEPENDENCYPART_ARC
(14,21),-1.44194 # DEPENDENCYPART_ARC
(14,22),-1.61981 # DEPENDENCYPART_ARC
(14,25),-2.38583 # DEPENDENCYPART_ARC
(14,26),-2.12439 # DEPENDENCYPART_ARC
(14,28),-2.72205 # DEPENDENCYPART_ARC
(14,29),-2.33299 # DEPENDENCYPART_ARC
(14,30),-2.02625 # DEPENDENCYPART_ARC
(16,8),-1.55905 # DEPENDENCYPART_ARC
(16,12),-1.29768 # DEPENDENCYPART_ARC
(16,14),-1.16521 # DEPENDENCYPART_ARC
(16,15),0.998989 # DEPENDENCYPART_ARC
(16,17),1.92528 # DEPENDENCYPART_ARC
(16,19),-0.808273 # DEPENDENCYPART_ARC
(16,20),-0.400952 # DEPENDENCYPART_ARC
(16,21),-1.07799 # DEPENDENCYPART_ARC
(16,22),-1.32031 # DEPENDENCYPART_ARC
(16,23),-0.380036 # DEPENDENCYPART_ARC
(16,24),-1.37863 # DEPENDENCYPART_ARC
(16,25),-1.68041 # DEPENDENCYPART_ARC
(16,26),-1.59908 # DEPENDENCYPART_ARC
(16,27),-0.807731 # DEPENDENCYPART_ARC
(16,29),-3.18386 # DEPENDENCYPART_ARC
(16,30),-1.17419 # DEPENDENCYPART_ARC
(17,15),-1.52626 # DEPENDENCYPART_ARC
(17,16),-1.43345 # DEPENDENCYPART_ARC
(17,18),-1.01305 # DEPENDENCYPART_ARC
(17,19),1.60904 # DEPENDENCYPART_ARC
(17,20),-0.957534 # DEPENDENCYPART_ARC
(17,21),-1.04164 # DEPENDENCYPART_ARC
(17,22),-2.03033 # DEPENDENCYPART_ARC
(17,23),-1.29684 # DEPENDENCYPART_ARC
(19,13),-2.80892 # DEPENDENCYPART_ARC
(19,18),1.28628 # DEPENDENCYPART_ARC
(19,20),0.867144 # DEPENDENCYPART_ARC
(19,21),0.311697 # DEPENDENCYPART_ARC
(19,22),-0.348729 # DEPENDENCYPART_ARC
(19,23),-1.14358 # DEPENDENCYPART_ARC
(19,24),-1.89654 # DEPENDENCYPART_ARC
(19,25),-0.87633 # DEPENDENCYPART_ARC
(19,26),-0.8164 # DEPENDENCYPART_ARC
(19,27),-0.935892 # DEPENDENCYPART_ARC
(19,28),-1.65741 # DEPENDENCYPART_ARC
(19,29),-1.94624 # DEPENDENCYPART_ARC
(19,30),-1.34529 # DEPENDENCYPART_ARC
(21,18),-1.68056 # DEPENDENCYPART_ARC
(21,20),-0.465798 # DEPENDENCYPART_ARC
(21,22),0.187432 # DEPENDENCYPART_ARC
(21,24),-2.02418 # DEPENDENCYPART_ARC
(21,25),-1.17288 # DEPENDENCYPART_ARC
(21,26),-1.10405 # DEPENDENCYPART_ARC
(21,27),-1.78704 # DEPENDENCYPART_ARC
(21,29),-2.78185 # DEPENDENCYPART_ARC
(21,30),-1.8512 # DEPENDENCYPART_ARC
(22,18),-3.21358 # DEPENDENCYPART_ARC
(22,21),-0.813487 # DEPENDENCYPART_ARC
(22,23),-1.00114 # DEPENDENCYPART_ARC
(22,24),-1.72271 # DEPENDENCYPART_ARC
(22,25),-1.32444 # DEPENDENCYPART_ARC
(22,26),-1.10214 # DEPENDENCYPART_ARC
(22,28),-1.69223 # DEPENDENCYPART_ARC
(22,29),-1.76565 # DEPENDENCYPART_ARC
(24,21),-2.36675 # DEPENDENCYPART_ARC
(24,23),-1.12874 # DEPENDENCYPART_ARC
(24,25),-1.03298 # DEPENDENCYPART_ARC
(24,27),-2.52362 # DEPENDENCYPART_ARC
(25,17),-1.69143 # DEPENDENCYPART_ARC
(25,21),-2.68044 # DEPENDENCYPART_ARC
(25,23),-0.459418 # DEPENDENCYPART_ARC
(25,24),0.951315 # DEPENDENCYPART_ARC
(25,26),-0.542943 # DEPENDENCYPART_ARC
(25,27),-1.26256 # DEPENDENCYPART_ARC
(26,12),-1.49275 # DEPENDENCYPART_ARC
(26,15),-1.61808 # DEPENDENCYPART_ARC
(26,16),-0.969607 # DEPENDENCYPART_ARC
(26,17),-1.36935 # DEPENDENCYPART_ARC
(26,23),-0.567003 # DEPENDENCYPART_ARC
(26,24),0.113934 # DEPENDENCYPART_ARC
(26,25),1.74987 # DEPENDENCYPART_ARC
(26,27),0.335874 # DEPENDENCYPART_ARC
(26,28),-0.70106 # DEPENDENCYPART_ARC
(26,29),-1.53167 # DEPENDENCYPART_ARC
(26,30),-1.22789 # DEPENDENCYPART_ARC
(27,24),-1.47258 # DEPENDENCYPART_ARC
(27,26),-1.61676 # DEPENDENCYPART_ARC
(27,28),2.50178 # DEPENDENCYPART_ARC
(27,29),-1.10833 # DEPENDENCYPART_ARC
(28,29),1.34418 # DEPENDENCYPART_ARC
(29,24),-1.67269 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.44939 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.431358 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.950498 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.19497 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0210018 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0572671 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0105047 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0837484 # DEPENDENCYPART_SIBL
(2,1),(2,30),0.0804646 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.094048 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0328427 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0186801 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0215869 # DEPENDENCYPART_SIBL
(2,4),(2,30),-0.0174333 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00634088 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.00765151 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0232002 # DEPENDENCYPART_SIBL
(2,5),(2,30),0.0544034 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0582749 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.000605868 # DEPENDENCYPART_SIBL
(2,8),(2,30),0.0671844 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.00340331 # DEPENDENCYPART_SIBL
(2,16),(2,30),0.00770852 # DEPENDENCYPART_SIBL
(2,22),(2,30),-0.00443154 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.256418 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.126153 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0600745 # DEPENDENCYPART_SIBL
