# _root_ Heather_Mills , l' exmodel de 34 anys que dijous que ve es casarà amb Paul_McCartney , ha muntat un comiat de soltera amb tota mena de luxes .
#goldHeads=18,4,4,1,4,7,5,13,13,11,9,13,4,13,14,4,18,0,20,18,20,21,20,27,24,24,23,18,
#predictedHeads=18,4,4,1,4,7,5,13,13,11,4,13,4,13,14,4,18,0,20,18,20,21,18,25,23,25,26,18,
(0,1),-3.82028 # DEPENDENCYPART_ARC
(0,4),-5.63022 # DEPENDENCYPART_ARC
(0,9),-5.21226 # DEPENDENCYPART_ARC
(0,11),-2.62941 # DEPENDENCYPART_ARC
(0,13),-2.33604 # DEPENDENCYPART_ARC
(0,17),-1.91456 # DEPENDENCYPART_ARC
(0,18),-2.8032 # DEPENDENCYPART_ARC
(1,2),-0.458409 # DEPENDENCYPART_ARC
(1,4),-0.419931 # DEPENDENCYPART_ARC
(1,5),-0.870548 # DEPENDENCYPART_ARC
(1,6),-1.19728 # DEPENDENCYPART_ARC
(1,7),-1.28138 # DEPENDENCYPART_ARC
(1,9),-1.21242 # DEPENDENCYPART_ARC
(1,11),-0.609022 # DEPENDENCYPART_ARC
(1,13),-0.701889 # DEPENDENCYPART_ARC
(1,14),-1.65576 # DEPENDENCYPART_ARC
(1,16),-0.898715 # DEPENDENCYPART_ARC
(1,18),-1.45538 # DEPENDENCYPART_ARC
(1,20),-2.20745 # DEPENDENCYPART_ARC
(1,28),-1.98029 # DEPENDENCYPART_ARC
(3,1),-2.07536 # DEPENDENCYPART_ARC
(3,4),-0.978857 # DEPENDENCYPART_ARC
(3,5),-1.39071 # DEPENDENCYPART_ARC
(3,6),-1.28536 # DEPENDENCYPART_ARC
(4,2),-0.651157 # DEPENDENCYPART_ARC
(4,3),1.59343 # DEPENDENCYPART_ARC
(4,5),1.17297 # DEPENDENCYPART_ARC
(4,6),-1.03266 # DEPENDENCYPART_ARC
(4,7),-0.764407 # DEPENDENCYPART_ARC
(4,9),-1.20655 # DEPENDENCYPART_ARC
(4,11),0.0889696 # DEPENDENCYPART_ARC
(4,13),0.00845368 # DEPENDENCYPART_ARC
(4,14),-1.10724 # DEPENDENCYPART_ARC
(4,16),-0.759914 # DEPENDENCYPART_ARC
(4,17),-1.41312 # DEPENDENCYPART_ARC
(4,18),-1.02519 # DEPENDENCYPART_ARC
(4,20),-1.95154 # DEPENDENCYPART_ARC
(4,23),-1.02917 # DEPENDENCYPART_ARC
(4,28),-2.08106 # DEPENDENCYPART_ARC
(5,2),-1.63261 # DEPENDENCYPART_ARC
(5,3),-1.97878 # DEPENDENCYPART_ARC
(5,4),-0.953241 # DEPENDENCYPART_ARC
(5,6),-0.103108 # DEPENDENCYPART_ARC
(5,7),1.24823 # DEPENDENCYPART_ARC
(5,9),-1.25747 # DEPENDENCYPART_ARC
(5,11),-2.60221 # DEPENDENCYPART_ARC
(5,13),-3.38579 # DEPENDENCYPART_ARC
(6,4),-1.28149 # DEPENDENCYPART_ARC
(6,5),-0.423853 # DEPENDENCYPART_ARC
(6,7),-0.862452 # DEPENDENCYPART_ARC
(6,9),-1.64237 # DEPENDENCYPART_ARC
(7,2),-1.06958 # DEPENDENCYPART_ARC
(7,3),-1.87087 # DEPENDENCYPART_ARC
(7,4),-2.21534 # DEPENDENCYPART_ARC
(7,5),-0.560044 # DEPENDENCYPART_ARC
(7,6),1.40777 # DEPENDENCYPART_ARC
(7,8),-0.932745 # DEPENDENCYPART_ARC
(7,9),-0.912738 # DEPENDENCYPART_ARC
(7,11),-0.455604 # DEPENDENCYPART_ARC
(7,13),-0.76161 # DEPENDENCYPART_ARC
(7,14),-1.4542 # DEPENDENCYPART_ARC
(7,16),-1.12345 # DEPENDENCYPART_ARC
(7,17),-1.67462 # DEPENDENCYPART_ARC
(7,18),-0.988726 # DEPENDENCYPART_ARC
(7,28),-2.54945 # DEPENDENCYPART_ARC
(8,11),-1.4741 # DEPENDENCYPART_ARC
(9,5),-1.87989 # DEPENDENCYPART_ARC
(9,8),-0.359686 # DEPENDENCYPART_ARC
(9,11),-0.431872 # DEPENDENCYPART_ARC
(9,13),-1.17711 # DEPENDENCYPART_ARC
(9,14),-1.41491 # DEPENDENCYPART_ARC
(9,16),-1.44348 # DEPENDENCYPART_ARC
(9,18),-1.56122 # DEPENDENCYPART_ARC
(9,20),-1.86445 # DEPENDENCYPART_ARC
(9,21),-1.81524 # DEPENDENCYPART_ARC
(10,11),-1.23055 # DEPENDENCYPART_ARC
(11,1),-2.64009 # DEPENDENCYPART_ARC
(11,2),-1.63216 # DEPENDENCYPART_ARC
(11,4),-1.94134 # DEPENDENCYPART_ARC
(11,5),-2.47006 # DEPENDENCYPART_ARC
(11,6),-1.97516 # DEPENDENCYPART_ARC
(11,7),-2.34222 # DEPENDENCYPART_ARC
(11,8),0.429739 # DEPENDENCYPART_ARC
(11,9),-1.26508 # DEPENDENCYPART_ARC
(11,10),2.25501 # DEPENDENCYPART_ARC
(11,12),-0.305338 # DEPENDENCYPART_ARC
(11,13),-0.242968 # DEPENDENCYPART_ARC
(11,14),-0.8103 # DEPENDENCYPART_ARC
(11,16),-0.970457 # DEPENDENCYPART_ARC
(11,18),-2.08982 # DEPENDENCYPART_ARC
(11,20),-2.34586 # DEPENDENCYPART_ARC
(11,23),-1.69502 # DEPENDENCYPART_ARC
(11,28),-1.60396 # DEPENDENCYPART_ARC
(13,1),-1.84629 # DEPENDENCYPART_ARC
(13,2),-1.03778 # DEPENDENCYPART_ARC
(13,3),-3.03638 # DEPENDENCYPART_ARC
(13,4),-1.05675 # DEPENDENCYPART_ARC
(13,5),-1.82431 # DEPENDENCYPART_ARC
(13,6),-1.31755 # DEPENDENCYPART_ARC
(13,7),-1.67162 # DEPENDENCYPART_ARC
(13,8),0.126662 # DEPENDENCYPART_ARC
(13,9),-1.0113 # DEPENDENCYPART_ARC
(13,10),0.725822 # DEPENDENCYPART_ARC
(13,11),1.06847 # DEPENDENCYPART_ARC
(13,12),2.21896 # DEPENDENCYPART_ARC
(13,14),1.82908 # DEPENDENCYPART_ARC
(13,15),0.137107 # DEPENDENCYPART_ARC
(13,16),0.120472 # DEPENDENCYPART_ARC
(13,17),-1.04652 # DEPENDENCYPART_ARC
(13,18),-1.11577 # DEPENDENCYPART_ARC
(13,20),-1.32394 # DEPENDENCYPART_ARC
(13,21),-1.40055 # DEPENDENCYPART_ARC
(13,23),-0.571482 # DEPENDENCYPART_ARC
(13,25),-1.56818 # DEPENDENCYPART_ARC
(13,28),-1.33791 # DEPENDENCYPART_ARC
(14,9),-3.03873 # DEPENDENCYPART_ARC
(14,13),-0.637144 # DEPENDENCYPART_ARC
(14,15),2.26596 # DEPENDENCYPART_ARC
(14,16),-0.849529 # DEPENDENCYPART_ARC
(14,18),-1.86543 # DEPENDENCYPART_ARC
(15,14),-1.11438 # DEPENDENCYPART_ARC
(15,16),-1.1251 # DEPENDENCYPART_ARC
(15,17),-1.94613 # DEPENDENCYPART_ARC
(15,18),-1.90428 # DEPENDENCYPART_ARC
(15,20),-2.00062 # DEPENDENCYPART_ARC
(15,21),-1.92579 # DEPENDENCYPART_ARC
(15,23),-2.05995 # DEPENDENCYPART_ARC
(17,1),-4.73183 # DEPENDENCYPART_ARC
(17,2),-3.73582 # DEPENDENCYPART_ARC
(17,4),-4.17348 # DEPENDENCYPART_ARC
(17,8),-4.55002 # DEPENDENCYPART_ARC
(17,10),-4.33651 # DEPENDENCYPART_ARC
(17,13),-3.58965 # DEPENDENCYPART_ARC
(17,14),-2.39564 # DEPENDENCYPART_ARC
(17,16),-2.56137 # DEPENDENCYPART_ARC
(17,18),-0.709402 # DEPENDENCYPART_ARC
(17,20),-1.96117 # DEPENDENCYPART_ARC
(17,23),-1.9473 # DEPENDENCYPART_ARC
(17,28),-1.79618 # DEPENDENCYPART_ARC
(18,1),-2.38074 # DEPENDENCYPART_ARC
(18,2),-2.35104 # DEPENDENCYPART_ARC
(18,3),-2.97321 # DEPENDENCYPART_ARC
(18,4),-2.35038 # DEPENDENCYPART_ARC
(18,5),-3.09425 # DEPENDENCYPART_ARC
(18,7),-2.17352 # DEPENDENCYPART_ARC
(18,8),-1.79331 # DEPENDENCYPART_ARC
(18,9),-1.83206 # DEPENDENCYPART_ARC
(18,10),-1.59056 # DEPENDENCYPART_ARC
(18,11),-1.3231 # DEPENDENCYPART_ARC
(18,13),0.237111 # DEPENDENCYPART_ARC
(18,14),-0.598953 # DEPENDENCYPART_ARC
(18,15),-1.05304 # DEPENDENCYPART_ARC
(18,16),-0.883354 # DEPENDENCYPART_ARC
(18,17),3.41993 # DEPENDENCYPART_ARC
(18,20),1.04431 # DEPENDENCYPART_ARC
(18,21),-0.120868 # DEPENDENCYPART_ARC
(18,22),-0.564158 # DEPENDENCYPART_ARC
(18,23),0.410092 # DEPENDENCYPART_ARC
(18,25),-0.707097 # DEPENDENCYPART_ARC
(18,26),-0.837292 # DEPENDENCYPART_ARC
(18,27),-1.05222 # DEPENDENCYPART_ARC
(18,28),-0.253576 # DEPENDENCYPART_ARC
(19,20),0.122431 # DEPENDENCYPART_ARC
(19,21),-0.26104 # DEPENDENCYPART_ARC
(19,23),-1.36663 # DEPENDENCYPART_ARC
(20,2),-2.80808 # DEPENDENCYPART_ARC
(20,5),-0.952443 # DEPENDENCYPART_ARC
(20,14),-1.65461 # DEPENDENCYPART_ARC
(20,19),1.35909 # DEPENDENCYPART_ARC
(20,21),1.18972 # DEPENDENCYPART_ARC
(20,22),-0.380622 # DEPENDENCYPART_ARC
(20,23),-0.124078 # DEPENDENCYPART_ARC
(20,24),-2.37399 # DEPENDENCYPART_ARC
(20,25),-0.705527 # DEPENDENCYPART_ARC
(20,26),-0.832523 # DEPENDENCYPART_ARC
(20,27),-1.53597 # DEPENDENCYPART_ARC
