# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=25,3,1,6,6,3,6,9,7,9,12,9,12,13,14,17,14,17,1,22,20,25,22,23,0,25,28,26,28,29,30,31,31,25,
(0,1),-4.5272 # DEPENDENCYPART_ARC
(0,6),-2.38069 # DEPENDENCYPART_ARC
(0,7),-3.68901 # DEPENDENCYPART_ARC
(0,25),-3.75276 # DEPENDENCYPART_ARC
(0,26),-5.86081 # DEPENDENCYPART_ARC
(1,3),2.16324 # DEPENDENCYPART_ARC
(1,4),0.323009 # DEPENDENCYPART_ARC
(1,6),-1.82101 # DEPENDENCYPART_ARC
(1,7),-1.34852 # DEPENDENCYPART_ARC
(1,9),-1.92603 # DEPENDENCYPART_ARC
(1,10),-0.879194 # DEPENDENCYPART_ARC
(1,15),-0.9573 # DEPENDENCYPART_ARC
(1,19),-1.22141 # DEPENDENCYPART_ARC
(3,1),-0.896569 # DEPENDENCYPART_ARC
(3,2),1.28631 # DEPENDENCYPART_ARC
(3,4),-1.11562 # DEPENDENCYPART_ARC
(3,6),-0.765122 # DEPENDENCYPART_ARC
(3,7),-1.52473 # DEPENDENCYPART_ARC
(3,9),-1.69872 # DEPENDENCYPART_ARC
(3,10),-0.840814 # DEPENDENCYPART_ARC
(3,12),-2.44881 # DEPENDENCYPART_ARC
(3,13),-1.83873 # DEPENDENCYPART_ARC
(3,15),-1.33411 # DEPENDENCYPART_ARC
(3,22),-4.39478 # DEPENDENCYPART_ARC
(5,6),-1.02511 # DEPENDENCYPART_ARC
(5,9),-2.53014 # DEPENDENCYPART_ARC
(5,12),-3.1943 # DEPENDENCYPART_ARC
(6,1),-1.02562 # DEPENDENCYPART_ARC
(6,3),-1.68302 # DEPENDENCYPART_ARC
(6,4),-0.147526 # DEPENDENCYPART_ARC
(6,5),1.92547 # DEPENDENCYPART_ARC
(6,7),1.7746 # DEPENDENCYPART_ARC
(6,9),-0.536995 # DEPENDENCYPART_ARC
(6,10),-0.558032 # DEPENDENCYPART_ARC
(6,12),-1.26857 # DEPENDENCYPART_ARC
(6,13),-0.760939 # DEPENDENCYPART_ARC
(6,15),-0.868365 # DEPENDENCYPART_ARC
(6,17),-2.04398 # DEPENDENCYPART_ARC
(6,19),-0.700047 # DEPENDENCYPART_ARC
(6,25),-1.42621 # DEPENDENCYPART_ARC
(6,26),-1.68511 # DEPENDENCYPART_ARC
(6,32),-1.58426 # DEPENDENCYPART_ARC
(6,34),1.11571 # DEPENDENCYPART_ARC
(7,1),-1.76884 # DEPENDENCYPART_ARC
(7,3),-2.53913 # DEPENDENCYPART_ARC
(7,4),-1.37399 # DEPENDENCYPART_ARC
(7,5),0.627929 # DEPENDENCYPART_ARC
(7,6),0.635082 # DEPENDENCYPART_ARC
(7,9),0.878638 # DEPENDENCYPART_ARC
(7,10),-0.613691 # DEPENDENCYPART_ARC
(7,12),-0.534599 # DEPENDENCYPART_ARC
(7,13),-0.628192 # DEPENDENCYPART_ARC
(7,14),-2.27573 # DEPENDENCYPART_ARC
(7,15),-0.922982 # DEPENDENCYPART_ARC
(7,17),-1.85783 # DEPENDENCYPART_ARC
(7,18),-2.0799 # DEPENDENCYPART_ARC
(7,19),-1.61831 # DEPENDENCYPART_ARC
(7,22),-1.63023 # DEPENDENCYPART_ARC
(7,25),-1.29083 # DEPENDENCYPART_ARC
(7,26),-1.52841 # DEPENDENCYPART_ARC
(7,29),-2.3214 # DEPENDENCYPART_ARC
(7,32),-1.13344 # DEPENDENCYPART_ARC
(7,34),-1.02114 # DEPENDENCYPART_ARC
(8,9),-0.983204 # DEPENDENCYPART_ARC
(8,10),-1.05955 # DEPENDENCYPART_ARC
(8,11),-1.6612 # DEPENDENCYPART_ARC
(9,1),-1.4142 # DEPENDENCYPART_ARC
(9,4),-2.8778 # DEPENDENCYPART_ARC
(9,6),-0.932667 # DEPENDENCYPART_ARC
(9,7),-1.24964 # DEPENDENCYPART_ARC
(9,8),2.21281 # DEPENDENCYPART_ARC
(9,10),0.593053 # DEPENDENCYPART_ARC
(9,12),-0.593735 # DEPENDENCYPART_ARC
(9,13),0.032478 # DEPENDENCYPART_ARC
(9,14),-1.18075 # DEPENDENCYPART_ARC
(9,15),-0.646093 # DEPENDENCYPART_ARC
(9,17),-2.13071 # DEPENDENCYPART_ARC
(9,18),-1.9921 # DEPENDENCYPART_ARC
(9,19),-0.854543 # DEPENDENCYPART_ARC
(9,22),-1.73242 # DEPENDENCYPART_ARC
(9,23),-1.96385 # DEPENDENCYPART_ARC
(9,24),-2.85198 # DEPENDENCYPART_ARC
(9,25),-1.26378 # DEPENDENCYPART_ARC
(9,26),-1.94643 # DEPENDENCYPART_ARC
(9,28),-3.30846 # DEPENDENCYPART_ARC
(9,29),-0.763486 # DEPENDENCYPART_ARC
(11,10),-1.03453 # DEPENDENCYPART_ARC
(11,12),-0.794778 # DEPENDENCYPART_ARC
(11,13),-1.31063 # DEPENDENCYPART_ARC
(12,1),-2.21454 # DEPENDENCYPART_ARC
(12,4),-2.69947 # DEPENDENCYPART_ARC
(12,7),-2.26633 # DEPENDENCYPART_ARC
(12,8),-3.15565 # DEPENDENCYPART_ARC
(12,9),-2.52773 # DEPENDENCYPART_ARC
(12,10),-1.11439 # DEPENDENCYPART_ARC
(12,11),1.89966 # DEPENDENCYPART_ARC
(12,13),0.526942 # DEPENDENCYPART_ARC
(12,14),-0.998823 # DEPENDENCYPART_ARC
(12,15),-0.255192 # DEPENDENCYPART_ARC
(12,17),-1.40334 # DEPENDENCYPART_ARC
(12,18),-2.20492 # DEPENDENCYPART_ARC
(12,19),-0.831155 # DEPENDENCYPART_ARC
(12,22),-1.71832 # DEPENDENCYPART_ARC
(12,23),-1.73414 # DEPENDENCYPART_ARC
(12,24),-2.52278 # DEPENDENCYPART_ARC
(12,26),-2.23995 # DEPENDENCYPART_ARC
(12,28),-2.77089 # DEPENDENCYPART_ARC
(12,29),-1.14039 # DEPENDENCYPART_ARC
(13,11),-1.80629 # DEPENDENCYPART_ARC
(13,12),-1.2084 # DEPENDENCYPART_ARC
(13,14),1.3691 # DEPENDENCYPART_ARC
(13,15),-1.13032 # DEPENDENCYPART_ARC
(13,17),-1.57865 # DEPENDENCYPART_ARC
(14,11),-2.52135 # DEPENDENCYPART_ARC
(14,12),-1.76193 # DEPENDENCYPART_ARC
(14,15),-0.00591573 # DEPENDENCYPART_ARC
(14,17),-0.796599 # DEPENDENCYPART_ARC
(14,18),-0.791165 # DEPENDENCYPART_ARC
(14,19),-0.928721 # DEPENDENCYPART_ARC
(14,22),-1.6307 # DEPENDENCYPART_ARC
(14,23),-1.77462 # DEPENDENCYPART_ARC
(14,24),-1.72709 # DEPENDENCYPART_ARC
(14,25),-1.79321 # DEPENDENCYPART_ARC
(14,26),-2.14054 # DEPENDENCYPART_ARC
(14,28),-2.55408 # DEPENDENCYPART_ARC
(14,29),-1.7569 # DEPENDENCYPART_ARC
(14,30),-2.70118 # DEPENDENCYPART_ARC
(14,33),-3.20799 # DEPENDENCYPART_ARC
(17,1),-1.37748 # DEPENDENCYPART_ARC
(17,7),-2.70665 # DEPENDENCYPART_ARC
(17,11),-2.74113 # DEPENDENCYPART_ARC
(17,13),-1.62066 # DEPENDENCYPART_ARC
(17,15),-1.2518 # DEPENDENCYPART_ARC
(17,16),1.74139 # DEPENDENCYPART_ARC
(17,18),1.73674 # DEPENDENCYPART_ARC
(17,19),-0.60923 # DEPENDENCYPART_ARC
(17,22),-1.26576 # DEPENDENCYPART_ARC
(17,23),-0.829528 # DEPENDENCYPART_ARC
(17,24),-1.2312 # DEPENDENCYPART_ARC
(17,25),-1.82183 # DEPENDENCYPART_ARC
(17,26),-1.7073 # DEPENDENCYPART_ARC
(17,28),-1.8511 # DEPENDENCYPART_ARC
(17,29),-1.14475 # DEPENDENCYPART_ARC
(17,31),-3.8817 # DEPENDENCYPART_ARC
(17,33),-4.77937 # DEPENDENCYPART_ARC
(18,13),-1.79898 # DEPENDENCYPART_ARC
(18,16),-1.42224 # DEPENDENCYPART_ARC
(18,17),-1.43517 # DEPENDENCYPART_ARC
(18,19),-1.45611 # DEPENDENCYPART_ARC
(18,22),-2.67793 # DEPENDENCYPART_ARC
(18,23),-2.45667 # DEPENDENCYPART_ARC
(18,32),-1.11919 # DEPENDENCYPART_ARC
(18,33),-4.07881 # DEPENDENCYPART_ARC
(19,17),-2.21032 # DEPENDENCYPART_ARC
(19,18),-1.27812 # DEPENDENCYPART_ARC
(20,21),2.48553 # DEPENDENCYPART_ARC
(21,22),-0.217367 # DEPENDENCYPART_ARC
(21,23),-0.502077 # DEPENDENCYPART_ARC
(22,1),-2.68898 # DEPENDENCYPART_ARC
(22,6),-1.6576 # DEPENDENCYPART_ARC
(22,7),-2.15258 # DEPENDENCYPART_ARC
(22,16),-3.49418 # DEPENDENCYPART_ARC
(22,18),-3.24356 # DEPENDENCYPART_ARC
(22,20),0.698985 # DEPENDENCYPART_ARC
(22,21),1.36383 # DEPENDENCYPART_ARC
(22,23),1.13823 # DEPENDENCYPART_ARC
(22,24),-0.971437 # DEPENDENCYPART_ARC
(22,25),-0.885067 # DEPENDENCYPART_ARC
(22,26),-1.69365 # DEPENDENCYPART_ARC
(22,28),-1.88151 # DEPENDENCYPART_ARC
(22,29),-0.794983 # DEPENDENCYPART_ARC
(22,31),-0.635256 # DEPENDENCYPART_ARC
(22,33),-1.4833 # DEPENDENCYPART_ARC
(23,20),-2.46533 # DEPENDENCYPART_ARC
(23,21),-1.6708 # DEPENDENCYPART_ARC
(23,24),2.14375 # DEPENDENCYPART_ARC
(23,25),-1.55824 # DEPENDENCYPART_ARC
(23,26),-1.81632 # DEPENDENCYPART_ARC
(24,20),-3.43427 # DEPENDENCYPART_ARC
(24,21),-2.88439 # DEPENDENCYPART_ARC
(24,25),-1.35099 # DEPENDENCYPART_ARC
(25,1),-1.33716 # DEPENDENCYPART_ARC
(25,4),-3.14879 # DEPENDENCYPART_ARC
(25,5),-3.11548 # DEPENDENCYPART_ARC
(25,6),-3.25175 # DEPENDENCYPART_ARC
(25,7),-2.89838 # DEPENDENCYPART_ARC
(25,9),-1.12762 # DEPENDENCYPART_ARC
(25,10),-1.69831 # DEPENDENCYPART_ARC
(25,12),-1.63781 # DEPENDENCYPART_ARC
(25,13),-1.48992 # DEPENDENCYPART_ARC
(25,14),-1.88673 # DEPENDENCYPART_ARC
(25,17),-1.96838 # DEPENDENCYPART_ARC
(25,18),-3.04242 # DEPENDENCYPART_ARC
(25,19),-1.38268 # DEPENDENCYPART_ARC
(25,20),-2.30564 # DEPENDENCYPART_ARC
(25,22),0.319772 # DEPENDENCYPART_ARC
(25,23),-0.663295 # DEPENDENCYPART_ARC
(25,24),-0.749214 # DEPENDENCYPART_ARC
(25,26),1.1657 # DEPENDENCYPART_ARC
(25,28),-0.782613 # DEPENDENCYPART_ARC
(25,29),-0.498276 # DEPENDENCYPART_ARC
(25,30),-0.648376 # DEPENDENCYPART_ARC
(25,31),-1.23057 # DEPENDENCYPART_ARC
(25,32),-0.705897 # DEPENDENCYPART_ARC
(25,33),-1.62757 # DEPENDENCYPART_ARC
(25,34),-0.0870036 # DEPENDENCYPART_ARC
(26,1),-2.55167 # DEPENDENCYPART_ARC
(26,4),-3.60047 # DEPENDENCYPART_ARC
(26,5),-3.91989 # DEPENDENCYPART_ARC
(26,6),-3.73803 # DEPENDENCYPART_ARC
(26,7),-3.34017 # DEPENDENCYPART_ARC
(26,9),-2.21047 # DEPENDENCYPART_ARC
(26,10),-2.45952 # DEPENDENCYPART_ARC
(26,12),-2.55565 # DEPENDENCYPART_ARC
(26,13),-2.85452 # DEPENDENCYPART_ARC
(26,14),-2.71136 # DEPENDENCYPART_ARC
(26,15),-2.09163 # DEPENDENCYPART_ARC
(26,17),-2.21836 # DEPENDENCYPART_ARC
(26,18),-3.06515 # DEPENDENCYPART_ARC
(26,19),-2.34804 # DEPENDENCYPART_ARC
(26,20),-3.34658 # DEPENDENCYPART_ARC
(26,22),-1.42071 # DEPENDENCYPART_ARC
(26,23),-1.97644 # DEPENDENCYPART_ARC
(26,24),-1.48393 # DEPENDENCYPART_ARC
(26,25),1.19516 # DEPENDENCYPART_ARC
(26,28),0.959523 # DEPENDENCYPART_ARC
(26,29),0.267627 # DEPENDENCYPART_ARC
(26,30),-0.181946 # DEPENDENCYPART_ARC
(26,31),-1.13705 # DEPENDENCYPART_ARC
(26,32),-0.945353 # DEPENDENCYPART_ARC
