# _root_ Empúries ha editat en català els tres números anteriors , que portaven per títol ' Harry_Potter_i_la_pedra_filosofal ' , ' Harry_Potter_i_la_cambra_secreta ' i ' Harry_Potter_i_el_presoner_d'_Azkaban ' .
#goldHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,12,16,16,20,16,20,16,24,16,24,3,
#predictedHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,12,16,16,20,16,20,20,24,20,24,3,
(0,1),-3.94197 # DEPENDENCYPART_ARC
(0,2),-1.39102 # DEPENDENCYPART_ARC
(0,3),-2.52806 # DEPENDENCYPART_ARC
(0,12),-2.58563 # DEPENDENCYPART_ARC
(1,2),-1.40716 # DEPENDENCYPART_ARC
(1,3),-2.31511 # DEPENDENCYPART_ARC
(1,8),-2.23397 # DEPENDENCYPART_ARC
(1,10),-1.68921 # DEPENDENCYPART_ARC
(1,12),-2.57184 # DEPENDENCYPART_ARC
(1,16),-2.60589 # DEPENDENCYPART_ARC
(1,18),-1.94869 # DEPENDENCYPART_ARC
(1,20),-2.86903 # DEPENDENCYPART_ARC
(1,24),-3.26317 # DEPENDENCYPART_ARC
(1,26),-3.86669 # DEPENDENCYPART_ARC
(2,1),-2.24828 # DEPENDENCYPART_ARC
(2,3),-0.585104 # DEPENDENCYPART_ARC
(2,4),-1.3661 # DEPENDENCYPART_ARC
(2,8),-2.74953 # DEPENDENCYPART_ARC
(2,10),-1.76383 # DEPENDENCYPART_ARC
(2,12),-2.67407 # DEPENDENCYPART_ARC
(2,15),-2.22796 # DEPENDENCYPART_ARC
(2,17),-2.28584 # DEPENDENCYPART_ARC
(2,18),-1.7113 # DEPENDENCYPART_ARC
(2,22),-1.842 # DEPENDENCYPART_ARC
(2,26),-3.60829 # DEPENDENCYPART_ARC
(3,1),0.267048 # DEPENDENCYPART_ARC
(3,2),2.99295 # DEPENDENCYPART_ARC
(3,4),1.70318 # DEPENDENCYPART_ARC
(3,5),0.0808018 # DEPENDENCYPART_ARC
(3,8),-0.0786544 # DEPENDENCYPART_ARC
(3,9),-1.35785 # DEPENDENCYPART_ARC
(3,10),-0.765443 # DEPENDENCYPART_ARC
(3,12),-0.608558 # DEPENDENCYPART_ARC
(3,13),-0.903959 # DEPENDENCYPART_ARC
(3,15),-1.31213 # DEPENDENCYPART_ARC
(3,16),-2.34671 # DEPENDENCYPART_ARC
(3,17),-1.22603 # DEPENDENCYPART_ARC
(3,18),-0.870059 # DEPENDENCYPART_ARC
(3,19),-2.23762 # DEPENDENCYPART_ARC
(3,20),-2.87307 # DEPENDENCYPART_ARC
(3,21),-2.30628 # DEPENDENCYPART_ARC
(3,22),-1.0184 # DEPENDENCYPART_ARC
(3,24),-3.55706 # DEPENDENCYPART_ARC
(3,25),-3.14193 # DEPENDENCYPART_ARC
(3,26),-1.84566 # DEPENDENCYPART_ARC
(4,3),-1.11639 # DEPENDENCYPART_ARC
(4,5),2.63954 # DEPENDENCYPART_ARC
(4,8),-1.22819 # DEPENDENCYPART_ARC
(4,10),-1.52326 # DEPENDENCYPART_ARC
(4,12),-3.02114 # DEPENDENCYPART_ARC
(5,8),-1.36611 # DEPENDENCYPART_ARC
(5,9),-2.08421 # DEPENDENCYPART_ARC
(5,10),-1.33457 # DEPENDENCYPART_ARC
(5,12),-1.08745 # DEPENDENCYPART_ARC
(5,15),-1.7142 # DEPENDENCYPART_ARC
