# _root_ - La moció de censura , plantejada amb tant de temps , és un interrogant de com sortirà .
#goldHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
#predictedHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
(0,3),-5.17975 # DEPENDENCYPART_ARC
(0,7),-6.32777 # DEPENDENCYPART_ARC
(0,13),-1.474 # DEPENDENCYPART_ARC
(0,18),-2.73165 # DEPENDENCYPART_ARC
(1,3),-1.29293 # DEPENDENCYPART_ARC
(2,3),-0.432248 # DEPENDENCYPART_ARC
(2,4),-0.678076 # DEPENDENCYPART_ARC
(3,1),-0.635946 # DEPENDENCYPART_ARC
(3,2),1.85107 # DEPENDENCYPART_ARC
(3,4),1.32668 # DEPENDENCYPART_ARC
(3,5),-0.114581 # DEPENDENCYPART_ARC
(3,6),-0.509644 # DEPENDENCYPART_ARC
(3,7),0.385313 # DEPENDENCYPART_ARC
(3,8),-0.544267 # DEPENDENCYPART_ARC
(3,9),-1.52322 # DEPENDENCYPART_ARC
(3,10),-1.63776 # DEPENDENCYPART_ARC
(3,11),-1.85501 # DEPENDENCYPART_ARC
(3,12),-0.719223 # DEPENDENCYPART_ARC
(3,13),-1.06705 # DEPENDENCYPART_ARC
(3,15),-1.8919 # DEPENDENCYPART_ARC
(3,16),-2.59953 # DEPENDENCYPART_ARC
(3,18),-0.794612 # DEPENDENCYPART_ARC
(3,19),-2.27403 # DEPENDENCYPART_ARC
(4,1),-1.80245 # DEPENDENCYPART_ARC
(4,2),-1.57569 # DEPENDENCYPART_ARC
(4,5),2.5958 # DEPENDENCYPART_ARC
(4,6),-1.31355 # DEPENDENCYPART_ARC
(4,7),-1.52213 # DEPENDENCYPART_ARC
(4,8),-2.21686 # DEPENDENCYPART_ARC
(4,9),-2.22318 # DEPENDENCYPART_ARC
(4,10),-1.72247 # DEPENDENCYPART_ARC
(4,12),-2.02699 # DEPENDENCYPART_ARC
(5,1),-1.53095 # DEPENDENCYPART_ARC
(5,2),-1.3285 # DEPENDENCYPART_ARC
(5,6),-0.900317 # DEPENDENCYPART_ARC
(5,7),0.180954 # DEPENDENCYPART_ARC
(5,8),-0.899632 # DEPENDENCYPART_ARC
(5,9),-1.90993 # DEPENDENCYPART_ARC
(5,10),-1.41197 # DEPENDENCYPART_ARC
(5,11),-1.86075 # DEPENDENCYPART_ARC
(5,13),-1.58246 # DEPENDENCYPART_ARC
(5,19),-2.51401 # DEPENDENCYPART_ARC
(7,3),-2.39916 # DEPENDENCYPART_ARC
(7,4),-1.39761 # DEPENDENCYPART_ARC
(7,5),-1.76725 # DEPENDENCYPART_ARC
(7,6),0.821713 # DEPENDENCYPART_ARC
(7,8),1.41982 # DEPENDENCYPART_ARC
(7,9),-0.667335 # DEPENDENCYPART_ARC
(7,10),-0.297823 # DEPENDENCYPART_ARC
(7,11),-1.45842 # DEPENDENCYPART_ARC
(7,12),0.0492933 # DEPENDENCYPART_ARC
(7,13),-1.38897 # DEPENDENCYPART_ARC
(7,15),-1.80177 # DEPENDENCYPART_ARC
(7,16),-1.5677 # DEPENDENCYPART_ARC
(7,18),-1.16784 # DEPENDENCYPART_ARC
(7,19),-1.50703 # DEPENDENCYPART_ARC
(8,2),-3.18719 # DEPENDENCYPART_ARC
(8,4),-1.63204 # DEPENDENCYPART_ARC
(8,6),-0.95344 # DEPENDENCYPART_ARC
(8,7),-1.05014 # DEPENDENCYPART_ARC
(8,9),0.206489 # DEPENDENCYPART_ARC
(8,10),-0.779806 # DEPENDENCYPART_ARC
(8,11),0.701569 # DEPENDENCYPART_ARC
(8,12),-0.939113 # DEPENDENCYPART_ARC
(8,13),-2.23135 # DEPENDENCYPART_ARC
(8,16),-3.01272 # DEPENDENCYPART_ARC
(8,18),-3.19943 # DEPENDENCYPART_ARC
(8,19),-2.21497 # DEPENDENCYPART_ARC
(9,6),-2.44823 # DEPENDENCYPART_ARC
(9,7),-2.35161 # DEPENDENCYPART_ARC
(9,8),-1.60263 # DEPENDENCYPART_ARC
(9,10),0.00506164 # DEPENDENCYPART_ARC
(9,11),-1.15541 # DEPENDENCYPART_ARC
(9,12),-0.991036 # DEPENDENCYPART_ARC
(9,13),-1.60523 # DEPENDENCYPART_ARC
(9,16),-2.35898 # DEPENDENCYPART_ARC
(9,18),-2.01044 # DEPENDENCYPART_ARC
(9,19),-1.69382 # DEPENDENCYPART_ARC
(10,2),-3.01738 # DEPENDENCYPART_ARC
(10,4),-1.35003 # DEPENDENCYPART_ARC
(10,6),-1.67245 # DEPENDENCYPART_ARC
(10,8),-1.03603 # DEPENDENCYPART_ARC
(10,9),-0.096953 # DEPENDENCYPART_ARC
(10,11),2.84127 # DEPENDENCYPART_ARC
(10,12),-0.670169 # DEPENDENCYPART_ARC
(10,13),-2.08174 # DEPENDENCYPART_ARC
(10,16),-2.02901 # DEPENDENCYPART_ARC
(11,3),-2.9519 # DEPENDENCYPART_ARC
(11,6),-1.74112 # DEPENDENCYPART_ARC
(11,7),-2.8101 # DEPENDENCYPART_ARC
(11,8),-1.44003 # DEPENDENCYPART_ARC
(11,9),-0.392797 # DEPENDENCYPART_ARC
(11,10),-0.444125 # DEPENDENCYPART_ARC
(11,12),-1.10074 # DEPENDENCYPART_ARC
(11,13),-1.34918 # DEPENDENCYPART_ARC
(11,14),-2.19685 # DEPENDENCYPART_ARC
(11,15),-1.78205 # DEPENDENCYPART_ARC
(11,16),-1.54603 # DEPENDENCYPART_ARC
(11,18),-1.25057 # DEPENDENCYPART_ARC
(11,19),-2.09138 # DEPENDENCYPART_ARC
(13,1),-0.240707 # DEPENDENCYPART_ARC
(13,2),-2.47825 # DEPENDENCYPART_ARC
(13,3),-1.09701 # DEPENDENCYPART_ARC
(13,4),-2.1917 # DEPENDENCYPART_ARC
(13,5),-1.71837 # DEPENDENCYPART_ARC
(13,6),-1.69246 # DEPENDENCYPART_ARC
(13,7),-1.53165 # DEPENDENCYPART_ARC
(13,8),-0.947967 # DEPENDENCYPART_ARC
(13,9),-1.10891 # DEPENDENCYPART_ARC
(13,10),-0.929959 # DEPENDENCYPART_ARC
(13,11),-0.722102 # DEPENDENCYPART_ARC
(13,12),-0.105183 # DEPENDENCYPART_ARC
(13,15),0.835985 # DEPENDENCYPART_ARC
(13,16),-0.551897 # DEPENDENCYPART_ARC
(13,17),-1.34386 # DEPENDENCYPART_ARC
(13,18),-0.30722 # DEPENDENCYPART_ARC
(13,19),-0.0264591 # DEPENDENCYPART_ARC
