# _root_ Els antecedents dels Pastorets de l' Ametlla_de_Merola es remunten a l' any_1878 , quan a iniciativa de les Germanes_Dominiques , van començar les representacions durant la Missa_del_Gall .
#goldHeads=2,9,2,3,4,7,5,9,0,9,12,10,22,22,22,15,16,19,17,15,22,12,24,22,22,27,25,9,
#predictedHeads=2,9,2,3,4,7,5,9,0,9,12,10,22,22,22,15,16,19,17,15,22,12,24,22,22,27,25,9,
(0,2),-4.71474 # DEPENDENCYPART_ARC
(0,9),-2.57714 # DEPENDENCYPART_ARC
(0,21),-2.17321 # DEPENDENCYPART_ARC
(0,22),-4.32827 # DEPENDENCYPART_ARC
(1,2),-0.613881 # DEPENDENCYPART_ARC
(1,3),-0.789541 # DEPENDENCYPART_ARC
(2,1),1.83785 # DEPENDENCYPART_ARC
(2,3),1.14036 # DEPENDENCYPART_ARC
(2,4),-0.66052 # DEPENDENCYPART_ARC
(2,5),-0.0742434 # DEPENDENCYPART_ARC
(2,7),-1.22996 # DEPENDENCYPART_ARC
(2,9),0.0363307 # DEPENDENCYPART_ARC
(2,10),-1.61168 # DEPENDENCYPART_ARC
(2,12),-1.50631 # DEPENDENCYPART_ARC
(2,13),-1.27088 # DEPENDENCYPART_ARC
(2,15),-1.72397 # DEPENDENCYPART_ARC
(2,17),-2.5391 # DEPENDENCYPART_ARC
(2,20),-1.03189 # DEPENDENCYPART_ARC
(2,21),-1.02711 # DEPENDENCYPART_ARC
(2,22),-1.32596 # DEPENDENCYPART_ARC
(2,24),-2.00663 # DEPENDENCYPART_ARC
(2,25),-1.41514 # DEPENDENCYPART_ARC
(2,28),-2.67296 # DEPENDENCYPART_ARC
(3,1),-1.77435 # DEPENDENCYPART_ARC
(3,4),1.46023 # DEPENDENCYPART_ARC
(3,5),-1.49737 # DEPENDENCYPART_ARC
(3,7),-1.89882 # DEPENDENCYPART_ARC
(3,12),-2.6358 # DEPENDENCYPART_ARC
(3,13),-1.83368 # DEPENDENCYPART_ARC
(3,15),-2.6551 # DEPENDENCYPART_ARC
(4,1),-2.92922 # DEPENDENCYPART_ARC
(4,5),-0.259342 # DEPENDENCYPART_ARC
(4,7),-1.23493 # DEPENDENCYPART_ARC
(4,9),-1.14602 # DEPENDENCYPART_ARC
(4,10),-2.27814 # DEPENDENCYPART_ARC
(4,12),-1.97931 # DEPENDENCYPART_ARC
(4,15),-2.39286 # DEPENDENCYPART_ARC
(4,22),-1.85586 # DEPENDENCYPART_ARC
(4,28),-2.98702 # DEPENDENCYPART_ARC
(5,3),-1.4374 # DEPENDENCYPART_ARC
(5,6),-1.06458 # DEPENDENCYPART_ARC
(5,7),1.33513 # DEPENDENCYPART_ARC
(5,9),-1.91511 # DEPENDENCYPART_ARC
(5,10),-1.86773 # DEPENDENCYPART_ARC
(5,12),-1.86437 # DEPENDENCYPART_ARC
(5,13),-1.80628 # DEPENDENCYPART_ARC
(6,3),-1.9272 # DEPENDENCYPART_ARC
(6,5),-1.04776 # DEPENDENCYPART_ARC
(7,3),-2.00096 # DEPENDENCYPART_ARC
(7,5),-1.31038 # DEPENDENCYPART_ARC
(7,6),0.438479 # DEPENDENCYPART_ARC
(7,9),-1.14225 # DEPENDENCYPART_ARC
(7,12),-1.95977 # DEPENDENCYPART_ARC
(7,22),-2.07864 # DEPENDENCYPART_ARC
(9,1),-2.40728 # DEPENDENCYPART_ARC
(9,2),-0.341216 # DEPENDENCYPART_ARC
(9,3),-1.42132 # DEPENDENCYPART_ARC
(9,4),-1.25413 # DEPENDENCYPART_ARC
(9,5),-1.02827 # DEPENDENCYPART_ARC
(9,6),-2.46619 # DEPENDENCYPART_ARC
(9,7),-0.123893 # DEPENDENCYPART_ARC
(9,8),2.17248 # DEPENDENCYPART_ARC
(9,10),1.40683 # DEPENDENCYPART_ARC
(9,12),-0.652036 # DEPENDENCYPART_ARC
(9,13),-0.545158 # DEPENDENCYPART_ARC
(9,15),-0.717864 # DEPENDENCYPART_ARC
(9,16),-1.71632 # DEPENDENCYPART_ARC
(9,17),-1.00555 # DEPENDENCYPART_ARC
(9,19),-1.39706 # DEPENDENCYPART_ARC
(9,20),-0.489208 # DEPENDENCYPART_ARC
(9,21),-1.34463 # DEPENDENCYPART_ARC
(9,22),-1.61485 # DEPENDENCYPART_ARC
(9,24),-1.3025 # DEPENDENCYPART_ARC
(9,25),-1.29882 # DEPENDENCYPART_ARC
(9,27),-2.16939 # DEPENDENCYPART_ARC
(9,28),-0.566284 # DEPENDENCYPART_ARC
(10,1),-4.29427 # DEPENDENCYPART_ARC
(10,11),-1.06005 # DEPENDENCYPART_ARC
(10,12),0.300216 # DEPENDENCYPART_ARC
(10,13),-0.913486 # DEPENDENCYPART_ARC
(10,15),-1.25236 # DEPENDENCYPART_ARC
(10,16),-0.842784 # DEPENDENCYPART_ARC
(10,17),-2.35927 # DEPENDENCYPART_ARC
(10,20),-1.65936 # DEPENDENCYPART_ARC
(11,10),-0.920368 # DEPENDENCYPART_ARC
(11,12),-0.439145 # DEPENDENCYPART_ARC
(12,10),-0.779601 # DEPENDENCYPART_ARC
(12,11),1.29561 # DEPENDENCYPART_ARC
(12,13),-0.188837 # DEPENDENCYPART_ARC
(12,15),-1.07298 # DEPENDENCYPART_ARC
(12,16),-1.30414 # DEPENDENCYPART_ARC
(12,17),-1.35382 # DEPENDENCYPART_ARC
(12,20),-1.72518 # DEPENDENCYPART_ARC
(12,22),-1.76454 # DEPENDENCYPART_ARC
(12,24),-1.9395 # DEPENDENCYPART_ARC
(12,25),-2.04865 # DEPENDENCYPART_ARC
(14,15),-0.143588 # DEPENDENCYPART_ARC
(14,16),-0.788495 # DEPENDENCYPART_ARC
(14,17),-0.654462 # DEPENDENCYPART_ARC
(15,9),-2.51737 # DEPENDENCYPART_ARC
(15,12),-2.75566 # DEPENDENCYPART_ARC
(15,13),-1.85962 # DEPENDENCYPART_ARC
(15,14),-1.9476 # DEPENDENCYPART_ARC
(15,16),2.5391 # DEPENDENCYPART_ARC
(15,17),-1.33315 # DEPENDENCYPART_ARC
(15,19),-1.3741 # DEPENDENCYPART_ARC
(15,20),-1.14918 # DEPENDENCYPART_ARC
(16,2),-3.36443 # DEPENDENCYPART_ARC
(16,5),-2.3294 # DEPENDENCYPART_ARC
(16,9),-4.14859 # DEPENDENCYPART_ARC
(16,10),-2.64632 # DEPENDENCYPART_ARC
(16,11),-2.78809 # DEPENDENCYPART_ARC
(16,13),-1.84968 # DEPENDENCYPART_ARC
(16,14),-1.68701 # DEPENDENCYPART_ARC
