# _root_ L' Ajuntament_de_Girona està preparant la redacció d' un nou Pla_General que , segons ha explicat l' alcalde , podria estar llest a finals del 2001 .
#goldHeads=2,4,4,0,6,4,6,10,10,7,20,15,15,15,20,17,15,15,20,10,20,20,22,23,24,4,
#predictedHeads=2,4,4,0,6,4,6,10,10,7,15,15,15,15,10,17,15,15,20,15,20,20,22,23,24,4,
(0,2),-4.62578 # DEPENDENCYPART_ARC
(0,3),-1.46929 # DEPENDENCYPART_ARC
(0,4),-3.89279 # DEPENDENCYPART_ARC
(0,15),-2.18491 # DEPENDENCYPART_ARC
(0,19),-2.87311 # DEPENDENCYPART_ARC
(0,20),-3.83965 # DEPENDENCYPART_ARC
(1,2),-1.15285 # DEPENDENCYPART_ARC
(2,1),0.795823 # DEPENDENCYPART_ARC
(2,3),-1.59579 # DEPENDENCYPART_ARC
(2,4),-2.26983 # DEPENDENCYPART_ARC
(2,6),-1.99825 # DEPENDENCYPART_ARC
(2,7),-1.94347 # DEPENDENCYPART_ARC
(3,1),-2.30153 # DEPENDENCYPART_ARC
(3,2),-0.681331 # DEPENDENCYPART_ARC
(3,4),0.722579 # DEPENDENCYPART_ARC
(3,6),-0.905017 # DEPENDENCYPART_ARC
(3,7),-1.29217 # DEPENDENCYPART_ARC
(3,10),-1.93555 # DEPENDENCYPART_ARC
(3,12),-1.0794 # DEPENDENCYPART_ARC
(3,13),-0.871554 # DEPENDENCYPART_ARC
(3,14),-1.60478 # DEPENDENCYPART_ARC
(3,15),-1.92306 # DEPENDENCYPART_ARC
(3,18),-1.17195 # DEPENDENCYPART_ARC
(3,19),-2.33119 # DEPENDENCYPART_ARC
(3,20),-2.11118 # DEPENDENCYPART_ARC
(3,26),-1.72192 # DEPENDENCYPART_ARC
(4,1),-1.12073 # DEPENDENCYPART_ARC
(4,2),0.706953 # DEPENDENCYPART_ARC
(4,3),3.11065 # DEPENDENCYPART_ARC
(4,6),1.20758 # DEPENDENCYPART_ARC
(4,7),0.131533 # DEPENDENCYPART_ARC
(4,9),-1.56963 # DEPENDENCYPART_ARC
(4,10),-0.977095 # DEPENDENCYPART_ARC
(4,12),-0.562916 # DEPENDENCYPART_ARC
(4,13),-0.16429 # DEPENDENCYPART_ARC
(4,14),-1.32272 # DEPENDENCYPART_ARC
(4,15),-1.35435 # DEPENDENCYPART_ARC
(4,17),-1.77775 # DEPENDENCYPART_ARC
(4,18),-0.360522 # DEPENDENCYPART_ARC
(4,19),-2.27659 # DEPENDENCYPART_ARC
