# _root_ Les coses han canviat molt des_d' aleshores : en_vigílies dels comicis del 1977 , el PSUC podia mirar de_tu_a_tu un partit socialista constituït recentment ; avui , Iniciativa lluita per la_seva supervivència i el PSC ocupa una posició hegemònica .
#goldHeads=2,4,4,0,4,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,18,29,32,30,29,35,36,29,38,36,38,4,
#predictedHeads=2,4,4,29,6,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,0,29,32,30,32,35,36,29,38,36,38,29,
(0,3),-1.49978 # DEPENDENCYPART_ARC
(0,4),-2.5282 # DEPENDENCYPART_ARC
(0,17),-1.8334 # DEPENDENCYPART_ARC
(0,18),-3.43676 # DEPENDENCYPART_ARC
(0,29),-1.19802 # DEPENDENCYPART_ARC
(0,36),-2.21735 # DEPENDENCYPART_ARC
(1,2),-0.687747 # DEPENDENCYPART_ARC
(2,1),2.1738 # DEPENDENCYPART_ARC
(2,3),-0.75978 # DEPENDENCYPART_ARC
(2,4),-1.57963 # DEPENDENCYPART_ARC
(2,5),-1.86289 # DEPENDENCYPART_ARC
(2,13),-2.40174 # DEPENDENCYPART_ARC
(2,40),-1.95937 # DEPENDENCYPART_ARC
(3,2),-1.42061 # DEPENDENCYPART_ARC
(3,4),-0.854026 # DEPENDENCYPART_ARC
(3,5),-2.24737 # DEPENDENCYPART_ARC
(3,6),-2.11493 # DEPENDENCYPART_ARC
(3,40),-4.15435 # DEPENDENCYPART_ARC
(4,1),-1.46891 # DEPENDENCYPART_ARC
(4,2),-0.0898852 # DEPENDENCYPART_ARC
(4,3),2.42675 # DEPENDENCYPART_ARC
(4,5),0.641971 # DEPENDENCYPART_ARC
(4,6),0.55159 # DEPENDENCYPART_ARC
(4,7),-0.373041 # DEPENDENCYPART_ARC
(4,8),-0.966926 # DEPENDENCYPART_ARC
(4,9),-0.909425 # DEPENDENCYPART_ARC
(4,10),-0.987579 # DEPENDENCYPART_ARC
(4,11),-0.868462 # DEPENDENCYPART_ARC
(4,12),-1.12316 # DEPENDENCYPART_ARC
(4,13),-1.32221 # DEPENDENCYPART_ARC
(4,14),-0.995853 # DEPENDENCYPART_ARC
(4,16),-1.4976 # DEPENDENCYPART_ARC
