# _root_ La d' aquest any serà la tercera edició del Festival_de_Cinema_Negre_de_Manresa , la cinquena si no es té_en_compte l' especialització , que el converteix en l' únic certamen de l' Estat dedicat a aquest gènere .
#goldHeads=2,5,4,2,0,8,8,5,8,9,5,13,5,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
#predictedHeads=2,5,4,2,0,8,8,5,8,9,13,13,8,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
(0,2),-4.88185 # DEPENDENCYPART_ARC
(0,5),-1.732 # DEPENDENCYPART_ARC
(0,8),-6.03785 # DEPENDENCYPART_ARC
(0,17),-2.97874 # DEPENDENCYPART_ARC
(0,23),-3.91811 # DEPENDENCYPART_ARC
(1,2),-0.825584 # DEPENDENCYPART_ARC
(2,1),0.20882 # DEPENDENCYPART_ARC
(2,4),2.32746 # DEPENDENCYPART_ARC
(2,5),-1.94256 # DEPENDENCYPART_ARC
(2,8),-1.16887 # DEPENDENCYPART_ARC
(2,9),-2.1009 # DEPENDENCYPART_ARC
(2,11),-0.946583 # DEPENDENCYPART_ARC
(2,14),-1.16032 # DEPENDENCYPART_ARC
(2,20),-1.96579 # DEPENDENCYPART_ARC
(4,1),-1.88123 # DEPENDENCYPART_ARC
(4,2),-0.876695 # DEPENDENCYPART_ARC
(4,3),1.28586 # DEPENDENCYPART_ARC
(4,5),-1.28258 # DEPENDENCYPART_ARC
(4,8),-2.25358 # DEPENDENCYPART_ARC
(4,13),-3.75883 # DEPENDENCYPART_ARC
(5,1),-2.33733 # DEPENDENCYPART_ARC
(5,2),-0.136527 # DEPENDENCYPART_ARC
(5,4),0.664573 # DEPENDENCYPART_ARC
(5,7),-0.204821 # DEPENDENCYPART_ARC
(5,8),-0.0819934 # DEPENDENCYPART_ARC
(5,9),-0.665784 # DEPENDENCYPART_ARC
(5,10),-1.1591 # DEPENDENCYPART_ARC
(5,11),-0.73308 # DEPENDENCYPART_ARC
(5,13),-1.86398 # DEPENDENCYPART_ARC
(5,14),-1.67859 # DEPENDENCYPART_ARC
(5,17),-0.755682 # DEPENDENCYPART_ARC
(5,19),-2.15329 # DEPENDENCYPART_ARC
(5,20),-0.969941 # DEPENDENCYPART_ARC
(5,23),-1.39727 # DEPENDENCYPART_ARC
(5,24),-2.24141 # DEPENDENCYPART_ARC
(5,27),-2.44309 # DEPENDENCYPART_ARC
(5,32),-2.72675 # DEPENDENCYPART_ARC
(5,35),0.433324 # DEPENDENCYPART_ARC
(6,7),-1.23312 # DEPENDENCYPART_ARC
(7,6),-0.785485 # DEPENDENCYPART_ARC
(7,8),-0.782893 # DEPENDENCYPART_ARC
(7,9),-1.14267 # DEPENDENCYPART_ARC
(7,11),-1.26416 # DEPENDENCYPART_ARC
