# _root_ En la fase final del premi , que es desenvoluparà entre el 7_de_juny i el 2_de_juliol , els equips disposaran de tres milions de pessetes reals cadascun que podran invertir .
#goldHeads=20,3,1,3,3,5,10,10,10,3,13,13,10,13,16,13,10,19,20,0,20,23,21,23,24,23,20,30,30,23,20,
#predictedHeads=20,3,1,3,3,5,10,10,10,6,13,13,10,13,16,13,1,19,20,0,20,23,21,23,24,23,23,30,30,27,20,
(0,1),-4.43956 # DEPENDENCYPART_ARC
(0,5),-6.04107 # DEPENDENCYPART_ARC
(0,10),-2.56023 # DEPENDENCYPART_ARC
(0,13),-5.23708 # DEPENDENCYPART_ARC
(0,20),-2.80489 # DEPENDENCYPART_ARC
(0,27),-5.74093 # DEPENDENCYPART_ARC
(0,29),-4.58245 # DEPENDENCYPART_ARC
(0,30),-5.67183 # DEPENDENCYPART_ARC
(1,2),-1.05476 # DEPENDENCYPART_ARC
(1,3),2.23522 # DEPENDENCYPART_ARC
(1,4),-0.951949 # DEPENDENCYPART_ARC
(1,5),-1.55855 # DEPENDENCYPART_ARC
(1,6),-0.27747 # DEPENDENCYPART_ARC
(1,7),0.0410128 # DEPENDENCYPART_ARC
(1,10),-2.44208 # DEPENDENCYPART_ARC
(1,11),-1.68655 # DEPENDENCYPART_ARC
(1,14),-1.50782 # DEPENDENCYPART_ARC
(1,17),-0.412631 # DEPENDENCYPART_ARC
(1,31),-3.0119 # DEPENDENCYPART_ARC
(3,1),-1.51586 # DEPENDENCYPART_ARC
(3,2),1.48483 # DEPENDENCYPART_ARC
(3,4),1.66734 # DEPENDENCYPART_ARC
(3,5),0.474347 # DEPENDENCYPART_ARC
(3,6),-0.483714 # DEPENDENCYPART_ARC
(3,7),-0.775405 # DEPENDENCYPART_ARC
(3,10),0.130641 # DEPENDENCYPART_ARC
(3,11),-1.70345 # DEPENDENCYPART_ARC
(3,13),-1.5395 # DEPENDENCYPART_ARC
(3,14),-0.80459 # DEPENDENCYPART_ARC
(3,16),-1.88295 # DEPENDENCYPART_ARC
(3,17),-0.928678 # DEPENDENCYPART_ARC
(3,19),-2.51703 # DEPENDENCYPART_ARC
(3,20),-1.41084 # DEPENDENCYPART_ARC
(3,31),-2.3175 # DEPENDENCYPART_ARC
(4,2),-1.32578 # DEPENDENCYPART_ARC
(4,5),-0.518906 # DEPENDENCYPART_ARC
(4,6),-1.43786 # DEPENDENCYPART_ARC
(4,7),-1.33634 # DEPENDENCYPART_ARC
(4,10),-1.79084 # DEPENDENCYPART_ARC
(4,11),-2.45278 # DEPENDENCYPART_ARC
(4,13),-1.94103 # DEPENDENCYPART_ARC
(5,2),-2.20249 # DEPENDENCYPART_ARC
(5,4),-1.61063 # DEPENDENCYPART_ARC
(5,6),2.49227 # DEPENDENCYPART_ARC
(5,7),-1.42521 # DEPENDENCYPART_ARC
(5,10),-2.28134 # DEPENDENCYPART_ARC
(5,13),-2.5605 # DEPENDENCYPART_ARC
(6,2),-2.33611 # DEPENDENCYPART_ARC
(6,4),-0.939009 # DEPENDENCYPART_ARC
(6,5),-0.856877 # DEPENDENCYPART_ARC
(6,7),-1.01018 # DEPENDENCYPART_ARC
(6,10),-0.217838 # DEPENDENCYPART_ARC
(6,11),-1.75531 # DEPENDENCYPART_ARC
(6,13),-2.08076 # DEPENDENCYPART_ARC
(6,14),-1.25972 # DEPENDENCYPART_ARC
(6,16),-2.32673 # DEPENDENCYPART_ARC
(6,17),-1.55329 # DEPENDENCYPART_ARC
(6,19),-3.01892 # DEPENDENCYPART_ARC
(6,20),-1.73271 # DEPENDENCYPART_ARC
(6,25),-2.62349 # DEPENDENCYPART_ARC
