# _root_ El ministre va assenyalar la informació , la lluita contra la guerra bacteriològica , la nuclear i la química com_a camps per a la cooperació intereuropea .
#goldHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,12,16,12,12,19,12,4,20,21,22,25,23,25,4,
#predictedHeads=2,4,4,0,6,4,9,9,6,9,12,10,12,9,16,12,16,19,16,19,20,21,22,25,23,25,4,
(0,2),-4.44561 # DEPENDENCYPART_ARC
(0,3),-1.50269 # DEPENDENCYPART_ARC
(0,4),-3.30967 # DEPENDENCYPART_ARC
(1,2),-0.974766 # DEPENDENCYPART_ARC
(2,1),1.36834 # DEPENDENCYPART_ARC
(2,3),-1.22719 # DEPENDENCYPART_ARC
(2,4),-1.91968 # DEPENDENCYPART_ARC
(2,6),-1.72024 # DEPENDENCYPART_ARC
(2,7),-1.80715 # DEPENDENCYPART_ARC
(2,9),-2.17901 # DEPENDENCYPART_ARC
(2,10),-1.88049 # DEPENDENCYPART_ARC
(2,14),-1.83378 # DEPENDENCYPART_ARC
(2,17),-1.38681 # DEPENDENCYPART_ARC
(3,2),-1.79406 # DEPENDENCYPART_ARC
(3,4),-0.273989 # DEPENDENCYPART_ARC
(3,6),-1.73605 # DEPENDENCYPART_ARC
(3,7),-1.85385 # DEPENDENCYPART_ARC
(3,9),-2.53849 # DEPENDENCYPART_ARC
(3,10),-1.79418 # DEPENDENCYPART_ARC
(3,14),-2.19016 # DEPENDENCYPART_ARC
(3,27),-2.2976 # DEPENDENCYPART_ARC
(4,1),-1.67814 # DEPENDENCYPART_ARC
(4,2),0.25745 # DEPENDENCYPART_ARC
(4,3),2.30131 # DEPENDENCYPART_ARC
(4,6),1.3034 # DEPENDENCYPART_ARC
(4,7),-0.434484 # DEPENDENCYPART_ARC
(4,9),0.024521 # DEPENDENCYPART_ARC
(4,10),0.151581 # DEPENDENCYPART_ARC
(4,12),-0.657567 # DEPENDENCYPART_ARC
(4,13),-1.2229 # DEPENDENCYPART_ARC
(4,14),-0.954443 # DEPENDENCYPART_ARC
(4,16),-1.83932 # DEPENDENCYPART_ARC
(4,17),-1.2051 # DEPENDENCYPART_ARC
(4,19),-1.97875 # DEPENDENCYPART_ARC
(4,20),-0.863572 # DEPENDENCYPART_ARC
(4,22),-0.826063 # DEPENDENCYPART_ARC
(4,23),-2.1692 # DEPENDENCYPART_ARC
(4,25),-1.46521 # DEPENDENCYPART_ARC
(4,27),0.85589 # DEPENDENCYPART_ARC
(5,6),-0.95347 # DEPENDENCYPART_ARC
(5,8),-1.48693 # DEPENDENCYPART_ARC
(6,1),-3.5536 # DEPENDENCYPART_ARC
(6,2),-2.82689 # DEPENDENCYPART_ARC
(6,3),-2.7129 # DEPENDENCYPART_ARC
(6,5),1.86322 # DEPENDENCYPART_ARC
(6,7),-0.308906 # DEPENDENCYPART_ARC
(6,9),-0.0698857 # DEPENDENCYPART_ARC
(6,10),-0.338898 # DEPENDENCYPART_ARC
(6,12),-0.515596 # DEPENDENCYPART_ARC
(6,13),-0.205162 # DEPENDENCYPART_ARC
(6,14),-0.768943 # DEPENDENCYPART_ARC
(6,16),-1.1713 # DEPENDENCYPART_ARC
(6,17),0.00607 # DEPENDENCYPART_ARC
(6,19),-1.17122 # DEPENDENCYPART_ARC
(6,20),-0.942669 # DEPENDENCYPART_ARC
(6,21),-2.42115 # DEPENDENCYPART_ARC
(6,22),-1.34597 # DEPENDENCYPART_ARC
(6,23),-1.89781 # DEPENDENCYPART_ARC
(6,25),-1.85701 # DEPENDENCYPART_ARC
(6,26),-1.02922 # DEPENDENCYPART_ARC
(6,27),-2.35405 # DEPENDENCYPART_ARC
(7,6),-1.8741 # DEPENDENCYPART_ARC
(8,6),-2.20485 # DEPENDENCYPART_ARC
(8,9),-0.786616 # DEPENDENCYPART_ARC
(8,10),-1.28701 # DEPENDENCYPART_ARC
(8,11),-1.18461 # DEPENDENCYPART_ARC
(9,5),-1.84594 # DEPENDENCYPART_ARC
(9,6),-1.91646 # DEPENDENCYPART_ARC
(9,7),-0.569126 # DEPENDENCYPART_ARC
(9,8),2.0248 # DEPENDENCYPART_ARC
(9,10),0.591497 # DEPENDENCYPART_ARC
(9,12),-0.251609 # DEPENDENCYPART_ARC
(9,13),0.0952445 # DEPENDENCYPART_ARC
(9,14),-0.665727 # DEPENDENCYPART_ARC
(9,16),-1.25372 # DEPENDENCYPART_ARC
(9,17),-0.244728 # DEPENDENCYPART_ARC
(9,19),-1.20201 # DEPENDENCYPART_ARC
(9,20),-0.773299 # DEPENDENCYPART_ARC
(9,21),-2.46945 # DEPENDENCYPART_ARC
(9,22),-0.947345 # DEPENDENCYPART_ARC
(9,23),-1.87029 # DEPENDENCYPART_ARC
(9,25),-1.96941 # DEPENDENCYPART_ARC
(9,26),-1.30968 # DEPENDENCYPART_ARC
(9,27),-1.94768 # DEPENDENCYPART_ARC
(10,7),-1.77636 # DEPENDENCYPART_ARC
(10,8),-1.96609 # DEPENDENCYPART_ARC
(10,9),-1.49407 # DEPENDENCYPART_ARC
(10,12),1.68472 # DEPENDENCYPART_ARC
(10,13),-1.33445 # DEPENDENCYPART_ARC
(10,14),-1.21852 # DEPENDENCYPART_ARC
(10,16),-1.98813 # DEPENDENCYPART_ARC
(10,17),-1.11859 # DEPENDENCYPART_ARC
(10,19),-2.1812 # DEPENDENCYPART_ARC
(10,20),-2.26398 # DEPENDENCYPART_ARC
(10,22),-2.93705 # DEPENDENCYPART_ARC
(10,23),-1.92527 # DEPENDENCYPART_ARC
(11,9),-2.32084 # DEPENDENCYPART_ARC
(11,10),-1.96187 # DEPENDENCYPART_ARC
(12,7),-2.11767 # DEPENDENCYPART_ARC
(12,8),-1.7731 # DEPENDENCYPART_ARC
(12,9),-2.14003 # DEPENDENCYPART_ARC
(12,10),-1.55134 # DEPENDENCYPART_ARC
(12,11),1.49236 # DEPENDENCYPART_ARC
(12,13),1.7574 # DEPENDENCYPART_ARC
(12,14),-0.662254 # DEPENDENCYPART_ARC
(12,16),-0.670145 # DEPENDENCYPART_ARC
(12,17),-0.177824 # DEPENDENCYPART_ARC
(12,19),-0.979158 # DEPENDENCYPART_ARC
(12,20),-0.676718 # DEPENDENCYPART_ARC
(12,21),-1.9671 # DEPENDENCYPART_ARC
(12,22),-1.16437 # DEPENDENCYPART_ARC
(12,25),-1.49221 # DEPENDENCYPART_ARC
(12,26),-1.13856 # DEPENDENCYPART_ARC
(12,27),-1.8796 # DEPENDENCYPART_ARC
(13,7),-2.2205 # DEPENDENCYPART_ARC
(13,9),-2.54415 # DEPENDENCYPART_ARC
(13,11),-1.22666 # DEPENDENCYPART_ARC
(13,14),-1.25126 # DEPENDENCYPART_ARC
(13,16),-0.773855 # DEPENDENCYPART_ARC
(13,17),-1.01854 # DEPENDENCYPART_ARC
(13,19),-1.52951 # DEPENDENCYPART_ARC
(13,20),-2.57223 # DEPENDENCYPART_ARC
(13,22),-2.7031 # DEPENDENCYPART_ARC
(13,23),-2.8021 # DEPENDENCYPART_ARC
(13,26),-2.29298 # DEPENDENCYPART_ARC
(14,13),-1.32237 # DEPENDENCYPART_ARC
(15,16),-1.80718 # DEPENDENCYPART_ARC
(15,17),-1.54136 # DEPENDENCYPART_ARC
(15,18),-1.7129 # DEPENDENCYPART_ARC
(16,7),-2.39301 # DEPENDENCYPART_ARC
(16,10),-1.40733 # DEPENDENCYPART_ARC
(16,13),-1.36921 # DEPENDENCYPART_ARC
(16,14),-0.710508 # DEPENDENCYPART_ARC
(16,15),-0.12968 # DEPENDENCYPART_ARC
(16,17),-0.0931036 # DEPENDENCYPART_ARC
(16,19),-0.0800235 # DEPENDENCYPART_ARC
(16,20),-1.13115 # DEPENDENCYPART_ARC
(16,21),-1.76347 # DEPENDENCYPART_ARC
(16,22),-1.65129 # DEPENDENCYPART_ARC
(16,23),-1.81333 # DEPENDENCYPART_ARC
(16,25),-1.76284 # DEPENDENCYPART_ARC
(16,26),-1.46496 # DEPENDENCYPART_ARC
(16,27),-1.14666 # DEPENDENCYPART_ARC
(18,19),-1.47809 # DEPENDENCYPART_ARC
(18,20),-1.58548 # DEPENDENCYPART_ARC
(19,10),-1.98832 # DEPENDENCYPART_ARC
(19,14),-1.88988 # DEPENDENCYPART_ARC
(19,15),-1.9128 # DEPENDENCYPART_ARC
(19,16),-1.7564 # DEPENDENCYPART_ARC
(19,17),-0.864167 # DEPENDENCYPART_ARC
(19,18),0.341579 # DEPENDENCYPART_ARC
(19,20),0.030009 # DEPENDENCYPART_ARC
(19,21),-1.32464 # DEPENDENCYPART_ARC
(19,22),-1.28438 # DEPENDENCYPART_ARC
(19,23),-1.48609 # DEPENDENCYPART_ARC
(19,25),-1.97276 # DEPENDENCYPART_ARC
(19,26),-1.74125 # DEPENDENCYPART_ARC
(20,15),-3.2893 # DEPENDENCYPART_ARC
(20,18),-1.76274 # DEPENDENCYPART_ARC
(20,19),-1.28578 # DEPENDENCYPART_ARC
(20,21),2.54483 # DEPENDENCYPART_ARC
(20,22),-1.18381 # DEPENDENCYPART_ARC
(20,23),-0.857181 # DEPENDENCYPART_ARC
(20,25),-0.963496 # DEPENDENCYPART_ARC
(21,7),-3.24381 # DEPENDENCYPART_ARC
(21,15),-3.02511 # DEPENDENCYPART_ARC
(21,16),-2.87562 # DEPENDENCYPART_ARC
(21,18),-1.91184 # DEPENDENCYPART_ARC
(21,19),-2.07513 # DEPENDENCYPART_ARC
(21,22),0.0555931 # DEPENDENCYPART_ARC
(21,23),-1.0366 # DEPENDENCYPART_ARC
(21,25),-1.434 # DEPENDENCYPART_ARC
(21,26),-2.66983 # DEPENDENCYPART_ARC
(21,27),-1.50676 # DEPENDENCYPART_ARC
(22,15),-3.39115 # DEPENDENCYPART_ARC
(22,18),-2.88504 # DEPENDENCYPART_ARC
(22,20),-1.40079 # DEPENDENCYPART_ARC
(22,23),1.70811 # DEPENDENCYPART_ARC
(22,25),-0.282072 # DEPENDENCYPART_ARC
(22,26),-1.42839 # DEPENDENCYPART_ARC
(23,18),-4.1152 # DEPENDENCYPART_ARC
(23,24),-1.46673 # DEPENDENCYPART_ARC
(23,25),1.84192 # DEPENDENCYPART_ARC
(23,26),-1.22558 # DEPENDENCYPART_ARC
(25,16),-1.81511 # DEPENDENCYPART_ARC
(25,24),1.47615 # DEPENDENCYPART_ARC
(25,26),1.82126 # DEPENDENCYPART_ARC
(26,24),-1.27533 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.442313 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.429047 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.95103 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.17518 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.000604278 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.359897 # DEPENDENCYPART_SIBL
