# _root_ " Si parla així , és només per intentar fer_front a les enormes pressions internacionals de què és objecte " , va assegurar el ministre palestí Hassan_Asfur .
#goldHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,19,16,14,18,6,6,23,0,25,23,25,25,23,
#predictedHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,18,16,6,18,6,6,23,0,25,23,25,25,23,
(0,2),-4.26836 # DEPENDENCYPART_ARC
(0,3),-2.29717 # DEPENDENCYPART_ARC
(0,6),-1.55127 # DEPENDENCYPART_ARC
(0,9),-4.5675 # DEPENDENCYPART_ARC
(0,10),-3.84737 # DEPENDENCYPART_ARC
(0,18),-2.28624 # DEPENDENCYPART_ARC
(0,22),-1.44945 # DEPENDENCYPART_ARC
(0,23),-2.53908 # DEPENDENCYPART_ARC
(2,3),-0.864928 # DEPENDENCYPART_ARC
(2,4),-1.97219 # DEPENDENCYPART_ARC
(2,5),-1.55692 # DEPENDENCYPART_ARC
(2,6),-2.24126 # DEPENDENCYPART_ARC
(2,8),-2.41552 # DEPENDENCYPART_ARC
(3,1),0.435297 # DEPENDENCYPART_ARC
(3,2),1.60994 # DEPENDENCYPART_ARC
(3,4),1.11012 # DEPENDENCYPART_ARC
(3,5),0.0252299 # DEPENDENCYPART_ARC
(3,6),0.427103 # DEPENDENCYPART_ARC
(3,7),-1.04992 # DEPENDENCYPART_ARC
(3,8),-0.771948 # DEPENDENCYPART_ARC
(3,9),-1.38233 # DEPENDENCYPART_ARC
(3,10),-1.1447 # DEPENDENCYPART_ARC
(3,11),-1.49727 # DEPENDENCYPART_ARC
(3,14),-1.69701 # DEPENDENCYPART_ARC
(3,15),-1.77959 # DEPENDENCYPART_ARC
(3,18),-0.492923 # DEPENDENCYPART_ARC
(3,19),-1.9443 # DEPENDENCYPART_ARC
(3,20),-0.813265 # DEPENDENCYPART_ARC
(3,21),-0.630033 # DEPENDENCYPART_ARC
(3,23),-1.9143 # DEPENDENCYPART_ARC
