# _root_ La crisi de la companyia es va produir després que Dynegy anunciés , dimecres passat , que renunciava a adquirir l' empresa .
#goldHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,14,18,12,18,19,22,20,8,
#predictedHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,18,18,12,18,19,22,20,8,
(0,2),-4.71101 # DEPENDENCYPART_ARC
(0,7),-2.8005 # DEPENDENCYPART_ARC
(0,8),-3.61633 # DEPENDENCYPART_ARC
(0,12),-3.9058 # DEPENDENCYPART_ARC
(0,18),-3.58562 # DEPENDENCYPART_ARC
(0,20),-5.06024 # DEPENDENCYPART_ARC
(1,2),-0.41451 # DEPENDENCYPART_ARC
(1,3),-0.920819 # DEPENDENCYPART_ARC
(1,4),-1.03676 # DEPENDENCYPART_ARC
(2,1),1.57758 # DEPENDENCYPART_ARC
(2,3),0.892871 # DEPENDENCYPART_ARC
(2,5),-0.3697 # DEPENDENCYPART_ARC
(2,7),-0.467125 # DEPENDENCYPART_ARC
(2,8),-0.930074 # DEPENDENCYPART_ARC
(2,9),-1.61844 # DEPENDENCYPART_ARC
(2,10),-1.68911 # DEPENDENCYPART_ARC
(2,11),-2.10363 # DEPENDENCYPART_ARC
(2,12),-1.42699 # DEPENDENCYPART_ARC
(2,13),-1.08036 # DEPENDENCYPART_ARC
(2,14),-1.77785 # DEPENDENCYPART_ARC
(2,15),-2.83638 # DEPENDENCYPART_ARC
(2,16),-0.815223 # DEPENDENCYPART_ARC
(2,23),-2.26562 # DEPENDENCYPART_ARC
(3,1),-1.7659 # DEPENDENCYPART_ARC
(3,4),-1.46781 # DEPENDENCYPART_ARC
(3,5),1.97074 # DEPENDENCYPART_ARC
(3,7),-2.17387 # DEPENDENCYPART_ARC
(3,8),-1.7064 # DEPENDENCYPART_ARC
(3,9),-2.1775 # DEPENDENCYPART_ARC
(3,11),-3.01345 # DEPENDENCYPART_ARC
(3,12),-2.95153 # DEPENDENCYPART_ARC
(4,2),-1.74919 # DEPENDENCYPART_ARC
(4,3),-1.39489 # DEPENDENCYPART_ARC
(4,5),-0.794298 # DEPENDENCYPART_ARC
(5,1),-2.08859 # DEPENDENCYPART_ARC
(5,3),-1.89657 # DEPENDENCYPART_ARC
(5,4),1.36085 # DEPENDENCYPART_ARC
(5,7),-0.651706 # DEPENDENCYPART_ARC
(5,8),-1.10691 # DEPENDENCYPART_ARC
(5,11),-2.18574 # DEPENDENCYPART_ARC
(5,12),-1.68527 # DEPENDENCYPART_ARC
(5,14),-2.11318 # DEPENDENCYPART_ARC
(5,23),-2.54267 # DEPENDENCYPART_ARC
(7,2),-3.21415 # DEPENDENCYPART_ARC
(7,5),-2.51947 # DEPENDENCYPART_ARC
(7,6),-0.870841 # DEPENDENCYPART_ARC
(7,8),-0.31942 # DEPENDENCYPART_ARC
(7,9),-1.56421 # DEPENDENCYPART_ARC
(7,12),-2.0409 # DEPENDENCYPART_ARC
(7,13),-2.07666 # DEPENDENCYPART_ARC
(7,14),-2.71888 # DEPENDENCYPART_ARC
(7,18),-2.84751 # DEPENDENCYPART_ARC
(7,19),-2.82977 # DEPENDENCYPART_ARC
(7,20),-3.38137 # DEPENDENCYPART_ARC
(7,23),-3.23686 # DEPENDENCYPART_ARC
(8,1),-2.47375 # DEPENDENCYPART_ARC
(8,2),-0.872285 # DEPENDENCYPART_ARC
(8,3),-1.45681 # DEPENDENCYPART_ARC
(8,4),-1.9319 # DEPENDENCYPART_ARC
(8,5),-0.227578 # DEPENDENCYPART_ARC
(8,6),1.10803 # DEPENDENCYPART_ARC
(8,7),2.40489 # DEPENDENCYPART_ARC
(8,9),0.776017 # DEPENDENCYPART_ARC
(8,10),-1.66557 # DEPENDENCYPART_ARC
(8,11),-1.35713 # DEPENDENCYPART_ARC
(8,12),0.100334 # DEPENDENCYPART_ARC
(8,13),-1.01932 # DEPENDENCYPART_ARC
(8,14),-1.52697 # DEPENDENCYPART_ARC
(8,15),-1.5611 # DEPENDENCYPART_ARC
(8,16),-0.96638 # DEPENDENCYPART_ARC
(8,17),-1.37639 # DEPENDENCYPART_ARC
(8,18),-1.22685 # DEPENDENCYPART_ARC
(8,19),-1.76402 # DEPENDENCYPART_ARC
