# _root_ El tribunal es torna a remetre als fonaments jurídics de la sentència que , en cap cas , es refereix als empleats públics autonòmics o locals .
#goldHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,15,20,12,20,21,22,22,24,24,6,
#predictedHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,15,20,12,20,21,22,22,24,24,6,
(0,2),-4.30141 # DEPENDENCYPART_ARC
(0,4),-2.52355 # DEPENDENCYPART_ARC
(0,5),-5.49505 # DEPENDENCYPART_ARC
(0,6),-4.09889 # DEPENDENCYPART_ARC
(0,20),-2.80503 # DEPENDENCYPART_ARC
(1,2),-1.15025 # DEPENDENCYPART_ARC
(2,1),1.22964 # DEPENDENCYPART_ARC
(2,4),-0.516815 # DEPENDENCYPART_ARC
(2,5),-1.57908 # DEPENDENCYPART_ARC
(2,6),-1.35766 # DEPENDENCYPART_ARC
(2,7),-1.75258 # DEPENDENCYPART_ARC
(2,9),-2.34426 # DEPENDENCYPART_ARC
(2,10),-1.73827 # DEPENDENCYPART_ARC
(2,20),-1.09925 # DEPENDENCYPART_ARC
(2,27),-2.59037 # DEPENDENCYPART_ARC
(4,1),-2.59401 # DEPENDENCYPART_ARC
(4,2),-0.838273 # DEPENDENCYPART_ARC
(4,3),1.41659 # DEPENDENCYPART_ARC
(4,5),0.911323 # DEPENDENCYPART_ARC
(4,6),-0.735971 # DEPENDENCYPART_ARC
(4,7),-0.819449 # DEPENDENCYPART_ARC
(4,8),-1.82896 # DEPENDENCYPART_ARC
(4,9),-2.1804 # DEPENDENCYPART_ARC
(4,10),-2.04623 # DEPENDENCYPART_ARC
(4,12),-1.84322 # DEPENDENCYPART_ARC
(4,14),-1.77086 # DEPENDENCYPART_ARC
(4,15),-2.01582 # DEPENDENCYPART_ARC
(4,17),-2.29568 # DEPENDENCYPART_ARC
(4,18),-1.73148 # DEPENDENCYPART_ARC
(4,20),-1.334 # DEPENDENCYPART_ARC
(4,21),-2.4887 # DEPENDENCYPART_ARC
(4,27),-1.74957 # DEPENDENCYPART_ARC
(5,4),-1.01529 # DEPENDENCYPART_ARC
(5,6),1.18654 # DEPENDENCYPART_ARC
(5,7),-0.776987 # DEPENDENCYPART_ARC
(5,8),-0.993688 # DEPENDENCYPART_ARC
(5,9),-2.22623 # DEPENDENCYPART_ARC
(5,10),-2.36341 # DEPENDENCYPART_ARC
(5,14),-1.16225 # DEPENDENCYPART_ARC
(5,18),-1.88301 # DEPENDENCYPART_ARC
(6,1),-2.17812 # DEPENDENCYPART_ARC
(6,2),-0.589098 # DEPENDENCYPART_ARC
(6,3),0.220935 # DEPENDENCYPART_ARC
(6,4),2.08482 # DEPENDENCYPART_ARC
(6,5),1.50795 # DEPENDENCYPART_ARC
(6,7),1.3873 # DEPENDENCYPART_ARC
(6,8),0.652553 # DEPENDENCYPART_ARC
(6,9),-0.824331 # DEPENDENCYPART_ARC
(6,10),-0.740901 # DEPENDENCYPART_ARC
(6,12),-0.696968 # DEPENDENCYPART_ARC
(6,14),-1.3978 # DEPENDENCYPART_ARC
(6,15),-0.845068 # DEPENDENCYPART_ARC
(6,17),-1.26835 # DEPENDENCYPART_ARC
(6,18),-1.21084 # DEPENDENCYPART_ARC
(6,20),-1.40889 # DEPENDENCYPART_ARC
(6,21),-1.76353 # DEPENDENCYPART_ARC
(6,24),-2.72814 # DEPENDENCYPART_ARC
(6,25),-2.08013 # DEPENDENCYPART_ARC
(6,26),-2.91823 # DEPENDENCYPART_ARC
(6,27),-0.560698 # DEPENDENCYPART_ARC
(7,5),-1.67916 # DEPENDENCYPART_ARC
(7,6),-1.39359 # DEPENDENCYPART_ARC
(7,8),3.12637 # DEPENDENCYPART_ARC
(7,9),-0.796362 # DEPENDENCYPART_ARC
(7,10),-1.689 # DEPENDENCYPART_ARC
(7,12),-2.39732 # DEPENDENCYPART_ARC
(7,14),-0.927229 # DEPENDENCYPART_ARC
(7,15),-2.09515 # DEPENDENCYPART_ARC
(8,6),-2.42537 # DEPENDENCYPART_ARC
(8,7),-1.62752 # DEPENDENCYPART_ARC
(8,9),1.47412 # DEPENDENCYPART_ARC
(8,10),-0.0537722 # DEPENDENCYPART_ARC
(8,12),-1.30546 # DEPENDENCYPART_ARC
(8,14),-1.11791 # DEPENDENCYPART_ARC
(8,15),-1.48644 # DEPENDENCYPART_ARC
(8,17),-1.56244 # DEPENDENCYPART_ARC
(8,18),-1.22779 # DEPENDENCYPART_ARC
(8,20),-0.919509 # DEPENDENCYPART_ARC
(8,23),-1.16209 # DEPENDENCYPART_ARC
(8,24),-1.31596 # DEPENDENCYPART_ARC
(8,26),-2.07115 # DEPENDENCYPART_ARC
(8,27),-2.2869 # DEPENDENCYPART_ARC
(9,5),-1.56311 # DEPENDENCYPART_ARC
(9,10),-0.148296 # DEPENDENCYPART_ARC
(9,12),-1.7454 # DEPENDENCYPART_ARC
(9,14),-1.33453 # DEPENDENCYPART_ARC
(9,15),-1.83525 # DEPENDENCYPART_ARC
(9,18),-1.50544 # DEPENDENCYPART_ARC
(9,20),-2.13364 # DEPENDENCYPART_ARC
(9,21),-2.68439 # DEPENDENCYPART_ARC
(9,24),-2.85559 # DEPENDENCYPART_ARC
(9,25),-1.15185 # DEPENDENCYPART_ARC
(10,9),-1.41338 # DEPENDENCYPART_ARC
(10,12),1.9615 # DEPENDENCYPART_ARC
(10,14),-0.94767 # DEPENDENCYPART_ARC
(10,15),-1.76964 # DEPENDENCYPART_ARC
(10,18),-1.81382 # DEPENDENCYPART_ARC
(10,20),-2.90088 # DEPENDENCYPART_ARC
(12,2),-2.91117 # DEPENDENCYPART_ARC
(12,9),-1.73863 # DEPENDENCYPART_ARC
(12,10),-1.40325 # DEPENDENCYPART_ARC
(12,11),1.82038 # DEPENDENCYPART_ARC
(12,13),-1.55154 # DEPENDENCYPART_ARC
(12,14),-1.10689 # DEPENDENCYPART_ARC
(12,15),-0.843501 # DEPENDENCYPART_ARC
(12,16),-1.84437 # DEPENDENCYPART_ARC
(12,17),-0.760851 # DEPENDENCYPART_ARC
(12,18),-1.007 # DEPENDENCYPART_ARC
(12,20),0.0648896 # DEPENDENCYPART_ARC
(12,21),-1.90054 # DEPENDENCYPART_ARC
(12,23),-3.4748 # DEPENDENCYPART_ARC
(12,24),-3.76425 # DEPENDENCYPART_ARC
(12,25),-1.53796 # DEPENDENCYPART_ARC
(12,26),-3.25625 # DEPENDENCYPART_ARC
(12,27),-1.94164 # DEPENDENCYPART_ARC
(13,15),-1.64791 # DEPENDENCYPART_ARC
(15,4),-1.94679 # DEPENDENCYPART_ARC
(15,6),-2.38957 # DEPENDENCYPART_ARC
(15,13),-2.9783 # DEPENDENCYPART_ARC
(15,14),0.423344 # DEPENDENCYPART_ARC
(15,16),-0.908163 # DEPENDENCYPART_ARC
(15,17),1.87619 # DEPENDENCYPART_ARC
(15,18),-0.0189297 # DEPENDENCYPART_ARC
(15,20),-2.20079 # DEPENDENCYPART_ARC
(15,21),-1.91366 # DEPENDENCYPART_ARC
(15,25),-1.37423 # DEPENDENCYPART_ARC
(15,26),-2.31924 # DEPENDENCYPART_ARC
(15,27),-1.66056 # DEPENDENCYPART_ARC
(16,21),-1.40346 # DEPENDENCYPART_ARC
(17,6),-2.59912 # DEPENDENCYPART_ARC
