# _root_ La dona va aparcar i va mirar d' agafar un taxi , moment en el qual l' acusat ' la va agafar pels cabells , va iniciar un forcejament i una persecució fins a introduir -la de_nou en el cotxe ' .
#goldHeads=2,4,4,0,4,9,9,9,4,11,9,13,9,22,16,14,18,22,22,22,22,13,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,22,4,
#predictedHeads=2,4,4,0,4,9,9,9,4,11,9,13,11,9,16,14,18,14,22,22,22,18,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,35,4,
(0,3),-1.52764 # DEPENDENCYPART_ARC
(0,4),-3.19691 # DEPENDENCYPART_ARC
(0,7),-3.88093 # DEPENDENCYPART_ARC
(0,9),-4.11392 # DEPENDENCYPART_ARC
(0,22),-3.90994 # DEPENDENCYPART_ARC
(0,27),-3.30654 # DEPENDENCYPART_ARC
(1,2),-0.737729 # DEPENDENCYPART_ARC
(2,1),1.61091 # DEPENDENCYPART_ARC
(2,3),-1.14194 # DEPENDENCYPART_ARC
(2,4),-1.98723 # DEPENDENCYPART_ARC
(3,2),-1.62326 # DEPENDENCYPART_ARC
(3,4),-0.0805931 # DEPENDENCYPART_ARC
(3,5),-0.884539 # DEPENDENCYPART_ARC
(3,6),-1.52714 # DEPENDENCYPART_ARC
(3,7),-1.92633 # DEPENDENCYPART_ARC
(3,8),-2.25619 # DEPENDENCYPART_ARC
(3,9),-2.60521 # DEPENDENCYPART_ARC
(3,42),-3.86463 # DEPENDENCYPART_ARC
(4,1),-1.46378 # DEPENDENCYPART_ARC
(4,2),0.313651 # DEPENDENCYPART_ARC
(4,3),2.19177 # DEPENDENCYPART_ARC
(4,5),1.58422 # DEPENDENCYPART_ARC
(4,6),0.41552 # DEPENDENCYPART_ARC
(4,7),0.572682 # DEPENDENCYPART_ARC
(4,8),-0.60735 # DEPENDENCYPART_ARC
(4,9),-0.167108 # DEPENDENCYPART_ARC
(4,11),-1.40941 # DEPENDENCYPART_ARC
(4,12),-0.649243 # DEPENDENCYPART_ARC
(4,13),-1.68568 # DEPENDENCYPART_ARC
(4,14),-0.728868 # DEPENDENCYPART_ARC
(4,18),-1.75645 # DEPENDENCYPART_ARC
(4,19),-1.17514 # DEPENDENCYPART_ARC
(4,21),-2.46239 # DEPENDENCYPART_ARC
(4,22),-0.836478 # DEPENDENCYPART_ARC
(4,23),-1.64898 # DEPENDENCYPART_ARC
(4,25),-0.640747 # DEPENDENCYPART_ARC
(4,27),-0.799978 # DEPENDENCYPART_ARC
(4,30),-1.37999 # DEPENDENCYPART_ARC
(4,33),-1.91161 # DEPENDENCYPART_ARC
(4,35),-2.05764 # DEPENDENCYPART_ARC
(4,41),-1.35176 # DEPENDENCYPART_ARC
(4,42),-0.625669 # DEPENDENCYPART_ARC
(6,7),-0.534838 # DEPENDENCYPART_ARC
(6,8),-1.88402 # DEPENDENCYPART_ARC
(7,2),-2.15454 # DEPENDENCYPART_ARC
(7,3),-2.50743 # DEPENDENCYPART_ARC
(7,4),-1.6817 # DEPENDENCYPART_ARC
(7,5),-0.838493 # DEPENDENCYPART_ARC
(7,6),1.76658 # DEPENDENCYPART_ARC
(7,8),0.659388 # DEPENDENCYPART_ARC
(7,9),-0.0446118 # DEPENDENCYPART_ARC
(7,11),-0.757768 # DEPENDENCYPART_ARC
(7,12),-1.08741 # DEPENDENCYPART_ARC
(7,13),-1.64336 # DEPENDENCYPART_ARC
(7,14),-0.652028 # DEPENDENCYPART_ARC
(7,18),-1.60789 # DEPENDENCYPART_ARC
(7,19),-1.48811 # DEPENDENCYPART_ARC
(7,22),-1.28889 # DEPENDENCYPART_ARC
(7,23),-1.64747 # DEPENDENCYPART_ARC
(7,25),-0.792295 # DEPENDENCYPART_ARC
(7,27),-1.62757 # DEPENDENCYPART_ARC
(7,29),-2.25558 # DEPENDENCYPART_ARC
(7,30),-1.40977 # DEPENDENCYPART_ARC
(7,33),-1.69827 # DEPENDENCYPART_ARC
(7,35),-2.22502 # DEPENDENCYPART_ARC
(7,41),-1.48439 # DEPENDENCYPART_ARC
(7,42),-0.766014 # DEPENDENCYPART_ARC
(8,7),-1.24373 # DEPENDENCYPART_ARC
(8,9),1.45377 # DEPENDENCYPART_ARC
(8,11),-1.0156 # DEPENDENCYPART_ARC
(8,12),-0.998848 # DEPENDENCYPART_ARC
(8,13),-2.40404 # DEPENDENCYPART_ARC
(9,2),-1.226 # DEPENDENCYPART_ARC
(9,3),-1.4952 # DEPENDENCYPART_ARC
(9,4),-1.0252 # DEPENDENCYPART_ARC
(9,5),-1.03108 # DEPENDENCYPART_ARC
(9,6),0.709507 # DEPENDENCYPART_ARC
(9,7),2.5373 # DEPENDENCYPART_ARC
(9,8),1.30228 # DEPENDENCYPART_ARC
(9,11),0.983948 # DEPENDENCYPART_ARC
(9,12),-0.742798 # DEPENDENCYPART_ARC
(9,13),-0.359569 # DEPENDENCYPART_ARC
(9,14),0.329678 # DEPENDENCYPART_ARC
(9,18),-0.94058 # DEPENDENCYPART_ARC
(9,19),-1.59345 # DEPENDENCYPART_ARC
