# _root_ El pelatge d' aquesta espècie , format en cada exemplar per taques diferents , actua com un carnet d' identitat .
#goldHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
#predictedHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
(0,2),-4.67162 # DEPENDENCYPART_ARC
(0,7),-6.24292 # DEPENDENCYPART_ARC
(0,15),-1.10339 # DEPENDENCYPART_ARC
(1,2),-0.700623 # DEPENDENCYPART_ARC
(1,3),-1.40048 # DEPENDENCYPART_ARC
(2,1),1.27946 # DEPENDENCYPART_ARC
(2,3),0.724005 # DEPENDENCYPART_ARC
(2,5),-0.460245 # DEPENDENCYPART_ARC
(2,6),-0.65269 # DEPENDENCYPART_ARC
(2,7),0.0373025 # DEPENDENCYPART_ARC
(2,8),-0.900008 # DEPENDENCYPART_ARC
(2,10),-0.943573 # DEPENDENCYPART_ARC
(2,11),-0.684179 # DEPENDENCYPART_ARC
(2,12),-2.03519 # DEPENDENCYPART_ARC
(2,13),-2.32998 # DEPENDENCYPART_ARC
(2,14),-0.797536 # DEPENDENCYPART_ARC
(2,15),-1.37278 # DEPENDENCYPART_ARC
(2,16),-1.00809 # DEPENDENCYPART_ARC
(2,18),-2.40494 # DEPENDENCYPART_ARC
(2,19),-2.56394 # DEPENDENCYPART_ARC
(2,21),-2.34881 # DEPENDENCYPART_ARC
(3,1),-2.13901 # DEPENDENCYPART_ARC
(3,5),2.14235 # DEPENDENCYPART_ARC
(3,6),-1.04045 # DEPENDENCYPART_ARC
(3,7),-1.80005 # DEPENDENCYPART_ARC
(3,8),-1.93723 # DEPENDENCYPART_ARC
(3,10),-1.03212 # DEPENDENCYPART_ARC
(3,11),-2.59503 # DEPENDENCYPART_ARC
(3,16),-1.55965 # DEPENDENCYPART_ARC
(5,1),-3.24016 # DEPENDENCYPART_ARC
(5,4),1.45106 # DEPENDENCYPART_ARC
(5,6),-0.809974 # DEPENDENCYPART_ARC
(5,7),-1.06178 # DEPENDENCYPART_ARC
(5,8),-1.12996 # DEPENDENCYPART_ARC
(5,10),-1.39298 # DEPENDENCYPART_ARC
(5,11),-1.19747 # DEPENDENCYPART_ARC
(5,13),-2.44073 # DEPENDENCYPART_ARC
(5,14),-1.35866 # DEPENDENCYPART_ARC
(5,15),-1.71177 # DEPENDENCYPART_ARC
(5,16),-1.48608 # DEPENDENCYPART_ARC
(5,18),-3.03066 # DEPENDENCYPART_ARC
(5,21),-2.66454 # DEPENDENCYPART_ARC
(7,2),-2.83102 # DEPENDENCYPART_ARC
(7,3),-1.38641 # DEPENDENCYPART_ARC
(7,5),-1.80162 # DEPENDENCYPART_ARC
(7,6),0.934667 # DEPENDENCYPART_ARC
(7,8),1.74372 # DEPENDENCYPART_ARC
(7,10),-0.815136 # DEPENDENCYPART_ARC
(7,11),0.0234368 # DEPENDENCYPART_ARC
(7,12),-1.43757 # DEPENDENCYPART_ARC
(7,13),-2.83513 # DEPENDENCYPART_ARC
(7,14),0.163035 # DEPENDENCYPART_ARC
(7,15),-1.4869 # DEPENDENCYPART_ARC
(7,18),-1.46742 # DEPENDENCYPART_ARC
(7,19),-1.78971 # DEPENDENCYPART_ARC
(7,21),-1.36529 # DEPENDENCYPART_ARC
(8,6),-1.51446 # DEPENDENCYPART_ARC
(8,7),-1.49364 # DEPENDENCYPART_ARC
(8,9),-0.958039 # DEPENDENCYPART_ARC
(8,10),1.69123 # DEPENDENCYPART_ARC
(8,11),-1.73363 # DEPENDENCYPART_ARC
(8,12),-0.349673 # DEPENDENCYPART_ARC
(8,13),-1.60132 # DEPENDENCYPART_ARC
(8,14),-1.21031 # DEPENDENCYPART_ARC
(8,16),-1.5055 # DEPENDENCYPART_ARC
(9,10),0.102341 # DEPENDENCYPART_ARC
(9,11),-0.604254 # DEPENDENCYPART_ARC
(10,3),-1.51187 # DEPENDENCYPART_ARC
(10,6),-1.66271 # DEPENDENCYPART_ARC
(10,7),-1.50264 # DEPENDENCYPART_ARC
(10,8),-0.791214 # DEPENDENCYPART_ARC
(10,9),0.989791 # DEPENDENCYPART_ARC
(10,11),0.41087 # DEPENDENCYPART_ARC
(10,12),-1.15913 # DEPENDENCYPART_ARC
