# _root_ El Consell_Regulador_de_la_Denominació_d'_Origen_Empordà-Costa_Brava ha concedit el Premi_Tòria_d'_Or , creat per premiar la promoció dels vins d' aquesta denominació d' origen , al Restaurant Ca_la_Maria de Mollet_de_Peralada .
#goldHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,8,4,21,22,22,24,4,
#predictedHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,21,10,21,22,22,24,4,
(0,3),-1.60065 # DEPENDENCYPART_ARC
(0,4),-2.5533 # DEPENDENCYPART_ARC
(1,2),-1.27527 # DEPENDENCYPART_ARC
(2,1),0.760498 # DEPENDENCYPART_ARC
(2,3),-1.78362 # DEPENDENCYPART_ARC
(2,6),-2.06834 # DEPENDENCYPART_ARC
(2,8),-2.32193 # DEPENDENCYPART_ARC
(3,1),-3.57041 # DEPENDENCYPART_ARC
(3,2),-2.02532 # DEPENDENCYPART_ARC
(3,4),-0.547705 # DEPENDENCYPART_ARC
(3,6),-1.97404 # DEPENDENCYPART_ARC
(3,7),-1.76738 # DEPENDENCYPART_ARC
(3,8),-2.28213 # DEPENDENCYPART_ARC
(3,9),-2.36368 # DEPENDENCYPART_ARC
(3,12),-2.95629 # DEPENDENCYPART_ARC
(3,26),-2.46795 # DEPENDENCYPART_ARC
(4,1),-1.50882 # DEPENDENCYPART_ARC
(4,2),0.334844 # DEPENDENCYPART_ARC
(4,3),3.08771 # DEPENDENCYPART_ARC
(4,6),0.637814 # DEPENDENCYPART_ARC
(4,7),-0.604528 # DEPENDENCYPART_ARC
(4,8),-0.805198 # DEPENDENCYPART_ARC
(4,9),-0.00148252 # DEPENDENCYPART_ARC
(4,10),-1.24816 # DEPENDENCYPART_ARC
(4,12),-1.36766 # DEPENDENCYPART_ARC
(4,13),-1.41467 # DEPENDENCYPART_ARC
(4,14),-1.53511 # DEPENDENCYPART_ARC
(4,15),-1.46708 # DEPENDENCYPART_ARC
(4,17),-1.53182 # DEPENDENCYPART_ARC
(4,18),-1.70473 # DEPENDENCYPART_ARC
(4,20),-1.58674 # DEPENDENCYPART_ARC
(4,21),-1.73018 # DEPENDENCYPART_ARC
(4,23),-2.06185 # DEPENDENCYPART_ARC
(4,26),-0.853543 # DEPENDENCYPART_ARC
(6,5),0.943906 # DEPENDENCYPART_ARC
(6,7),-0.545205 # DEPENDENCYPART_ARC
(6,8),-0.527538 # DEPENDENCYPART_ARC
(6,9),-1.34306 # DEPENDENCYPART_ARC
(6,10),-1.4966 # DEPENDENCYPART_ARC
(6,12),-1.92322 # DEPENDENCYPART_ARC
(6,13),-2.12946 # DEPENDENCYPART_ARC
(6,15),-2.57317 # DEPENDENCYPART_ARC
(6,23),-2.53578 # DEPENDENCYPART_ARC
(6,26),-2.57985 # DEPENDENCYPART_ARC
(8,5),-2.0348 # DEPENDENCYPART_ARC
(8,7),0.924613 # DEPENDENCYPART_ARC
(8,9),1.68133 # DEPENDENCYPART_ARC
(8,10),-0.918646 # DEPENDENCYPART_ARC
