# _root_ Dins l' àmbit del Barri_Antic , el consistori també ha anunciat l' inici de la renovació del paviment del carrer Sobrerroca , que començarà el dia_10_de_juny .
#goldHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,16,26,24,11,
#predictedHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,18,26,24,11,
(0,1),-4.4841 # DEPENDENCYPART_ARC
(0,10),-2.74995 # DEPENDENCYPART_ARC
(0,11),-2.52331 # DEPENDENCYPART_ARC
(0,24),-2.74449 # DEPENDENCYPART_ARC
(1,2),-0.664849 # DEPENDENCYPART_ARC
(1,3),1.79 # DEPENDENCYPART_ARC
(1,4),-1.31347 # DEPENDENCYPART_ARC
(1,5),-0.554603 # DEPENDENCYPART_ARC
(1,6),0.443587 # DEPENDENCYPART_ARC
(1,8),-1.48222 # DEPENDENCYPART_ARC
(1,9),-1.47893 # DEPENDENCYPART_ARC
(1,22),-0.92534 # DEPENDENCYPART_ARC
(1,27),-2.21228 # DEPENDENCYPART_ARC
(2,1),-1.31664 # DEPENDENCYPART_ARC
(2,3),-0.347232 # DEPENDENCYPART_ARC
(2,4),-0.758038 # DEPENDENCYPART_ARC
(3,1),-0.94505 # DEPENDENCYPART_ARC
(3,2),0.983168 # DEPENDENCYPART_ARC
(3,4),0.695913 # DEPENDENCYPART_ARC
(3,5),-0.98527 # DEPENDENCYPART_ARC
(3,6),-0.8152 # DEPENDENCYPART_ARC
(3,8),-1.26505 # DEPENDENCYPART_ARC
(3,9),-1.91566 # DEPENDENCYPART_ARC
(3,10),-1.94027 # DEPENDENCYPART_ARC
(3,11),-1.53711 # DEPENDENCYPART_ARC
(3,13),-1.8292 # DEPENDENCYPART_ARC
(3,14),-2.35836 # DEPENDENCYPART_ARC
(3,17),-2.41693 # DEPENDENCYPART_ARC
(3,19),-2.66534 # DEPENDENCYPART_ARC
(3,21),-2.36237 # DEPENDENCYPART_ARC
(3,27),-2.8786 # DEPENDENCYPART_ARC
(4,2),-1.9914 # DEPENDENCYPART_ARC
(4,5),1.71814 # DEPENDENCYPART_ARC
(4,6),-1.30457 # DEPENDENCYPART_ARC
(4,8),-1.62642 # DEPENDENCYPART_ARC
(5,2),-2.70042 # DEPENDENCYPART_ARC
(5,6),-1.10024 # DEPENDENCYPART_ARC
(5,8),-1.22855 # DEPENDENCYPART_ARC
(5,9),-1.82493 # DEPENDENCYPART_ARC
(5,10),-1.98617 # DEPENDENCYPART_ARC
(5,11),-1.99555 # DEPENDENCYPART_ARC
(5,13),-2.22057 # DEPENDENCYPART_ARC
(5,14),-2.49338 # DEPENDENCYPART_ARC
(5,21),-2.63399 # DEPENDENCYPART_ARC
(5,27),-2.70221 # DEPENDENCYPART_ARC
(7,4),-1.82897 # DEPENDENCYPART_ARC
(7,8),-1.31386 # DEPENDENCYPART_ARC
(8,1),-1.65316 # DEPENDENCYPART_ARC
(8,2),-3.27305 # DEPENDENCYPART_ARC
(8,4),-1.70958 # DEPENDENCYPART_ARC
(8,6),-0.86368 # DEPENDENCYPART_ARC
(8,7),1.44266 # DEPENDENCYPART_ARC
(8,9),-0.532601 # DEPENDENCYPART_ARC
(8,10),-1.16652 # DEPENDENCYPART_ARC
(8,11),-1.06128 # DEPENDENCYPART_ARC
(8,13),-1.30388 # DEPENDENCYPART_ARC
(8,14),-1.22859 # DEPENDENCYPART_ARC
(8,17),-1.52867 # DEPENDENCYPART_ARC
(8,19),-1.85664 # DEPENDENCYPART_ARC
(8,21),-2.06866 # DEPENDENCYPART_ARC
(8,24),-1.67011 # DEPENDENCYPART_ARC
(8,27),-2.16381 # DEPENDENCYPART_ARC
(9,1),-2.27362 # DEPENDENCYPART_ARC
(9,4),-2.44974 # DEPENDENCYPART_ARC
(9,6),-1.96889 # DEPENDENCYPART_ARC
(9,7),-2.32214 # DEPENDENCYPART_ARC
(9,8),-0.823446 # DEPENDENCYPART_ARC
(9,10),-1.21546 # DEPENDENCYPART_ARC
(10,1),-2.41733 # DEPENDENCYPART_ARC
(10,3),-3.13992 # DEPENDENCYPART_ARC
(10,4),-3.43646 # DEPENDENCYPART_ARC
(10,6),-2.86947 # DEPENDENCYPART_ARC
(10,8),-2.0956 # DEPENDENCYPART_ARC
(10,9),-1.05082 # DEPENDENCYPART_ARC
(10,11),-0.36199 # DEPENDENCYPART_ARC
(10,13),-1.70604 # DEPENDENCYPART_ARC
(10,14),-2.44377 # DEPENDENCYPART_ARC
(10,22),-1.62854 # DEPENDENCYPART_ARC
(10,24),-2.09134 # DEPENDENCYPART_ARC
(10,27),-2.0681 # DEPENDENCYPART_ARC
(11,1),-0.210174 # DEPENDENCYPART_ARC
(11,3),-1.04381 # DEPENDENCYPART_ARC
(11,4),-1.63018 # DEPENDENCYPART_ARC
(11,5),-1.47334 # DEPENDENCYPART_ARC
(11,6),-1.38875 # DEPENDENCYPART_ARC
