# _root_ La manca de personal , segons Lozano , no permet " de_moment " mantenir oberta la Biblioteca durant tot el dia .
#goldHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
#predictedHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
(0,2),-4.71102 # DEPENDENCYPART_ARC
(0,6),-5.16884 # DEPENDENCYPART_ARC
(0,10),-1.97793 # DEPENDENCYPART_ARC
(0,14),-3.79111 # DEPENDENCYPART_ARC
(1,2),-0.41725 # DEPENDENCYPART_ARC
(1,3),-0.813629 # DEPENDENCYPART_ARC
(2,1),1.44806 # DEPENDENCYPART_ARC
(2,3),1.26642 # DEPENDENCYPART_ARC
(2,4),-0.372232 # DEPENDENCYPART_ARC
(2,5),-0.730802 # DEPENDENCYPART_ARC
(2,6),-0.809297 # DEPENDENCYPART_ARC
(2,7),-1.41673 # DEPENDENCYPART_ARC
(2,8),-1.06306 # DEPENDENCYPART_ARC
(2,10),-1.15676 # DEPENDENCYPART_ARC
(2,11),-2.03475 # DEPENDENCYPART_ARC
(2,12),-1.93183 # DEPENDENCYPART_ARC
(2,13),-2.08513 # DEPENDENCYPART_ARC
(2,14),-2.50866 # DEPENDENCYPART_ARC
(2,15),-1.25077 # DEPENDENCYPART_ARC
(2,17),-2.39566 # DEPENDENCYPART_ARC
(2,18),-1.81003 # DEPENDENCYPART_ARC
(2,21),-2.9037 # DEPENDENCYPART_ARC
(2,22),-2.65495 # DEPENDENCYPART_ARC
(3,1),-1.5171 # DEPENDENCYPART_ARC
(3,4),2.31694 # DEPENDENCYPART_ARC
(3,5),-1.07132 # DEPENDENCYPART_ARC
(3,6),-1.23556 # DEPENDENCYPART_ARC
(3,7),-1.30494 # DEPENDENCYPART_ARC
(3,8),-1.9783 # DEPENDENCYPART_ARC
(3,10),-2.93938 # DEPENDENCYPART_ARC
(3,11),-2.57388 # DEPENDENCYPART_ARC
(3,14),-2.53869 # DEPENDENCYPART_ARC
(4,1),-1.49533 # DEPENDENCYPART_ARC
(4,3),0.00234899 # DEPENDENCYPART_ARC
(4,5),-1.12909 # DEPENDENCYPART_ARC
(4,6),-1.02608 # DEPENDENCYPART_ARC
(4,7),-1.20717 # DEPENDENCYPART_ARC
(4,8),-1.60066 # DEPENDENCYPART_ARC
(4,10),-1.52252 # DEPENDENCYPART_ARC
(4,11),-2.41137 # DEPENDENCYPART_ARC
(4,12),-2.50985 # DEPENDENCYPART_ARC
(4,13),-2.65119 # DEPENDENCYPART_ARC
(4,14),-2.70577 # DEPENDENCYPART_ARC
(4,17),-2.75618 # DEPENDENCYPART_ARC
