# _root_ Volent potser calmar les ansietats dels diputats , Putin va subratllar que Moscou pretén augmentar " l' eficàcia del seu poder de dissuasió " , encara_que no incrementant " quantitativament " el nombre de caps nuclears .
#goldHeads=11,1,1,5,3,5,6,1,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,18,28,28,28,15,30,28,30,33,28,33,34,35,11,
#predictedHeads=11,3,1,5,3,5,6,1,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,18,28,28,28,15,30,28,30,33,28,33,34,35,11,
(0,1),-3.90119 # DEPENDENCYPART_ARC
(0,3),-4.06312 # DEPENDENCYPART_ARC
(0,10),-1.50182 # DEPENDENCYPART_ARC
(0,11),-2.98548 # DEPENDENCYPART_ARC
(0,14),-1.17551 # DEPENDENCYPART_ARC
(0,15),-3.43905 # DEPENDENCYPART_ARC
(0,28),-5.59329 # DEPENDENCYPART_ARC
(1,2),0.629692 # DEPENDENCYPART_ARC
(1,3),0.355274 # DEPENDENCYPART_ARC
(1,5),0.169393 # DEPENDENCYPART_ARC
(1,6),-0.541936 # DEPENDENCYPART_ARC
(1,7),-0.916748 # DEPENDENCYPART_ARC
(1,8),-0.633088 # DEPENDENCYPART_ARC
(1,9),-1.77889 # DEPENDENCYPART_ARC
(1,10),-2.00349 # DEPENDENCYPART_ARC
(1,11),-1.28605 # DEPENDENCYPART_ARC
(1,12),-2.15504 # DEPENDENCYPART_ARC
(1,13),-2.33735 # DEPENDENCYPART_ARC
(1,14),-1.86058 # DEPENDENCYPART_ARC
(1,15),-1.55843 # DEPENDENCYPART_ARC
(1,16),-1.1083 # DEPENDENCYPART_ARC
(1,18),-1.64665 # DEPENDENCYPART_ARC
(1,24),-0.850795 # DEPENDENCYPART_ARC
(1,25),-0.952507 # DEPENDENCYPART_ARC
(1,28),-1.7396 # DEPENDENCYPART_ARC
(1,29),-1.98891 # DEPENDENCYPART_ARC
(1,31),-2.10016 # DEPENDENCYPART_ARC
(1,33),-3.03885 # DEPENDENCYPART_ARC
(1,37),-1.92283 # DEPENDENCYPART_ARC
(2,1),-1.15521 # DEPENDENCYPART_ARC
(2,3),-0.861369 # DEPENDENCYPART_ARC
(2,6),-2.39608 # DEPENDENCYPART_ARC
(2,8),-2.03061 # DEPENDENCYPART_ARC
(3,1),0.854612 # DEPENDENCYPART_ARC
(3,2),0.449089 # DEPENDENCYPART_ARC
(3,5),1.67335 # DEPENDENCYPART_ARC
(3,6),0.1216 # DEPENDENCYPART_ARC
(3,7),-0.218382 # DEPENDENCYPART_ARC
(3,8),-0.943822 # DEPENDENCYPART_ARC
(3,9),-1.55494 # DEPENDENCYPART_ARC
(3,10),-1.6621 # DEPENDENCYPART_ARC
