# _root_ Una altra de les novetats d' aquest any ha estat l' excés d' oferta per a Roma , Londres i París , destins per als quals ha estat possible trobar bitllet fins a última hora .
#goldHeads=3,1,10,5,3,3,8,6,10,0,12,10,12,13,12,15,16,17,17,17,17,23,17,28,24,25,28,23,28,28,30,30,32,35,33,10,
#predictedHeads=2,10,2,5,3,5,8,6,10,0,12,10,12,13,12,15,16,17,17,17,17,23,17,23,24,25,28,23,28,28,30,30,32,35,33,10,
(0,2),-4.63657 # DEPENDENCYPART_ARC
(0,3),-5.07894 # DEPENDENCYPART_ARC
(0,9),-2.43291 # DEPENDENCYPART_ARC
(0,10),-3.29622 # DEPENDENCYPART_ARC
(0,27),-4.63735 # DEPENDENCYPART_ARC
(0,28),-4.52692 # DEPENDENCYPART_ARC
(0,30),-5.12732 # DEPENDENCYPART_ARC
(1,2),-0.235621 # DEPENDENCYPART_ARC
(1,3),-0.603755 # DEPENDENCYPART_ARC
(1,6),-1.51384 # DEPENDENCYPART_ARC
(2,1),1.13173 # DEPENDENCYPART_ARC
(2,3),0.728086 # DEPENDENCYPART_ARC
(2,5),-0.850895 # DEPENDENCYPART_ARC
(2,6),-0.118311 # DEPENDENCYPART_ARC
(2,8),-1.43058 # DEPENDENCYPART_ARC
(2,10),-1.61459 # DEPENDENCYPART_ARC
(2,12),-1.81833 # DEPENDENCYPART_ARC
(2,13),-0.971256 # DEPENDENCYPART_ARC
(2,14),-1.81889 # DEPENDENCYPART_ARC
(2,15),-1.40734 # DEPENDENCYPART_ARC
(2,18),-0.952107 # DEPENDENCYPART_ARC
(2,20),-1.21121 # DEPENDENCYPART_ARC
(2,22),-0.91099 # DEPENDENCYPART_ARC
(2,23),-1.95406 # DEPENDENCYPART_ARC
(2,34),-0.979313 # DEPENDENCYPART_ARC
(3,1),-1.6651 # DEPENDENCYPART_ARC
(3,2),-1.81124 # DEPENDENCYPART_ARC
(3,4),-1.11374 # DEPENDENCYPART_ARC
(3,5),2.16275 # DEPENDENCYPART_ARC
(3,6),-1.18849 # DEPENDENCYPART_ARC
(3,8),-0.414068 # DEPENDENCYPART_ARC
(3,10),-1.69507 # DEPENDENCYPART_ARC
(4,3),-1.19296 # DEPENDENCYPART_ARC
(4,5),-0.169226 # DEPENDENCYPART_ARC
(4,6),-0.931103 # DEPENDENCYPART_ARC
(5,1),-2.36902 # DEPENDENCYPART_ARC
(5,3),-1.93258 # DEPENDENCYPART_ARC
(5,4),1.66288 # DEPENDENCYPART_ARC
(5,6),0.576361 # DEPENDENCYPART_ARC
(5,8),-1.01177 # DEPENDENCYPART_ARC
(5,9),-1.62221 # DEPENDENCYPART_ARC
(5,10),-1.3222 # DEPENDENCYPART_ARC
(5,12),-1.94698 # DEPENDENCYPART_ARC
(5,13),-1.24755 # DEPENDENCYPART_ARC
(5,15),-0.887184 # DEPENDENCYPART_ARC
(5,16),-1.62517 # DEPENDENCYPART_ARC
(5,19),-2.19517 # DEPENDENCYPART_ARC
(5,21),-2.81451 # DEPENDENCYPART_ARC
(5,23),-1.6583 # DEPENDENCYPART_ARC
(5,36),-2.96901 # DEPENDENCYPART_ARC
(6,4),-1.85857 # DEPENDENCYPART_ARC
(6,8),1.87557 # DEPENDENCYPART_ARC
(6,9),-2.23045 # DEPENDENCYPART_ARC
(6,10),-1.32426 # DEPENDENCYPART_ARC
(6,12),-1.69893 # DEPENDENCYPART_ARC
(8,1),-3.44608 # DEPENDENCYPART_ARC
(8,3),-1.77161 # DEPENDENCYPART_ARC
(8,4),-3.03647 # DEPENDENCYPART_ARC
(8,6),-0.895611 # DEPENDENCYPART_ARC
(8,7),1.24525 # DEPENDENCYPART_ARC
(8,9),-1.68676 # DEPENDENCYPART_ARC
(9,3),-2.8127 # DEPENDENCYPART_ARC
(9,5),-3.0765 # DEPENDENCYPART_ARC
(9,6),-2.45413 # DEPENDENCYPART_ARC
(9,8),-1.86935 # DEPENDENCYPART_ARC
(9,10),-0.99941 # DEPENDENCYPART_ARC
(9,12),-2.28355 # DEPENDENCYPART_ARC
(9,15),-2.44377 # DEPENDENCYPART_ARC
(9,36),-2.77716 # DEPENDENCYPART_ARC
(10,2),-1.0824 # DEPENDENCYPART_ARC
(10,3),-1.10422 # DEPENDENCYPART_ARC
(10,4),-2.71103 # DEPENDENCYPART_ARC
(10,5),-1.13205 # DEPENDENCYPART_ARC
(10,6),-1.08934 # DEPENDENCYPART_ARC
(10,8),-0.285801 # DEPENDENCYPART_ARC
(10,9),2.46275 # DEPENDENCYPART_ARC
(10,12),0.666204 # DEPENDENCYPART_ARC
(10,13),-0.192821 # DEPENDENCYPART_ARC
(10,14),-0.950467 # DEPENDENCYPART_ARC
(10,15),0.101487 # DEPENDENCYPART_ARC
(10,16),-1.05613 # DEPENDENCYPART_ARC
(10,17),-1.90899 # DEPENDENCYPART_ARC
(10,18),-1.44079 # DEPENDENCYPART_ARC
(10,19),-2.2068 # DEPENDENCYPART_ARC
(10,20),-1.33473 # DEPENDENCYPART_ARC
(10,21),-2.47503 # DEPENDENCYPART_ARC
(10,24),-0.730001 # DEPENDENCYPART_ARC
(10,25),-2.08213 # DEPENDENCYPART_ARC
(10,26),-2.0783 # DEPENDENCYPART_ARC
(10,27),-2.58433 # DEPENDENCYPART_ARC
(10,28),-1.12601 # DEPENDENCYPART_ARC
(10,30),-2.52003 # DEPENDENCYPART_ARC
(10,31),-2.61909 # DEPENDENCYPART_ARC
(10,32),-1.16224 # DEPENDENCYPART_ARC
(10,36),-1.55486 # DEPENDENCYPART_ARC
(11,12),-0.511568 # DEPENDENCYPART_ARC
(11,13),-1.08064 # DEPENDENCYPART_ARC
(12,3),-1.43927 # DEPENDENCYPART_ARC
(12,6),-1.26007 # DEPENDENCYPART_ARC
(12,9),-2.32931 # DEPENDENCYPART_ARC
(12,10),-1.58367 # DEPENDENCYPART_ARC
(12,11),1.45428 # DEPENDENCYPART_ARC
(12,13),1.05161 # DEPENDENCYPART_ARC
(12,14),-0.477783 # DEPENDENCYPART_ARC
(12,15),-0.196603 # DEPENDENCYPART_ARC
(12,16),-0.953122 # DEPENDENCYPART_ARC
(12,17),-1.42948 # DEPENDENCYPART_ARC
(12,18),-1.03658 # DEPENDENCYPART_ARC
(12,19),-0.9369 # DEPENDENCYPART_ARC
(12,20),-0.698627 # DEPENDENCYPART_ARC
(12,21),-1.58585 # DEPENDENCYPART_ARC
(12,22),-1.28046 # DEPENDENCYPART_ARC
(12,23),-1.42039 # DEPENDENCYPART_ARC
(12,24),-1.40781 # DEPENDENCYPART_ARC
(12,27),-1.9735 # DEPENDENCYPART_ARC
(12,28),-2.12592 # DEPENDENCYPART_ARC
(12,29),-1.78446 # DEPENDENCYPART_ARC
(12,30),-2.50873 # DEPENDENCYPART_ARC
(12,31),-2.35623 # DEPENDENCYPART_ARC
(12,32),-1.58079 # DEPENDENCYPART_ARC
(12,36),-2.46705 # DEPENDENCYPART_ARC
(13,11),-2.21377 # DEPENDENCYPART_ARC
(13,14),2.32127 # DEPENDENCYPART_ARC
(13,15),-1.60025 # DEPENDENCYPART_ARC
(13,16),-0.93399 # DEPENDENCYPART_ARC
(13,17),-0.957438 # DEPENDENCYPART_ARC
(13,18),-1.34911 # DEPENDENCYPART_ARC
(13,20),-1.58507 # DEPENDENCYPART_ARC
(13,25),-2.08156 # DEPENDENCYPART_ARC
(14,3),-1.80864 # DEPENDENCYPART_ARC
(14,6),-1.6742 # DEPENDENCYPART_ARC
(14,11),-1.52362 # DEPENDENCYPART_ARC
(14,13),-0.547886 # DEPENDENCYPART_ARC
(14,15),0.00227646 # DEPENDENCYPART_ARC
(14,16),-0.902266 # DEPENDENCYPART_ARC
(14,17),-1.25226 # DEPENDENCYPART_ARC
(14,18),-1.05719 # DEPENDENCYPART_ARC
(14,19),-1.00673 # DEPENDENCYPART_ARC
(14,20),-0.486481 # DEPENDENCYPART_ARC
(14,21),-1.49985 # DEPENDENCYPART_ARC
(14,22),-1.34185 # DEPENDENCYPART_ARC
(14,23),-1.3863 # DEPENDENCYPART_ARC
(14,24),-1.55451 # DEPENDENCYPART_ARC
(15,13),-1.43171 # DEPENDENCYPART_ARC
(15,14),-1.24565 # DEPENDENCYPART_ARC
(15,16),1.94059 # DEPENDENCYPART_ARC
(15,17),0.578234 # DEPENDENCYPART_ARC
