# _root_ La iniciativa , que dependrà de les condicions meteorològiques , forma_part dels actes de celebració del cinquantè aniversari de l' entitat .
#goldHeads=2,11,5,5,2,5,8,6,8,5,0,11,12,13,14,13,18,16,18,21,19,11,
#predictedHeads=2,11,5,5,2,5,8,6,8,5,0,11,12,13,14,13,18,16,18,21,19,11,
(0,2),-4.283 # DEPENDENCYPART_ARC
(0,5),-2.69788 # DEPENDENCYPART_ARC
(0,11),-1.05066 # DEPENDENCYPART_ARC
(1,2),-1.10297 # DEPENDENCYPART_ARC
(2,1),1.86667 # DEPENDENCYPART_ARC
(2,3),-0.788952 # DEPENDENCYPART_ARC
(2,5),-0.24992 # DEPENDENCYPART_ARC
(2,6),-1.19461 # DEPENDENCYPART_ARC
(2,8),-1.59437 # DEPENDENCYPART_ARC
(2,9),-2.15129 # DEPENDENCYPART_ARC
(2,10),-1.47991 # DEPENDENCYPART_ARC
(2,11),-1.5128 # DEPENDENCYPART_ARC
(2,12),-2.24331 # DEPENDENCYPART_ARC
(2,14),-2.18811 # DEPENDENCYPART_ARC
(2,16),-2.57773 # DEPENDENCYPART_ARC
(2,18),-2.45261 # DEPENDENCYPART_ARC
(2,22),-2.50916 # DEPENDENCYPART_ARC
(3,2),-1.57153 # DEPENDENCYPART_ARC
(4,5),-1.2916 # DEPENDENCYPART_ARC
(4,6),-1.49881 # DEPENDENCYPART_ARC
(5,1),-2.604 # DEPENDENCYPART_ARC
(5,2),-1.11544 # DEPENDENCYPART_ARC
(5,3),0.109062 # DEPENDENCYPART_ARC
(5,4),3.01038 # DEPENDENCYPART_ARC
(5,6),1.02203 # DEPENDENCYPART_ARC
(5,8),0.207595 # DEPENDENCYPART_ARC
(5,9),-0.868467 # DEPENDENCYPART_ARC
(5,10),0.104031 # DEPENDENCYPART_ARC
(5,11),-0.4859 # DEPENDENCYPART_ARC
(5,12),-1.36133 # DEPENDENCYPART_ARC
(5,14),-1.21779 # DEPENDENCYPART_ARC
(5,15),-1.73353 # DEPENDENCYPART_ARC
(5,16),-1.57766 # DEPENDENCYPART_ARC
(5,18),-1.49295 # DEPENDENCYPART_ARC
(5,21),-1.61051 # DEPENDENCYPART_ARC
(5,22),-0.687999 # DEPENDENCYPART_ARC
(6,3),-2.52064 # DEPENDENCYPART_ARC
(6,5),-0.790308 # DEPENDENCYPART_ARC
(6,7),-1.30547 # DEPENDENCYPART_ARC
(6,8),2.00385 # DEPENDENCYPART_ARC
(6,9),-1.02435 # DEPENDENCYPART_ARC
(6,10),-1.12748 # DEPENDENCYPART_ARC
(6,11),-2.70104 # DEPENDENCYPART_ARC
(6,12),-1.84791 # DEPENDENCYPART_ARC
(6,16),-2.69873 # DEPENDENCYPART_ARC
(6,19),-2.80411 # DEPENDENCYPART_ARC
(7,6),-1.24558 # DEPENDENCYPART_ARC
(8,2),-3.17434 # DEPENDENCYPART_ARC
(8,3),-2.82764 # DEPENDENCYPART_ARC
(8,5),-2.18851 # DEPENDENCYPART_ARC
(8,6),-1.921 # DEPENDENCYPART_ARC
(8,7),1.93432 # DEPENDENCYPART_ARC
(8,9),2.07489 # DEPENDENCYPART_ARC
(8,10),-0.772568 # DEPENDENCYPART_ARC
(8,11),-1.3889 # DEPENDENCYPART_ARC
(8,12),-1.05363 # DEPENDENCYPART_ARC
(8,14),-0.856718 # DEPENDENCYPART_ARC
(8,16),-1.66938 # DEPENDENCYPART_ARC
(8,17),-3.48665 # DEPENDENCYPART_ARC
(8,18),-1.88966 # DEPENDENCYPART_ARC
(8,19),-1.7943 # DEPENDENCYPART_ARC
(8,22),-2.17391 # DEPENDENCYPART_ARC
(9,3),-2.60066 # DEPENDENCYPART_ARC
(9,6),-1.29768 # DEPENDENCYPART_ARC
(9,7),-1.05206 # DEPENDENCYPART_ARC
(9,10),-1.12185 # DEPENDENCYPART_ARC
(9,11),-1.86866 # DEPENDENCYPART_ARC
(9,12),-1.83417 # DEPENDENCYPART_ARC
(9,14),-2.40441 # DEPENDENCYPART_ARC
(10,9),-1.5687 # DEPENDENCYPART_ARC
(11,1),-3.25594 # DEPENDENCYPART_ARC
(11,2),-1.52423 # DEPENDENCYPART_ARC
(11,3),-1.33428 # DEPENDENCYPART_ARC
(11,4),-0.679919 # DEPENDENCYPART_ARC
(11,5),-2.15326 # DEPENDENCYPART_ARC
(11,6),-1.51452 # DEPENDENCYPART_ARC
(11,7),-2.67044 # DEPENDENCYPART_ARC
(11,8),-0.783494 # DEPENDENCYPART_ARC
(11,9),-1.15037 # DEPENDENCYPART_ARC
