# _root_ Mentre viu a sota de les branques o de les pedres dels jardins públics , com passa al Palau_de_Pedralbes de Barcelona , no hi ha tantes queixes : " Els problemes comencen a aparèixer quan s' acosten a les cases " .
#goldHeads=2,25,2,3,4,7,5,5,5,11,9,5,12,13,17,17,2,17,18,19,20,2,25,25,0,27,25,34,34,31,34,34,34,25,37,37,34,37,40,38,34,25,
#predictedHeads=2,0,2,3,4,7,5,5,5,11,9,11,12,13,17,17,2,17,18,19,20,17,25,25,17,27,25,34,34,31,34,34,34,27,37,37,34,37,40,38,34,2,
(0,1),-3.89603 # DEPENDENCYPART_ARC
(0,2),-2.64293 # DEPENDENCYPART_ARC
(0,17),-4.54859 # DEPENDENCYPART_ARC
(0,25),-5.39691 # DEPENDENCYPART_ARC
(0,32),-4.4349 # DEPENDENCYPART_ARC
(0,34),-6.05316 # DEPENDENCYPART_ARC
(0,37),-5.34107 # DEPENDENCYPART_ARC
(1,2),-0.409923 # DEPENDENCYPART_ARC
(1,3),-1.36906 # DEPENDENCYPART_ARC
(1,5),-1.90986 # DEPENDENCYPART_ARC
(1,9),-2.32981 # DEPENDENCYPART_ARC
(2,1),1.44777 # DEPENDENCYPART_ARC
(2,3),1.34871 # DEPENDENCYPART_ARC
(2,4),-0.217117 # DEPENDENCYPART_ARC
(2,5),-0.906319 # DEPENDENCYPART_ARC
(2,7),-0.568834 # DEPENDENCYPART_ARC
(2,8),-0.998059 # DEPENDENCYPART_ARC
(2,9),-1.99157 # DEPENDENCYPART_ARC
(2,11),-1.26417 # DEPENDENCYPART_ARC
(2,12),-1.57149 # DEPENDENCYPART_ARC
(2,13),-1.94006 # DEPENDENCYPART_ARC
(2,14),-1.98963 # DEPENDENCYPART_ARC
(2,15),-0.354269 # DEPENDENCYPART_ARC
(2,16),-1.11326 # DEPENDENCYPART_ARC
(2,17),0.052396 # DEPENDENCYPART_ARC
(2,18),-2.21782 # DEPENDENCYPART_ARC
(2,22),-0.890542 # DEPENDENCYPART_ARC
(2,25),-1.61205 # DEPENDENCYPART_ARC
(2,29),-1.39257 # DEPENDENCYPART_ARC
(2,32),-1.6175 # DEPENDENCYPART_ARC
(2,33),-3.77164 # DEPENDENCYPART_ARC
(2,34),-2.34784 # DEPENDENCYPART_ARC
(2,37),-2.07496 # DEPENDENCYPART_ARC
(2,41),-1.45056 # DEPENDENCYPART_ARC
(2,42),-1.04616 # DEPENDENCYPART_ARC
(3,1),-2.01743 # DEPENDENCYPART_ARC
(3,2),-0.717389 # DEPENDENCYPART_ARC
(3,4),0.943731 # DEPENDENCYPART_ARC
(3,5),-0.328321 # DEPENDENCYPART_ARC
(3,7),0.651555 # DEPENDENCYPART_ARC
(3,8),-0.598693 # DEPENDENCYPART_ARC
(3,9),-1.15807 # DEPENDENCYPART_ARC
(3,12),-1.63012 # DEPENDENCYPART_ARC
