# _root_ La majoria dels treballs presentats són de centres de la comarca d' Osona -Fpa- 39 -Fpt- , seguits dels 18 de La_Selva i La_Garrotxa , dels 15 del Bages i de 7 del Vallès_Oriental .
#goldHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,2,15,18,2,18,19,20,21,22,22,19,19,26,27,28,19,19,31,32,33,6,
#predictedHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,13,15,18,6,18,19,20,21,22,22,18,20,26,27,28,28,28,31,32,33,6,
(0,2),-4.72594 # DEPENDENCYPART_ARC
(0,6),-1.52826 # DEPENDENCYPART_ARC
(0,15),-5.41066 # DEPENDENCYPART_ARC
(1,2),-0.164638 # DEPENDENCYPART_ARC
(1,3),0.335804 # DEPENDENCYPART_ARC
(2,1),1.34885 # DEPENDENCYPART_ARC
(2,3),0.895388 # DEPENDENCYPART_ARC
(2,4),-0.736595 # DEPENDENCYPART_ARC
(2,5),-1.95393 # DEPENDENCYPART_ARC
(2,6),-1.42673 # DEPENDENCYPART_ARC
(2,7),-1.30864 # DEPENDENCYPART_ARC
(2,9),-1.47192 # DEPENDENCYPART_ARC
(2,11),-1.46586 # DEPENDENCYPART_ARC
(2,12),-1.77139 # DEPENDENCYPART_ARC
(2,14),-1.63349 # DEPENDENCYPART_ARC
(2,15),-1.80749 # DEPENDENCYPART_ARC
(2,16),-2.17265 # DEPENDENCYPART_ARC
(2,18),-3.44416 # DEPENDENCYPART_ARC
(2,20),-2.22899 # DEPENDENCYPART_ARC
(3,1),-1.43512 # DEPENDENCYPART_ARC
(3,2),-1.36168 # DEPENDENCYPART_ARC
(3,4),2.89383 # DEPENDENCYPART_ARC
(3,5),-0.409065 # DEPENDENCYPART_ARC
(3,7),-1.64748 # DEPENDENCYPART_ARC
(3,30),-1.02622 # DEPENDENCYPART_ARC
(3,31),-3.16546 # DEPENDENCYPART_ARC
(4,1),-2.5439 # DEPENDENCYPART_ARC
(4,5),1.63743 # DEPENDENCYPART_ARC
(4,6),-0.915748 # DEPENDENCYPART_ARC
(4,7),-0.903271 # DEPENDENCYPART_ARC
(4,9),-1.42936 # DEPENDENCYPART_ARC
(4,15),-2.32035 # DEPENDENCYPART_ARC
(4,18),-1.01815 # DEPENDENCYPART_ARC
(4,20),-2.76447 # DEPENDENCYPART_ARC
(5,1),-2.73654 # DEPENDENCYPART_ARC
(5,3),-2.48966 # DEPENDENCYPART_ARC
(5,6),-1.17864 # DEPENDENCYPART_ARC
(5,7),-0.667774 # DEPENDENCYPART_ARC
(6,1),-3.136 # DEPENDENCYPART_ARC
(6,2),-0.771533 # DEPENDENCYPART_ARC
(6,3),-1.22102 # DEPENDENCYPART_ARC
(6,4),-0.18538 # DEPENDENCYPART_ARC
(6,5),-0.00124421 # DEPENDENCYPART_ARC
(6,7),0.612818 # DEPENDENCYPART_ARC
(6,8),0.547457 # DEPENDENCYPART_ARC
(6,9),-0.421026 # DEPENDENCYPART_ARC
(6,11),-0.706895 # DEPENDENCYPART_ARC
(6,12),-0.742411 # DEPENDENCYPART_ARC
(6,13),-1.93081 # DEPENDENCYPART_ARC
(6,14),-0.812512 # DEPENDENCYPART_ARC
(6,15),-1.34851 # DEPENDENCYPART_ARC
(6,16),-0.612507 # DEPENDENCYPART_ARC
(6,17),-0.607111 # DEPENDENCYPART_ARC
(6,18),-1.198 # DEPENDENCYPART_ARC
(6,19),-1.86065 # DEPENDENCYPART_ARC
(6,20),-1.68815 # DEPENDENCYPART_ARC
(6,22),-2.79573 # DEPENDENCYPART_ARC
(6,23),-0.646221 # DEPENDENCYPART_ARC
(6,24),-2.93895 # DEPENDENCYPART_ARC
(6,25),-1.13872 # DEPENDENCYPART_ARC
(6,27),-1.75552 # DEPENDENCYPART_ARC
(6,30),-0.862161 # DEPENDENCYPART_ARC
(6,35),1.68164 # DEPENDENCYPART_ARC
(7,1),-3.32581 # DEPENDENCYPART_ARC
(7,5),-2.26565 # DEPENDENCYPART_ARC
(7,8),2.62605 # DEPENDENCYPART_ARC
(7,9),-0.917674 # DEPENDENCYPART_ARC
(7,11),-1.14592 # DEPENDENCYPART_ARC
(7,12),-1.79955 # DEPENDENCYPART_ARC
(7,14),-1.63933 # DEPENDENCYPART_ARC
(7,17),-1.79468 # DEPENDENCYPART_ARC
(7,18),-2.64576 # DEPENDENCYPART_ARC
(7,21),-2.62373 # DEPENDENCYPART_ARC
(7,31),-3.41434 # DEPENDENCYPART_ARC
(7,33),-3.58628 # DEPENDENCYPART_ARC
(8,2),-3.1682 # DEPENDENCYPART_ARC
(8,3),-2.37893 # DEPENDENCYPART_ARC
(8,5),-1.71081 # DEPENDENCYPART_ARC
(8,7),-0.779207 # DEPENDENCYPART_ARC
(8,9),0.595976 # DEPENDENCYPART_ARC
(8,11),-0.895438 # DEPENDENCYPART_ARC
(8,12),-0.247157 # DEPENDENCYPART_ARC
(8,13),-1.27691 # DEPENDENCYPART_ARC
(8,14),-1.21256 # DEPENDENCYPART_ARC
(8,15),-1.56672 # DEPENDENCYPART_ARC
(8,16),-1.64459 # DEPENDENCYPART_ARC
(8,17),-1.3175 # DEPENDENCYPART_ARC
(8,18),-0.433415 # DEPENDENCYPART_ARC
(8,19),-1.689 # DEPENDENCYPART_ARC
