# _root_ Paul_L._Ravelo , doctor en ciències filosòfiques per la Universitat_de_l'_Havana , impartirà a la Casa_de_Cultura de Girona el curs ' Els_mites_de_la_globalització_neoliberal ' .
#goldHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
#predictedHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
(0,1),-3.82028 # DEPENDENCYPART_ARC
(0,11),-1.31052 # DEPENDENCYPART_ARC
(1,2),-0.0481292 # DEPENDENCYPART_ARC
(1,3),0.395989 # DEPENDENCYPART_ARC
(1,4),-0.839729 # DEPENDENCYPART_ARC
(1,5),-0.818012 # DEPENDENCYPART_ARC
(1,6),-0.700671 # DEPENDENCYPART_ARC
(1,7),-1.2323 # DEPENDENCYPART_ARC
(1,9),-1.10438 # DEPENDENCYPART_ARC
(1,10),-0.830813 # DEPENDENCYPART_ARC
(1,11),-1.80932 # DEPENDENCYPART_ARC
(1,12),-2.23039 # DEPENDENCYPART_ARC
(1,14),-1.99561 # DEPENDENCYPART_ARC
(1,18),-2.25785 # DEPENDENCYPART_ARC
(1,20),-2.08292 # DEPENDENCYPART_ARC
(1,22),-2.39047 # DEPENDENCYPART_ARC
(3,2),0.712919 # DEPENDENCYPART_ARC
(3,4),0.677852 # DEPENDENCYPART_ARC
(3,5),-1.31674 # DEPENDENCYPART_ARC
(3,6),-2.42664 # DEPENDENCYPART_ARC
(3,7),-0.824408 # DEPENDENCYPART_ARC
(3,9),-1.96377 # DEPENDENCYPART_ARC
(3,10),-0.359544 # DEPENDENCYPART_ARC
(3,11),-1.62768 # DEPENDENCYPART_ARC
(3,12),-2.10435 # DEPENDENCYPART_ARC
(3,15),-2.46905 # DEPENDENCYPART_ARC
(3,18),-2.88413 # DEPENDENCYPART_ARC
(3,19),-1.62027 # DEPENDENCYPART_ARC
(3,20),-2.82165 # DEPENDENCYPART_ARC
(3,21),-1.73093 # DEPENDENCYPART_ARC
(3,22),-2.75839 # DEPENDENCYPART_ARC
(4,2),-1.09537 # DEPENDENCYPART_ARC
(4,3),-1.50535 # DEPENDENCYPART_ARC
(4,5),2.95939 # DEPENDENCYPART_ARC
(4,6),-0.532142 # DEPENDENCYPART_ARC
(4,7),-1.71968 # DEPENDENCYPART_ARC
(4,9),-1.51339 # DEPENDENCYPART_ARC
(4,10),-1.33186 # DEPENDENCYPART_ARC
(4,11),-2.92285 # DEPENDENCYPART_ARC
(5,2),-2.60908 # DEPENDENCYPART_ARC
(5,3),-3.26282 # DEPENDENCYPART_ARC
(5,4),-1.90107 # DEPENDENCYPART_ARC
(5,6),1.70039 # DEPENDENCYPART_ARC
(5,7),-0.28572 # DEPENDENCYPART_ARC
(5,9),-1.09366 # DEPENDENCYPART_ARC
(5,10),-1.27557 # DEPENDENCYPART_ARC
(5,11),-1.84153 # DEPENDENCYPART_ARC
(5,15),-1.87437 # DEPENDENCYPART_ARC
(5,18),-2.67165 # DEPENDENCYPART_ARC
(5,19),-1.70921 # DEPENDENCYPART_ARC
(5,20),-2.29238 # DEPENDENCYPART_ARC
(5,21),-2.37924 # DEPENDENCYPART_ARC
(5,22),-2.9091 # DEPENDENCYPART_ARC
(6,2),-1.8509 # DEPENDENCYPART_ARC
(6,3),-2.52404 # DEPENDENCYPART_ARC
(6,4),-1.19519 # DEPENDENCYPART_ARC
(6,7),-0.13196 # DEPENDENCYPART_ARC
(6,9),-1.6606 # DEPENDENCYPART_ARC
(6,10),-1.25678 # DEPENDENCYPART_ARC
(6,11),-2.02899 # DEPENDENCYPART_ARC
(6,12),-2.04294 # DEPENDENCYPART_ARC
(6,21),-2.35373 # DEPENDENCYPART_ARC
(7,4),-1.58362 # DEPENDENCYPART_ARC
(7,6),-1.3103 # DEPENDENCYPART_ARC
(7,8),-1.39751 # DEPENDENCYPART_ARC
(7,9),1.47425 # DEPENDENCYPART_ARC
(7,10),-1.00856 # DEPENDENCYPART_ARC
(7,11),-2.32262 # DEPENDENCYPART_ARC
(7,12),-1.6267 # DEPENDENCYPART_ARC
(7,21),-2.43794 # DEPENDENCYPART_ARC
(8,7),-2.33767 # DEPENDENCYPART_ARC
(9,4),-1.7844 # DEPENDENCYPART_ARC
(9,6),-2.3766 # DEPENDENCYPART_ARC
(9,7),-0.801535 # DEPENDENCYPART_ARC
(9,8),0.96249 # DEPENDENCYPART_ARC
(9,10),-0.84997 # DEPENDENCYPART_ARC
(9,11),-1.79064 # DEPENDENCYPART_ARC
(9,12),-2.16162 # DEPENDENCYPART_ARC
(9,15),-2.12696 # DEPENDENCYPART_ARC
(9,18),-2.07834 # DEPENDENCYPART_ARC
(9,20),-2.28375 # DEPENDENCYPART_ARC
(9,22),-2.55706 # DEPENDENCYPART_ARC
(11,1),-1.37897 # DEPENDENCYPART_ARC
(11,2),-2.05867 # DEPENDENCYPART_ARC
(11,3),-0.978027 # DEPENDENCYPART_ARC
(11,4),-1.28375 # DEPENDENCYPART_ARC
(11,5),-1.76633 # DEPENDENCYPART_ARC
(11,6),-1.82533 # DEPENDENCYPART_ARC
(11,7),-1.03588 # DEPENDENCYPART_ARC
(11,8),-2.04595 # DEPENDENCYPART_ARC
(11,9),-0.285158 # DEPENDENCYPART_ARC
(11,10),-0.162648 # DEPENDENCYPART_ARC
(11,12),1.58914 # DEPENDENCYPART_ARC
(11,14),-0.206767 # DEPENDENCYPART_ARC
(11,15),-0.573717 # DEPENDENCYPART_ARC
(11,16),-1.25484 # DEPENDENCYPART_ARC
(11,18),-0.857075 # DEPENDENCYPART_ARC
(11,19),-0.770055 # DEPENDENCYPART_ARC
(11,20),-1.57659 # DEPENDENCYPART_ARC
(11,21),-0.626753 # DEPENDENCYPART_ARC
(11,22),-0.58894 # DEPENDENCYPART_ARC
(12,10),-1.92998 # DEPENDENCYPART_ARC
(12,13),-1.39487 # DEPENDENCYPART_ARC
(12,14),1.1993 # DEPENDENCYPART_ARC
(12,15),-1.60323 # DEPENDENCYPART_ARC
(12,16),-0.920613 # DEPENDENCYPART_ARC
(12,18),-1.3817 # DEPENDENCYPART_ARC
(12,19),-1.04316 # DEPENDENCYPART_ARC
(12,21),-1.39118 # DEPENDENCYPART_ARC
(12,22),-2.31003 # DEPENDENCYPART_ARC
(13,12),-1.42373 # DEPENDENCYPART_ARC
(13,14),-0.431186 # DEPENDENCYPART_ARC
(13,15),-0.683434 # DEPENDENCYPART_ARC
(14,7),-1.72197 # DEPENDENCYPART_ARC
(14,10),-2.29502 # DEPENDENCYPART_ARC
(14,13),0.266381 # DEPENDENCYPART_ARC
(14,15),0.508504 # DEPENDENCYPART_ARC
(14,16),-0.850769 # DEPENDENCYPART_ARC
(14,18),-1.07961 # DEPENDENCYPART_ARC
(14,20),-0.679112 # DEPENDENCYPART_ARC
(14,22),-1.80097 # DEPENDENCYPART_ARC
(15,13),-1.73789 # DEPENDENCYPART_ARC
(15,16),1.81159 # DEPENDENCYPART_ARC
(15,18),-1.18053 # DEPENDENCYPART_ARC
(15,21),-2.28281 # DEPENDENCYPART_ARC
(16,13),-2.20456 # DEPENDENCYPART_ARC
(16,18),-1.24774 # DEPENDENCYPART_ARC
(16,19),-1.27738 # DEPENDENCYPART_ARC
(16,20),-1.39796 # DEPENDENCYPART_ARC
(16,22),-2.17634 # DEPENDENCYPART_ARC
(17,15),-2.07806 # DEPENDENCYPART_ARC
(17,16),-1.23327 # DEPENDENCYPART_ARC
(18,7),-1.89148 # DEPENDENCYPART_ARC
(18,12),-1.85675 # DEPENDENCYPART_ARC
(18,13),-3.02636 # DEPENDENCYPART_ARC
(18,15),-1.64692 # DEPENDENCYPART_ARC
(18,17),1.19626 # DEPENDENCYPART_ARC
(18,19),-0.365195 # DEPENDENCYPART_ARC
(18,20),0.154952 # DEPENDENCYPART_ARC
(18,21),-0.844575 # DEPENDENCYPART_ARC
(18,22),-0.836636 # DEPENDENCYPART_ARC
(20,12),-1.36284 # DEPENDENCYPART_ARC
(20,15),-1.5211 # DEPENDENCYPART_ARC
(20,17),-2.04028 # DEPENDENCYPART_ARC
(20,18),-1.25787 # DEPENDENCYPART_ARC
(20,19),1.55138 # DEPENDENCYPART_ARC
(20,21),0.348173 # DEPENDENCYPART_ARC
(20,22),-1.22695 # DEPENDENCYPART_ARC
(0,1),(0,11),-0.428921 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.354279 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0235694 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.375573 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00105164 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0170094 # DEPENDENCYPART_SIBL
