# _root_ Un_cop llicenciat , es va dedicar durant molts anys a l' ensenyament de la llengua i la literatura a Barcelona , Vila-real -Fpa- Plana_Baixa -Fpt- i Terrassa .
#goldHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,6,19,20,20,24,22,24,20,20,6,
#predictedHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,18,19,20,20,24,22,24,20,20,6,
(0,1),-3.94743 # DEPENDENCYPART_ARC
(0,2),-5.2768 # DEPENDENCYPART_ARC
(0,5),-2.48993 # DEPENDENCYPART_ARC
(0,6),-3.42459 # DEPENDENCYPART_ARC
(1,2),-0.661563 # DEPENDENCYPART_ARC
(1,3),-0.498878 # DEPENDENCYPART_ARC
(1,6),-1.88915 # DEPENDENCYPART_ARC
(1,7),-2.17259 # DEPENDENCYPART_ARC
(1,10),-2.55802 # DEPENDENCYPART_ARC
(2,1),1.31708 # DEPENDENCYPART_ARC
(2,3),-0.255772 # DEPENDENCYPART_ARC
(2,5),-1.30421 # DEPENDENCYPART_ARC
(2,6),-1.49944 # DEPENDENCYPART_ARC
(2,7),-0.903487 # DEPENDENCYPART_ARC
(2,10),-1.09819 # DEPENDENCYPART_ARC
(2,18),-1.95215 # DEPENDENCYPART_ARC
(2,21),-1.48381 # DEPENDENCYPART_ARC
(2,25),-1.8281 # DEPENDENCYPART_ARC
(3,2),-1.64531 # DEPENDENCYPART_ARC
(5,1),-2.94864 # DEPENDENCYPART_ARC
(5,2),-3.51636 # DEPENDENCYPART_ARC
(5,3),-1.71605 # DEPENDENCYPART_ARC
(5,4),-1.3139 # DEPENDENCYPART_ARC
(5,6),0.0927499 # DEPENDENCYPART_ARC
(5,7),-1.09009 # DEPENDENCYPART_ARC
(5,10),-1.36304 # DEPENDENCYPART_ARC
(5,28),-3.27079 # DEPENDENCYPART_ARC
(6,1),-0.557611 # DEPENDENCYPART_ARC
(6,2),-1.23091 # DEPENDENCYPART_ARC
(6,3),0.378382 # DEPENDENCYPART_ARC
