# _root_ La construcció d' un edifici de Presidència a les cases Moxó i Morell , de les quals només es conservaran les façanes , haurà de respectar in_situ les restes .
#goldHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,22,17,15,20,20,10,22,20,20,26,26,0,26,29,26,26,
#predictedHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,20,17,15,20,20,5,22,20,20,26,26,0,26,29,26,26,
(0,2),-4.7153 # DEPENDENCYPART_ARC
(0,3),-5.29964 # DEPENDENCYPART_ARC
(0,20),-3.92648 # DEPENDENCYPART_ARC
(0,24),-3.69359 # DEPENDENCYPART_ARC
(0,26),-5.75443 # DEPENDENCYPART_ARC
(1,2),-0.448444 # DEPENDENCYPART_ARC
(1,3),-1.16298 # DEPENDENCYPART_ARC
(1,4),-1.36167 # DEPENDENCYPART_ARC
(2,1),1.69278 # DEPENDENCYPART_ARC
(2,3),0.915707 # DEPENDENCYPART_ARC
(2,4),-1.89417 # DEPENDENCYPART_ARC
(2,5),-0.21098 # DEPENDENCYPART_ARC
(2,6),-0.10497 # DEPENDENCYPART_ARC
(2,7),-1.24838 # DEPENDENCYPART_ARC
(2,8),-0.311551 # DEPENDENCYPART_ARC
(2,10),-0.82202 # DEPENDENCYPART_ARC
(2,11),-0.597175 # DEPENDENCYPART_ARC
(2,12),-0.301266 # DEPENDENCYPART_ARC
(2,13),-1.4724 # DEPENDENCYPART_ARC
(2,14),-0.793547 # DEPENDENCYPART_ARC
(2,15),-2.63782 # DEPENDENCYPART_ARC
(2,18),-1.91277 # DEPENDENCYPART_ARC
(2,20),-0.723102 # DEPENDENCYPART_ARC
(2,22),-1.99697 # DEPENDENCYPART_ARC
(2,23),-0.760215 # DEPENDENCYPART_ARC
(2,24),-1.66459 # DEPENDENCYPART_ARC
(2,26),-1.82092 # DEPENDENCYPART_ARC
(2,29),-2.33605 # DEPENDENCYPART_ARC
(2,30),-2.57666 # DEPENDENCYPART_ARC
(3,1),-1.69902 # DEPENDENCYPART_ARC
(3,2),-1.42771 # DEPENDENCYPART_ARC
(3,4),-1.46665 # DEPENDENCYPART_ARC
(3,5),1.68741 # DEPENDENCYPART_ARC
(3,6),-1.57893 # DEPENDENCYPART_ARC
(3,7),-1.13007 # DEPENDENCYPART_ARC
(3,8),-1.98979 # DEPENDENCYPART_ARC
(3,12),-1.20961 # DEPENDENCYPART_ARC
(3,14),-1.37352 # DEPENDENCYPART_ARC
(3,15),-1.8872 # DEPENDENCYPART_ARC
(3,25),-3.2505 # DEPENDENCYPART_ARC
(4,3),-0.424489 # DEPENDENCYPART_ARC
(4,5),0.105286 # DEPENDENCYPART_ARC
(4,6),-0.384579 # DEPENDENCYPART_ARC
(4,8),-1.41529 # DEPENDENCYPART_ARC
(5,1),-2.319 # DEPENDENCYPART_ARC
(5,2),-2.3362 # DEPENDENCYPART_ARC
(5,3),-0.859305 # DEPENDENCYPART_ARC
(5,4),0.881064 # DEPENDENCYPART_ARC
(5,6),1.11225 # DEPENDENCYPART_ARC
(5,7),-0.769491 # DEPENDENCYPART_ARC
(5,8),-0.246112 # DEPENDENCYPART_ARC
(5,10),-1.23226 # DEPENDENCYPART_ARC
(5,11),-0.699014 # DEPENDENCYPART_ARC
(5,12),-0.479824 # DEPENDENCYPART_ARC
(5,13),-1.54967 # DEPENDENCYPART_ARC
(5,14),-1.12795 # DEPENDENCYPART_ARC
(5,15),-1.81407 # DEPENDENCYPART_ARC
(5,18),-2.13173 # DEPENDENCYPART_ARC
(5,20),-0.941609 # DEPENDENCYPART_ARC
(5,22),-2.70417 # DEPENDENCYPART_ARC
(5,23),-1.18091 # DEPENDENCYPART_ARC
(5,24),-1.92468 # DEPENDENCYPART_ARC
(5,26),-2.07637 # DEPENDENCYPART_ARC
(5,29),-3.18696 # DEPENDENCYPART_ARC
(5,30),-2.43035 # DEPENDENCYPART_ARC
(6,4),-1.93522 # DEPENDENCYPART_ARC
(6,7),1.73582 # DEPENDENCYPART_ARC
(6,8),-1.76834 # DEPENDENCYPART_ARC
(6,12),-1.6955 # DEPENDENCYPART_ARC
(6,15),-1.84584 # DEPENDENCYPART_ARC
(6,25),-3.07901 # DEPENDENCYPART_ARC
(7,8),-0.925223 # DEPENDENCYPART_ARC
(7,10),-1.26778 # DEPENDENCYPART_ARC
(7,11),-0.995941 # DEPENDENCYPART_ARC
(7,12),-0.459404 # DEPENDENCYPART_ARC
(7,13),-1.47825 # DEPENDENCYPART_ARC
(7,30),-2.94861 # DEPENDENCYPART_ARC
(8,6),-1.44379 # DEPENDENCYPART_ARC
(8,9),-1.23006 # DEPENDENCYPART_ARC
(8,10),2.14728 # DEPENDENCYPART_ARC
(8,11),-1.35773 # DEPENDENCYPART_ARC
(8,12),-1.19438 # DEPENDENCYPART_ARC
(8,13),-2.11333 # DEPENDENCYPART_ARC
(8,14),-1.14332 # DEPENDENCYPART_ARC
(8,15),-2.06046 # DEPENDENCYPART_ARC
(9,6),-2.41794 # DEPENDENCYPART_ARC
(9,8),-1.66206 # DEPENDENCYPART_ARC
(9,10),-0.864432 # DEPENDENCYPART_ARC
(10,2),-3.15946 # DEPENDENCYPART_ARC
(10,4),-3.70323 # DEPENDENCYPART_ARC
(10,6),-2.72426 # DEPENDENCYPART_ARC
(10,9),1.9582 # DEPENDENCYPART_ARC
(10,11),0.838421 # DEPENDENCYPART_ARC
(10,12),-0.467336 # DEPENDENCYPART_ARC
(10,13),-0.91975 # DEPENDENCYPART_ARC
(10,14),-1.12407 # DEPENDENCYPART_ARC
(10,15),-1.27456 # DEPENDENCYPART_ARC
(10,18),-2.34625 # DEPENDENCYPART_ARC
(10,20),-0.479049 # DEPENDENCYPART_ARC
(10,22),-1.1946 # DEPENDENCYPART_ARC
(10,23),-1.41483 # DEPENDENCYPART_ARC
(10,24),-2.40259 # DEPENDENCYPART_ARC
(10,26),-2.18757 # DEPENDENCYPART_ARC
(10,29),-1.5714 # DEPENDENCYPART_ARC
(10,30),-2.26848 # DEPENDENCYPART_ARC
(11,6),-1.8312 # DEPENDENCYPART_ARC
(11,8),-1.23979 # DEPENDENCYPART_ARC
(11,9),-1.15582 # DEPENDENCYPART_ARC
(11,12),0.998439 # DEPENDENCYPART_ARC
(11,13),0.332556 # DEPENDENCYPART_ARC
(11,14),-1.25649 # DEPENDENCYPART_ARC
(11,15),-1.44483 # DEPENDENCYPART_ARC
(11,18),-1.88088 # DEPENDENCYPART_ARC
(11,20),-0.949253 # DEPENDENCYPART_ARC
(11,22),-1.92551 # DEPENDENCYPART_ARC
(11,23),-1.64129 # DEPENDENCYPART_ARC
(11,26),-1.96319 # DEPENDENCYPART_ARC
(11,27),-2.03219 # DEPENDENCYPART_ARC
(11,29),-2.36559 # DEPENDENCYPART_ARC
(11,30),-2.54905 # DEPENDENCYPART_ARC
(12,13),-1.11468 # DEPENDENCYPART_ARC
(13,9),-3.05857 # DEPENDENCYPART_ARC
(13,11),-1.53795 # DEPENDENCYPART_ARC
(13,12),-0.740419 # DEPENDENCYPART_ARC
(13,14),-1.45241 # DEPENDENCYPART_ARC
(13,15),-1.52932 # DEPENDENCYPART_ARC
(13,20),-1.24104 # DEPENDENCYPART_ARC
(13,30),-2.93678 # DEPENDENCYPART_ARC
(15,14),-0.325942 # DEPENDENCYPART_ARC
(15,16),-1.64419 # DEPENDENCYPART_ARC
(15,17),0.872571 # DEPENDENCYPART_ARC
(15,18),-1.81368 # DEPENDENCYPART_ARC
(15,20),-2.21524 # DEPENDENCYPART_ARC
(15,22),-1.17763 # DEPENDENCYPART_ARC
(15,23),-0.674154 # DEPENDENCYPART_ARC
(15,25),-2.16376 # DEPENDENCYPART_ARC
(15,26),-2.27645 # DEPENDENCYPART_ARC
(15,27),-2.63822 # DEPENDENCYPART_ARC
(16,17),-1.0658 # DEPENDENCYPART_ARC
(17,16),2.02513 # DEPENDENCYPART_ARC
(17,20),-0.89925 # DEPENDENCYPART_ARC
(17,22),-1.5427 # DEPENDENCYPART_ARC
(18,16),-2.41754 # DEPENDENCYPART_ARC
(20,2),-1.91229 # DEPENDENCYPART_ARC
(20,3),-2.17908 # DEPENDENCYPART_ARC
(20,5),-2.10518 # DEPENDENCYPART_ARC
(20,8),-1.63901 # DEPENDENCYPART_ARC
(20,10),-1.13647 # DEPENDENCYPART_ARC
(20,11),-2.31468 # DEPENDENCYPART_ARC
(20,12),-1.5739 # DEPENDENCYPART_ARC
(20,13),-2.14122 # DEPENDENCYPART_ARC
(20,14),0.0552289 # DEPENDENCYPART_ARC
(20,15),-0.630847 # DEPENDENCYPART_ARC
(20,16),-1.4976 # DEPENDENCYPART_ARC
(20,17),-0.0263803 # DEPENDENCYPART_ARC
(20,18),0.713461 # DEPENDENCYPART_ARC
(20,19),2.05741 # DEPENDENCYPART_ARC
(20,22),1.49294 # DEPENDENCYPART_ARC
(20,23),-0.094064 # DEPENDENCYPART_ARC
(20,24),-0.557541 # DEPENDENCYPART_ARC
(20,25),-1.08021 # DEPENDENCYPART_ARC
(20,26),-1.56734 # DEPENDENCYPART_ARC
(20,27),-1.75618 # DEPENDENCYPART_ARC
(20,29),-0.880785 # DEPENDENCYPART_ARC
(20,30),-1.72572 # DEPENDENCYPART_ARC
(21,18),-2.41719 # DEPENDENCYPART_ARC
(22,16),-1.91421 # DEPENDENCYPART_ARC
(22,18),-1.38783 # DEPENDENCYPART_ARC
(22,20),-0.887161 # DEPENDENCYPART_ARC
(22,21),2.47086 # DEPENDENCYPART_ARC
(22,23),-0.775702 # DEPENDENCYPART_ARC
(22,24),-1.64707 # DEPENDENCYPART_ARC
(22,25),-0.980531 # DEPENDENCYPART_ARC
(22,26),-1.69183 # DEPENDENCYPART_ARC
(22,27),-1.88019 # DEPENDENCYPART_ARC
(22,29),-0.561746 # DEPENDENCYPART_ARC
(23,22),-1.9965 # DEPENDENCYPART_ARC
(24,11),-4.00599 # DEPENDENCYPART_ARC
(24,13),-3.75173 # DEPENDENCYPART_ARC
(24,17),-4.06073 # DEPENDENCYPART_ARC
(24,18),-2.94232 # DEPENDENCYPART_ARC
(24,22),-2.26657 # DEPENDENCYPART_ARC
(24,23),-1.82192 # DEPENDENCYPART_ARC
(24,25),-0.532822 # DEPENDENCYPART_ARC
(24,26),-1.15962 # DEPENDENCYPART_ARC
(24,27),-1.92084 # DEPENDENCYPART_ARC
(24,29),-1.67046 # DEPENDENCYPART_ARC
(24,30),-1.6617 # DEPENDENCYPART_ARC
(25,16),-3.85359 # DEPENDENCYPART_ARC
(25,23),-1.78148 # DEPENDENCYPART_ARC
(25,26),1.20177 # DEPENDENCYPART_ARC
(25,27),-0.927723 # DEPENDENCYPART_ARC
(25,29),-0.744051 # DEPENDENCYPART_ARC
