# _root_ A_més_a_més_de presó , reclama la clausura de l' empresa durant dos anys , la inhabilitació durant cinc anys per exercir com_a industrial i una multa .
#goldHeads=4,1,1,0,6,4,6,9,7,6,12,10,6,15,6,15,18,16,15,19,20,21,6,25,6,4,
#predictedHeads=4,1,1,0,6,4,6,9,7,4,12,10,6,15,6,15,18,16,4,19,20,21,6,25,6,4,
(0,1),-4.44108 # DEPENDENCYPART_ARC
(0,4),-1.29133 # DEPENDENCYPART_ARC
(1,2),2.94422 # DEPENDENCYPART_ARC
(1,3),0.252783 # DEPENDENCYPART_ARC
(1,4),-2.03235 # DEPENDENCYPART_ARC
(1,13),-0.419845 # DEPENDENCYPART_ARC
(1,26),-2.21354 # DEPENDENCYPART_ARC
(2,1),-1.56931 # DEPENDENCYPART_ARC
(2,3),-1.23908 # DEPENDENCYPART_ARC
(2,4),-1.28483 # DEPENDENCYPART_ARC
(2,6),-1.4894 # DEPENDENCYPART_ARC
(2,7),-1.41916 # DEPENDENCYPART_ARC
(2,10),-1.66774 # DEPENDENCYPART_ARC
(2,15),-2.55737 # DEPENDENCYPART_ARC
(2,25),-2.94488 # DEPENDENCYPART_ARC
(2,26),-3.63396 # DEPENDENCYPART_ARC
(4,1),0.0394678 # DEPENDENCYPART_ARC
(4,2),-0.632427 # DEPENDENCYPART_ARC
(4,3),-0.0817419 # DEPENDENCYPART_ARC
(4,6),1.01539 # DEPENDENCYPART_ARC
(4,7),-0.452503 # DEPENDENCYPART_ARC
(4,9),-0.294377 # DEPENDENCYPART_ARC
(4,10),-0.156776 # DEPENDENCYPART_ARC
(4,12),-1.21292 # DEPENDENCYPART_ARC
(4,13),-0.755983 # DEPENDENCYPART_ARC
(4,15),-0.963026 # DEPENDENCYPART_ARC
(4,16),-0.611316 # DEPENDENCYPART_ARC
(4,18),-1.4299 # DEPENDENCYPART_ARC
(4,19),-0.0826306 # DEPENDENCYPART_ARC
(4,20),-1.14122 # DEPENDENCYPART_ARC
(4,21),-1.05146 # DEPENDENCYPART_ARC
(4,23),-0.932574 # DEPENDENCYPART_ARC
(4,25),-2.08501 # DEPENDENCYPART_ARC
(4,26),-0.21831 # DEPENDENCYPART_ARC
(5,6),-0.274203 # DEPENDENCYPART_ARC
(5,7),-0.874097 # DEPENDENCYPART_ARC
(5,8),-1.37079 # DEPENDENCYPART_ARC
(6,1),-2.3856 # DEPENDENCYPART_ARC
(6,3),-1.56914 # DEPENDENCYPART_ARC
(6,5),1.70377 # DEPENDENCYPART_ARC
(6,7),0.906843 # DEPENDENCYPART_ARC
(6,9),-0.0836559 # DEPENDENCYPART_ARC
(6,10),-0.173597 # DEPENDENCYPART_ARC
(6,12),-1.30641 # DEPENDENCYPART_ARC
(6,13),-0.630932 # DEPENDENCYPART_ARC
(6,15),-0.898621 # DEPENDENCYPART_ARC
(6,16),-0.565531 # DEPENDENCYPART_ARC
(6,18),-1.95661 # DEPENDENCYPART_ARC
(6,19),-0.731142 # DEPENDENCYPART_ARC
