# _root_ ' La política ha de ser un projecte ètic i moral , un conjunt de principis i de normes presidida pel sentit comú ' , ha dit .
#goldHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,14,20,21,22,6,6,27,0,27,
#predictedHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,19,20,21,22,6,6,27,0,27,
(0,4),-1.82368 # DEPENDENCYPART_ARC
(0,6),-3.87252 # DEPENDENCYPART_ARC
(0,26),-3.58235 # DEPENDENCYPART_ARC
(0,27),-1.5623 # DEPENDENCYPART_ARC
(2,3),-0.904162 # DEPENDENCYPART_ARC
(3,1),-0.727838 # DEPENDENCYPART_ARC
(3,2),1.93771 # DEPENDENCYPART_ARC
(3,4),-1.12087 # DEPENDENCYPART_ARC
(3,5),-1.36999 # DEPENDENCYPART_ARC
(3,10),-2.11655 # DEPENDENCYPART_ARC
(3,11),-2.42105 # DEPENDENCYPART_ARC
(3,14),-2.96077 # DEPENDENCYPART_ARC
(3,28),-3.72848 # DEPENDENCYPART_ARC
(4,1),-1.30641 # DEPENDENCYPART_ARC
(4,2),-3.06048 # DEPENDENCYPART_ARC
(4,3),-1.44296 # DEPENDENCYPART_ARC
(4,5),-1.05504 # DEPENDENCYPART_ARC
(4,6),-1.45076 # DEPENDENCYPART_ARC
(4,8),-1.72164 # DEPENDENCYPART_ARC
(4,10),-1.63838 # DEPENDENCYPART_ARC
(4,12),-1.71421 # DEPENDENCYPART_ARC
(4,14),-3.05034 # DEPENDENCYPART_ARC
(4,24),-1.61362 # DEPENDENCYPART_ARC
(4,25),-1.3317 # DEPENDENCYPART_ARC
(4,27),-3.62768 # DEPENDENCYPART_ARC
(4,28),-2.37771 # DEPENDENCYPART_ARC
(5,1),-3.0102 # DEPENDENCYPART_ARC
(5,2),-3.12326 # DEPENDENCYPART_ARC
(5,3),-2.65831 # DEPENDENCYPART_ARC
(5,6),0.973117 # DEPENDENCYPART_ARC
(5,8),-1.62085 # DEPENDENCYPART_ARC
(5,10),-1.77216 # DEPENDENCYPART_ARC
(5,11),-2.40042 # DEPENDENCYPART_ARC
(5,12),-1.4794 # DEPENDENCYPART_ARC
(5,15),-2.51075 # DEPENDENCYPART_ARC
(5,17),-1.42212 # DEPENDENCYPART_ARC
(5,18),-2.43728 # DEPENDENCYPART_ARC
(5,28),-3.40579 # DEPENDENCYPART_ARC
(6,1),-0.108267 # DEPENDENCYPART_ARC
(6,2),-1.68426 # DEPENDENCYPART_ARC
(6,3),-0.0235558 # DEPENDENCYPART_ARC
(6,4),2.64528 # DEPENDENCYPART_ARC
(6,5),1.15258 # DEPENDENCYPART_ARC
(6,8),0.784513 # DEPENDENCYPART_ARC
(6,9),-1.03702 # DEPENDENCYPART_ARC
(6,10),-0.951754 # DEPENDENCYPART_ARC
(6,11),-1.54385 # DEPENDENCYPART_ARC
(6,12),-0.870271 # DEPENDENCYPART_ARC
(6,14),-1.61356 # DEPENDENCYPART_ARC
(6,15),-1.47801 # DEPENDENCYPART_ARC
(6,16),-1.91141 # DEPENDENCYPART_ARC
(6,17),-1.46495 # DEPENDENCYPART_ARC
(6,20),-2.16872 # DEPENDENCYPART_ARC
(6,21),-1.69423 # DEPENDENCYPART_ARC
(6,24),-1.31419 # DEPENDENCYPART_ARC
(6,25),-1.27251 # DEPENDENCYPART_ARC
(6,26),-3.20269 # DEPENDENCYPART_ARC
(6,27),-2.83702 # DEPENDENCYPART_ARC
(6,28),-1.66626 # DEPENDENCYPART_ARC
(7,8),-0.587647 # DEPENDENCYPART_ARC
(8,2),-2.78003 # DEPENDENCYPART_ARC
(8,3),-2.84945 # DEPENDENCYPART_ARC
(8,4),-2.5377 # DEPENDENCYPART_ARC
(8,5),-1.0774 # DEPENDENCYPART_ARC
(8,6),-1.23999 # DEPENDENCYPART_ARC
(8,7),1.61762 # DEPENDENCYPART_ARC
(8,9),1.76812 # DEPENDENCYPART_ARC
(8,10),-0.614492 # DEPENDENCYPART_ARC
(8,11),-0.558915 # DEPENDENCYPART_ARC
