# _root_ Una persona va morir a Barcelona i una altra a Tarragona , sense que hagi transcendit en quin hospital , perquè encara no s' ha formalitzat la denúncia .
#goldHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
#predictedHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
(0,2),-4.43808 # DEPENDENCYPART_ARC
(0,3),-1.4742 # DEPENDENCYPART_ARC
(0,4),-3.4597 # DEPENDENCYPART_ARC
(0,9),-5.66684 # DEPENDENCYPART_ARC
(0,16),-3.858 # DEPENDENCYPART_ARC
(1,5),-1.53385 # DEPENDENCYPART_ARC
(2,1),1.67324 # DEPENDENCYPART_ARC
(2,3),-1.08195 # DEPENDENCYPART_ARC
(2,4),-2.0014 # DEPENDENCYPART_ARC
(2,7),-1.42862 # DEPENDENCYPART_ARC
(2,8),-2.62014 # DEPENDENCYPART_ARC
(2,9),-2.57401 # DEPENDENCYPART_ARC
(3,2),-1.79533 # DEPENDENCYPART_ARC
(3,4),-0.219182 # DEPENDENCYPART_ARC
(3,5),-1.05466 # DEPENDENCYPART_ARC
(3,7),-1.65557 # DEPENDENCYPART_ARC
(3,10),-2.24382 # DEPENDENCYPART_ARC
(3,16),-2.76983 # DEPENDENCYPART_ARC
(3,29),-2.0533 # DEPENDENCYPART_ARC
(4,2),0.142271 # DEPENDENCYPART_ARC
(4,3),2.04618 # DEPENDENCYPART_ARC
(4,5),1.71974 # DEPENDENCYPART_ARC
(4,6),-0.196765 # DEPENDENCYPART_ARC
(4,7),-0.455837 # DEPENDENCYPART_ARC
(4,9),-1.33194 # DEPENDENCYPART_ARC
(4,10),-0.686778 # DEPENDENCYPART_ARC
(4,11),-2.14261 # DEPENDENCYPART_ARC
(4,12),-0.957084 # DEPENDENCYPART_ARC
(4,13),-0.71138 # DEPENDENCYPART_ARC
(4,14),-1.25463 # DEPENDENCYPART_ARC
(4,15),-0.83526 # DEPENDENCYPART_ARC
(4,16),-1.20664 # DEPENDENCYPART_ARC
(4,17),-1.71429 # DEPENDENCYPART_ARC
(4,20),-0.470985 # DEPENDENCYPART_ARC
(4,21),-2.10786 # DEPENDENCYPART_ARC
(4,22),-3.5947 # DEPENDENCYPART_ARC
(4,25),-2.65219 # DEPENDENCYPART_ARC
(4,26),-1.89244 # DEPENDENCYPART_ARC
(4,28),-2.71738 # DEPENDENCYPART_ARC
(4,29),-0.0326917 # DEPENDENCYPART_ARC
(5,6),2.06119 # DEPENDENCYPART_ARC
(5,7),-1.13135 # DEPENDENCYPART_ARC
(5,10),-1.15024 # DEPENDENCYPART_ARC
(5,12),-1.2743 # DEPENDENCYPART_ARC
(5,13),-1.99751 # DEPENDENCYPART_ARC
(6,5),-0.759885 # DEPENDENCYPART_ARC
(6,7),-0.173513 # DEPENDENCYPART_ARC
(6,9),-1.39687 # DEPENDENCYPART_ARC
(6,10),-1.51748 # DEPENDENCYPART_ARC
(6,11),-1.38634 # DEPENDENCYPART_ARC
(6,12),-1.50401 # DEPENDENCYPART_ARC
(6,13),-1.93257 # DEPENDENCYPART_ARC
(6,15),-1.82496 # DEPENDENCYPART_ARC
(6,16),-2.04583 # DEPENDENCYPART_ARC
(6,22),-2.70965 # DEPENDENCYPART_ARC
(8,9),-0.452835 # DEPENDENCYPART_ARC
