# _root_ El principal índex espanyol va acabar en 8.154,40 punts , després d' haver caigut durant la sessió per_sota dels 8.100 punts .
#goldHeads=3,3,6,3,6,0,6,9,7,11,6,11,14,12,14,17,15,14,18,21,19,6,
#predictedHeads=3,3,6,3,6,0,6,9,7,11,6,11,14,12,14,17,15,14,18,21,19,6,
(0,3),-5.22171 # DEPENDENCYPART_ARC
(0,5),-1.86057 # DEPENDENCYPART_ARC
(0,6),-3.2629 # DEPENDENCYPART_ARC
(0,13),-4.15962 # DEPENDENCYPART_ARC
(0,14),-2.184 # DEPENDENCYPART_ARC
(1,2),-1.67518 # DEPENDENCYPART_ARC
(2,1),-0.862095 # DEPENDENCYPART_ARC
(2,3),-0.776021 # DEPENDENCYPART_ARC
(2,4),-0.765408 # DEPENDENCYPART_ARC
(2,5),-1.89468 # DEPENDENCYPART_ARC
(2,7),-2.06005 # DEPENDENCYPART_ARC
(2,10),-1.9641 # DEPENDENCYPART_ARC
(2,11),-1.9344 # DEPENDENCYPART_ARC
(2,12),-2.95434 # DEPENDENCYPART_ARC
(2,14),-2.22526 # DEPENDENCYPART_ARC
(3,1),0.93817 # DEPENDENCYPART_ARC
(3,2),2.22355 # DEPENDENCYPART_ARC
(3,4),1.77596 # DEPENDENCYPART_ARC
(3,5),-1.10422 # DEPENDENCYPART_ARC
(3,6),-1.29047 # DEPENDENCYPART_ARC
(3,7),-1.21587 # DEPENDENCYPART_ARC
(3,8),-1.64099 # DEPENDENCYPART_ARC
(3,9),-1.30208 # DEPENDENCYPART_ARC
(3,10),-1.34034 # DEPENDENCYPART_ARC
(3,11),-1.58694 # DEPENDENCYPART_ARC
(3,12),-2.10375 # DEPENDENCYPART_ARC
(3,14),-2.14079 # DEPENDENCYPART_ARC
(3,20),-2.23205 # DEPENDENCYPART_ARC
(3,22),-2.46079 # DEPENDENCYPART_ARC
(4,1),-2.37827 # DEPENDENCYPART_ARC
(4,2),-2.1865 # DEPENDENCYPART_ARC
(4,3),-1.64747 # DEPENDENCYPART_ARC
(4,5),-1.5262 # DEPENDENCYPART_ARC
(5,3),-2.72723 # DEPENDENCYPART_ARC
(5,4),-2.83228 # DEPENDENCYPART_ARC
(5,6),-0.247801 # DEPENDENCYPART_ARC
(5,7),-1.07548 # DEPENDENCYPART_ARC
(5,9),-2.14553 # DEPENDENCYPART_ARC
(5,11),-2.44296 # DEPENDENCYPART_ARC
(5,22),-2.69538 # DEPENDENCYPART_ARC
(6,1),-2.43672 # DEPENDENCYPART_ARC
(6,2),-1.37218 # DEPENDENCYPART_ARC
(6,3),-0.44921 # DEPENDENCYPART_ARC
(6,4),-0.918073 # DEPENDENCYPART_ARC
(6,5),2.37016 # DEPENDENCYPART_ARC
(6,7),1.96256 # DEPENDENCYPART_ARC
(6,8),-0.792443 # DEPENDENCYPART_ARC
(6,9),0.379473 # DEPENDENCYPART_ARC
(6,10),-0.616085 # DEPENDENCYPART_ARC
(6,11),-0.61427 # DEPENDENCYPART_ARC
(6,12),-0.893828 # DEPENDENCYPART_ARC
(6,13),-1.04334 # DEPENDENCYPART_ARC
(6,14),-1.31186 # DEPENDENCYPART_ARC
(6,15),-0.633072 # DEPENDENCYPART_ARC
(6,17),-1.4594 # DEPENDENCYPART_ARC
(6,18),-1.65736 # DEPENDENCYPART_ARC
(6,19),-1.8186 # DEPENDENCYPART_ARC
(6,20),-2.26307 # DEPENDENCYPART_ARC
(6,21),-1.32964 # DEPENDENCYPART_ARC
(6,22),-0.747601 # DEPENDENCYPART_ARC
(7,6),-1.02439 # DEPENDENCYPART_ARC
(7,8),-0.112928 # DEPENDENCYPART_ARC
(7,9),1.11722 # DEPENDENCYPART_ARC
(7,10),-0.899829 # DEPENDENCYPART_ARC
(7,11),-1.71428 # DEPENDENCYPART_ARC
(7,12),-1.64435 # DEPENDENCYPART_ARC
(7,14),-1.83446 # DEPENDENCYPART_ARC
(8,7),-1.37172 # DEPENDENCYPART_ARC
(8,9),-0.80062 # DEPENDENCYPART_ARC
(8,10),-1.86924 # DEPENDENCYPART_ARC
(8,11),-1.74741 # DEPENDENCYPART_ARC
(8,12),-1.66704 # DEPENDENCYPART_ARC
(8,14),-1.9281 # DEPENDENCYPART_ARC
(8,20),-2.58978 # DEPENDENCYPART_ARC
(9,2),-1.83791 # DEPENDENCYPART_ARC
(9,3),-2.79233 # DEPENDENCYPART_ARC
(9,4),-2.3267 # DEPENDENCYPART_ARC
(9,5),-1.23861 # DEPENDENCYPART_ARC
(9,6),-2.29153 # DEPENDENCYPART_ARC
(9,7),-0.747877 # DEPENDENCYPART_ARC
(9,8),1.21953 # DEPENDENCYPART_ARC
(9,10),-0.692541 # DEPENDENCYPART_ARC
(9,11),-1.34208 # DEPENDENCYPART_ARC
(9,12),-1.08423 # DEPENDENCYPART_ARC
(9,13),-1.48618 # DEPENDENCYPART_ARC
(9,14),-1.48652 # DEPENDENCYPART_ARC
(9,18),-1.71893 # DEPENDENCYPART_ARC
(9,20),-2.48413 # DEPENDENCYPART_ARC
(9,21),-1.66991 # DEPENDENCYPART_ARC
(10,9),-1.68731 # DEPENDENCYPART_ARC
(11,7),-1.78409 # DEPENDENCYPART_ARC
(11,9),-1.53501 # DEPENDENCYPART_ARC
(11,10),-0.240082 # DEPENDENCYPART_ARC
(11,12),0.99004 # DEPENDENCYPART_ARC
(11,13),-0.605029 # DEPENDENCYPART_ARC
(11,14),-1.16639 # DEPENDENCYPART_ARC
(11,15),-1.30138 # DEPENDENCYPART_ARC
(11,18),-1.49402 # DEPENDENCYPART_ARC
(11,19),-1.56256 # DEPENDENCYPART_ARC
(11,22),-1.31856 # DEPENDENCYPART_ARC
(12,6),-2.33222 # DEPENDENCYPART_ARC
(12,10),-1.34839 # DEPENDENCYPART_ARC
(12,11),-0.733725 # DEPENDENCYPART_ARC
(12,13),1.52241 # DEPENDENCYPART_ARC
(12,14),0.370468 # DEPENDENCYPART_ARC
(12,15),-1.4483 # DEPENDENCYPART_ARC
(12,17),-1.42416 # DEPENDENCYPART_ARC
(12,18),-1.50946 # DEPENDENCYPART_ARC
(12,19),-1.61612 # DEPENDENCYPART_ARC
(12,21),-2.30719 # DEPENDENCYPART_ARC
(13,3),-3.9106 # DEPENDENCYPART_ARC
(13,6),-1.97933 # DEPENDENCYPART_ARC
(13,7),-2.70267 # DEPENDENCYPART_ARC
(13,10),-2.79592 # DEPENDENCYPART_ARC
(13,11),-1.66687 # DEPENDENCYPART_ARC
(13,12),-1.66404 # DEPENDENCYPART_ARC
(13,14),-0.653802 # DEPENDENCYPART_ARC
(13,15),-1.3995 # DEPENDENCYPART_ARC
(13,17),-2.02202 # DEPENDENCYPART_ARC
(13,19),-2.7541 # DEPENDENCYPART_ARC
(13,21),-2.37156 # DEPENDENCYPART_ARC
(13,22),-2.47015 # DEPENDENCYPART_ARC
(14,2),-1.72839 # DEPENDENCYPART_ARC
(14,3),-1.61147 # DEPENDENCYPART_ARC
(14,4),-2.25557 # DEPENDENCYPART_ARC
(14,5),-1.35799 # DEPENDENCYPART_ARC
(14,6),-0.212155 # DEPENDENCYPART_ARC
(14,7),-0.681303 # DEPENDENCYPART_ARC
(14,8),-1.35215 # DEPENDENCYPART_ARC
(14,9),-1.11204 # DEPENDENCYPART_ARC
(14,10),-0.994829 # DEPENDENCYPART_ARC
(14,11),0.0760831 # DEPENDENCYPART_ARC
(14,12),-0.177754 # DEPENDENCYPART_ARC
(14,13),3.44079 # DEPENDENCYPART_ARC
(14,15),1.20077 # DEPENDENCYPART_ARC
(14,17),-0.767787 # DEPENDENCYPART_ARC
(14,18),-0.943736 # DEPENDENCYPART_ARC
(14,19),-1.28887 # DEPENDENCYPART_ARC
(14,20),-2.12117 # DEPENDENCYPART_ARC
(14,21),-1.01845 # DEPENDENCYPART_ARC
(14,22),-0.643129 # DEPENDENCYPART_ARC
(15,16),-1.43439 # DEPENDENCYPART_ARC
(15,17),1.64434 # DEPENDENCYPART_ARC
(15,18),-1.30802 # DEPENDENCYPART_ARC
(15,19),-1.17181 # DEPENDENCYPART_ARC
(15,20),-1.96171 # DEPENDENCYPART_ARC
(15,21),-0.711218 # DEPENDENCYPART_ARC
(16,17),-0.422331 # DEPENDENCYPART_ARC
(17,15),-1.59701 # DEPENDENCYPART_ARC
(17,16),1.3755 # DEPENDENCYPART_ARC
(17,18),-0.175736 # DEPENDENCYPART_ARC
(17,19),-0.530113 # DEPENDENCYPART_ARC
(17,20),-1.19493 # DEPENDENCYPART_ARC
(17,21),-0.834449 # DEPENDENCYPART_ARC
(17,22),-1.03453 # DEPENDENCYPART_ARC
(18,15),-1.48321 # DEPENDENCYPART_ARC
(18,16),-1.87259 # DEPENDENCYPART_ARC
(18,17),-0.370958 # DEPENDENCYPART_ARC
(18,19),0.317514 # DEPENDENCYPART_ARC
(18,20),-0.841424 # DEPENDENCYPART_ARC
(18,21),-1.51906 # DEPENDENCYPART_ARC
(18,22),-1.57991 # DEPENDENCYPART_ARC
(19,6),-2.63169 # DEPENDENCYPART_ARC
(19,15),-1.73863 # DEPENDENCYPART_ARC
(19,16),-2.19482 # DEPENDENCYPART_ARC
(19,17),-2.23424 # DEPENDENCYPART_ARC
(19,18),-0.496604 # DEPENDENCYPART_ARC
(19,20),0.433037 # DEPENDENCYPART_ARC
(19,21),0.909277 # DEPENDENCYPART_ARC
(19,22),-1.20447 # DEPENDENCYPART_ARC
(20,15),-2.06823 # DEPENDENCYPART_ARC
(20,18),-1.06431 # DEPENDENCYPART_ARC
(20,19),-0.52981 # DEPENDENCYPART_ARC
(20,21),-0.855221 # DEPENDENCYPART_ARC
(21,3),-3.01402 # DEPENDENCYPART_ARC
(21,6),-2.85271 # DEPENDENCYPART_ARC
(21,7),-1.6632 # DEPENDENCYPART_ARC
(21,12),-1.25213 # DEPENDENCYPART_ARC
(21,15),-1.3252 # DEPENDENCYPART_ARC
(21,16),-1.88257 # DEPENDENCYPART_ARC
(21,17),-2.71026 # DEPENDENCYPART_ARC
(21,18),-1.07944 # DEPENDENCYPART_ARC
(21,19),-0.803071 # DEPENDENCYPART_ARC
(21,20),1.28663 # DEPENDENCYPART_ARC
(21,22),-0.914525 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.445605 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.421412 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.42304 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.423597 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.948697 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.94425 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.945156 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.943131 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.944037 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.937959 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.144173 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0840063 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0261047 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.122598 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.050733 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00948214 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.21666 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0959591 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0846668 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0533901 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.126901 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0778622 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0234101 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0213508 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0341096 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0278756 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0980729 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0364542 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0680853 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0152395 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.042448 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0521154 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0525444 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0306776 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00996131 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.10543 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.126833 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.120253 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0214588 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.00588291 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0502555 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0155355 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0123906 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0634645 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.00588075 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0161508 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0774506 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0926342 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.183476 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00342027 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.02182 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0173903 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.363868 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0199313 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0713139 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.303214 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00269663 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0173903 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0235515 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0216636 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.100875 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00895484 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.029411 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00774398 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0267671 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00204691 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.115017 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0516627 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0192777 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.00774398 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.00278556 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00245257 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0260676 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0576235 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00439124 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0343247 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0414216 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0270761 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0623579 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.034396 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.00439124 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.052518 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.117055 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0315351 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0261903 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00200678 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0366302 # DEPENDENCYPART_SIBL
