# _root_ A_més_del catàleg , coincidint amb el lliurament dels premis , el dia_6_de_juny s' inaugurarà a Igualada l' exposició que reunirà les obres seleccionades .
#goldHeads=14,1,4,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
#predictedHeads=14,1,1,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
(0,1),-4.98659 # DEPENDENCYPART_ARC
(0,4),-4.79092 # DEPENDENCYPART_ARC
(0,14),-2.05244 # DEPENDENCYPART_ARC
(0,20),-2.74118 # DEPENDENCYPART_ARC
(1,2),2.74614 # DEPENDENCYPART_ARC
(1,3),0.141571 # DEPENDENCYPART_ARC
(1,4),-1.37481 # DEPENDENCYPART_ARC
(1,5),-2.1432 # DEPENDENCYPART_ARC
(1,10),-0.468727 # DEPENDENCYPART_ARC
(1,24),-2.66624 # DEPENDENCYPART_ARC
(2,1),-0.782276 # DEPENDENCYPART_ARC
(2,3),-1.01055 # DEPENDENCYPART_ARC
(2,4),-1.70068 # DEPENDENCYPART_ARC
(2,5),-1.31174 # DEPENDENCYPART_ARC
(2,8),-1.54026 # DEPENDENCYPART_ARC
(2,10),-1.84653 # DEPENDENCYPART_ARC
(2,12),-2.11152 # DEPENDENCYPART_ARC
(2,14),-1.26478 # DEPENDENCYPART_ARC
(2,18),-2.79802 # DEPENDENCYPART_ARC
(2,20),-1.10523 # DEPENDENCYPART_ARC
(2,22),-2.62365 # DEPENDENCYPART_ARC
(2,24),-2.69755 # DEPENDENCYPART_ARC
(4,1),-0.662507 # DEPENDENCYPART_ARC
(4,2),-0.988787 # DEPENDENCYPART_ARC
(4,3),-0.0334129 # DEPENDENCYPART_ARC
(4,5),1.87232 # DEPENDENCYPART_ARC
(4,7),0.00931127 # DEPENDENCYPART_ARC
(4,8),-0.225165 # DEPENDENCYPART_ARC
(4,9),-0.748898 # DEPENDENCYPART_ARC
(4,10),-0.409934 # DEPENDENCYPART_ARC
(4,12),-1.59841 # DEPENDENCYPART_ARC
(4,14),-1.37968 # DEPENDENCYPART_ARC
(4,15),-0.891077 # DEPENDENCYPART_ARC
(4,18),-1.30616 # DEPENDENCYPART_ARC
(4,20),-2.04519 # DEPENDENCYPART_ARC
(4,22),-1.07621 # DEPENDENCYPART_ARC
(4,24),-1.4832 # DEPENDENCYPART_ARC
(5,1),-2.13517 # DEPENDENCYPART_ARC
(5,3),-1.49243 # DEPENDENCYPART_ARC
(5,4),-0.847321 # DEPENDENCYPART_ARC
(5,6),-1.62927 # DEPENDENCYPART_ARC
(5,7),1.62924 # DEPENDENCYPART_ARC
(5,8),-1.25886 # DEPENDENCYPART_ARC
(5,9),-0.208002 # DEPENDENCYPART_ARC
(5,10),-0.865547 # DEPENDENCYPART_ARC
(5,12),-1.72889 # DEPENDENCYPART_ARC
(5,14),-3.10604 # DEPENDENCYPART_ARC
(5,15),-2.21153 # DEPENDENCYPART_ARC
(6,7),-0.339319 # DEPENDENCYPART_ARC
(6,8),-0.813792 # DEPENDENCYPART_ARC
(7,1),-1.8969 # DEPENDENCYPART_ARC
(7,3),-2.15243 # DEPENDENCYPART_ARC
(7,4),-2.49927 # DEPENDENCYPART_ARC
(7,5),-1.05878 # DEPENDENCYPART_ARC
(7,6),0.822705 # DEPENDENCYPART_ARC
(7,8),0.801474 # DEPENDENCYPART_ARC
(7,9),-0.677749 # DEPENDENCYPART_ARC
(7,10),-0.590429 # DEPENDENCYPART_ARC
(7,12),-1.35467 # DEPENDENCYPART_ARC
(7,14),-0.403721 # DEPENDENCYPART_ARC
(7,15),-1.69483 # DEPENDENCYPART_ARC
(7,18),-2.10963 # DEPENDENCYPART_ARC
(7,20),-0.481254 # DEPENDENCYPART_ARC
(7,22),-2.22047 # DEPENDENCYPART_ARC
(7,23),-3.91874 # DEPENDENCYPART_ARC
(7,24),-1.95862 # DEPENDENCYPART_ARC
(8,1),-2.88415 # DEPENDENCYPART_ARC
(8,6),-1.78911 # DEPENDENCYPART_ARC
(8,9),2.79305 # DEPENDENCYPART_ARC
(8,10),-1.18878 # DEPENDENCYPART_ARC
(8,12),-1.7125 # DEPENDENCYPART_ARC
(8,14),-3.23058 # DEPENDENCYPART_ARC
(8,15),-2.38304 # DEPENDENCYPART_ARC
(9,1),-2.99939 # DEPENDENCYPART_ARC
(9,6),-2.08271 # DEPENDENCYPART_ARC
(9,10),-1.10543 # DEPENDENCYPART_ARC
(9,12),-1.42066 # DEPENDENCYPART_ARC
(9,14),-1.06691 # DEPENDENCYPART_ARC
(9,15),-1.60025 # DEPENDENCYPART_ARC
(9,18),-2.38124 # DEPENDENCYPART_ARC
(9,20),-1.21662 # DEPENDENCYPART_ARC
(9,22),-1.4003 # DEPENDENCYPART_ARC
(9,24),-2.01315 # DEPENDENCYPART_ARC
(11,8),-2.1601 # DEPENDENCYPART_ARC
(11,12),-0.793805 # DEPENDENCYPART_ARC
(12,8),-1.5241 # DEPENDENCYPART_ARC
(12,10),-0.677892 # DEPENDENCYPART_ARC
(12,11),0.971405 # DEPENDENCYPART_ARC
(12,14),-1.05493 # DEPENDENCYPART_ARC
(12,15),-1.59544 # DEPENDENCYPART_ARC
(12,18),-2.34086 # DEPENDENCYPART_ARC
(12,20),-1.98479 # DEPENDENCYPART_ARC
(14,1),-1.80989 # DEPENDENCYPART_ARC
(14,3),-2.09808 # DEPENDENCYPART_ARC
(14,4),-1.0946 # DEPENDENCYPART_ARC
(14,5),-1.10336 # DEPENDENCYPART_ARC
(14,7),-1.19666 # DEPENDENCYPART_ARC
(14,8),-2.33532 # DEPENDENCYPART_ARC
(14,9),-2.36349 # DEPENDENCYPART_ARC
(14,10),-0.699226 # DEPENDENCYPART_ARC
(14,11),-2.01691 # DEPENDENCYPART_ARC
(14,12),-0.679568 # DEPENDENCYPART_ARC
(14,13),1.8421 # DEPENDENCYPART_ARC
(14,15),1.59502 # DEPENDENCYPART_ARC
(14,16),-0.133665 # DEPENDENCYPART_ARC
(14,18),-0.264109 # DEPENDENCYPART_ARC
(14,20),0.142482 # DEPENDENCYPART_ARC
(14,22),-1.22569 # DEPENDENCYPART_ARC
(14,23),-1.76523 # DEPENDENCYPART_ARC
(14,24),-0.831544 # DEPENDENCYPART_ARC
(15,4),-2.35019 # DEPENDENCYPART_ARC
(15,11),-3.56331 # DEPENDENCYPART_ARC
(15,12),-2.78909 # DEPENDENCYPART_ARC
(15,16),2.0737 # DEPENDENCYPART_ARC
(15,18),-0.958185 # DEPENDENCYPART_ARC
(15,20),-2.97097 # DEPENDENCYPART_ARC
(16,18),-1.27206 # DEPENDENCYPART_ARC
(16,20),-1.29871 # DEPENDENCYPART_ARC
(17,15),-2.03675 # DEPENDENCYPART_ARC
(18,1),-2.23159 # DEPENDENCYPART_ARC
(18,4),-2.49011 # DEPENDENCYPART_ARC
(18,8),-1.8446 # DEPENDENCYPART_ARC
(18,14),-2.78789 # DEPENDENCYPART_ARC
(18,15),-1.8523 # DEPENDENCYPART_ARC
(18,17),1.7277 # DEPENDENCYPART_ARC
(18,19),-1.23941 # DEPENDENCYPART_ARC
(18,20),0.522165 # DEPENDENCYPART_ARC
(18,22),-0.695415 # DEPENDENCYPART_ARC
(18,23),-1.01616 # DEPENDENCYPART_ARC
(18,24),-0.868564 # DEPENDENCYPART_ARC
(19,22),-2.33811 # DEPENDENCYPART_ARC
(20,1),-1.96147 # DEPENDENCYPART_ARC
(20,3),-2.37489 # DEPENDENCYPART_ARC
(20,4),-1.73207 # DEPENDENCYPART_ARC
(20,5),-1.22477 # DEPENDENCYPART_ARC
(20,8),-2.78854 # DEPENDENCYPART_ARC
(20,10),-1.41917 # DEPENDENCYPART_ARC
(20,11),-3.77737 # DEPENDENCYPART_ARC
(20,12),-1.8545 # DEPENDENCYPART_ARC
(20,14),-2.26099 # DEPENDENCYPART_ARC
(20,15),-0.879315 # DEPENDENCYPART_ARC
(20,16),-1.61747 # DEPENDENCYPART_ARC
(20,17),-2.41635 # DEPENDENCYPART_ARC
(20,18),-0.425862 # DEPENDENCYPART_ARC
(20,19),3.10406 # DEPENDENCYPART_ARC
(20,22),0.997373 # DEPENDENCYPART_ARC
(20,23),-0.541652 # DEPENDENCYPART_ARC
(20,24),-0.845581 # DEPENDENCYPART_ARC
(22,4),-2.72246 # DEPENDENCYPART_ARC
(22,17),-3.25158 # DEPENDENCYPART_ARC
(22,19),-2.03014 # DEPENDENCYPART_ARC
(22,21),2.33882 # DEPENDENCYPART_ARC
(22,23),2.31546 # DEPENDENCYPART_ARC
(22,24),-0.940115 # DEPENDENCYPART_ARC
(23,18),-2.76988 # DEPENDENCYPART_ARC
(23,21),-1.43879 # DEPENDENCYPART_ARC
(23,24),-1.33527 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.39977 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.400316 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.404517 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.941687 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.941687 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.936472 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.087208 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.400572 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00785999 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.087208 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.037495 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0697099 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.289629 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.307647 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.0490949 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00838386 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0788827 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0922903 # DEPENDENCYPART_SIBL
