# _root_ I és que , si l' antiga estratègia de l' Acord_d'_Ajuria_Enea va néixer del consens i de la concertació , aquesta d' ara ha vist la llum sota el signe de la confrontació entre les majories i les minories .
#goldHeads=2,0,25,13,13,8,8,13,8,11,9,13,25,13,14,14,14,19,17,13,25,21,22,25,2,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
#predictedHeads=2,0,13,13,13,8,8,13,8,11,9,13,2,13,14,14,14,19,17,25,25,21,22,25,19,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
(0,2),-1.85028 # DEPENDENCYPART_ARC
(0,8),-5.64007 # DEPENDENCYPART_ARC
(0,12),-3.25411 # DEPENDENCYPART_ARC
(0,13),-5.45066 # DEPENDENCYPART_ARC
(0,25),-5.17058 # DEPENDENCYPART_ARC
(2,1),0.227794 # DEPENDENCYPART_ARC
(2,3),-0.910516 # DEPENDENCYPART_ARC
(2,4),-0.81932 # DEPENDENCYPART_ARC
(2,5),-1.41999 # DEPENDENCYPART_ARC
(2,7),-1.49398 # DEPENDENCYPART_ARC
(2,8),-2.27798 # DEPENDENCYPART_ARC
(2,9),-1.91865 # DEPENDENCYPART_ARC
(2,12),-1.16081 # DEPENDENCYPART_ARC
(2,13),-1.32431 # DEPENDENCYPART_ARC
(2,16),-1.7063 # DEPENDENCYPART_ARC
(2,20),-1.64961 # DEPENDENCYPART_ARC
(2,21),-2.65605 # DEPENDENCYPART_ARC
(2,24),-2.5504 # DEPENDENCYPART_ARC
(2,25),-2.17977 # DEPENDENCYPART_ARC
(2,40),0.708708 # DEPENDENCYPART_ARC
(3,1),-2.1566 # DEPENDENCYPART_ARC
(3,4),-0.85869 # DEPENDENCYPART_ARC
(3,5),-1.4406 # DEPENDENCYPART_ARC
(5,4),-1.08507 # DEPENDENCYPART_ARC
(5,7),-1.59507 # DEPENDENCYPART_ARC
(5,8),-2.31703 # DEPENDENCYPART_ARC
(5,9),-2.11184 # DEPENDENCYPART_ARC
(5,14),-2.40316 # DEPENDENCYPART_ARC
(6,7),-1.52049 # DEPENDENCYPART_ARC
(7,1),-2.38295 # DEPENDENCYPART_ARC
(7,2),-3.34212 # DEPENDENCYPART_ARC
(7,4),-1.78854 # DEPENDENCYPART_ARC
(7,5),-1.42237 # DEPENDENCYPART_ARC
(7,6),-0.912508 # DEPENDENCYPART_ARC
(7,8),-0.897095 # DEPENDENCYPART_ARC
(7,9),-1.60829 # DEPENDENCYPART_ARC
(8,1),-2.03105 # DEPENDENCYPART_ARC
(8,2),-2.67395 # DEPENDENCYPART_ARC
(8,3),-1.9584 # DEPENDENCYPART_ARC
(8,4),-1.45249 # DEPENDENCYPART_ARC
(8,5),-1.64371 # DEPENDENCYPART_ARC
(8,6),1.12922 # DEPENDENCYPART_ARC
(8,7),2.52437 # DEPENDENCYPART_ARC
(8,9),0.912452 # DEPENDENCYPART_ARC
(8,11),-0.76773 # DEPENDENCYPART_ARC
(8,12),-0.918194 # DEPENDENCYPART_ARC
(8,13),-1.22377 # DEPENDENCYPART_ARC
(8,14),-1.18395 # DEPENDENCYPART_ARC
(8,16),-1.50709 # DEPENDENCYPART_ARC
(8,17),-2.48857 # DEPENDENCYPART_ARC
(8,19),-1.76535 # DEPENDENCYPART_ARC
(8,21),-2.16848 # DEPENDENCYPART_ARC
(8,23),-1.99968 # DEPENDENCYPART_ARC
(8,25),-1.59301 # DEPENDENCYPART_ARC
(8,27),-2.24522 # DEPENDENCYPART_ARC
(8,28),-1.1521 # DEPENDENCYPART_ARC
(8,34),-1.79049 # DEPENDENCYPART_ARC
(9,3),-2.32492 # DEPENDENCYPART_ARC
(9,5),-2.38707 # DEPENDENCYPART_ARC
(9,8),-1.44885 # DEPENDENCYPART_ARC
(9,10),-1.05821 # DEPENDENCYPART_ARC
(9,11),1.40881 # DEPENDENCYPART_ARC
(9,12),-2.28632 # DEPENDENCYPART_ARC
(9,13),-1.63582 # DEPENDENCYPART_ARC
(9,14),-1.7711 # DEPENDENCYPART_ARC
(9,16),-0.58457 # DEPENDENCYPART_ARC
(9,17),-0.90562 # DEPENDENCYPART_ARC
(10,8),-1.86975 # DEPENDENCYPART_ARC
