# _root_ Com_a factor normalitzador hi ha el fet que el gruix d' atestats penals , que fan els Mossos_d'_Esquadra , entra als jutjats en llengua catalana .
#goldHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,10,18,16,16,7,20,21,20,23,24,5,
#predictedHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,10,18,16,16,7,20,21,22,23,24,5,
(0,1),-4.44535 # DEPENDENCYPART_ARC
(0,5),-2.42205 # DEPENDENCYPART_ARC
(0,7),-5.85153 # DEPENDENCYPART_ARC
(0,16),-2.82873 # DEPENDENCYPART_ARC
(0,20),-2.16362 # DEPENDENCYPART_ARC
(1,2),2.85469 # DEPENDENCYPART_ARC
(1,3),-0.596557 # DEPENDENCYPART_ARC
(1,5),-1.91215 # DEPENDENCYPART_ARC
(1,8),-1.95859 # DEPENDENCYPART_ARC
(1,14),-1.11284 # DEPENDENCYPART_ARC
(1,19),-1.38638 # DEPENDENCYPART_ARC
(1,26),-2.47296 # DEPENDENCYPART_ARC
(2,1),-1.17032 # DEPENDENCYPART_ARC
(2,3),1.51111 # DEPENDENCYPART_ARC
(2,4),-2.31948 # DEPENDENCYPART_ARC
(2,5),-0.592152 # DEPENDENCYPART_ARC
(2,7),-1.04148 # DEPENDENCYPART_ARC
(2,8),-1.33864 # DEPENDENCYPART_ARC
(2,10),-2.00268 # DEPENDENCYPART_ARC
(2,11),-1.47657 # DEPENDENCYPART_ARC
(2,13),-2.74556 # DEPENDENCYPART_ARC
(2,14),-1.22026 # DEPENDENCYPART_ARC
(2,16),-1.79778 # DEPENDENCYPART_ARC
(2,18),-2.87153 # DEPENDENCYPART_ARC
(2,19),-1.33605 # DEPENDENCYPART_ARC
(2,20),-2.01576 # DEPENDENCYPART_ARC
(2,26),-2.39547 # DEPENDENCYPART_ARC
(3,4),-1.60857 # DEPENDENCYPART_ARC
(3,5),-1.85975 # DEPENDENCYPART_ARC
(3,7),-2.45808 # DEPENDENCYPART_ARC
(3,8),-2.13222 # DEPENDENCYPART_ARC
(4,7),-2.82293 # DEPENDENCYPART_ARC
(4,10),-3.23134 # DEPENDENCYPART_ARC
(5,1),-0.995256 # DEPENDENCYPART_ARC
(5,2),-2.22451 # DEPENDENCYPART_ARC
(5,3),-2.22402 # DEPENDENCYPART_ARC
(5,4),1.01652 # DEPENDENCYPART_ARC
(5,7),-0.133533 # DEPENDENCYPART_ARC
(5,8),-2.06469 # DEPENDENCYPART_ARC
(5,10),-1.59874 # DEPENDENCYPART_ARC
(5,11),-1.91572 # DEPENDENCYPART_ARC
(5,14),-1.14355 # DEPENDENCYPART_ARC
(5,16),-1.46505 # DEPENDENCYPART_ARC
(5,19),-1.03914 # DEPENDENCYPART_ARC
(5,20),-2.10955 # DEPENDENCYPART_ARC
(5,21),-3.00854 # DEPENDENCYPART_ARC
(5,23),-2.33391 # DEPENDENCYPART_ARC
(5,26),-1.99762 # DEPENDENCYPART_ARC
(6,7),-1.29749 # DEPENDENCYPART_ARC
(6,9),-1.72264 # DEPENDENCYPART_ARC
(7,1),-1.02968 # DEPENDENCYPART_ARC
(7,3),-1.24595 # DEPENDENCYPART_ARC
(7,4),-0.561879 # DEPENDENCYPART_ARC
(7,5),-0.836449 # DEPENDENCYPART_ARC
(7,6),1.8186 # DEPENDENCYPART_ARC
(7,8),-0.383657 # DEPENDENCYPART_ARC
(7,10),-0.864654 # DEPENDENCYPART_ARC
(7,11),-0.442724 # DEPENDENCYPART_ARC
(7,12),-1.97274 # DEPENDENCYPART_ARC
(7,13),-1.96242 # DEPENDENCYPART_ARC
(7,14),-1.08959 # DEPENDENCYPART_ARC
(7,16),-0.961508 # DEPENDENCYPART_ARC
(7,18),-2.63745 # DEPENDENCYPART_ARC
(7,19),-1.77844 # DEPENDENCYPART_ARC
(7,20),-1.51644 # DEPENDENCYPART_ARC
(7,21),-2.27791 # DEPENDENCYPART_ARC
(7,23),-1.66851 # DEPENDENCYPART_ARC
(7,25),-2.51244 # DEPENDENCYPART_ARC
(7,26),-2.46785 # DEPENDENCYPART_ARC
(8,10),-2.05471 # DEPENDENCYPART_ARC
(8,11),-2.15498 # DEPENDENCYPART_ARC
(8,13),-2.71668 # DEPENDENCYPART_ARC
(9,7),-1.91835 # DEPENDENCYPART_ARC
(9,10),-0.80532 # DEPENDENCYPART_ARC
(9,11),-1.26121 # DEPENDENCYPART_ARC
(10,1),-1.80197 # DEPENDENCYPART_ARC
(10,4),-1.59963 # DEPENDENCYPART_ARC
