# _root_ Sonaven molt bé , sens dubte , però el volum sonor no està de més en aquesta mena d' exhibicions de la música barroca .
#goldHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
#predictedHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
(0,1),-1.1753 # DEPENDENCYPART_ARC
(0,3),-5.26946 # DEPENDENCYPART_ARC
(0,13),-2.56177 # DEPENDENCYPART_ARC
(1,2),0.330051 # DEPENDENCYPART_ARC
(1,3),0.535124 # DEPENDENCYPART_ARC
(1,4),-0.285856 # DEPENDENCYPART_ARC
(1,5),-0.176959 # DEPENDENCYPART_ARC
(1,6),-0.897193 # DEPENDENCYPART_ARC
(1,7),-0.418963 # DEPENDENCYPART_ARC
(1,8),-0.627916 # DEPENDENCYPART_ARC
(1,10),-1.53734 # DEPENDENCYPART_ARC
(1,11),-2.06319 # DEPENDENCYPART_ARC
(1,12),-1.92104 # DEPENDENCYPART_ARC
(1,13),-0.742698 # DEPENDENCYPART_ARC
(1,15),-2.54699 # DEPENDENCYPART_ARC
(1,16),-1.88726 # DEPENDENCYPART_ARC
(1,18),-1.93494 # DEPENDENCYPART_ARC
(1,23),-2.33535 # DEPENDENCYPART_ARC
(1,24),-3.03847 # DEPENDENCYPART_ARC
(1,25),-0.431126 # DEPENDENCYPART_ARC
(2,1),-0.960965 # DEPENDENCYPART_ARC
(2,3),-0.601937 # DEPENDENCYPART_ARC
(2,4),-1.08106 # DEPENDENCYPART_ARC
(2,5),-1.78218 # DEPENDENCYPART_ARC
(2,7),-1.83556 # DEPENDENCYPART_ARC
(2,8),-1.51234 # DEPENDENCYPART_ARC
(2,13),-2.09126 # DEPENDENCYPART_ARC
(3,2),1.08131 # DEPENDENCYPART_ARC
(3,4),-0.0298852 # DEPENDENCYPART_ARC
(3,5),-1.68632 # DEPENDENCYPART_ARC
(3,6),-2.17062 # DEPENDENCYPART_ARC
(3,7),-1.71962 # DEPENDENCYPART_ARC
(3,8),-1.77451 # DEPENDENCYPART_ARC
(3,13),-2.27622 # DEPENDENCYPART_ARC
(3,15),-2.31515 # DEPENDENCYPART_ARC
(5,1),-1.80405 # DEPENDENCYPART_ARC
(5,2),-1.85107 # DEPENDENCYPART_ARC
(5,3),-1.47157 # DEPENDENCYPART_ARC
(5,4),-0.0769188 # DEPENDENCYPART_ARC
(5,6),2.31684 # DEPENDENCYPART_ARC
(5,7),0.0651504 # DEPENDENCYPART_ARC
(5,8),-1.35081 # DEPENDENCYPART_ARC
(5,10),-1.93165 # DEPENDENCYPART_ARC
(5,12),-2.34217 # DEPENDENCYPART_ARC
(5,13),-3.36452 # DEPENDENCYPART_ARC
(5,14),-2.63513 # DEPENDENCYPART_ARC
(5,16),-2.74845 # DEPENDENCYPART_ARC
(5,25),-1.75431 # DEPENDENCYPART_ARC
(6,1),-4.6408 # DEPENDENCYPART_ARC
(6,2),-2.03862 # DEPENDENCYPART_ARC
(6,3),-1.91527 # DEPENDENCYPART_ARC
(6,4),-1.31827 # DEPENDENCYPART_ARC
(6,5),-0.800023 # DEPENDENCYPART_ARC
(6,7),-0.850553 # DEPENDENCYPART_ARC
(6,8),-0.846894 # DEPENDENCYPART_ARC
(6,10),-1.02378 # DEPENDENCYPART_ARC
(6,11),-0.816718 # DEPENDENCYPART_ARC
(6,13),-1.99862 # DEPENDENCYPART_ARC
(6,25),-2.63862 # DEPENDENCYPART_ARC
(7,4),-1.92729 # DEPENDENCYPART_ARC
(8,7),-1.09948 # DEPENDENCYPART_ARC
(9,8),-1.26384 # DEPENDENCYPART_ARC
(9,10),-1.20858 # DEPENDENCYPART_ARC
(10,1),-3.91425 # DEPENDENCYPART_ARC
(10,2),-2.07258 # DEPENDENCYPART_ARC
